Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
3.278	5.02e-04	Acute_myeloid_leukemia	Bone Marrow	DHS	S005FH41.DNase.hotspot_v3.20130819.bed.gz	cg00214171,cg00236576,cg00237876,cg00263619,cg00285294,cg00285343,cg00359395,cg00374747,cg00531137,cg00537837,cg00549412,cg00605777,cg00808969,cg01028796,cg01108112,cg01185080,cg01201215,cg01233392,cg01264729,cg01431482,cg01447748,cg01490733,cg01687189,cg01801603,cg01885635,cg01966117,cg02085953,cg02149965,cg02361903,cg02453726,cg02540736,cg02597894,cg02801114,cg02903680,cg02946885,cg03010887,cg03178042,cg03184011,cg03224418,cg03295852,cg03359540,cg03403093,cg03484180,cg03561416,cg03577250,cg03613618,cg03693099,cg03772384,cg03851401,cg03890167,cg04486382,cg04492228,cg04608933,cg04622454,cg04724477,cg04834097,cg04911680,cg05131526,cg05147578,cg05168015,cg05373251,cg05418719,cg05611648,cg05708512,cg05713486,cg05720226,cg05875982,cg05969378,cg06170683,cg06362985,cg06376426,cg06669752,cg06685111,cg06708720,cg06855485,cg06856687,cg06931612,cg06974428,cg06996423,cg07082267,cg07131742,cg07233933,cg07342322,cg07479253,cg07589968,cg07615364,cg07705835,cg07922154,cg08234504,cg08311343,cg08926287,cg09276451,cg09325164,cg09391066,cg09565226,cg09728487,cg09735851,cg09747445,cg09888330,cg09906145,cg10064322,cg10301695,cg10383568,cg10456541,cg10512089,cg10512203,cg10513302,cg10529555,cg10777461,cg10788371,cg10922280,cg11466832,cg11630939,cg11942936,cg11980800,cg11998307,cg12258344,cg12403162,cg12408494,cg12441066,cg12473797,cg12619504,cg12800962,cg12894984,cg13058819,cg13203811,cg13269555,cg13494428,cg13544075,cg13545717,cg13660719,cg13691108,cg13978175,cg13987674,cg14069287,cg14321284,cg14383815,cg14545975,cg14699734,cg14794655,cg14979593,cg14983777,cg15056348,cg15338967,cg15478483,cg15684702,cg15697019,cg15728320,cg15730857,cg15892280,cg16014085,cg16541026,cg16572910,cg16624521,cg16664617,cg16703333,cg16723994,cg16746355,cg16906765,cg17004733,cg17228560,cg17327331,cg17457912,cg17459387,cg17508639,cg17607231,cg17611742,cg17652998,cg17695841,cg17852932,cg17952719,cg18064256,cg18219160,cg18282388,cg18389639,cg18390345,cg18419175,cg18725681,cg18877271,cg18914962,cg18915128,cg19126615,cg19233663,cg19258882,cg19325791,cg19494100,cg19529621,cg19689330,cg19695041,cg19719475,cg19908207,cg20296990,cg20372666,cg20382047,cg20460554,cg20801110,cg20811236,cg20822990,cg20910008,cg20951444,cg20976787,cg21185271,cg21422605,cg21734356,cg21927426,cg22161562,cg22377963,cg22455720,cg22506548,cg22825202,cg22962923,cg22999864,cg23053961,cg23242489,cg23551720,cg23933044,cg24110540,cg24146125,cg24195878,cg24403338,cg24650940,cg24765394,cg24803517,cg25057584,cg25109663,cg25157472,cg25305703,cg25424279,cg25481160,cg25966016,cg26161024,cg26188726,cg26335760,cg26403171,cg26468891,cg26551026,cg26864395,cg27034466,cg27565899,cg27589594	NA	6.02e-02
-5.103	1.00e+00	DG-75_Sporadic_Burkitt_lymphoma	Cell Line	DHS	BP_DG-75_d01.DNase.hotspot_v3.20130819.bed.gz	cg00531137,cg01076459,cg01447748,cg01792532,cg01801603,cg02085953,cg02870946,cg02903680,cg03184011,cg03224418,cg03561416,cg03602233,cg03890167,cg04834097,cg05669853,cg06170683,cg06376426,cg06669752,cg06855485,cg06974428,cg06996423,cg07621224,cg07652237,cg08021945,cg08234504,cg08926287,cg09276451,cg09325164,cg09565226,cg10512203,cg10513302,cg11980800,cg12371924,cg13054640,cg13203811,cg13269555,cg13370427,cg13740709,cg14979593,cg15730857,cg16355231,cg16664617,cg16725944,cg17607231,cg18018313,cg18280057,cg19233663,cg19266329,cg20663495,cg20811236,cg20910008,cg21393124,cg22161562,cg22377963,cg22825202,cg23384027,cg23487312,cg23581183,cg24110540,cg24146100,cg24146125,cg24403338,cg25994988,cg26204079,cg26551026,cg26580095	NA	1.00e+00
-5.255	1.00e+00	KARPAS-422_Germinal_Center_B-Cell-Like_Diffuse_Large_B-Cell_Lymphoma	Cell Line	DHS	bp_KARPAS-422_d01.DNase.hotspot_v3.20131126.bed.gz	cg00040575,cg00911776,cg01076459,cg01264729,cg01447748,cg01801603,cg01885635,cg03224418,cg03484180,cg03613618,cg04359840,cg04834097,cg05147578,cg06996423,cg07131742,cg08507952,cg08926287,cg09565226,cg09728487,cg10064322,cg10512203,cg10513302,cg10922280,cg11915444,cg11980800,cg12371924,cg12927277,cg13054640,cg13203811,cg13269555,cg13551754,cg14099685,cg14571710,cg15826479,cg16355231,cg16541026,cg17516571,cg17607231,cg17611742,cg18018313,cg19233663,cg19494100,cg20964856,cg21166916,cg22825202,cg22962923,cg23581183,cg24146125,cg24403338,cg24650940,cg25109663,cg27344791,cg27565899	NA	1.00e+00
-3.801	1.00e+00	SU-DHL-5_Germinal_Center_B-Cell-Like_Diffuse_Large_B-Cell_Lymphoma	Cell Line	DHS	bp_SU-DHL-5_d01.DNase.hotspot_v3.20131126.bed.gz	cg00236576,cg00549412,cg01028796,cg01344797,cg01447748,cg01687189,cg01792532,cg01801603,cg02085953,cg02149965,cg02301528,cg03184011,cg03224418,cg03484180,cg03561416,cg03602233,cg03890167,cg04208928,cg04359840,cg04500377,cg04724477,cg05131526,cg05373251,cg06362985,cg06669752,cg06708720,cg06825512,cg06974428,cg06996423,cg06998765,cg07131742,cg07342322,cg07380540,cg07437546,cg08926287,cg09325164,cg09411874,cg09565226,cg09725874,cg09735851,cg10512089,cg10512203,cg10513302,cg10529555,cg10788371,cg10922280,cg11915444,cg11980800,cg12258344,cg12371924,cg12406027,cg13054640,cg13203811,cg13269555,cg13348944,cg13494428,cg13551754,cg14076390,cg14099685,cg14322224,cg14383815,cg14468090,cg14571710,cg14979593,cg15187398,cg15730857,cg16295156,cg16355231,cg17004733,cg17607231,cg17611742,cg18280057,cg18725681,cg19266329,cg19351603,cg19494100,cg19719475,cg20276630,cg20910008,cg20976787,cg21166916,cg21393124,cg21734356,cg22962923,cg23896514,cg24146125,cg24150385,cg24403338,cg24650940,cg25109663,cg25268718,cg26403608,cg26468891,cg26476156	NA	1.00e+00
-0.148	5.91e-01	U-266_Multiple_myeloma	Cell Line	DHS	BP_U-266_d01.DNase.hotspot_v3.20130819.bed.gz	cg00040575,cg00124095,cg00288957,cg00291478,cg00395063,cg00531137,cg00605777,cg00808969,cg01028796,cg01264729,cg01344797,cg01447748,cg01713950,cg01744331,cg01753375,cg01792532,cg01885635,cg02029665,cg02085953,cg02149965,cg02301528,cg02724490,cg02870946,cg02903680,cg02960948,cg03172991,cg03224418,cg03259212,cg03359540,cg03484180,cg03561416,cg03577250,cg03602233,cg03693099,cg03735592,cg03890167,cg03995615,cg04208928,cg04492228,cg04608933,cg04688330,cg04724477,cg04774505,cg04834097,cg04911680,cg05131526,cg05373251,cg05619598,cg05632420,cg05669853,cg05713486,cg06002638,cg06170683,cg06362985,cg06376426,cg06669752,cg06708720,cg06785429,cg06829788,cg06855485,cg06974428,cg06996423,cg06998765,cg07057831,cg07131742,cg07233933,cg07342322,cg07589968,cg07615364,cg07631435,cg07652237,cg07705835,cg08021945,cg08234504,cg08926287,cg09027133,cg09063663,cg09317239,cg09325164,cg09725874,cg09735851,cg09747445,cg09906145,cg10322443,cg10512089,cg10512203,cg10513302,cg10529555,cg10589813,cg10603592,cg11980800,cg12258344,cg12400041,cg12408494,cg12619504,cg13203811,cg13269555,cg13279476,cg13348944,cg13370427,cg13443911,cg13494428,cg13551754,cg13672514,cg13740709,cg13987674,cg14069287,cg14076390,cg14085840,cg14383815,cg14571710,cg14979593,cg15056348,cg15478483,cg15726169,cg15730857,cg15763258,cg15826479,cg15869022,cg16295156,cg16541026,cg16725944,cg17228560,cg17330252,cg17508639,cg17607231,cg17611742,cg17648076,cg17695841,cg17952719,cg18018313,cg18115658,cg18219160,cg18346576,cg18725681,cg18828619,cg18915128,cg19137417,cg19216211,cg19233663,cg19251242,cg19258882,cg19266329,cg19494100,cg19578183,cg19719475,cg20010135,cg20296990,cg20438663,cg20663495,cg20686828,cg20801110,cg20822990,cg20910008,cg20925954,cg21120249,cg21227253,cg21393124,cg21517792,cg21829328,cg21922810,cg21927426,cg22079043,cg22158648,cg22161562,cg22377963,cg22454686,cg22455720,cg22825202,cg22962923,cg23242489,cg23384027,cg23896514,cg24146125,cg24403338,cg24736412,cg24848615,cg25057584,cg25109663,cg25268718,cg25909064,cg25966016,cg25994988,cg26002437,cg26204079,cg26403608,cg26551026,cg26580095,cg26681847	NA	1.00e+00
1.091	1.42e-01	Z-138_Mantle_cell_lymphoma	Cell Line	DHS	BP_Z-138_d01.DNase.hotspot_v3.20130819.bed.gz	cg00124095,cg00236576,cg00288957,cg00374747,cg00549412,cg00630991,cg00808969,cg00881300,cg01185080,cg01201215,cg01264729,cg01344797,cg01395351,cg01397521,cg01447748,cg01620611,cg01744331,cg01753375,cg01792532,cg01801603,cg01885635,cg02085953,cg02127172,cg02301528,cg02453726,cg02540736,cg02724490,cg02801114,cg02870946,cg02903680,cg02960948,cg03010887,cg03143849,cg03184011,cg03224418,cg03484180,cg03561416,cg03577250,cg03602233,cg03640258,cg03785076,cg04208928,cg04608933,cg04688330,cg04724477,cg04834097,cg04890480,cg04942251,cg05000772,cg05131526,cg05147578,cg05373251,cg05632420,cg05669853,cg05713486,cg05875982,cg06084210,cg06170683,cg06362985,cg06376426,cg06669752,cg06700877,cg06708720,cg06808571,cg06855485,cg06996423,cg07057831,cg07124642,cg07131742,cg07233933,cg07342322,cg07631435,cg08021945,cg08060857,cg08234504,cg08270630,cg08507952,cg08926287,cg09063663,cg09276451,cg09317239,cg09325164,cg09391066,cg09411874,cg09565226,cg10512089,cg10512203,cg10513302,cg10529555,cg10603592,cg10922280,cg11205173,cg11300777,cg11419186,cg11466832,cg11826961,cg11915444,cg12258344,cg12371924,cg12406027,cg12408494,cg13054640,cg13095737,cg13203811,cg13269555,cg13370427,cg13494428,cg13551754,cg13978175,cg13987674,cg14099685,cg14383815,cg14468090,cg14571710,cg14699734,cg14789645,cg14794655,cg14979593,cg15037004,cg15038286,cg15056348,cg15059065,cg15329642,cg15728320,cg15730857,cg15826479,cg16014085,cg16047471,cg16295156,cg16355231,cg16572910,cg16624521,cg16723994,cg16725944,cg16746355,cg17330252,cg17508639,cg17607231,cg17611742,cg17648076,cg17695841,cg18096388,cg18115658,cg18219160,cg18280057,cg18389639,cg18725681,cg18915128,cg19137417,cg19251242,cg19266329,cg19351603,cg19494100,cg19578183,cg19719475,cg19903805,cg20372666,cg20438663,cg20638525,cg20782724,cg20822990,cg20910008,cg20951444,cg21160357,cg21166916,cg21393124,cg21922810,cg22032961,cg22075924,cg22158648,cg22161562,cg22377963,cg22454686,cg22455720,cg22825202,cg22928599,cg22950598,cg22962923,cg23233742,cg23242489,cg23384027,cg23581183,cg23896514,cg24110540,cg24146125,cg24403338,cg24590353,cg24736412,cg25057584,cg25109663,cg25268718,cg25344672,cg25966016,cg25994988,cg26188726,cg26204079,cg26403608,cg26551026,cg26580095,cg26864395,cg27565899	NA	1.00e+00
-7.249	1.00e+00	CD14_positive_CD16_negative_classical_monocyte	Cord Blood	DHS	C005PS4E.DNase.hotspot_v3.20130819.bed.gz	cg01801603,cg01885635,cg02085953,cg03403093,cg03890167,cg04608933,cg05611648,cg06170683,cg06669752,cg06974428,cg06996423,cg07124642,cg07131742,cg07652237,cg09565226,cg10512203,cg11419186,cg11466832,cg12258344,cg13494428,cg13847322,cg17344906,cg17607231,cg17611742,cg17952719,cg18914962,cg19251242,cg19258882,cg19494100,cg21231302,cg22825202,cg24146125,cg24694246,cg25344672,cg26403608,cg26864395	NA	1.00e+00
-3.786	1.00e+00	CD34-negative_CD41-positive_CD42-positive_megakaryocyte_cell	Cord Blood	DHS	C006NS47.DNase.hotspot_v3.20130819.bed.gz	cg00263619,cg00395063,cg01264729,cg01447748,cg01620611,cg01885635,cg02085953,cg02379533,cg02453726,cg02870946,cg02923856,cg03359540,cg03785076,cg03890167,cg04208928,cg05708512,cg06170683,cg06708720,cg07082267,cg07131742,cg07178877,cg07233933,cg07471614,cg07631435,cg07652237,cg07810884,cg09565226,cg10001186,cg10020890,cg10301695,cg10512089,cg10777461,cg12403162,cg13054640,cg13545717,cg14468090,cg14699112,cg15338967,cg15697019,cg16572910,cg16725944,cg17041511,cg17423650,cg19216211,cg19233663,cg19258882,cg19266329,cg19689330,cg20382047,cg20801110,cg20925954,cg21160357,cg21422605,cg21552014,cg21606956,cg21927426,cg22825202,cg23384027,cg23581183,cg24146125,cg24403338,cg24586978,cg25057584,cg25841008,cg25930644,cg25966016,cg25994988,cg26090940,cg26204079,cg26335760,cg26403608,cg27034466,cg27178677	NA	1.00e+00
-4.664	1.00e+00	CD14-positive_CD16-negative_classical_monocyte	Venous Blood	DHS	C001UY46.DNase.hotspot_v3.20130415.bed.gz	cg00236576,cg00291478,cg00605777,cg01185080,cg01201215,cg01264729,cg01447748,cg01801603,cg01885635,cg02085953,cg02540736,cg02870946,cg03172991,cg03224418,cg03403093,cg03484180,cg03613618,cg03729092,cg03857453,cg03890167,cg04081402,cg04359840,cg04608933,cg04890480,cg05485853,cg05875982,cg06170683,cg06685111,cg06700877,cg06708720,cg06974428,cg06996423,cg07124642,cg07131742,cg07233933,cg07652237,cg08005460,cg08311343,cg08643824,cg09027133,cg09276451,cg09325164,cg09391066,cg09565226,cg10064322,cg10512203,cg10513302,cg12252865,cg12258344,cg12408494,cg13203811,cg13269555,cg13847322,cg14069287,cg14099685,cg14321284,cg14526039,cg14545975,cg14571710,cg14979593,cg15726169,cg15826479,cg15892280,cg16572910,cg16659510,cg17508639,cg17607231,cg17611742,cg18064256,cg18560092,cg18828619,cg18914962,cg19258882,cg19266329,cg19494100,cg19852660,cg20012601,cg20267005,cg20296990,cg20495365,cg20910008,cg20925954,cg21160357,cg21166916,cg21927426,cg22032961,cg22161562,cg22377963,cg22455720,cg22825202,cg23384027,cg23581183,cg23933044,cg24110540,cg24146125,cg24403338,cg24674703,cg24848615,cg25057584,cg25109663,cg25305703,cg25424279,cg25481160,cg25994988,cg26188726,cg26403608	NA	1.00e+00
-5.470	1.00e+00	CD14-positive_CD16-negative_classical_monocyte	Venous Blood	DHS	C0010K46.DNase.hotspot_v3.20130415.bed.gz	cg00605777,cg01201215,cg01447748,cg01801603,cg01885635,cg02085953,cg02311364,cg02870946,cg03359540,cg03484180,cg03613618,cg03772384,cg03857453,cg03890167,cg04608933,cg04834097,cg05454635,cg05632420,cg05713486,cg05969378,cg06170683,cg06700877,cg06708720,cg06996423,cg07124642,cg07131742,cg07233933,cg07652237,cg08311343,cg08643824,cg08973950,cg09027133,cg10512089,cg10512203,cg10513302,cg10922280,cg12258344,cg13054640,cg13499923,cg13978175,cg13987674,cg14069287,cg14076390,cg14099685,cg14545975,cg14979593,cg15037004,cg15826479,cg16355231,cg16572910,cg16659510,cg17004733,cg17607231,cg17611742,cg17695841,cg18219160,cg18914962,cg19251242,cg19258882,cg19266329,cg19494100,cg19578183,cg19852660,cg20131596,cg20267005,cg20276630,cg20910008,cg21160357,cg21927426,cg22079043,cg22377963,cg22825202,cg23384027,cg23718736,cg24146125,cg24403338,cg24650940,cg25057584,cg25109663,cg25424279,cg25481160,cg25966016,cg25994988,cg26161024,cg26188726,cg26403608,cg26864395,cg27034466	NA	1.00e+00
