Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
-4.405	1.00e+00	E029 Primary monocytes from peripheral blood	Blood	DHS	E029-DNase.hotspot.fdr0.01.broad.bed.gz	cg00002464,cg00311883,cg00337803,cg00731352,cg01049678,cg01164631,cg01229567,cg01658265,cg02322879,cg02565308,cg03238090,cg03327771,cg03705621,cg03746834,cg03772020,cg03906451,cg04038844,cg04360546,cg04476741,cg05237480,cg05251000,cg05276360,cg05600342,cg06665075,cg06795316,cg06817342,cg07048193,cg07175536,cg07807757,cg08033142,cg08049391,cg08372168,cg08407620,cg09414137,cg09750469,cg10042327,cg10119383,cg10276968,cg11579146,cg11708721,cg11867253,cg12304937,cg12674357,cg12689200,cg13372879,cg13471491,cg13852407,cg14465405,cg14740130,cg15054077,cg15107641,cg15158515,cg15343023,cg15352640,cg15684727,cg16190265,cg16490124,cg17127769,cg17754782,cg17867295,cg18458353,cg18721397,cg18821281,cg19008097,cg19123882,cg19145082,cg19272984,cg19698668,cg19991046,cg20294320,cg20513206,cg21074468,cg21839211,cg22035278,cg22224625,cg22347523,cg22437405,cg22540135,cg22693863,cg22799702,cg22990967,cg23768117,cg24048022,cg24677744,cg25962682,cg26072390,cg26631454,cg26669717,cg26856451,cg27173717,cg27317813,cg27405010,cg27492102,cg27593172	E029	1.00e+00
-3.540	1.00e+00	E032 Primary B cells from peripheral blood	Blood	DHS	E032-DNase.hotspot.fdr0.01.broad.bed.gz	cg00009167,cg00016841,cg00052932,cg00311883,cg00337803,cg00412337,cg00697658,cg00981170,cg01157951,cg01164631,cg01229567,cg01331198,cg01496369,cg01658265,cg02135853,cg02170525,cg02187468,cg02565308,cg02645340,cg03238090,cg03290016,cg03614649,cg03705621,cg03746834,cg03772020,cg03808714,cg03906451,cg03930097,cg03948870,cg04038844,cg04283938,cg04438880,cg04476741,cg04518808,cg05237480,cg05276360,cg05354481,cg05600342,cg06214925,cg06414816,cg06441150,cg06586376,cg06644310,cg06795316,cg06817342,cg07183242,cg07323676,cg07471157,cg07607639,cg08170023,cg08340277,cg08372168,cg08407620,cg08811750,cg08935301,cg09018746,cg09044785,cg09121695,cg09312590,cg09315614,cg09414137,cg09492210,cg09865593,cg09876992,cg10042327,cg10046388,cg10315978,cg11433727,cg11579146,cg11906947,cg12165546,cg12426470,cg12674357,cg12689200,cg13037201,cg13471491,cg13987606,cg14039228,cg14360014,cg14607533,cg14714087,cg14740130,cg14794655,cg15054077,cg15158515,cg15295766,cg15343023,cg15352640,cg15523958,cg15634083,cg15667296,cg15684727,cg16079309,cg16226020,cg16260298,cg16370642,cg16425342,cg16468389,cg16490124,cg16507663,cg16558432,cg16606195,cg17127769,cg17867295,cg18279051,cg18458353,cg18494190,cg18721397,cg18821281,cg18986389,cg19123882,cg19166302,cg19272984,cg19614911,cg19698668,cg19991046,cg20294320,cg20513206,cg20653955,cg21461100,cg21574423,cg21839211,cg22035278,cg22191765,cg22216242,cg22224625,cg22498676,cg22540135,cg22833027,cg22947094,cg22990967,cg25146577,cg26072390,cg26157333,cg26432918,cg26621192,cg26751094,cg26759037,cg26856451,cg27173717,cg27405010,cg27478294,cg27492102	E032	1.00e+00
-3.824	1.00e+00	E033 Primary T cells from cord blood	Blood	DHS	E033-DNase.hotspot.fdr0.01.broad.bed.gz	cg00009167,cg00016841,cg00052932,cg00311883,cg00337803,cg00412337,cg00981170,cg01049678,cg01157951,cg01164631,cg01229567,cg01331198,cg01496369,cg01658265,cg02135853,cg02170525,cg02479979,cg02565308,cg03238090,cg03476007,cg03705621,cg03746834,cg03772020,cg03930097,cg03948870,cg04179415,cg04283938,cg04438880,cg04476741,cg04518808,cg05237480,cg05276360,cg05600342,cg06214925,cg06414816,cg06441150,cg06586376,cg06795316,cg06817342,cg07116947,cg07471157,cg08340277,cg08372168,cg08670288,cg08692046,cg08811750,cg09018746,cg09044785,cg09315614,cg09414137,cg09492210,cg09655309,cg09750469,cg09876992,cg10042327,cg11097954,cg11108023,cg11433727,cg11708721,cg12426470,cg12689200,cg12850473,cg12929678,cg12953420,cg13037201,cg13471491,cg14039228,cg14103335,cg14360014,cg14714087,cg14740130,cg14794655,cg15054077,cg15158515,cg15295766,cg15343023,cg15634083,cg15667296,cg15684727,cg16079309,cg16226020,cg16490124,cg16507663,cg17110052,cg17867295,cg18458353,cg18721397,cg18821281,cg18986389,cg19123882,cg19272984,cg19698668,cg19991046,cg20294320,cg20513206,cg21306573,cg21839211,cg22035278,cg22191765,cg22224625,cg22540135,cg22693863,cg22833027,cg22990967,cg24677744,cg24893551,cg25818609,cg26072390,cg26157333,cg26669717,cg26751094,cg26759037,cg26856451,cg27173717,cg27405010,cg27492102	E033	1.00e+00
-2.959	9.99e-01	E034 Primary T cells from peripheral blood	Blood	DHS	E034-DNase.hotspot.fdr0.01.broad.bed.gz	cg00009167,cg00016841,cg00052932,cg00311883,cg00337803,cg00412337,cg00981170,cg01038738,cg01049678,cg01157951,cg01229567,cg01658265,cg02135853,cg02170525,cg02324006,cg02467086,cg02565308,cg02799643,cg03258523,cg03476007,cg03614649,cg03705621,cg03772020,cg03906451,cg03948870,cg04179415,cg04476741,cg04518808,cg05237480,cg05251000,cg05276360,cg05600342,cg05707985,cg06214925,cg06414816,cg06441150,cg06586376,cg06644310,cg06795316,cg06817342,cg07116947,cg07323676,cg07447907,cg07471157,cg08154035,cg08170023,cg08340277,cg08346627,cg08372168,cg08670288,cg08811750,cg08935301,cg09018746,cg09312590,cg09315614,cg09380149,cg09414137,cg09492210,cg09750469,cg09876992,cg10042327,cg10046388,cg10620012,cg11097954,cg11108023,cg11433727,cg11579146,cg11603759,cg11708721,cg11906947,cg12426470,cg12689200,cg12850473,cg12929678,cg12941249,cg12953420,cg13037201,cg13372879,cg13471491,cg13987606,cg14039228,cg14360014,cg14373068,cg14607533,cg14714087,cg14740130,cg14794655,cg14900902,cg15054077,cg15063771,cg15158515,cg15295766,cg15343023,cg15352640,cg15634083,cg15667296,cg15684727,cg15782468,cg16079309,cg16490124,cg16507663,cg16558432,cg16606195,cg17110052,cg17734243,cg17867295,cg18458353,cg18721397,cg18821281,cg18986389,cg19008097,cg19123882,cg19166302,cg19272984,cg19698668,cg19991046,cg20294320,cg20513206,cg20750319,cg21072617,cg21306573,cg21839211,cg22035278,cg22224625,cg22540135,cg22693863,cg22833027,cg22990967,cg24677744,cg25500027,cg25924746,cg25962682,cg26072390,cg26432918,cg26669717,cg26751094,cg26759037,cg26856451,cg27022201,cg27173717,cg27405010,cg27478294,cg27492102	E034	1.00e+00
-3.756	1.00e+00	E046 Primary Natural Killer cells from peripheral 	Blood	DHS	E046-DNase.hotspot.fdr0.01.broad.bed.gz	cg00002464,cg00009167,cg00016841,cg00052932,cg00311883,cg00337803,cg00697658,cg00731352,cg00949861,cg01049678,cg01157951,cg01164631,cg01229567,cg01496369,cg01658265,cg02135853,cg02170525,cg02322879,cg02565308,cg03238090,cg03476007,cg03705621,cg03772020,cg03906451,cg04179415,cg04476741,cg04518808,cg05134567,cg05237480,cg05251000,cg05276360,cg05571369,cg05600342,cg05707985,cg06214925,cg06414816,cg06586376,cg06795316,cg07323676,cg07471157,cg08049391,cg08154035,cg08170023,cg08346627,cg08372168,cg08407620,cg08935301,cg09018746,cg09380149,cg09414137,cg09492210,cg10042327,cg10276968,cg11433727,cg11708721,cg11867253,cg12426470,cg12674357,cg12689200,cg12929678,cg13471491,cg14039228,cg14360014,cg14373068,cg14714087,cg14740130,cg14794655,cg14900902,cg15054077,cg15158515,cg15343023,cg15352640,cg15634083,cg15667296,cg15684727,cg16079309,cg16190265,cg16226020,cg16490124,cg17127769,cg17734243,cg17867295,cg18458353,cg18821281,cg18986389,cg19008097,cg19123882,cg19145082,cg19166302,cg19272984,cg19698668,cg19704683,cg19991046,cg20294320,cg21072617,cg21074468,cg21306573,cg21461100,cg21839211,cg22035278,cg22191765,cg22224625,cg22540135,cg22693863,cg22990967,cg23768117,cg24677744,cg25962682,cg26072390,cg26432918,cg26751094,cg26759037,cg26856451,cg27173717,cg27317813,cg27478294,cg27492102	E046	1.00e+00
-4.727	1.00e+00	E050 Primary hematopoietic stem cells G-CSF-mobili	Blood	DHS	E050-DNase.hotspot.fdr0.01.broad.bed.gz	cg00002464,cg00009167,cg00016841,cg00052932,cg00198603,cg00311883,cg00337803,cg00731352,cg01049678,cg01164631,cg01229567,cg01496369,cg01658265,cg02170525,cg02187468,cg02565308,cg02573176,cg02645340,cg03238090,cg03476007,cg03705621,cg03772020,cg03778155,cg03948870,cg04038844,cg04087742,cg04283938,cg04317756,cg04476741,cg05134567,cg05237480,cg05251000,cg05276360,cg05573767,cg05600342,cg05707985,cg06214925,cg06414816,cg06644310,cg06795316,cg06817342,cg07471157,cg07807757,cg08049391,cg08170023,cg08372168,cg08407620,cg08670288,cg08753647,cg08786399,cg08858649,cg08889009,cg09018746,cg09044785,cg09414137,cg09492210,cg09750469,cg10011479,cg10042327,cg10046388,cg10237252,cg10276968,cg11211942,cg11579146,cg11603759,cg11708721,cg12203247,cg12304937,cg12426470,cg12674357,cg13372879,cg13471491,cg13806036,cg14261676,cg14360014,cg14639704,cg14740130,cg15054077,cg15107641,cg15158515,cg15295766,cg15343023,cg15352640,cg15782468,cg15885274,cg16079309,cg16190265,cg16260298,cg16301890,cg16490124,cg16507663,cg16558432,cg16953297,cg17734243,cg18458353,cg18821281,cg19008097,cg19123882,cg19166302,cg19272984,cg19412900,cg19461772,cg19673462,cg19698668,cg19991046,cg20294320,cg21074468,cg21191365,cg21461100,cg21839211,cg22191765,cg22347523,cg22498676,cg22540135,cg22693863,cg22990967,cg23270818,cg23768117,cg24048022,cg24677744,cg25268605,cg25500027,cg25962682,cg26072390,cg26668430,cg26669717,cg26697605,cg26751094,cg26759037,cg26856451,cg27253670,cg27317813,cg27405010,cg27492102	E050	1.00e+00
-5.850	1.00e+00	E051 Primary hematopoietic stem cells G-CSF-mobili	Blood	DHS	E051-DNase.hotspot.fdr0.01.broad.bed.gz	cg00002464,cg00009167,cg00016841,cg00052932,cg00311883,cg00337803,cg00731352,cg01164631,cg01229567,cg01658265,cg02170525,cg02187468,cg02479979,cg02565308,cg02573176,cg02739500,cg02799643,cg03238090,cg03476007,cg03772020,cg03948870,cg04038844,cg04476741,cg05237480,cg05276360,cg05573767,cg05600342,cg06214925,cg06414816,cg06795316,cg06817342,cg07807757,cg08049391,cg08372168,cg08407620,cg08786399,cg08889009,cg09018746,cg09044785,cg09414137,cg09492210,cg09655309,cg09795520,cg10042327,cg10046388,cg11603759,cg11708721,cg12689200,cg13372879,cg13471491,cg13806036,cg14039228,cg14103335,cg14639704,cg14740130,cg14794655,cg15054077,cg15158515,cg15295766,cg15343023,cg15634083,cg15782468,cg15885274,cg16079309,cg16190265,cg16260298,cg16490124,cg16788322,cg18821281,cg19008097,cg19123882,cg19166302,cg19272984,cg19461772,cg19673462,cg19698668,cg20294320,cg21074468,cg21445383,cg21461100,cg21839211,cg22191765,cg22498676,cg22540135,cg22693863,cg22990967,cg23270818,cg23316253,cg24677744,cg24893551,cg25268605,cg25500027,cg25962682,cg26072390,cg26697605,cg26751094,cg26759037,cg26856451,cg27253670,cg27317813,cg27405010	E051	1.00e+00
-3.829	1.00e+00	E028 Breast variant Human Mammary Epithelial Cells	Breast	DHS	E028-DNase.hotspot.fdr0.01.broad.bed.gz	cg00002464,cg00009167,cg00016841,cg00052932,cg00174508,cg00198603,cg00337803,cg00455003,cg01229567,cg01274421,cg01424107,cg01496369,cg01658265,cg01899029,cg01909850,cg02135853,cg02322879,cg02440268,cg02494904,cg02799643,cg03137091,cg03258523,cg03327771,cg03476007,cg03548761,cg03642549,cg03808714,cg04005227,cg04010923,cg04234566,cg04317756,cg04476741,cg04574286,cg04797359,cg05237480,cg05276360,cg05471630,cg05569176,cg05573767,cg05678157,cg05821089,cg06196597,cg06613263,cg07016184,cg07175536,cg07312624,cg07375254,cg07607639,cg07807757,cg07896068,cg07904751,cg08033142,cg08154035,cg08288107,cg08372168,cg08407620,cg08692046,cg08935301,cg09414137,cg09492210,cg09750469,cg09773990,cg10011479,cg10119383,cg10276968,cg10620012,cg10678427,cg11211942,cg11433727,cg11579146,cg11734508,cg11867253,cg12304937,cg12604031,cg12674357,cg12689200,cg12833018,cg12969488,cg13037201,cg13471491,cg13852407,cg14279641,cg14383586,cg14607533,cg14794655,cg14882265,cg14986219,cg15054077,cg15107641,cg15158515,cg15352640,cg15523958,cg15667296,cg15684727,cg15782468,cg16011593,cg16052121,cg16097191,cg16225100,cg16256876,cg16260298,cg16490124,cg16507663,cg16788322,cg17110052,cg17243564,cg17325097,cg17372183,cg18190829,cg18455364,cg18821281,cg19008097,cg19123882,cg19145082,cg19486604,cg19698668,cg20294320,cg20619170,cg21051972,cg21461100,cg21826978,cg22162396,cg22224625,cg22259545,cg22437405,cg22540135,cg22799702,cg22864308,cg22980277,cg23486853,cg24677744,cg24690634,cg24710671,cg25421053,cg25595005,cg25672327,cg25962682,cg26287248,cg26631454,cg26751094,cg27173717,cg27253670,cg27593172	E028	1.00e+00
-2.393	9.96e-01	E003 H1 Cells	ES Cell	DHS	E003-DNase.hotspot.fdr0.01.broad.bed.gz	cg00002464,cg00009167,cg00016841,cg00052932,cg00198603,cg00268840,cg00282953,cg00337803,cg00412337,cg00455003,cg00474090,cg00711959,cg00981170,cg01015769,cg01038738,cg01229567,cg01397050,cg01424107,cg01658265,cg01776556,cg01909850,cg01916237,cg01929699,cg02135853,cg02170525,cg02187468,cg02479979,cg02565308,cg02628470,cg02799643,cg02804510,cg03215422,cg03258523,cg03633089,cg03642549,cg03778155,cg03878435,cg03906451,cg03948870,cg04005227,cg04038844,cg04067910,cg04087742,cg04422777,cg04476741,cg04518808,cg04892182,cg05251000,cg05263760,cg05276360,cg05354481,cg05571369,cg05573767,cg05600342,cg05800336,cg05904916,cg06160809,cg06214925,cg06266189,cg06414816,cg06505343,cg06586376,cg06595607,cg06817342,cg06853455,cg06964608,cg07016184,cg07323676,cg07433360,cg07447907,cg07537738,cg07904751,cg08170023,cg08324612,cg08346627,cg08372168,cg08670288,cg08811750,cg08858649,cg08889009,cg08935301,cg09044785,cg09121695,cg09249755,cg09414137,cg09655309,cg09797340,cg09979924,cg10055501,cg10117207,cg10237252,cg10287786,cg10315978,cg10620012,cg10678427,cg11433727,cg11534680,cg11603759,cg11783602,cg11848424,cg12165546,cg12264626,cg12570712,cg12654412,cg12674357,cg12947210,cg13017846,cg13270083,cg13372879,cg13471491,cg13806036,cg13983113,cg14039228,cg14103335,cg14286612,cg14360014,cg14383586,cg14669842,cg14673706,cg14740130,cg14794655,cg14900902,cg15054077,cg15107641,cg15158515,cg15295766,cg15523958,cg15634083,cg15684727,cg16043370,cg16052121,cg16097191,cg16152813,cg16225100,cg16260298,cg16301890,cg16321568,cg16370642,cg16490124,cg16507663,cg16578496,cg16606195,cg17110052,cg17867295,cg18220863,cg18415510,cg18458353,cg18821281,cg19166302,cg19673462,cg19684795,cg19698668,cg19774236,cg19965810,cg20030294,cg20294320,cg20653955,cg20959866,cg21051972,cg21191365,cg21445383,cg21461100,cg21717416,cg22224625,cg22498676,cg22660026,cg22693863,cg22833027,cg22980277,cg23286623,cg23316253,cg23591463,cg24002158,cg24677744,cg24876069,cg24893551,cg25146577,cg25268605,cg25500027,cg25595005,cg25962682,cg26151467,cg26228577,cg26432918,cg26530061,cg26751094,cg26759037,cg26856451,cg27173717,cg27175123,cg27253670,cg27405010	E003	1.00e+00
-3.857	1.00e+00	E004 H1 BMP4 Derived Mesendoderm Cultured Cells	ES Cell	DHS	E004-DNase.hotspot.fdr0.01.broad.bed.gz	cg00002464,cg00052932,cg00198603,cg00268840,cg00337803,cg00412337,cg00438952,cg00474090,cg00711959,cg00828762,cg00959922,cg01377140,cg01397050,cg01424107,cg01658265,cg01909850,cg02170525,cg02187468,cg02304095,cg02479979,cg02565308,cg02605708,cg02645340,cg02799643,cg02804510,cg02840964,cg03258523,cg03351431,cg03476007,cg03633089,cg03773631,cg03778155,cg03906451,cg04038844,cg04087742,cg04360546,cg04476741,cg04518808,cg04574286,cg04892182,cg05237480,cg05251000,cg05276360,cg05354481,cg05555502,cg05571369,cg05573767,cg05600342,cg05800336,cg05904916,cg06214925,cg06280307,cg06853455,cg06964608,cg07016184,cg07323676,cg07375254,cg07428323,cg07433360,cg07447907,cg07807757,cg07904751,cg08170023,cg08372168,cg08386546,cg08407620,cg08670288,cg08803553,cg08889009,cg08935301,cg09089616,cg09134948,cg09414137,cg09773990,cg09797340,cg09979924,cg10055501,cg10237252,cg10315978,cg10620012,cg10678427,cg10937973,cg11433727,cg11534680,cg11579146,cg11783602,cg11848424,cg11906947,cg12038694,cg12124786,cg12264626,cg12654412,cg12674357,cg12687000,cg12689200,cg13017846,cg13372879,cg13405222,cg13471491,cg13806036,cg14039228,cg14317467,cg14360014,cg14673706,cg14740130,cg14794655,cg15054077,cg15079982,cg15107641,cg15158515,cg15523958,cg15634083,cg15675653,cg15684727,cg15782468,cg16032050,cg16043370,cg16152813,cg16260298,cg16276053,cg16301890,cg16370642,cg16490124,cg16507663,cg16558432,cg16578496,cg16606195,cg17110052,cg17867295,cg18220863,cg18279051,cg18395781,cg18458353,cg18721397,cg18821281,cg18986389,cg19123882,cg19145082,cg19166302,cg19272984,cg19486604,cg19673462,cg19684795,cg19698668,cg19876672,cg19965810,cg19991046,cg20030294,cg20294320,cg20959866,cg21191365,cg21445383,cg21461100,cg21839211,cg22437405,cg22498676,cg22540135,cg22660026,cg23180636,cg23286623,cg23591463,cg24002158,cg24135372,cg24677744,cg24690634,cg24876069,cg25146577,cg25500027,cg25595005,cg25962682,cg26228577,cg26476228,cg26751094,cg26759037,cg26856451,cg27173717,cg27175123,cg27253670	E004	1.00e+00
