Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
6.375	3.98e-09	E029 Primary monocytes from peripheral blood	Blood	DHS	E029-DNase.hotspot.fdr0.01.broad.bed.gz	cg00159243,cg00252813,cg00417304,cg00548098,cg01015663,cg01127300,cg01281718,cg01437204,cg01538305,cg01649611,cg02212836,cg03224418,cg03725309,cg03929796,cg03935116,cg04424621,cg04608933,cg04772644,cg04973995,cg05209483,cg05492306,cg05673882,cg06285727,cg06298346,cg06762457,cg06946797,cg06970472,cg07057831,cg07328519,cg07336872,cg07461772,cg07573985,cg07626482,cg07643930,cg07711192,cg07884764,cg07960624,cg08138505,cg08822075,cg08893087,cg09578353,cg10064322,cg10421247,cg10589813,cg12138695,cg12269535,cg12303084,cg12394289,cg12596182,cg13518625,cg14237301,cg15415259,cg16903811,cg17803993,cg17840178,cg17971578,cg18468088,cg18651578,cg19004565,cg19266329,cg19589396,cg19631472,cg19940644,cg21393163,cg21990700,cg22042546,cg22579075,cg22881435,cg23683800,cg24859433,cg25362050,cg25953130,cg26352795,cg26804423,cg26841068,cg26905258,cg27115863	E029	2.87e-08
6.657	1.30e-09	E032 Primary B cells from peripheral blood	Blood	DHS	E032-DNase.hotspot.fdr0.01.broad.bed.gz	cg00008629,cg00130530,cg00159243,cg00285394,cg00310412,cg00417304,cg00594191,cg01340312,cg01538305,cg02003183,cg02212836,cg02470690,cg02711608,cg03149958,cg03224418,cg03240059,cg03725309,cg03929796,cg03935116,cg04080291,cg04424621,cg04608933,cg04772644,cg04973995,cg05007163,cg05209483,cg05237436,cg05492306,cg05673882,cg06285727,cg06298346,cg06762457,cg06826457,cg06946797,cg06970472,cg07057831,cg07328519,cg07336872,cg07461772,cg07573985,cg07626482,cg07643930,cg07711192,cg07884764,cg07922154,cg08099136,cg08138505,cg08822075,cg08893087,cg09046979,cg09125127,cg09182189,cg09395195,cg09452027,cg09578353,cg10064322,cg10421247,cg10508317,cg10917602,cg12170787,cg12269535,cg12303084,cg12394289,cg13823169,cg14237301,cg14977069,cg15212369,cg15415259,cg15789723,cg16037711,cg16903811,cg17333042,cg17803993,cg17840178,cg17848515,cg17971578,cg18103548,cg18302606,cg18468088,cg19004565,cg19266329,cg19631472,cg21140898,cg21393163,cg21429551,cg22407942,cg22708738,cg22881435,cg23372422,cg23437216,cg24296397,cg24694018,cg24707889,cg24807889,cg24916358,cg25165199,cg25292309,cg26276120,cg26470501,cg26841068,cg27425327	E032	9.79e-09
7.507	1.48e-11	E033 Primary T cells from cord blood	Blood	DHS	E033-DNase.hotspot.fdr0.01.broad.bed.gz	cg00008629,cg00130530,cg00159243,cg00252813,cg00417304,cg01127300,cg01340312,cg01437204,cg01538305,cg01649611,cg02003183,cg02212836,cg02470690,cg02583484,cg02716826,cg03038262,cg03224418,cg03240059,cg03725309,cg03929796,cg03935116,cg04080291,cg04608933,cg04772644,cg04973995,cg05007163,cg05209483,cg05237436,cg05492306,cg05673882,cg06285727,cg06762457,cg06826457,cg06946797,cg06970472,cg07057831,cg07461772,cg07573985,cg07626482,cg07643930,cg07711192,cg07786657,cg07884764,cg08099136,cg08138505,cg08140114,cg08822075,cg08893087,cg09046979,cg09125127,cg09395195,cg09452027,cg09578353,cg10064322,cg10421247,cg10508317,cg10917602,cg12170787,cg12269535,cg12303084,cg12394289,cg13518625,cg14901243,cg14977069,cg15212369,cg15415259,cg16903811,cg17333042,cg17803993,cg17971578,cg18103548,cg18468088,cg19004565,cg19266329,cg19631472,cg19940644,cg21140898,cg21393163,cg21815220,cg21990700,cg22042546,cg22407942,cg22579075,cg22708738,cg22881435,cg23372422,cg23437216,cg23683800,cg24694018,cg24916358,cg25362050,cg25875537,cg25919221,cg25953130,cg26841068	E033	1.54e-10
10.471	1.28e-19	E034 Primary T cells from peripheral blood	Blood	DHS	E034-DNase.hotspot.fdr0.01.broad.bed.gz	cg00008629,cg00130530,cg00159243,cg00252813,cg00310412,cg00417304,cg00921350,cg01127300,cg01281718,cg01437204,cg01538305,cg01649611,cg02003183,cg02212836,cg02470690,cg02583484,cg02628680,cg02711608,cg02716826,cg02810967,cg03038262,cg03180426,cg03224418,cg03240059,cg03725309,cg03929796,cg03935116,cg04080291,cg04424621,cg04597545,cg04608933,cg04772644,cg04881228,cg04973995,cg05007163,cg05209483,cg05237436,cg05492306,cg05557932,cg05673882,cg06285727,cg06298346,cg06762457,cg06826457,cg06946797,cg06970472,cg07057831,cg07336872,cg07461772,cg07573985,cg07626482,cg07643930,cg07786657,cg07884764,cg07922154,cg08099136,cg08138505,cg08140114,cg08822075,cg08996521,cg09046979,cg09125127,cg09182189,cg09395195,cg09452027,cg09578353,cg10064322,cg10421247,cg10508317,cg10917602,cg12170787,cg12269535,cg12303084,cg12394289,cg13518625,cg13823169,cg14237301,cg14476101,cg14576319,cg14901243,cg14975410,cg14977069,cg15212369,cg15415259,cg15789723,cg16037711,cg16049283,cg16903811,cg17333042,cg17803993,cg17971578,cg18103548,cg18302606,cg18468088,cg19004565,cg19266329,cg19631472,cg21140898,cg21393163,cg21815220,cg21990700,cg22042546,cg22407942,cg22708738,cg22749855,cg23372422,cg23437216,cg23635560,cg24437104,cg24694018,cg24807889,cg24916358,cg25165199,cg25362050,cg25875537,cg25919221,cg25953130,cg26276120,cg26352795,cg26470501,cg26841068,cg27425327	E034	2.13e-17
8.207	2.00e-13	E046 Primary Natural Killer cells from peripheral 	Blood	DHS	E046-DNase.hotspot.fdr0.01.broad.bed.gz	cg00008629,cg00130530,cg00159243,cg00417304,cg01127300,cg01281718,cg01340312,cg01437204,cg01538305,cg01649611,cg02003183,cg02212836,cg02470690,cg02711608,cg02716826,cg03038262,cg03224418,cg03725309,cg03929796,cg03935116,cg04080291,cg04424621,cg04608933,cg04772644,cg04973995,cg05209483,cg05237436,cg05492306,cg05673882,cg06285727,cg06762457,cg06826457,cg06946797,cg06970472,cg07057831,cg07336872,cg07461772,cg07573985,cg07626482,cg07643930,cg07786657,cg07884764,cg07960624,cg08099136,cg08138505,cg08140114,cg08822075,cg08893087,cg08996521,cg09046979,cg09395195,cg09452027,cg09578353,cg10064322,cg10421247,cg11095027,cg11660018,cg12170787,cg12269535,cg12303084,cg12394289,cg13518625,cg13693517,cg13823169,cg14576319,cg14901243,cg14977069,cg15415259,cg15789723,cg16037711,cg16049283,cg16552271,cg16903811,cg17333042,cg17803993,cg17840178,cg17971578,cg18468088,cg19004565,cg19266329,cg19631472,cg21140898,cg21393163,cg21815220,cg21990700,cg22042546,cg22407942,cg22579075,cg22708738,cg22881435,cg23372422,cg23437216,cg23683800,cg24859433,cg24916358,cg25362050,cg25953130,cg26841068,cg26905258,cg27425327	E046	4.15e-12
8.844	1.49e-15	E050 Primary hematopoietic stem cells G-CSF-mobili	Blood	DHS	E050-DNase.hotspot.fdr0.01.broad.bed.gz	cg00008629,cg00116430,cg00159243,cg00252813,cg00277397,cg00417304,cg00548098,cg00594191,cg00921350,cg01015663,cg01127300,cg01437204,cg01538305,cg01649611,cg02003183,cg02470690,cg02583484,cg02711608,cg02716826,cg03562120,cg03636183,cg03725309,cg03929796,cg03935116,cg04096767,cg04424621,cg04608933,cg04610187,cg04772644,cg04973995,cg05209483,cg05492306,cg05557932,cg05575921,cg05673882,cg06285727,cg06762457,cg06826457,cg06946797,cg06970472,cg07057831,cg07328519,cg07336872,cg07461772,cg07573985,cg07626482,cg07643930,cg07884764,cg07960624,cg08138505,cg08822075,cg08893087,cg09046979,cg09125127,cg09452027,cg09578353,cg10064322,cg10421247,cg10917602,cg11660018,cg12138695,cg12269535,cg12303084,cg12394289,cg12596182,cg13518625,cg13693517,cg14476101,cg14901243,cg14975410,cg14977069,cg15415259,cg16037711,cg16552271,cg16903811,cg17333042,cg17803993,cg17971578,cg18103548,cg18394552,cg18468088,cg19004565,cg19266329,cg19589396,cg19631472,cg19653417,cg19940644,cg20357806,cg21393163,cg21429551,cg21990700,cg22042546,cg22407942,cg22579075,cg22708738,cg22881435,cg23372422,cg23437216,cg23635560,cg23683800,cg24296397,cg24698211,cg24859433,cg24916358,cg25292309,cg25362050,cg25953130,cg26352795,cg26841068,cg26905258,cg27115863,cg27178677,cg27241845,cg27425327	E050	8.26e-14
6.778	8.13e-10	E051 Primary hematopoietic stem cells G-CSF-mobili	Blood	DHS	E051-DNase.hotspot.fdr0.01.broad.bed.gz	cg00008629,cg00130530,cg00159243,cg00252813,cg00277397,cg00417304,cg00594191,cg00921350,cg01127300,cg01538305,cg01649611,cg02003183,cg02470690,cg02711608,cg02716826,cg03224418,cg03562120,cg03636183,cg03929796,cg03935116,cg04608933,cg04610187,cg04772644,cg04973995,cg05209483,cg05237436,cg05492306,cg05557932,cg05575921,cg05673882,cg06285727,cg06762457,cg06826457,cg06946797,cg06970472,cg07057831,cg07336872,cg07461772,cg07573985,cg07626482,cg07643930,cg07884764,cg07960624,cg08138505,cg08822075,cg08996521,cg09046979,cg09125127,cg09452027,cg09578353,cg10064322,cg10421247,cg10917602,cg11660018,cg12269535,cg12303084,cg12394289,cg12596182,cg13518625,cg14977069,cg15212369,cg16049283,cg16552271,cg16903811,cg17333042,cg17803993,cg17971578,cg18103548,cg18468088,cg19004565,cg19266329,cg19589396,cg19631472,cg19653417,cg20357806,cg22579075,cg22708738,cg22881435,cg23372422,cg23437216,cg23635560,cg23683800,cg24296397,cg24859433,cg24916358,cg25292309,cg25362050,cg26841068,cg26905258,cg27111756,cg27178677,cg27241845,cg27425327	E051	6.43e-09
7.699	1.10e-12	E028 Breast variant Human Mammary Epithelial Cells	Breast	DHS	E028-DNase.hotspot.fdr0.01.broad.bed.gz	cg00008629,cg00159243,cg00252813,cg00285394,cg00310412,cg00417304,cg00548098,cg01015663,cg01127300,cg01340312,cg01431184,cg01538305,cg01649611,cg02583484,cg02711608,cg03224418,cg03240059,cg03314569,cg03725309,cg03929796,cg03935116,cg04080291,cg04389058,cg04424621,cg04772644,cg04881228,cg04973995,cg05209483,cg05492306,cg05557932,cg05673882,cg06285727,cg06690548,cg06946797,cg06970472,cg07057831,cg07328519,cg07336872,cg07461772,cg07573985,cg07626482,cg07643930,cg07922154,cg07960624,cg08138505,cg08140114,cg08324925,cg08666707,cg08820801,cg08893087,cg09395195,cg09578353,cg10421247,cg10508317,cg10589813,cg10917602,cg12138695,cg12269535,cg12303084,cg12516875,cg12596182,cg13150925,cg13518625,cg13823169,cg14476101,cg14580211,cg15415259,cg16037711,cg16736826,cg16903811,cg17840178,cg17971578,cg18302606,cg18468088,cg18879828,cg19266329,cg19589396,cg19631472,cg19653417,cg19940644,cg21325715,cg21429551,cg21990700,cg22579075,cg22805381,cg23437216,cg23683800,cg24263283,cg24296397,cg24437104,cg24859433,cg24916358,cg25292309,cg25362050,cg25371036,cg25953130,cg26352795,cg26841068,cg27115863,cg27241845,cg27425327	E028	1.52e-11
4.715	6.16e-06	E003 H1 Cells	ES Cell	DHS	E003-DNase.hotspot.fdr0.01.broad.bed.gz	cg00116430,cg00130530,cg00252813,cg00277397,cg00310412,cg00417304,cg00451635,cg00548098,cg00921350,cg01127300,cg01340312,cg01538305,cg01940273,cg01971407,cg02025971,cg02402368,cg02470690,cg02711608,cg02716826,cg03240059,cg03725309,cg03929796,cg03935116,cg04080291,cg04096767,cg04424621,cg04608933,cg04610187,cg04772644,cg04973995,cg05209483,cg05492306,cg06285727,cg06826457,cg06946797,cg06970472,cg07057831,cg07328519,cg07336872,cg07461772,cg07573985,cg07589968,cg07626482,cg07643930,cg07922154,cg08099136,cg08138505,cg08666707,cg08820801,cg08822075,cg08996521,cg09046979,cg09182189,cg09191173,cg09452027,cg09578353,cg10064322,cg10421247,cg10917602,cg12126344,cg12269535,cg12303084,cg12394289,cg12559228,cg12596182,cg14476101,cg14576319,cg15212369,cg15415259,cg16037711,cg16049283,cg16201146,cg16903811,cg17333042,cg17971578,cg18103548,cg18302606,cg18468088,cg19004565,cg19266329,cg19631472,cg19940644,cg21099148,cg21140898,cg21325715,cg21990700,cg22708738,cg23372422,cg23437216,cg23534245,cg23635560,cg23683800,cg24694018,cg24698211,cg24916358,cg25292309,cg25875537,cg26841068,cg27111756,cg27178677,cg27241845,cg27425327	E003	3.10e-05
6.899	2.33e-11	E004 H1 BMP4 Derived Mesendoderm Cultured Cells	ES Cell	DHS	E004-DNase.hotspot.fdr0.01.broad.bed.gz	cg00008629,cg00116430,cg00130530,cg00159243,cg00252813,cg00277397,cg00310412,cg00548098,cg00921350,cg01015663,cg01127300,cg01340312,cg01649611,cg01971407,cg02025971,cg02402368,cg02470690,cg02711608,cg02716826,cg03314569,cg03725309,cg03929796,cg03935116,cg04080291,cg04096767,cg04424621,cg04608933,cg04610187,cg04772644,cg04881228,cg04973995,cg05209483,cg05237436,cg05492306,cg05673882,cg06285727,cg06298346,cg06690548,cg06762457,cg06826457,cg06946797,cg06970472,cg07057831,cg07328519,cg07336872,cg07461772,cg07573985,cg07589968,cg07626482,cg07643930,cg07922154,cg08138505,cg08666707,cg08820801,cg08822075,cg08893087,cg08996521,cg09046979,cg09182189,cg09191173,cg09452027,cg09578353,cg10064322,cg10421247,cg10589813,cg10917602,cg11660018,cg12269535,cg12303084,cg12596182,cg12616487,cg12765567,cg13518625,cg14476101,cg14480266,cg14576319,cg14975410,cg15212369,cg15415259,cg16037711,cg16708465,cg16736826,cg16903811,cg17333042,cg17840178,cg17971578,cg18103548,cg18302606,cg18468088,cg19004565,cg19266329,cg19631472,cg21099148,cg21140898,cg21325715,cg21429551,cg21990700,cg22042546,cg22407942,cg22708738,cg23372422,cg23437216,cg23450972,cg23534245,cg23635560,cg23683800,cg24263283,cg24437104,cg24694018,cg24698211,cg25165199,cg25292309,cg25371036,cg25875537,cg26841068,cg27111756,cg27115863,cg27178677,cg27241845	E004	2.27e-10
