Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
18.208	2.15e-71	E029 Primary monocytes from peripheral blood	Blood	H3K4me1	E029-H3K4me1.broadPeak.gz	cg00005461,cg00136106,cg00280111,cg00336912,cg00344572,cg00448525,cg00663686,cg00780501,cg00847453,cg00849335,cg00893849,cg00921350,cg01014987,cg01086527,cg01247459,cg01248878,cg01418188,cg01469583,cg01541570,cg01611175,cg01614759,cg01745810,cg01887834,cg01901579,cg01953813,cg02006119,cg02024241,cg02041484,cg02147126,cg02190078,cg02240622,cg02274033,cg02414559,cg02432022,cg02441833,cg02455383,cg02543556,cg02835421,cg02961280,cg03116466,cg03234093,cg03326609,cg03554335,cg03634089,cg03822873,cg03881379,cg04046364,cg04052546,cg04084348,cg04099543,cg04161328,cg04316096,cg04353863,cg04395593,cg04552418,cg04662947,cg04701118,cg04804748,cg04814136,cg04954249,cg04976987,cg04992150,cg05121010,cg05150185,cg05186879,cg05499338,cg05516004,cg05567377,cg05676915,cg05724080,cg05820066,cg05853552,cg05873271,cg05918326,cg05920921,cg06005163,cg06052655,cg06095753,cg06169291,cg06289919,cg06308882,cg06445384,cg06569561,cg06646410,cg06734380,cg06984345,cg07014573,cg07177867,cg07325407,cg07432111,cg07519863,cg07532960,cg07611887,cg07616376,cg07786412,cg07828833,cg07834490,cg07908654,cg07952576,cg07970948,cg08091497,cg08177041,cg08408668,cg08427005,cg08470588,cg08621659,cg08653021,cg08790890,cg08794018,cg08884974,cg09098714,cg09113950,cg09194810,cg09277749,cg09584899,cg09597192,cg09639771,cg09668022,cg09763039,cg09849688,cg09912228,cg10113951,cg10194884,cg10220104,cg10220988,cg10426838,cg10487714,cg10741887,cg11148876,cg11175241,cg11199798,cg11554295,cg11715991,cg11751434,cg11759930,cg11807649,cg11902347,cg11966720,cg12040931,cg12077754,cg12165656,cg12182708,cg12190341,cg12315900,cg12402318,cg12784307,cg12828656,cg12856590,cg12967579,cg12985905,cg12997777,cg13047724,cg13117318,cg13197551,cg13250178,cg13254847,cg13410614,cg13617202,cg13638867,cg13728275,cg13905385,cg14009632,cg14060758,cg14131038,cg14242936,cg14260530,cg14261336,cg14282386,cg14287557,cg14306688,cg14321269,cg14352263,cg14569513,cg14612966,cg14613901,cg14769121,cg14919455,cg14934396,cg14977769,cg14997111,cg15022400,cg15030712,cg15053869,cg15072057,cg15074047,cg15123849,cg15157945,cg15186355,cg15338098,cg15357334,cg15535138,cg15677434,cg15791719,cg15818306,cg15931859,cg16032884,cg16064932,cg16171189,cg16299559,cg16381477,cg16464329,cg16545105,cg16672147,cg16775629,cg16834953,cg16863862,cg16872030,cg16945415,cg16948651,cg17120616,cg17141163,cg17430986,cg17464069,cg17477733,cg17546493,cg17577640,cg17679548,cg17786894,cg17936236,cg17991030,cg17991808,cg17998403,cg18042586,cg18118893,cg18401534,cg18481322,cg18498503,cg18581916,cg18787963,cg18976159,cg19114543,cg19210893,cg19284277,cg19296671,cg19322743,cg19459094,cg19579160,cg19785826,cg19851810,cg19967449,cg19980260,cg20090759,cg20133890,cg20337696,cg20350272,cg20626587,cg20675152,cg20712856,cg20833901,cg20875821,cg20893838,cg20999663,cg21061310,cg21124310,cg21130221,cg21145387,cg21166775,cg21167563,cg21211039,cg21279677,cg21810778,cg21876760,cg21953058,cg22123711,cg22331200,cg22503106,cg22748479,cg22788906,cg22940815,cg22948672,cg23057699,cg23091723,cg23215701,cg23299484,cg23386939,cg23428738,cg23499392,cg23511239,cg23522962,cg23575688,cg23579490,cg23635560,cg23661721,cg23689722,cg23720822,cg23771052,cg24058805,cg24211388,cg24238409,cg24279017,cg24315421,cg24374476,cg24376793,cg24395217,cg24407546,cg24442367,cg24598141,cg24684972,cg24699150,cg24936095,cg25008015,cg25136646,cg25322146,cg25348163,cg25465557,cg25466522,cg25567227,cg25887955,cg25967384,cg26069291,cg26272008,cg26311703,cg26350671,cg26472183,cg26569937,cg26603047,cg26744554,cg26802802,cg26819611,cg26873486,cg26978762,cg26996616,cg27109461,cg27195131,cg27316598,cg27543741,cg27646484	E029	8.19e-69
2.357	1.82e-02	E029 Primary monocytes from peripheral blood	Blood	H3K4me3	E029-H3K4me3.broadPeak.gz	cg00448525,cg00663686,cg00795535,cg01248878,cg01887834,cg02024241,cg02240622,cg02543556,cg02835421,cg02844688,cg02961280,cg03554335,cg04395593,cg04804748,cg04992150,cg05567377,cg05918326,cg06095753,cg06289919,cg07611887,cg07616376,cg08177041,cg08408668,cg09584899,cg09912228,cg10220988,cg10487714,cg11199798,cg11902347,cg12190341,cg12315900,cg12967579,cg12985905,cg13197551,cg13410614,cg14009632,cg14131038,cg14261336,cg14287557,cg14613901,cg15157945,cg15186355,cg15357334,cg15535138,cg16948651,cg17430986,cg17936236,cg19254378,cg19284277,cg19296671,cg19459094,cg19579160,cg19785826,cg20626587,cg21061310,cg21130221,cg22123711,cg22331200,cg22503106,cg22748479,cg23299484,cg23720822,cg24211388,cg24238409,cg24315421,cg24395217,cg25887955,cg26472183,cg26744554	E029	2.74e-01
-6.924	1.00e+00	E029 Primary monocytes from peripheral blood	Blood	H3K9me3	E029-H3K9me3.broadPeak.gz	cg03554335,cg04099543,cg04349839,cg07828833,cg09698506,cg14118059,cg15159044,cg16299559,cg16617564,cg18650626,cg22150440,cg23689722,cg23771052,cg24598141,cg26964704	E029	1.00e+00
-5.442	1.00e+00	E029 Primary monocytes from peripheral blood	Blood	H3K27me3	E029-H3K27me3.broadPeak.gz	cg01955639,cg02006119,cg02441833,cg02480174,cg03337482,cg03554335,cg03666966,cg04349839,cg05219896,cg05516004,cg05820066,cg05853552,cg06181069,cg06734380,cg07432111,cg08105265,cg09698506,cg09763039,cg10011040,cg10704177,cg11751434,cg12190341,cg12784307,cg13054523,cg14242936,cg14306688,cg15677434,cg16299559,cg16545105,cg16863862,cg17555715,cg19032328,cg19296671,cg20804243,cg21156580,cg21166775,cg21167563,cg21810778,cg22150440,cg23635560,cg23689722,cg23856600,cg23933458,cg24099727,cg24376793,cg24598141,cg25642315,cg26272008,cg26819611,cg27109461,cg27316598	E029	1.00e+00
2.137	1.99e-02	E029 Primary monocytes from peripheral blood	Blood	H3K36me3	E029-H3K36me3.broadPeak.gz	cg00127788,cg00477633,cg00921350,cg01014987,cg01418188,cg01499988,cg01555198,cg01745810,cg01923915,cg02305757,cg02961280,cg03116466,cg03234093,cg03392077,cg04304036,cg04353863,cg04701118,cg04765471,cg04992150,cg05026674,cg05122026,cg05642098,cg05699320,cg06127160,cg06449385,cg06592575,cg06807926,cg06984345,cg07137115,cg07456972,cg07479786,cg07532960,cg07565042,cg07636225,cg07970948,cg08028384,cg08154963,cg08621659,cg08653021,cg09098714,cg09241885,cg09849688,cg10113951,cg10220988,cg10298741,cg10741887,cg10966235,cg11015284,cg11112605,cg11625476,cg11968273,cg12077754,cg12182708,cg12604858,cg12998731,cg13120180,cg13147461,cg13197551,cg13250178,cg13346427,cg13410614,cg13672080,cg13728275,cg13789639,cg13947225,cg13953978,cg14060758,cg14084609,cg14260530,cg14352263,cg14569513,cg14612966,cg14934396,cg14977769,cg15030712,cg15106081,cg15338098,cg15698538,cg15791719,cg15931859,cg16032884,cg16263722,cg16499536,cg16572910,cg16617564,cg16660617,cg16710434,cg16834953,cg17105176,cg17116500,cg17194668,cg17477733,cg17820448,cg17988187,cg18410271,cg18498503,cg18650626,cg18731680,cg18787963,cg18812843,cg19254378,cg19322743,cg19791728,cg19967449,cg20337696,cg20350272,cg20675152,cg21045547,cg21450154,cg21664942,cg22106221,cg22406869,cg22503106,cg22948672,cg23091723,cg23218859,cg23338316,cg23575099,cg23720822,cg24171689,cg24315421,cg24376793,cg24442367,cg24699150,cg24936095,cg25117333,cg25493477,cg25967384,cg26025224,cg26311703,cg26472183,cg26603047,cg26802802,cg26964704,cg26996616,cg27341747,cg27623075,cg27646484	E029	2.95e-01
8.864	5.85e-20	E032 Primary B cells from peripheral blood	Blood	H3K4me1	E032-H3K4me1.broadPeak.gz	cg00005461,cg00136106,cg00280111,cg00336912,cg00344572,cg00448525,cg00663686,cg00893849,cg00921350,cg01014987,cg01248878,cg01418188,cg01499988,cg01611175,cg01745810,cg01887834,cg01901579,cg01953813,cg02006119,cg02024241,cg02041484,cg02190078,cg02240622,cg02305757,cg02414559,cg02455383,cg02543556,cg02835421,cg02961280,cg03234093,cg03326609,cg03392077,cg03554335,cg03666966,cg03822873,cg03881379,cg03914277,cg04084348,cg04099543,cg04304036,cg04349839,cg04353863,cg04497992,cg04701118,cg04765471,cg04804748,cg04814136,cg04954249,cg04992150,cg05026674,cg05121010,cg05122026,cg05186879,cg05209272,cg05219896,cg05499338,cg05516004,cg05567377,cg05724080,cg05820066,cg05873271,cg05918326,cg06095753,cg06169291,cg06289919,cg06445384,cg06449385,cg06569561,cg06734380,cg06807926,cg06850285,cg06984345,cg07177867,cg07325407,cg07479786,cg07519863,cg07532960,cg07538578,cg07611887,cg07616376,cg07638500,cg07786412,cg07828833,cg07834490,cg07908654,cg07952576,cg07970948,cg08091497,cg08177041,cg08408668,cg08621659,cg08790890,cg08794018,cg08884974,cg09194810,cg09241885,cg09277749,cg09584899,cg09589331,cg09597192,cg09639771,cg09668022,cg09698506,cg09719750,cg09849688,cg09912228,cg10220104,cg10220988,cg10298741,cg10426838,cg10487714,cg10704177,cg10966235,cg11175241,cg11199798,cg11715991,cg11751434,cg11759930,cg11807649,cg11902347,cg11966720,cg12077754,cg12165656,cg12182708,cg12190341,cg12315900,cg12380988,cg12402318,cg12784307,cg12856590,cg12967579,cg12985905,cg12998731,cg13117318,cg13250178,cg13254847,cg13410614,cg13578165,cg13638867,cg13792581,cg13953978,cg14009632,cg14131038,cg14242936,cg14260530,cg14261336,cg14282386,cg14306688,cg14321269,cg14612966,cg14613901,cg14769121,cg14919455,cg14934396,cg15022400,cg15053869,cg15123849,cg15157945,cg15338098,cg15535138,cg15737719,cg15818306,cg15931859,cg16064932,cg16171189,cg16257804,cg16263722,cg16299559,cg16775629,cg16834953,cg16863862,cg17116500,cg17141163,cg17194668,cg17430986,cg17477733,cg17577640,cg17679548,cg17753773,cg17786894,cg17991030,cg17991808,cg18042586,cg18118893,cg18401534,cg18410271,cg18498503,cg18581916,cg18731680,cg18787963,cg18976159,cg19114543,cg19210893,cg19284277,cg19296671,cg19459094,cg19579160,cg19785826,cg20090759,cg20133890,cg20350272,cg20626587,cg20675152,cg20893838,cg20999663,cg21061310,cg21124310,cg21145387,cg21156580,cg21166775,cg21167563,cg21211039,cg21450154,cg21810778,cg21876760,cg21953058,cg22106221,cg22123711,cg22406869,cg22503106,cg22748479,cg22948672,cg23057699,cg23215701,cg23299484,cg23386939,cg23428738,cg23499392,cg23511239,cg23522962,cg23635560,cg23661721,cg23720822,cg23771052,cg23938511,cg24171689,cg24211388,cg24238409,cg24279017,cg24315421,cg24372191,cg24374476,cg24395217,cg24407546,cg24684972,cg24699150,cg24936095,cg25136646,cg25466522,cg25567227,cg25887955,cg26069291,cg26272008,cg26311703,cg26350671,cg26472183,cg26529864,cg26569937,cg26603047,cg26744554,cg26802802,cg26819611,cg26873486,cg26978762,cg26996616,cg27109461,cg27195131,cg27316598,cg27543741,cg27646484	E032	4.45e-18
-0.440	6.97e-01	E032 Primary B cells from peripheral blood	Blood	H3K4me3	E032-H3K4me3.broadPeak.gz	cg00273658,cg00663686,cg00795535,cg01248878,cg01745810,cg02024241,cg02240622,cg02543556,cg02835421,cg02961280,cg03554335,cg04765471,cg04804748,cg04814136,cg04992150,cg05516004,cg05724080,cg05918326,cg06289919,cg06445384,cg07177867,cg07611887,cg08177041,cg08408668,cg08470588,cg08653021,cg08794018,cg09113950,cg09277749,cg09313442,cg09584899,cg09668022,cg09698506,cg10220988,cg10487714,cg11175241,cg11625476,cg11751434,cg11966720,cg12828656,cg12967579,cg12985905,cg13947225,cg14009632,cg14060758,cg14131038,cg14260530,cg14261336,cg14569513,cg15022400,cg15338967,cg15357334,cg15535138,cg15791719,cg17116500,cg17430986,cg17786894,cg18581916,cg18731680,cg19114543,cg19284277,cg19459094,cg19579160,cg19785826,cg20350272,cg20999663,cg21166775,cg22106221,cg22503106,cg23299484,cg23511239,cg23661721,cg24211388,cg24238409,cg24315421,cg24374476,cg24395217,cg24442367,cg25136646,cg25466522,cg25642315,cg26069291,cg26272008,cg26472183,cg26744554,cg26978762,cg27109461,cg27195131,cg27646484	E032	1.00e+00
-4.774	1.00e+00	E032 Primary B cells from peripheral blood	Blood	H3K9me3	E032-H3K9me3.broadPeak.gz	cg05820066,cg06646410,cg06850285,cg08794018,cg13638867,cg16617564,cg21130221,cg22106221,cg22150440,cg23522962,cg25117333	E032	1.00e+00
-3.599	1.00e+00	E032 Primary B cells from peripheral blood	Blood	H3K27me3	E032-H3K27me3.broadPeak.gz	cg00336912,cg00397422,cg00717259,cg00847453,cg01086527,cg01955639,cg02006119,cg02147126,cg02342367,cg02441833,cg02455383,cg02480174,cg02589986,cg03125875,cg03337482,cg03554335,cg03666966,cg03881379,cg04084348,cg04099543,cg04161328,cg04316096,cg04395593,cg04552418,cg04920032,cg05219896,cg05516004,cg05820066,cg05918326,cg06052655,cg06085527,cg06181069,cg07432111,cg07638500,cg07786412,cg08028384,cg08105265,cg08653021,cg08790890,cg09241885,cg09313442,cg09698506,cg10011040,cg10132304,cg10180919,cg10194884,cg11098795,cg11625476,cg11715991,cg11807649,cg11810303,cg11942358,cg12040931,cg12190341,cg12258670,cg12784307,cg12819873,cg12828656,cg12997777,cg13054523,cg13117318,cg13120180,cg13638867,cg13905385,cg14031473,cg14169284,cg14282386,cg14390854,cg15030712,cg15074047,cg15159044,cg15338967,cg15357334,cg15442959,cg15677434,cg15834151,cg16064932,cg16299559,cg16381477,cg16545105,cg16660617,cg16945415,cg17120616,cg17245251,cg17464069,cg17555715,cg17753773,cg17946525,cg17991030,cg17998403,cg18118893,cg18197869,cg18581916,cg18852698,cg19032328,cg19296671,cg19322743,cg19785826,cg19980260,cg20133890,cg20350272,cg20378408,cg20626587,cg20804243,cg20833901,cg20845336,cg20875821,cg20999663,cg21061310,cg21124310,cg21156580,cg21167563,cg21279677,cg21810778,cg22066020,cg22150440,cg22331200,cg22503106,cg22748479,cg23575688,cg23635560,cg23689722,cg23933458,cg23938511,cg24058805,cg24099727,cg24171689,cg24372191,cg24376793,cg24407546,cg24442367,cg24684972,cg25228737,cg25465557,cg25642315,cg25967384,cg26667462,cg26819611,cg26996616,cg27109461,cg27195131,cg27316598,cg27347104	E032	1.00e+00
6.783	6.23e-12	E032 Primary B cells from peripheral blood	Blood	H3K36me3	E032-H3K36me3.broadPeak.gz	cg00127788,cg00136106,cg00273658,cg00280111,cg00344572,cg00477633,cg00780501,cg00921350,cg01014987,cg01247459,cg01499988,cg01555198,cg01745810,cg01923915,cg02024241,cg02041484,cg02190078,cg02305757,cg02414559,cg02543556,cg02835421,cg02961280,cg03116466,cg03234093,cg03392077,cg03914277,cg04304036,cg04349839,cg04353863,cg04701118,cg04765471,cg04804748,cg04814136,cg04954249,cg04992150,cg05026674,cg05122026,cg05499338,cg05642098,cg05699320,cg05724080,cg05853552,cg05918326,cg05958985,cg06005163,cg06095753,cg06127160,cg06308882,cg06449385,cg06569561,cg06592575,cg06734380,cg06807926,cg06984345,cg07137115,cg07456972,cg07479786,cg07532960,cg07538578,cg07565042,cg07616376,cg07834490,cg07970948,cg08091497,cg08154963,cg08177041,cg08408668,cg08621659,cg08794018,cg09098714,cg09468422,cg09584899,cg09589331,cg09597192,cg09668022,cg09849688,cg09912228,cg10113951,cg10180919,cg10220988,cg10291951,cg10336036,cg10426838,cg10487714,cg10741887,cg10966235,cg11015284,cg11098795,cg11112605,cg11148876,cg11199798,cg11554295,cg11625476,cg11942358,cg11968273,cg12077754,cg12165656,cg12182708,cg12380988,cg12828656,cg12985905,cg12998731,cg13147461,cg13197551,cg13250178,cg13254847,cg13346427,cg13410614,cg13578165,cg13728275,cg13789639,cg13947225,cg14060758,cg14084609,cg14242936,cg14260530,cg14261336,cg14352263,cg14569513,cg14612966,cg14769121,cg14934396,cg14977769,cg15034807,cg15072057,cg15106081,cg15157945,cg15186355,cg15338098,cg15672644,cg15698538,cg15791719,cg15931859,cg16032884,cg16257804,cg16263722,cg16499536,cg16572910,cg16617564,cg16710434,cg16834953,cg16872030,cg16948651,cg17105176,cg17116500,cg17194668,cg17477733,cg17577640,cg17679548,cg17753773,cg17786894,cg17820448,cg17936236,cg17988187,cg18118893,cg18401534,cg18410271,cg18498503,cg18521725,cg18650626,cg18731680,cg18787963,cg18812843,cg18976159,cg19114543,cg19254378,cg19459094,cg19791728,cg19967449,cg20337696,cg20350272,cg20626587,cg20675152,cg20712856,cg20893838,cg21045547,cg21130221,cg21145387,cg21211039,cg21450154,cg21664942,cg21953058,cg22066020,cg22106221,cg22123711,cg22406869,cg22948672,cg23091723,cg23215701,cg23218859,cg23338316,cg23661721,cg23720822,cg24171689,cg24238409,cg24315421,cg24376793,cg24395217,cg24407546,cg24699150,cg25008015,cg25117333,cg25136646,cg25322146,cg25372176,cg25493477,cg25887955,cg26025224,cg26069291,cg26311703,cg26472183,cg26569937,cg26603047,cg26744554,cg26802802,cg26964704,cg26978762,cg27195131,cg27341747,cg27543741,cg27623075,cg27646484	E032	2.29e-10
