Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
-0.096	5.73e-01	E029 Primary monocytes from peripheral blood	Blood	H3K9me3	E029-H3K9me3.broadPeak.gz	cg00024722,cg00123055,cg00167275,cg00226085,cg00320345,cg00333870,cg00371453,cg00448143,cg00503302,cg00511674,cg00514514,cg00547077,cg00599266,cg00637687,cg00669746,cg00737992,cg00748373,cg00786747,cg00794178,cg00814733,cg00889778,cg00922781,cg00994389,cg01035689,cg01131038,cg01135780,cg01158415,cg01165560,cg01202751,cg01244944,cg01261351,cg01363714,cg01365762,cg01467266,cg01487433,cg01505312,cg01527159,cg01554453,cg01566127,cg01613965,cg01638235,cg01645753,cg01759562,cg01789478,cg01819787,cg01906015,cg01923740,cg01932076,cg02051077,cg02065970,cg02120584,cg02257675,cg02265379,cg02291403,cg02327123,cg02334926,cg02351018,cg02385840,cg02432101,cg02445447,cg02475998,cg02521102,cg02542103,cg02561482,cg02632809,cg02639619,cg02646394,cg02650266,cg02723904,cg02727104,cg02836487,cg02863073,cg02870950,cg02916409,cg02925427,cg02936451,cg03004280,cg03015433,cg03072621,cg03160466,cg03175653,cg03186339,cg03220945,cg03222971,cg03259243,cg03353863,cg03420286,cg03442378,cg03489495,cg03591798,cg03612039,cg03637815,cg03638905,cg03655371,cg03716738,cg03730280,cg03746482,cg03761477,cg03820828,cg03858673,cg03876032,cg03891330,cg03940157,cg03985484,cg04004632,cg04015759,cg04020984,cg04047221,cg04063589,cg04184107,cg04188862,cg04278444,cg04317977,cg04328477,cg04351185,cg04366385,cg04386144,cg04463911,cg04484579,cg04547205,cg04568613,cg04576847,cg04652621,cg04656042,cg04721302,cg04759767,cg04803843,cg04930469,cg04959815,cg05006954,cg05024413,cg05036183,cg05135213,cg05209192,cg05214685,cg05260236,cg05262436,cg05349062,cg05408886,cg05479582,cg05564608,cg05595753,cg05609414,cg05616754,cg05621343,cg05637536,cg05699123,cg05736236,cg05740793,cg05783854,cg05786840,cg05831907,cg05878337,cg05900347,cg05923184,cg05940231,cg05992412,cg06025835,cg06045225,cg06059332,cg06082228,cg06112779,cg06128043,cg06138422,cg06160841,cg06226283,cg06290265,cg06379478,cg06473181,cg06542865,cg06577251,cg06631310,cg06636685,cg06638874,cg06654498,cg06660652,cg06728674,cg06766659,cg06807989,cg06826278,cg06852575,cg06858186,cg06966660,cg07051329,cg07063914,cg07094915,cg07101354,cg07122172,cg07146119,cg07160044,cg07167946,cg07213548,cg07266126,cg07306881,cg07423602,cg07519873,cg07558287,cg07562483,cg07599579,cg07645461,cg07737810,cg07750813,cg07793537,cg07967679,cg07971827,cg07982935,cg08009993,cg08012278,cg08081845,cg08185661,cg08411512,cg08464824,cg08472559,cg08532834,cg08555460,cg08555653,cg08663007,cg08787268,cg08817168,cg08876591	E029	1.00e+00
-0.796	8.12e-01	E032 Primary B cells from peripheral blood	Blood	H3K9me3	E032-H3K9me3.broadPeak.gz	cg00123055,cg00333870,cg00503302,cg00514514,cg00599266,cg00629514,cg00637687,cg00737992,cg00994389,cg01158415,cg01363714,cg01638235,cg01759562,cg01789478,cg02271227,cg02561482,cg02650266,cg02727104,cg02955287,cg03259243,cg03353863,cg03637815,cg03696599,cg03858673,cg03985484,cg04004632,cg04020984,cg04047221,cg04278444,cg04463911,cg04568613,cg04721302,cg05262436,cg05479582,cg05609414,cg05843966,cg05900347,cg05940231,cg06082228,cg06128043,cg06290265,cg06379478,cg06473181,cg06638874,cg06732976,cg06826278,cg07063914,cg07101354,cg07213548,cg07266126,cg07339229,cg07519873,cg07737810,cg07750813,cg07865517,cg08440521,cg08464824,cg08472559,cg08555460,cg08663007,cg08787268,cg08817168	E032	1.00e+00
1.087	1.76e-01	E033 Primary T cells from cord blood	Blood	H3K9me3	E033-H3K9me3.broadPeak.gz	cg00205436,cg00333870,cg00599266,cg00629514,cg00637687,cg01158415,cg01638235,cg03353863,cg03858673,cg04020984,cg04047221,cg04373587,cg07266126,cg07368877,cg07737810,cg07750813,cg08472559	E033	1.00e+00
-0.896	8.60e-01	E034 Primary T cells from peripheral blood	Blood	H3K9me3	E034-H3K9me3.broadPeak.gz	cg00205436,cg00333870,cg00355633,cg00389341,cg00472801,cg00498603,cg00503302,cg00514514,cg00547077,cg00574907,cg00599266,cg00629514,cg00637687,cg00669746,cg00737992,cg00759634,cg00789423,cg00830767,cg00843623,cg00893385,cg00994389,cg01035689,cg01131038,cg01135780,cg01158415,cg01297808,cg01356981,cg01363714,cg01405143,cg01462829,cg01467266,cg01505312,cg01546046,cg01613965,cg01638175,cg01638235,cg01660676,cg01789478,cg01932076,cg01981108,cg02120584,cg02137583,cg02291403,cg02339297,cg02521102,cg02542103,cg02578312,cg02602480,cg02650266,cg02723904,cg02727104,cg02836487,cg02846228,cg02863073,cg02936451,cg02955287,cg03004280,cg03186339,cg03259243,cg03353863,cg03383661,cg03442378,cg03468541,cg03598754,cg03612039,cg03637815,cg03638905,cg03696599,cg03730280,cg03750606,cg03858673,cg03876032,cg03919779,cg03968699,cg03973167,cg03985484,cg04015759,cg04047221,cg04063589,cg04266779,cg04278444,cg04328477,cg04386144,cg04413644,cg04431387,cg04463911,cg04547205,cg04559178,cg04584833,cg04656042,cg04714638,cg04738309,cg04750593,cg04864062,cg04939294,cg04947578,cg05036183,cg05128992,cg05209192,cg05214685,cg05231098,cg05241025,cg05262436,cg05281338,cg05377998,cg05479582,cg05564608,cg05575220,cg05609414,cg05736236,cg05756109,cg05782078,cg05940231,cg05992412,cg06059332,cg06082228,cg06128043,cg06169648,cg06290265,cg06420058,cg06456512,cg06473181,cg06585708,cg06631310,cg06686029,cg06703332,cg06766659,cg06789048,cg06790019,cg06826278,cg06830415,cg06836181,cg06858186,cg06973234,cg07000551,cg07023327,cg07066067,cg07122172,cg07207484,cg07213548,cg07266126,cg07277818,cg07368877,cg07423602,cg07519873,cg07536847,cg07562458,cg07589166,cg07737810,cg07742134,cg07750813,cg07793537,cg07923305,cg07927839,cg07956936,cg08185661,cg08440521,cg08464824,cg08472559,cg08532834,cg08555460,cg08577341,cg08663007,cg08666333,cg08763433,cg08787268,cg08817168	E034	1.00e+00
-1.784	9.81e-01	E046 Primary Natural Killer cells from peripheral 	Blood	H3K9me3	E046-H3K9me3.broadPeak.gz	cg00024722,cg00123055,cg00320345,cg00333870,cg00371453,cg00422995,cg00437985,cg00448143,cg00472801,cg00503302,cg00511674,cg00514514,cg00547077,cg00574907,cg00599266,cg00629514,cg00637687,cg00669746,cg00734800,cg00737992,cg00748373,cg00759634,cg00786747,cg00843623,cg00889778,cg00994389,cg01035689,cg01131038,cg01135780,cg01158415,cg01165560,cg01244944,cg01261351,cg01297808,cg01458686,cg01462829,cg01467266,cg01505312,cg01527159,cg01531665,cg01613965,cg01638235,cg01759562,cg01789478,cg01906015,cg01923740,cg01939479,cg02120584,cg02121330,cg02265379,cg02271227,cg02334926,cg02339297,cg02351018,cg02385840,cg02432101,cg02445447,cg02475998,cg02521102,cg02542103,cg02561482,cg02578312,cg02632809,cg02639619,cg02646394,cg02650266,cg02709717,cg02723904,cg02727104,cg02768390,cg02836487,cg02936451,cg02952317,cg02955287,cg03072621,cg03259243,cg03353863,cg03383661,cg03442378,cg03609269,cg03623155,cg03650154,cg03668558,cg03696599,cg03730280,cg03746482,cg03750606,cg03765692,cg03829216,cg03858673,cg03985484,cg04004632,cg04020984,cg04047221,cg04061197,cg04278444,cg04285493,cg04328477,cg04351185,cg04366385,cg04386144,cg04463911,cg04547205,cg04576847,cg04584833,cg04617570,cg04656042,cg04665204,cg04721302,cg04759767,cg04794369,cg04930469,cg04986276,cg05036183,cg05095774,cg05135213,cg05209192,cg05214685,cg05262436,cg05349062,cg05408886,cg05414442,cg05449217,cg05609414,cg05637795,cg05783854,cg05796321,cg05831907,cg05849857,cg05900347,cg05940231,cg05992412,cg06025835,cg06059332,cg06073094,cg06082228,cg06112779,cg06128043,cg06160841,cg06290265,cg06379478,cg06473181,cg06550102,cg06577251,cg06585708,cg06606548,cg06621373,cg06626599,cg06631310,cg06634950,cg06636685,cg06654498,cg06677120,cg06717492,cg06728674,cg06745235,cg06826278,cg06852575,cg06866657,cg06973234,cg06979550,cg07051329,cg07063914,cg07094915,cg07101354,cg07146119,cg07207484,cg07213548,cg07266126,cg07339229,cg07417284,cg07423602,cg07536847,cg07570055,cg07599579,cg07737810,cg07750813,cg07793537,cg07982935,cg08081845,cg08097417,cg08125682,cg08272731,cg08387285,cg08411512,cg08440521,cg08464824,cg08472559,cg08532834,cg08555460,cg08555653,cg08577341,cg08577743,cg08663007,cg08751265,cg08787268,cg08817168	E046	1.00e+00
-3.594	1.00e+00	E050 Primary hematopoietic stem cells G-CSF-mobili	Blood	H3K9me3	E050-H3K9me3.broadPeak.gz	cg00024722,cg00226085,cg00514514,cg00599266,cg00629514,cg00637687,cg00935924,cg00994389,cg01153979,cg01158415,cg01165560,cg01297808,cg01462829,cg01613965,cg01638235,cg01759562,cg01769354,cg01789478,cg02065970,cg02432101,cg02475998,cg02561482,cg02620228,cg02650266,cg02727104,cg02955287,cg03186339,cg03325014,cg03353863,cg03420286,cg03575764,cg03637815,cg03761477,cg03829216,cg03858673,cg03876032,cg04020984,cg04047221,cg04184107,cg04188862,cg04278444,cg04324758,cg04349117,cg04373587,cg04463911,cg04656042,cg04759767,cg04864062,cg05006954,cg05214685,cg05320820,cg05406635,cg05538632,cg05609414,cg05783854,cg05831907,cg05878337,cg05940231,cg05992412,cg06059332,cg06082228,cg06128043,cg06137672,cg06160841,cg06200777,cg06290265,cg06379478,cg06380355,cg06473181,cg06585708,cg06638874,cg06654498,cg06901526,cg07063914,cg07066067,cg07207484,cg07213548,cg07266126,cg07423602,cg07536847,cg07737810,cg07750813,cg08081845,cg08411512,cg08472559,cg08555460,cg08666333,cg08817168	E050	1.00e+00
-0.409	6.89e-01	E051 Primary hematopoietic stem cells G-CSF-mobili	Blood	H3K9me3	E051-H3K9me3.broadPeak.gz	cg00226085,cg00333870,cg00514514,cg00599266,cg00629514,cg00637687,cg00718440,cg00737992,cg00994389,cg01131038,cg01158415,cg01165560,cg01297808,cg01487433,cg01505312,cg01613965,cg01638235,cg01660676,cg01684233,cg01769354,cg02271227,cg02334926,cg02432101,cg02475998,cg02521102,cg02561482,cg02639619,cg02650266,cg02727104,cg02925427,cg02955287,cg03004280,cg03259243,cg03353863,cg03637815,cg03730280,cg03761477,cg03858673,cg03876032,cg04004632,cg04020984,cg04047221,cg04184107,cg04188862,cg04278444,cg04324758,cg04349117,cg04351185,cg04463911,cg04864062,cg05036183,cg05209192,cg05262436,cg05406635,cg05783854,cg05878337,cg05992412,cg06059332,cg06082228,cg06128043,cg06160841,cg06290265,cg06379478,cg06585708,cg06654498,cg07063914,cg07213548,cg07266126,cg07339229,cg07423602,cg07737810,cg07750813,cg08081845,cg08411512,cg08472559,cg08555460,cg08555653,cg08666333,cg08817168	E051	1.00e+00
-1.970	9.88e-01	E028 Breast variant Human Mammary Epithelial Cells	Breast	H3K9me3	E028-H3K9me3.broadPeak.gz	cg00333870,cg00511674,cg00514514,cg00547077,cg00599266,cg00637687,cg01145709,cg01158415,cg01165560,cg01505312,cg01527159,cg01613965,cg01638235,cg02265379,cg02271227,cg02350644,cg02351018,cg02561482,cg02639619,cg02727104,cg02925427,cg02955287,cg03004280,cg03353863,cg03638905,cg03696599,cg03730280,cg03829216,cg04004632,cg04278444,cg04463911,cg04576847,cg05209192,cg05595753,cg05637795,cg05849499,cg06059332,cg06128043,cg06290265,cg06379478,cg06473181,cg06638874,cg06654498,cg06852575,cg07063914,cg07101354,cg07207484,cg07213548,cg07793537,cg08009993,cg08081845,cg08097417,cg08117436,cg08464824,cg08472559,cg08663007,cg08817168	E028	1.00e+00
-0.988	8.83e-01	E003 H1 Cells	ES Cell	H3K9me3	E003-H3K9me3.broadPeak.gz	cg00123055,cg00205436,cg00226085,cg00320345,cg00350607,cg00448143,cg00459447,cg00472801,cg00514514,cg00538370,cg00544734,cg00599266,cg00629514,cg00737992,cg00814733,cg00913521,cg00994389,cg01047040,cg01117833,cg01131038,cg01140149,cg01149896,cg01158415,cg01165560,cg01166350,cg01239717,cg01261351,cg01310829,cg01467266,cg01505312,cg01527159,cg01613965,cg01638235,cg01645753,cg01747036,cg01769354,cg01779076,cg01793617,cg01933421,cg02002494,cg02015876,cg02048674,cg02239805,cg02257675,cg02265379,cg02268424,cg02297747,cg02327123,cg02426912,cg02445447,cg02446681,cg02473395,cg02475998,cg02493614,cg02558424,cg02602480,cg02639619,cg02768390,cg02778551,cg02836487,cg02846228,cg02863073,cg02925427,cg03004280,cg03015433,cg03031933,cg03041860,cg03072621,cg03128332,cg03144560,cg03160466,cg03230579,cg03259243,cg03353863,cg03361633,cg03609269,cg03612039,cg03623155,cg03696599,cg03716738,cg03730280,cg03746482,cg03761477,cg03820828,cg03858673,cg03968699,cg04004632,cg04004830,cg04013089,cg04020984,cg04027074,cg04063589,cg04100724,cg04132452,cg04173992,cg04278444,cg04285493,cg04317977,cg04344565,cg04349117,cg04351185,cg04428535,cg04434568,cg04463911,cg04484579,cg04534813,cg04568613,cg04576847,cg04584833,cg04617570,cg04656042,cg04657325,cg04691540,cg04721302,cg04759767,cg04794369,cg04803843,cg04825775,cg04986276,cg05260236,cg05320820,cg05377998,cg05564608,cg05592035,cg05637536,cg05712403,cg05786840,cg05796321,cg05808815,cg05831907,cg05940231,cg05992412,cg06025835,cg06045225,cg06128043,cg06138195,cg06160841,cg06290265,cg06310844,cg06379478,cg06435604,cg06473181,cg06524479,cg06534285,cg06585708,cg06631310,cg06634950,cg06654498,cg06710900,cg06766659,cg06826278,cg06830415,cg06836181,cg06852575,cg06864005,cg06901526,cg06903151,cg06927324,cg07063914,cg07101354,cg07167946,cg07207484,cg07333905,cg07387199,cg07423602,cg07439409,cg07461160,cg07489134,cg07513383,cg07536847,cg07562483,cg07589166,cg07630649,cg07737810,cg07742134,cg07817097,cg07882184,cg07892879,cg07926482,cg08035872,cg08071595,cg08081845,cg08180624,cg08185661,cg08351017,cg08390021,cg08411512,cg08472559,cg08555653,cg08577341,cg08653403,cg08663007,cg08666333,cg08817168,cg08876479,cg08883955	E003	1.00e+00
0.422	3.65e-01	E004 H1 BMP4 Derived Mesendoderm Cultured Cells	ES Cell	H3K9me3	E004-H3K9me3.broadPeak.gz	cg00514514,cg00599266,cg00713294,cg00737992,cg00916439,cg00960580,cg00994389,cg01158415,cg01638235,cg01759562,cg02048674,cg02261604,cg02350644,cg02768390,cg03259243,cg03353863,cg03361633,cg03696599,cg03730280,cg04184107,cg04265407,cg04568613,cg04971418,cg05320820,cg06128043,cg06290265,cg06379478,cg06852575,cg07063914,cg07135797,cg07750813,cg08472559,cg08649216,cg08653403,cg08817168	E004	1.00e+00
0.322	3.65e-01	E005 H1 BMP4 Derived Trophoblast Cultured Cells	ES Cell	H3K9me3	E005-H3K9me3.broadPeak.gz	cg00021237,cg00026230,cg00040423,cg00077299,cg00102920,cg00123055,cg00167275,cg00179576,cg00226085,cg00226754,cg00231920,cg00260647,cg00280548,cg00319567,cg00350607,cg00355633,cg00371453,cg00399650,cg00402069,cg00437985,cg00448143,cg00498603,cg00502932,cg00514514,cg00525044,cg00538370,cg00539325,cg00547077,cg00572487,cg00574907,cg00599266,cg00629514,cg00637687,cg00639286,cg00668227,cg00669746,cg00704288,cg00704909,cg00718440,cg00737992,cg00742472,cg00748373,cg00761755,cg00777895,cg00786390,cg00786747,cg00789423,cg00794178,cg00829944,cg00830767,cg00843623,cg00889778,cg00913521,cg00916439,cg00922697,cg00922781,cg00923803,cg00994389,cg01035689,cg01116134,cg01117833,cg01131038,cg01135780,cg01149896,cg01153979,cg01158415,cg01165560,cg01166350,cg01185138,cg01202751,cg01244944,cg01261351,cg01306985,cg01310829,cg01320048,cg01356981,cg01363714,cg01365762,cg01373691,cg01405143,cg01458686,cg01462829,cg01467266,cg01482912,cg01487433,cg01524091,cg01527159,cg01542423,cg01546046,cg01566127,cg01613965,cg01638235,cg01645753,cg01660676,cg01663225,cg01726103,cg01759562,cg01768179,cg01773951,cg01777630,cg01789478,cg01793617,cg01819787,cg01906015,cg01932076,cg01933421,cg01936090,cg02015876,cg02047359,cg02048674,cg02065970,cg02120584,cg02121330,cg02136723,cg02137583,cg02172824,cg02181963,cg02239805,cg02271227,cg02291403,cg02297747,cg02308112,cg02327123,cg02337499,cg02339297,cg02374837,cg02385840,cg02386183,cg02390278,cg02399652,cg02429398,cg02432101,cg02445447,cg02446681,cg02475998,cg02493614,cg02505596,cg02507657,cg02521102,cg02542103,cg02561482,cg02569759,cg02590295,cg02602480,cg02631680,cg02632809,cg02642298,cg02646394,cg02650266,cg02661426,cg02675466,cg02707669,cg02716799,cg02717570,cg02723904,cg02768390,cg02773019,cg02778551,cg02792602,cg02836487,cg02859866,cg02862354,cg02863073,cg02877856,cg02878439,cg02896705,cg02925229,cg02925427,cg02929209,cg02952317,cg02955287,cg02976543,cg03004280,cg03015433,cg03031933,cg03044510,cg03067068,cg03069383,cg03072621,cg03118206,cg03128332,cg03160466,cg03175653,cg03181118,cg03183872,cg03186339,cg03220945,cg03222971,cg03230579,cg03259243,cg03262242,cg03309721,cg03325014,cg03330867,cg03352657,cg03353863,cg03361633,cg03410772,cg03420286,cg03433712,cg03442378,cg03489495,cg03508908,cg03533382,cg03542721,cg03575764,cg03598754,cg03609269,cg03614734,cg03623155,cg03628186,cg03634887,cg03650154,cg03655371,cg03674076,cg03696599,cg03700121,cg03705947,cg03730280,cg03746482,cg03750606,cg03761477,cg03809994,cg03820828,cg03837726,cg03858673,cg03876032,cg03891268,cg03919779,cg03921416,cg03940157,cg03967192,cg03973167,cg03983647,cg04004830,cg04013089,cg04015759,cg04020984,cg04027074,cg04047221,cg04061197,cg04063589,cg04071446,cg04100724,cg04104609,cg04111177,cg04121495,cg04125208,cg04128307,cg04184107,cg04188862,cg04215179,cg04266864,cg04278444,cg04298626,cg04324758,cg04333213,cg04337412,cg04344565,cg04351185,cg04366385,cg04386144,cg04413644,cg04428535,cg04431387,cg04437590,cg04463911,cg04470905,cg04484579,cg04534813,cg04547205,cg04559178,cg04565464,cg04568613,cg04584833,cg04585390,cg04617570,cg04652621,cg04656042,cg04657325,cg04665204,cg04677326,cg04686114,cg04691540,cg04721302,cg04731120,cg04750593,cg04759767,cg04780909,cg04794369,cg04803843,cg04869206,cg04891165,cg04902542,cg04913443,cg04920270,cg04925824,cg04930469,cg04947578,cg04959815,cg04986276,cg05000748,cg05001908,cg05002041,cg05020822,cg05036183,cg05040544,cg05095774,cg05100916,cg05128992,cg05157171,cg05171367,cg05209192,cg05214685,cg05231098,cg05241025,cg05260236,cg05262436,cg05270119,cg05281338,cg05320820,cg05336115,cg05337998,cg05349062,cg05377998,cg05406635,cg05408886,cg05414442,cg05479582,cg05534678,cg05538632,cg05564608,cg05577902,cg05592035,cg05595753,cg05609414,cg05616754,cg05621343,cg05637536,cg05637795,cg05663122,cg05704155,cg05712403,cg05727959,cg05733026,cg05752819,cg05756109,cg05783854,cg05786840,cg05796321,cg05808815,cg05831907,cg05843966,cg05861071,cg05874478,cg05878337,cg05900347,cg05915794,cg05923184,cg05930162,cg05931684,cg05954989,cg05959525,cg05992412,cg06006623,cg06025835,cg06045225,cg06056004,cg06059332,cg06073094,cg06112779,cg06128043,cg06157335,cg06160841,cg06169648,cg06220161,cg06226283,cg06290265,cg06310844,cg06379478,cg06391107,cg06419771,cg06435604,cg06438404,cg06456512,cg06473181,cg06476093,cg06496222,cg06500355,cg06524479,cg06534285,cg06542686,cg06542865,cg06550102,cg06577251,cg06585708,cg06598631,cg06604058,cg06621373,cg06626599,cg06631310,cg06636685,cg06638874,cg06639788,cg06652315,cg06665941,cg06678902,cg06679003,cg06690633,cg06723301,cg06728098,cg06728674,cg06731730,cg06732976,cg06745235,cg06745957,cg06754965,cg06766659,cg06777853,cg06789048,cg06793581,cg06815976,cg06826278,cg06848185,cg06852575,cg06858186,cg06864005,cg06866657,cg06903151,cg06966660,cg06973234,cg07000551,cg07021777,cg07061579,cg07122172,cg07146119,cg07160044,cg07167946,cg07181902,cg07197864,cg07207484,cg07213548,cg07220085,cg07255356,cg07274204,cg07297567,cg07352798,cg07355551,cg07370646,cg07387199,cg07393674,cg07417284,cg07423602,cg07458698,cg07461160,cg07466433,cg07483523,cg07504545,cg07513383,cg07519721,cg07519873,cg07538946,cg07558287,cg07562483,cg07580707,cg07598522,cg07599579,cg07630649,cg07665115,cg07702548,cg07713849,cg07793537,cg07817097,cg07818830,cg07882382,cg07892879,cg07913310,cg07923459,cg07926482,cg07927839,cg07958926,cg08035872,cg08039701,cg08071595,cg08081845,cg08125682,cg08158076,cg08169394,cg08185661,cg08209163,cg08272731,cg08274589,cg08326301,cg08348387,cg08351017,cg08370718,cg08387285,cg08399230,cg08411512,cg08427928,cg08444731,cg08450752,cg08464824,cg08472559,cg08492707,cg08532834,cg08555460,cg08555653,cg08577517,cg08577743,cg08599294,cg08612601,cg08663007,cg08666333,cg08763126,cg08763433,cg08817168,cg08857201,cg08866402,cg08882650,cg08883955	E005	1.00e+00
