Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
8.960	2.21e-16	E029 Primary monocytes from peripheral blood	Blood	H3K4me1	E029-H3K4me1.broadPeak.gz	cg00159243,cg00851028,cg01059398,cg02003183,cg02341197,cg02481950,cg02650017,cg02734358,cg03957124,cg04523589,cg05316065,cg05575921,cg06126421,cg06192883,cg06690548,cg07094298,cg08548559,cg09182678,cg10636246,cg12053291,cg12269535,cg13585930,cg15020801,cg15310871,cg15551881,cg15721584,cg17501210,cg18181703,cg18608055,cg18663307,cg19769147,cg19821297,cg20995564,cg21429551,cg24174557,cg25325512,cg25392060,cg26470501,cg26804423,cg27023597,cg27050612,cg27184903,cg27469606	E029	2.52e-13
3.969	6.52e-04	E029 Primary monocytes from peripheral blood	Blood	H3K4me3	E029-H3K4me3.broadPeak.gz	cg00159243,cg01059398,cg01409343,cg02341197,cg02481950,cg02650017,cg08548559,cg09182678,cg10636246,cg12269535,cg17501210,cg18181703,cg18608055,cg18663307,cg21429551,cg26470501,cg27023597	E029	3.24e-02
-2.476	9.99e-01	E029 Primary monocytes from peripheral blood	Blood	H3K9me3	E029-H3K9me3.broadPeak.gz	cg02650017,cg05575921	E029	1.00e+00
-2.897	1.00e+00	E029 Primary monocytes from peripheral blood	Blood	H3K27me3	E029-H3K27me3.broadPeak.gz	cg02650017,cg05575921,cg18181703	E029	1.00e+00
2.906	6.19e-03	E029 Primary monocytes from peripheral blood	Blood	H3K36me3	E029-H3K36me3.broadPeak.gz	cg00159243,cg01059398,cg01409343,cg02481950,cg02650017,cg03128029,cg07094298,cg07573872,cg12053291,cg15020801,cg15310871,cg17980786,cg18181703,cg18608055,cg20995564,cg23761815,cg24174557,cg25325512,cg26470501,cg27023597,cg27050612,cg27469606	E029	1.86e-01
5.200	6.94e-07	E032 Primary B cells from peripheral blood	Blood	H3K4me1	E032-H3K4me1.broadPeak.gz	cg00159243,cg00851028,cg01059398,cg01409343,cg02003183,cg02481950,cg02650017,cg02734358,cg03957124,cg04523589,cg05575921,cg06126421,cg06192883,cg06690548,cg07094298,cg07573872,cg08548559,cg09182678,cg10636246,cg12269535,cg15020801,cg15551881,cg17501210,cg18181703,cg18608055,cg18663307,cg19821297,cg20995564,cg21429551,cg23761815,cg24174557,cg25325512,cg25392060,cg26470501,cg27023597,cg27050612	E032	7.92e-05
3.067	3.74e-03	E032 Primary B cells from peripheral blood	Blood	H3K4me3	E032-H3K4me3.broadPeak.gz	cg01409343,cg02003183,cg02650017,cg02734358,cg03957124,cg04523589,cg06192883,cg07094298,cg08548559,cg09182678,cg10636246,cg12269535,cg15551881,cg17501210,cg18181703,cg18608055,cg18663307,cg21429551,cg26470501,cg27023597	E032	1.21e-01
-0.904	8.71e-01	E032 Primary B cells from peripheral blood	Blood	H3K9me3	E032-H3K9me3.broadPeak.gz	cg05316065,cg23761815	E032	1.00e+00
-2.389	9.97e-01	E032 Primary B cells from peripheral blood	Blood	H3K27me3	E032-H3K27me3.broadPeak.gz	cg02650017,cg02734358,cg04523589,cg05575921,cg06690548,cg13585930,cg17501210,cg17980786,cg18181703,cg26804423	E032	1.00e+00
1.685	6.83e-02	E032 Primary B cells from peripheral blood	Blood	H3K36me3	E032-H3K36me3.broadPeak.gz	cg00812761,cg01059398,cg01409343,cg02003183,cg02481950,cg03128029,cg07094298,cg07573872,cg08548559,cg12053291,cg12269535,cg15020801,cg15310871,cg18608055,cg19769147,cg20995564,cg23761815,cg25325512,cg26470501,cg27023597,cg27050612,cg27469606	E032	1.00e+00
5.849	2.74e-07	E033 Primary T cells from cord blood	Blood	H3K4me1	E033-H3K4me1.broadPeak.gz	cg00159243,cg00812761,cg00851028,cg01059398,cg01409343,cg02003183,cg02650017,cg02734358,cg03957124,cg05316065,cg05575921,cg06192883,cg06690548,cg08548559,cg09182678,cg12269535,cg15020801,cg15551881,cg17980786,cg18181703,cg18608055,cg18663307,cg19821297,cg21429551,cg24174557,cg25325512,cg25392060,cg26470501,cg27184903	E033	4.31e-05
3.290	3.62e-03	E033 Primary T cells from cord blood	Blood	H3K4me3	E033-H3K4me3.broadPeak.gz	cg00159243,cg00851028,cg01059398,cg01409343,cg02650017,cg02734358,cg03957124,cg06690548,cg08548559,cg09182678,cg12269535,cg15020801,cg15551881,cg18181703,cg18608055,cg18663307,cg19821297,cg21429551,cg25325512,cg26470501	E033	1.21e-01
-1.992	1.00e+00	E033 Primary T cells from cord blood	Blood	H3K9me3	E033-H3K9me3.broadPeak.gz		E033	1.00e+00
-3.340	1.00e+00	E033 Primary T cells from cord blood	Blood	H3K27me3	E033-H3K27me3.broadPeak.gz		E033	1.00e+00
0.628	3.27e-01	E033 Primary T cells from cord blood	Blood	H3K36me3	E033-H3K36me3.broadPeak.gz	cg01059398,cg01409343,cg03128029,cg07094298,cg07573872,cg12053291,cg15020801,cg15310871,cg18181703,cg19769147,cg23761815,cg24174557,cg25325512,cg25392060,cg27023597,cg27050612	E033	1.00e+00
4.974	6.87e-07	E034 Primary T cells from peripheral blood	Blood	H3K4me1	E034-H3K4me1.broadPeak.gz	cg00159243,cg00812761,cg00851028,cg01059398,cg01409343,cg02003183,cg02481950,cg02650017,cg02734358,cg03957124,cg04523589,cg05316065,cg05575921,cg06126421,cg06192883,cg06690548,cg07094298,cg07573872,cg08548559,cg09182678,cg10636246,cg12269535,cg15020801,cg15551881,cg18181703,cg18608055,cg18663307,cg19769147,cg19821297,cg20995564,cg21429551,cg23761815,cg24174557,cg25325512,cg25392060,cg26470501,cg26804423,cg26846781,cg27023597,cg27050612,cg27184903,cg27469606	E034	7.92e-05
3.687	1.26e-03	E034 Primary T cells from peripheral blood	Blood	H3K4me3	E034-H3K4me3.broadPeak.gz	cg00159243,cg01059398,cg01409343,cg02650017,cg02734358,cg03957124,cg06192883,cg08548559,cg09182678,cg10636246,cg12269535,cg15020801,cg15551881,cg18181703,cg18608055,cg18663307,cg19821297,cg21429551,cg25325512,cg25392060,cg26470501,cg27023597	E034	5.53e-02
-2.067	9.93e-01	E034 Primary T cells from peripheral blood	Blood	H3K9me3	E034-H3K9me3.broadPeak.gz	cg06690548,cg12053291,cg19769147	E034	1.00e+00
-2.145	9.91e-01	E034 Primary T cells from peripheral blood	Blood	H3K27me3	E034-H3K27me3.broadPeak.gz	cg00159243,cg00851028,cg02003183,cg02341197,cg02650017,cg04523589,cg05316065,cg05575921,cg06126421,cg08548559,cg12053291,cg13585930,cg17501210,cg17980786,cg18181703,cg18608055,cg20995564,cg26846781	E034	1.00e+00
3.137	2.41e-03	E034 Primary T cells from peripheral blood	Blood	H3K36me3	E034-H3K36me3.broadPeak.gz	cg00159243,cg01059398,cg02481950,cg02734358,cg03128029,cg03957124,cg07094298,cg07573872,cg08548559,cg12053291,cg12269535,cg15020801,cg15310871,cg15551881,cg18181703,cg19769147,cg19821297,cg21429551,cg23761815,cg24174557,cg25325512,cg25392060,cg26470501,cg27023597,cg27050612,cg27184903,cg27469606	E034	9.50e-02
5.785	1.96e-08	E046 Primary Natural Killer cells from peripheral 	Blood	H3K4me1	E046-H3K4me1.broadPeak.gz	cg00159243,cg00851028,cg01059398,cg01409343,cg02003183,cg02341197,cg02481950,cg02650017,cg02734358,cg03957124,cg04523589,cg05575921,cg06126421,cg06192883,cg06690548,cg07094298,cg08548559,cg09182678,cg10636246,cg12269535,cg13585930,cg15020801,cg15551881,cg17501210,cg18181703,cg18608055,cg18663307,cg19769147,cg19821297,cg20995564,cg21429551,cg24174557,cg25325512,cg25392060,cg26470501,cg26804423,cg27023597,cg27050612,cg27184903,cg27469606	E046	5.59e-06
3.190	3.40e-03	E046 Primary Natural Killer cells from peripheral 	Blood	H3K4me3	E046-H3K4me3.broadPeak.gz	cg00159243,cg01059398,cg01409343,cg02650017,cg02734358,cg03957124,cg06192883,cg08548559,cg09182678,cg10636246,cg12269535,cg15551881,cg18181703,cg18608055,cg18663307,cg21429551,cg25325512,cg26470501,cg27023597	E046	1.17e-01
-2.763	1.00e+00	E046 Primary Natural Killer cells from peripheral 	Blood	H3K9me3	E046-H3K9me3.broadPeak.gz	cg05575921,cg06690548,cg17980786	E046	1.00e+00
-2.575	9.98e-01	E046 Primary Natural Killer cells from peripheral 	Blood	H3K27me3	E046-H3K27me3.broadPeak.gz	cg05575921,cg13585930,cg17501210,cg17980786,cg18181703	E046	1.00e+00
2.252	2.93e-02	E046 Primary Natural Killer cells from peripheral 	Blood	H3K36me3	E046-H3K36me3.broadPeak.gz	cg00159243,cg01059398,cg02481950,cg03128029,cg07094298,cg07573872,cg08548559,cg12269535,cg15020801,cg15310871,cg18181703,cg19769147,cg20995564,cg23761815,cg24174557,cg25325512,cg26470501,cg27023597,cg27050612,cg27469606	E046	6.69e-01
7.161	3.70e-12	E050 Primary hematopoietic stem cells G-CSF-mobili	Blood	H3K4me1	E050-H3K4me1.broadPeak.gz	cg00159243,cg00851028,cg01059398,cg01409343,cg02003183,cg02341197,cg02481950,cg02650017,cg02734358,cg03128029,cg03957124,cg04523589,cg05575921,cg06126421,cg06192883,cg06690548,cg07094298,cg07573872,cg08548559,cg09182678,cg10636246,cg12053291,cg12269535,cg12992827,cg13585930,cg15020801,cg15551881,cg15721584,cg17501210,cg17980786,cg18181703,cg18608055,cg18663307,cg19769147,cg19821297,cg20995564,cg21429551,cg23761815,cg24174557,cg25325512,cg25392060,cg26470501,cg26846781,cg27023597,cg27050612	E050	2.11e-09
2.647	9.15e-03	E050 Primary hematopoietic stem cells G-CSF-mobili	Blood	H3K4me3	E050-H3K4me3.broadPeak.gz	cg00159243,cg01059398,cg01409343,cg02650017,cg02734358,cg04523589,cg05575921,cg06192883,cg06690548,cg07573872,cg08548559,cg09182678,cg12269535,cg15551881,cg18181703,cg18608055,cg18663307,cg19821297,cg20995564,cg21429551,cg24174557,cg25325512,cg26470501,cg27023597	E050	2.55e-01
-1.945	9.89e-01	E050 Primary hematopoietic stem cells G-CSF-mobili	Blood	H3K9me3	E050-H3K9me3.broadPeak.gz	cg13585930,cg19769147,cg27469606	E050	1.00e+00
-3.694	1.00e+00	E050 Primary hematopoietic stem cells G-CSF-mobili	Blood	H3K27me3	E050-H3K27me3.broadPeak.gz	cg02650017,cg13585930,cg18181703,cg25392060	E050	1.00e+00
2.514	1.32e-02	E050 Primary hematopoietic stem cells G-CSF-mobili	Blood	H3K36me3	E050-H3K36me3.broadPeak.gz	cg01059398,cg02003183,cg02481950,cg03128029,cg06192883,cg07094298,cg07573872,cg08548559,cg12053291,cg12269535,cg15020801,cg15310871,cg17980786,cg18181703,cg19769147,cg20995564,cg23761815,cg24174557,cg25325512,cg26804423,cg27023597,cg27050612,cg27469606	E050	3.43e-01
6.332	5.04e-09	E051 Primary hematopoietic stem cells G-CSF-mobili	Blood	H3K4me1	E051-H3K4me1.broadPeak.gz	cg00159243,cg00851028,cg01059398,cg01409343,cg02003183,cg02341197,cg02650017,cg02734358,cg03128029,cg03957124,cg04523589,cg05575921,cg06126421,cg06192883,cg06690548,cg07094298,cg07573872,cg08548559,cg09182678,cg12269535,cg12992827,cg15020801,cg15551881,cg17501210,cg18181703,cg18608055,cg18663307,cg19769147,cg19821297,cg20995564,cg21429551,cg24174557,cg25325512,cg25392060,cg26470501,cg26804423,cg26846781,cg27023597,cg27050612	E051	1.92e-06
