Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
-4.295	1.00e+00	E029 Primary monocytes from peripheral blood	Blood	H3K4me3	E029-H3K4me3.broadPeak.gz	cg00002464,cg00009167,cg00016841,cg00022235,cg00052932,cg00282953,cg00311883,cg00412337,cg01049678,cg01164631,cg01229567,cg01496369,cg01658265,cg02322879,cg02565308,cg02804510,cg03293735,cg03614649,cg03705621,cg03746834,cg03772020,cg03930097,cg04038844,cg04087742,cg04283938,cg04476741,cg04885331,cg05237480,cg05707985,cg06414816,cg06795316,cg06817342,cg07175536,cg07471157,cg07607639,cg08346627,cg08372168,cg08935301,cg09044785,cg09121695,cg09414137,cg09774289,cg09876992,cg10042327,cg11783602,cg12674357,cg12969488,cg13037201,cg13372879,cg13471491,cg14360014,cg14740130,cg15054077,cg15107641,cg15158515,cg15295766,cg15343023,cg15352640,cg15523958,cg15634083,cg15667296,cg15684727,cg16079309,cg16226020,cg16260298,cg16490124,cg16507663,cg16740427,cg17127769,cg17734243,cg18415510,cg18821281,cg18986389,cg19008097,cg19113783,cg19123882,cg19166302,cg19614911,cg19698668,cg19704683,cg19876672,cg20294320,cg20513206,cg21074468,cg21191365,cg21839211,cg22035278,cg22191765,cg22224625,cg22248488,cg22693863,cg23768117,cg24002158,cg24677744,cg24893551,cg25924746,cg25962682,cg26072390,cg26668430,cg26751094,cg26759037,cg26856451,cg27173717,cg27317813,cg27492102	E029	1.00e+00
-3.315	1.00e+00	E032 Primary B cells from peripheral blood	Blood	H3K4me3	E032-H3K4me3.broadPeak.gz	cg00002464,cg00009167,cg00016841,cg00022235,cg00052932,cg00282953,cg00311883,cg00412337,cg00438952,cg00709387,cg00949861,cg00981170,cg01157951,cg01164631,cg01199495,cg01229567,cg01424107,cg01496369,cg01658265,cg01668383,cg02135853,cg02170525,cg02384510,cg02407203,cg02493332,cg02565308,cg02799643,cg02804510,cg03293735,cg03705621,cg03746834,cg03772020,cg03778155,cg03906451,cg03930097,cg04038844,cg04087742,cg04283938,cg04476741,cg04518808,cg04595021,cg05237480,cg05354481,cg05569176,cg05707985,cg06214925,cg06414816,cg06441150,cg06474274,cg06613263,cg06795316,cg07116947,cg07471157,cg07607639,cg07735427,cg08346627,cg08372168,cg08386546,cg08537737,cg08670288,cg08690515,cg08692046,cg08764522,cg08858649,cg08889009,cg08935301,cg09044785,cg09121695,cg09148794,cg09335044,cg09414137,cg09661118,cg09750469,cg09796935,cg09876992,cg10042327,cg10046388,cg10315978,cg10620012,cg10808534,cg11433727,cg11576468,cg11579146,cg11603759,cg11906947,cg12038694,cg12426470,cg12674357,cg12687000,cg12811901,cg12929678,cg12969488,cg13037201,cg13284261,cg13372879,cg13471491,cg14039228,cg14360014,cg14383586,cg14607533,cg14714087,cg14740130,cg14794655,cg14873336,cg15054077,cg15063771,cg15158515,cg15295766,cg15343023,cg15352640,cg15523958,cg15634083,cg15667296,cg15684727,cg15782468,cg16079309,cg16226020,cg16260298,cg16370642,cg16490124,cg16507663,cg16558432,cg16740427,cg16989086,cg17127769,cg17734243,cg18458353,cg18503078,cg18721397,cg18821281,cg18986389,cg19113783,cg19123882,cg19166302,cg19614911,cg19698668,cg19704683,cg19925939,cg19991046,cg20294320,cg20653955,cg20825532,cg21051972,cg21191365,cg21461100,cg21574423,cg21751047,cg21826978,cg21839211,cg22035278,cg22191765,cg22224625,cg22248488,cg22574818,cg22693863,cg22833027,cg22947094,cg22990967,cg23270818,cg23486853,cg24033750,cg24598305,cg24677744,cg25268605,cg25421053,cg25962682,cg26072390,cg26146900,cg26287248,cg26500279,cg26669717,cg26751094,cg26759037,cg26856451,cg27173717,cg27317813,cg27405010,cg27492102	E032	1.00e+00
-1.530	9.48e-01	E033 Primary T cells from cord blood	Blood	H3K4me3	E033-H3K4me3.broadPeak.gz	cg00002464,cg00009167,cg00016841,cg00022235,cg00052932,cg00120118,cg00268840,cg00311883,cg00412337,cg00457915,cg00566949,cg00981170,cg01038738,cg01049678,cg01157951,cg01229567,cg01496369,cg01658265,cg02135853,cg02170525,cg02187468,cg02324006,cg02407203,cg02565308,cg02645340,cg02739500,cg02799643,cg02804510,cg03293735,cg03438546,cg03461851,cg03476007,cg03614649,cg03705621,cg03778155,cg03808714,cg03878435,cg03906451,cg03948870,cg04087742,cg04179415,cg04283938,cg04476741,cg04518808,cg04885331,cg04906575,cg05237480,cg05251000,cg05569176,cg05573767,cg05707985,cg05800336,cg06160809,cg06214925,cg06266189,cg06414816,cg06441150,cg06613263,cg06795316,cg07016184,cg07116947,cg07454365,cg07471157,cg08340277,cg08346627,cg08386546,cg08670288,cg08753647,cg08858649,cg08889009,cg08935301,cg09018746,cg09044785,cg09121695,cg09148794,cg09165414,cg09414137,cg09750469,cg09865593,cg09876992,cg10042327,cg10046388,cg10055501,cg10315978,cg10620012,cg10678427,cg10983398,cg11097954,cg11433727,cg11579146,cg11603759,cg11656382,cg11783602,cg11906947,cg12038694,cg12264626,cg12426470,cg12674357,cg12689200,cg12929678,cg12953420,cg12969488,cg13037201,cg13270083,cg13372879,cg13471491,cg13806036,cg13987606,cg14039228,cg14360014,cg14383586,cg14607533,cg14740130,cg15054077,cg15107641,cg15158515,cg15295766,cg15343023,cg15352640,cg15523958,cg15634083,cg15667296,cg15684727,cg15782468,cg15833797,cg16079309,cg16097191,cg16190265,cg16260298,cg16301890,cg16370642,cg16425342,cg16468389,cg16490124,cg16507663,cg16558432,cg16606195,cg16788322,cg17110052,cg17127769,cg17243564,cg17676693,cg17734243,cg18455364,cg18494190,cg18821281,cg18986389,cg19008097,cg19036450,cg19123882,cg19166302,cg19272984,cg19614911,cg19673462,cg19684795,cg19698668,cg19704683,cg19876672,cg19965810,cg20080231,cg20294320,cg20426959,cg20513206,cg20653955,cg21072617,cg21191365,cg21461100,cg21574423,cg21826978,cg21839211,cg22035278,cg22084339,cg22191765,cg22224625,cg22248488,cg22498676,cg22574818,cg22660026,cg22693863,cg22777979,cg22833027,cg22864308,cg23288103,cg23316253,cg23486853,cg23605961,cg24669906,cg24677744,cg24893551,cg25146577,cg25474649,cg25962682,cg26072390,cg26146900,cg26151467,cg26420561,cg26432918,cg26438846,cg26500279,cg26668430,cg26669717,cg26751094,cg26759037,cg26856451,cg27253670,cg27317813,cg27405010,cg27492102	E033	1.00e+00
-1.253	9.17e-01	E034 Primary T cells from peripheral blood	Blood	H3K4me3	E034-H3K4me3.broadPeak.gz	cg00009167,cg00016841,cg00022235,cg00052932,cg00243527,cg00282953,cg00311883,cg00337803,cg00412337,cg00566949,cg00697658,cg00709387,cg00949861,cg00981170,cg01038738,cg01049678,cg01157951,cg01164631,cg01229567,cg01377140,cg01496369,cg01586682,cg01658265,cg01773368,cg02135853,cg02170525,cg02322879,cg02324006,cg02407203,cg02565308,cg02573176,cg02667938,cg02713599,cg02804510,cg03293735,cg03476007,cg03614649,cg03633089,cg03642549,cg03705621,cg03746834,cg03778155,cg03906451,cg03930097,cg04179415,cg04283938,cg04438880,cg04476741,cg04518808,cg04885331,cg05237480,cg05251000,cg05276360,cg05573767,cg05707985,cg06214925,cg06414816,cg06441150,cg06474274,cg06586376,cg06613263,cg06795316,cg06826760,cg07116947,cg07375254,cg07447907,cg07454365,cg07471157,cg07735427,cg07826747,cg08154035,cg08346627,cg08372168,cg08670288,cg08692046,cg08753647,cg08811750,cg08889009,cg08935301,cg09018746,cg09044785,cg09121695,cg09148794,cg09264374,cg09414137,cg09492210,cg09750469,cg09784779,cg09876992,cg10042327,cg10046388,cg10143823,cg10620012,cg10623530,cg10983398,cg11097954,cg11433727,cg11579146,cg11603759,cg11646050,cg11708721,cg11906947,cg12038694,cg12426470,cg12674357,cg12689200,cg12799489,cg12850473,cg12929678,cg12953420,cg12969488,cg13037201,cg13372879,cg13471491,cg14039228,cg14360014,cg14607533,cg14740130,cg14794655,cg15054077,cg15063771,cg15107641,cg15158515,cg15295766,cg15343023,cg15352640,cg15523958,cg15634083,cg15667296,cg15675653,cg15684727,cg15782468,cg16032050,cg16079309,cg16097191,cg16226020,cg16260298,cg16468389,cg16490124,cg16507663,cg16558432,cg16740427,cg16989086,cg17127769,cg17457254,cg17734243,cg18415510,cg18455364,cg18458353,cg18494190,cg18721397,cg18821281,cg18986389,cg19008097,cg19123882,cg19166302,cg19614911,cg19698668,cg19704683,cg19722949,cg19876672,cg19925939,cg19991046,cg20080231,cg20294320,cg20296694,cg20513206,cg20653955,cg20750319,cg21072617,cg21147013,cg21157465,cg21191365,cg21237591,cg21461100,cg21751047,cg21826978,cg21839211,cg21899520,cg22035278,cg22191765,cg22224625,cg22248488,cg22498676,cg22540135,cg22574818,cg22693863,cg22729091,cg22833027,cg22947094,cg22990967,cg23026345,cg23486853,cg23605961,cg23768117,cg23922467,cg24677744,cg24893551,cg25146577,cg25483734,cg25924746,cg25926446,cg25962682,cg26072390,cg26146900,cg26432918,cg26669717,cg26751094,cg26759037,cg26856451,cg27022201,cg27173717,cg27253670,cg27405010,cg27492102	E034	1.00e+00
-2.105	9.89e-01	E046 Primary Natural Killer cells from peripheral 	Blood	H3K4me3	E046-H3K4me3.broadPeak.gz	cg00009167,cg00016841,cg00022235,cg00052932,cg00282953,cg00311883,cg00412337,cg00949861,cg01038738,cg01049678,cg01157951,cg01164631,cg01496369,cg01658265,cg02135853,cg02170525,cg02322879,cg02565308,cg03290016,cg03293735,cg03476007,cg03705621,cg03746834,cg03772020,cg03773631,cg03808714,cg03906451,cg03930097,cg04179415,cg04283938,cg04331604,cg04476741,cg04595021,cg04667945,cg04990605,cg05237480,cg05251000,cg05460682,cg05571369,cg05573767,cg05678157,cg05707985,cg05903626,cg06414816,cg06441150,cg06474274,cg06613263,cg06795316,cg06817342,cg06853489,cg07116947,cg07471157,cg07607639,cg07807757,cg07904751,cg08346627,cg08372168,cg08386546,cg08484506,cg08537737,cg08692046,cg08889009,cg08935301,cg09044785,cg09121695,cg09148794,cg09312590,cg09315614,cg09414137,cg09492210,cg09515262,cg09631521,cg09750469,cg09876992,cg10042327,cg10046388,cg10315978,cg10620012,cg10983398,cg11001092,cg11097954,cg11433727,cg11579146,cg11708721,cg11906947,cg11979620,cg12426470,cg12674357,cg12850473,cg12929678,cg12969488,cg13037201,cg13284261,cg13471491,cg13858321,cg14039228,cg14218108,cg14360014,cg14402950,cg14607533,cg14714087,cg14740130,cg14744050,cg14794655,cg15054077,cg15063771,cg15107641,cg15158515,cg15295766,cg15343023,cg15352640,cg15523958,cg15634083,cg15667296,cg15684727,cg15782468,cg15901963,cg16079309,cg16190265,cg16226020,cg16260298,cg16276053,cg16490124,cg16507663,cg16558432,cg16740427,cg17125727,cg17127769,cg17716220,cg17734243,cg18821281,cg18986389,cg19008097,cg19123882,cg19166302,cg19339902,cg19340394,cg19614911,cg19698668,cg20080231,cg20294320,cg20513206,cg20653955,cg21072617,cg21191365,cg21574423,cg21717416,cg21826978,cg21839211,cg21899520,cg22191765,cg22224625,cg22248488,cg22259545,cg22574818,cg22693863,cg22777979,cg22833027,cg22947094,cg22990967,cg23288103,cg23486853,cg23591463,cg23768117,cg24677744,cg24893551,cg25146577,cg25421053,cg25483734,cg25931282,cg25962682,cg26072390,cg26157333,cg26530061,cg26669717,cg26759037,cg26856451,cg27173717,cg27317813,cg27405010,cg27492102	E046	1.00e+00
-0.853	8.46e-01	E050 Primary hematopoietic stem cells G-CSF-mobili	Blood	H3K4me3	E050-H3K4me3.broadPeak.gz	cg00002464,cg00009167,cg00016841,cg00052932,cg00198603,cg00282953,cg00311883,cg00337803,cg00412337,cg00455003,cg00566949,cg00731352,cg00828762,cg00981170,cg01049678,cg01164631,cg01184149,cg01199495,cg01229567,cg01291920,cg01424107,cg01496369,cg01586682,cg01618988,cg01658265,cg01658506,cg01773368,cg01838004,cg02135853,cg02170525,cg02342459,cg02565308,cg02573176,cg02645340,cg02739500,cg02799643,cg02804510,cg02922472,cg03108777,cg03215422,cg03238090,cg03290016,cg03293735,cg03438546,cg03461851,cg03476007,cg03485840,cg03516358,cg03519011,cg03614649,cg03642549,cg03654045,cg03705621,cg03772020,cg03778155,cg03808714,cg03906451,cg03930097,cg04038844,cg04087742,cg04283938,cg04476741,cg04803944,cg04885331,cg05237480,cg05251000,cg05276360,cg05409168,cg05569176,cg05573767,cg05707985,cg05800336,cg06000635,cg06182337,cg06214925,cg06266189,cg06306289,cg06414816,cg06423949,cg06441150,cg06474274,cg06613263,cg06795316,cg06853489,cg07016184,cg07116947,cg07338713,cg07428323,cg07454365,cg07471157,cg07607639,cg07735427,cg07904751,cg08004951,cg08119452,cg08288107,cg08340277,cg08346627,cg08372168,cg08386546,cg08537737,cg08670288,cg08692046,cg08764522,cg08786399,cg08858649,cg08889009,cg08935301,cg09018746,cg09044785,cg09121695,cg09312590,cg09414137,cg09492210,cg09750469,cg09876992,cg09986456,cg10042327,cg10046388,cg10055501,cg10237252,cg10315978,cg10620012,cg10678427,cg10933376,cg10983398,cg11097954,cg11433727,cg11579146,cg11603759,cg11606575,cg11848424,cg11877273,cg11906947,cg12038694,cg12247976,cg12264626,cg12654412,cg12674357,cg12811901,cg12929678,cg12969488,cg13037201,cg13270083,cg13284261,cg13372879,cg13471491,cg13806036,cg13987606,cg14039228,cg14197156,cg14261676,cg14286612,cg14334245,cg14360014,cg14383586,cg14513578,cg14607533,cg14639704,cg14740130,cg14744050,cg14794655,cg14873336,cg14877755,cg14882265,cg15054077,cg15063771,cg15079982,cg15107641,cg15158515,cg15295766,cg15343023,cg15352640,cg15523958,cg15634083,cg15667296,cg15675653,cg15684727,cg15782468,cg15885274,cg16079309,cg16097191,cg16152813,cg16226020,cg16260298,cg16301890,cg16321568,cg16386396,cg16468389,cg16490124,cg16507663,cg16558432,cg16598506,cg16740427,cg16788322,cg16953297,cg17127769,cg17243564,cg17734243,cg17754782,cg18450212,cg18494190,cg18721397,cg18821281,cg18986389,cg19008097,cg19113783,cg19123882,cg19166302,cg19272984,cg19412649,cg19412900,cg19614911,cg19665163,cg19673462,cg19684795,cg19698668,cg19704683,cg19774236,cg19876672,cg19965810,cg20080231,cg20160342,cg20294320,cg20426959,cg20513206,cg20653955,cg20959866,cg20966539,cg21074468,cg21191365,cg21717416,cg22035278,cg22167526,cg22191765,cg22224625,cg22248488,cg22347523,cg22498676,cg22540135,cg22574818,cg22660026,cg22693863,cg22777979,cg22833027,cg22864308,cg23270818,cg23288103,cg23316253,cg23486853,cg23605961,cg23768117,cg24002158,cg24048022,cg24135372,cg24669906,cg24670000,cg24677744,cg24876069,cg24893551,cg25146577,cg25268605,cg25474649,cg25589001,cg25595005,cg25924746,cg25962682,cg26072390,cg26146900,cg26157333,cg26228577,cg26394624,cg26432918,cg26500279,cg26530061,cg26631454,cg26668430,cg26669717,cg26697605,cg26751094,cg26759037,cg26772814,cg26856451,cg27173717,cg27253670,cg27317813,cg27405010,cg27478294,cg27492102	E050	1.00e+00
-1.370	9.37e-01	E051 Primary hematopoietic stem cells G-CSF-mobili	Blood	H3K4me3	E051-H3K4me3.broadPeak.gz	cg00002464,cg00009167,cg00016841,cg00052932,cg00282953,cg00311883,cg00337803,cg00412337,cg00474090,cg00731352,cg00828762,cg00959922,cg00981170,cg01049678,cg01164631,cg01199495,cg01229567,cg01424107,cg01496369,cg01586682,cg01658265,cg01773368,cg01929699,cg02135853,cg02170525,cg02407203,cg02565308,cg02573176,cg02605708,cg02645340,cg02739500,cg02804510,cg03108777,cg03215422,cg03238090,cg03293735,cg03438546,cg03461851,cg03476007,cg03519011,cg03614649,cg03642549,cg03705621,cg03772020,cg03778155,cg03808714,cg03906451,cg03930097,cg03948870,cg04038844,cg04087742,cg04179415,cg04283938,cg04476741,cg04518808,cg04803944,cg04885331,cg05237480,cg05251000,cg05276360,cg05569176,cg05571369,cg05573767,cg05707985,cg05800336,cg06160809,cg06214925,cg06414816,cg06441150,cg06474274,cg06613263,cg06795316,cg06817342,cg07016184,cg07116947,cg07338713,cg07428323,cg07454365,cg07471157,cg07607639,cg08340277,cg08346627,cg08372168,cg08386546,cg08537737,cg08670288,cg08692046,cg08786399,cg08858649,cg08889009,cg08935301,cg09018746,cg09044785,cg09121695,cg09312590,cg09315614,cg09335044,cg09352612,cg09414137,cg09492210,cg09750469,cg09795520,cg09876992,cg10011479,cg10042327,cg10046388,cg10055501,cg10237252,cg10276968,cg10315978,cg10620012,cg10749572,cg10808534,cg10983398,cg11097954,cg11433727,cg11579146,cg11603759,cg11708721,cg11906947,cg12038694,cg12264626,cg12570712,cg12654412,cg12674357,cg12689200,cg12850473,cg12929678,cg12969488,cg13037201,cg13270083,cg13284261,cg13372879,cg13471491,cg13806036,cg13987606,cg14039228,cg14197156,cg14360014,cg14383586,cg14607533,cg14639704,cg14740130,cg14794655,cg14882265,cg15054077,cg15063771,cg15107641,cg15158515,cg15295766,cg15343023,cg15352640,cg15523958,cg15634083,cg15667296,cg15684727,cg15782468,cg15885274,cg16079309,cg16097191,cg16152813,cg16190265,cg16226020,cg16260298,cg16321568,cg16386396,cg16490124,cg16507663,cg16558432,cg16740427,cg16788322,cg16953297,cg17127769,cg17243564,cg17734243,cg17754782,cg18721397,cg18821281,cg18986389,cg19008097,cg19036450,cg19113783,cg19123882,cg19166302,cg19461772,cg19614911,cg19665163,cg19673462,cg19684795,cg19698668,cg19704683,cg19774236,cg19876672,cg19991046,cg20080231,cg20294320,cg20426959,cg20513206,cg20653955,cg20959866,cg21051972,cg21074468,cg21191365,cg21461100,cg21751047,cg21826978,cg21839211,cg22035278,cg22191765,cg22224625,cg22248488,cg22498676,cg22540135,cg22574818,cg22660026,cg22693863,cg22833027,cg22864308,cg22990967,cg23270818,cg23288103,cg23316253,cg23486853,cg23605961,cg23768117,cg24002158,cg24048022,cg24669906,cg24677744,cg24893551,cg25146577,cg25268605,cg25474649,cg25589001,cg25595005,cg25924746,cg25962682,cg26072390,cg26146900,cg26157333,cg26228577,cg26394624,cg26432918,cg26500279,cg26668430,cg26669717,cg26697605,cg26746573,cg26751094,cg26759037,cg26856451,cg27022201,cg27173717,cg27253670,cg27317813,cg27405010,cg27478294,cg27492102	E051	1.00e+00
-3.261	1.00e+00	E028 Breast variant Human Mammary Epithelial Cells	Breast	H3K4me3	E028-H3K4me3.broadPeak.gz	cg00002464,cg00009167,cg00016841,cg00052932,cg00158934,cg00243527,cg00268840,cg00270827,cg00282953,cg00438952,cg00455003,cg00613895,cg00731352,cg00808563,cg00833661,cg00959922,cg00981170,cg00995116,cg01164631,cg01199495,cg01229567,cg01331198,cg01424107,cg01496369,cg01618988,cg01658265,cg01838004,cg01899029,cg01909850,cg01929699,cg02135853,cg02322879,cg02342459,cg02479979,cg02494904,cg02499121,cg02565308,cg02605708,cg02628470,cg02713599,cg02799643,cg02804510,cg02840964,cg02929169,cg03137091,cg03238090,cg03351431,cg03438546,cg03476007,cg03516358,cg03560424,cg03614649,cg03642549,cg03694482,cg03772020,cg03864262,cg03906451,cg03948870,cg04038844,cg04067910,cg04283938,cg04317756,cg04331604,cg04476741,cg04888771,cg05033341,cg05237480,cg05251000,cg05569176,cg05573767,cg05600342,cg05800336,cg06160809,cg06182337,cg06228857,cg06229084,cg06414816,cg06441150,cg06474274,cg06595607,cg06613263,cg06652484,cg06786804,cg07016184,cg07309461,cg07375254,cg07428323,cg07433360,cg07471157,cg07537738,cg07607639,cg07735427,cg07807757,cg07896068,cg08035981,cg08288107,cg08346627,cg08363247,cg08372168,cg08407620,cg08576975,cg08690515,cg08692046,cg08753647,cg08775211,cg08858649,cg08900396,cg08935301,cg09044785,cg09264374,cg09315614,cg09414137,cg09659346,cg09774289,cg09979924,cg09986456,cg10117207,cg10315978,cg10620012,cg10678427,cg10781468,cg10808534,cg10926851,cg10983398,cg11097954,cg11340498,cg11433727,cg11576468,cg11579146,cg11656382,cg11867253,cg11906947,cg11933081,cg12264626,cg12513379,cg12570712,cg12654412,cg12743661,cg12850473,cg12906989,cg12947210,cg12969488,cg13037201,cg13063207,cg13127808,cg13270083,cg13669360,cg13773421,cg13987606,cg14039228,cg14207539,cg14286612,cg14317467,cg14373068,cg14383586,cg14402950,cg14607533,cg14794655,cg14882265,cg14986219,cg15054077,cg15063771,cg15079982,cg15107641,cg15158515,cg15192909,cg15266205,cg15295766,cg15352640,cg15523958,cg15634083,cg15667296,cg15684727,cg15782468,cg15900936,cg16097191,cg16152813,cg16256876,cg16260298,cg16276053,cg16301890,cg16321568,cg16490124,cg16507663,cg16558432,cg16578496,cg16606195,cg16788322,cg16989086,cg17035276,cg17106431,cg17125727,cg17331086,cg17734243,cg18220863,cg18455364,cg18494190,cg18527670,cg18821281,cg18986389,cg19008097,cg19113783,cg19123882,cg19166302,cg19412649,cg19461772,cg19486604,cg19698668,cg19704683,cg19774236,cg19965810,cg20030294,cg20080231,cg20185617,cg20294320,cg20301706,cg20513206,cg20587396,cg20959866,cg21051972,cg21147013,cg21163969,cg21171158,cg21191365,cg21253943,cg21574423,cg21664227,cg21826978,cg21899520,cg22035278,cg22084339,cg22162396,cg22191765,cg22224625,cg22437405,cg22498676,cg22540135,cg22574818,cg22693863,cg22947094,cg23180636,cg23219208,cg23288103,cg23486853,cg24002158,cg24033750,cg24492629,cg24598305,cg24677744,cg25146577,cg25214902,cg25421053,cg25424475,cg25500027,cg25589001,cg25673668,cg25818609,cg25924746,cg25962682,cg26146900,cg26151467,cg26157333,cg26228577,cg26287248,cg26394624,cg26438846,cg26452226,cg26468807,cg26668430,cg26746573,cg26751094,cg26759037,cg27173717,cg27208133,cg27253670,cg27344338,cg27478294,cg27492102,cg27593172	E028	1.00e+00
-0.908	8.40e-01	E003 H1 Cells	ES Cell	H3K4me3	E003-H3K4me3.broadPeak.gz	cg00002464,cg00009167,cg00016841,cg00019118,cg00052932,cg00198603,cg00268840,cg00270827,cg00282953,cg00412337,cg00455003,cg00474090,cg00709387,cg00828762,cg00959922,cg00981170,cg01199495,cg01229567,cg01397050,cg01424107,cg01496369,cg01658265,cg01838004,cg02135853,cg02170525,cg02187468,cg02304095,cg02565308,cg02645340,cg02739500,cg02799643,cg02804510,cg03215422,cg03238090,cg03258523,cg03438546,cg03461851,cg03469233,cg03614649,cg03642549,cg03778155,cg03808714,cg03906451,cg03948870,cg04038844,cg04087742,cg04283938,cg04302388,cg04476741,cg04518808,cg04885331,cg04892182,cg05251000,cg05276360,cg05354481,cg05409168,cg05569176,cg05573767,cg05762309,cg05800336,cg06160809,cg06162737,cg06214925,cg06414816,cg06441150,cg06817342,cg06853455,cg06903211,cg06964608,cg07016184,cg07116947,cg07428323,cg07447907,cg07471157,cg07826747,cg08170023,cg08324612,cg08346627,cg08372168,cg08387463,cg08537737,cg08670288,cg08692046,cg08753647,cg08811750,cg08858649,cg08889009,cg08935301,cg09044785,cg09121695,cg09315614,cg09352612,cg09414137,cg09979924,cg10046388,cg10055501,cg10237252,cg10287786,cg10315978,cg10620012,cg10678427,cg10749572,cg11433727,cg11579146,cg11603759,cg11656382,cg11906947,cg12124786,cg12264626,cg12447154,cg12501220,cg12570712,cg12654412,cg12674357,cg12689200,cg12947210,cg13017846,cg13037201,cg13063207,cg13270083,cg13369534,cg13372879,cg13405222,cg13615771,cg13806036,cg13983113,cg13987606,cg14039228,cg14360014,cg14383586,cg14513578,cg14607533,cg14669842,cg14740130,cg14794655,cg15054077,cg15107641,cg15158515,cg15295766,cg15343023,cg15352640,cg15523958,cg15634083,cg15675653,cg15684727,cg15782468,cg15833797,cg16032050,cg16043370,cg16097191,cg16152813,cg16226020,cg16260298,cg16301890,cg16321568,cg16370642,cg16425342,cg16490124,cg16507663,cg16558432,cg16606195,cg16740427,cg16788322,cg16953297,cg18149539,cg18445718,cg18494190,cg18721397,cg18753364,cg18821281,cg18831202,cg18986389,cg19036450,cg19113783,cg19123882,cg19166302,cg19253643,cg19272984,cg19673462,cg19684795,cg19698668,cg19704683,cg19774236,cg19876672,cg19925939,cg19965810,cg20080231,cg20185617,cg20294320,cg20426959,cg20513206,cg20653955,cg20959866,cg21051972,cg21191365,cg21221358,cg21306573,cg21445383,cg21461100,cg21574423,cg21899520,cg22035278,cg22084339,cg22224625,cg22498676,cg22540135,cg22574818,cg22660026,cg22693863,cg22777979,cg22833027,cg22864308,cg23286623,cg23288103,cg23316253,cg23486853,cg23591463,cg24669906,cg24677744,cg24876069,cg24893551,cg25146577,cg25268605,cg25474649,cg25595005,cg25672327,cg25924746,cg25962682,cg26146900,cg26151467,cg26157333,cg26228577,cg26432918,cg26668430,cg26751094,cg26759037,cg26856451,cg27173717,cg27208133,cg27253670,cg27282305,cg27405010,cg27492102,cg27593172	E003	1.00e+00
-2.788	9.98e-01	E004 H1 BMP4 Derived Mesendoderm Cultured Cells	ES Cell	H3K4me3	E004-H3K4me3.broadPeak.gz	cg00002464,cg00009167,cg00016841,cg00019118,cg00052932,cg00163394,cg00198603,cg00282953,cg00412337,cg00474090,cg00828762,cg00844192,cg01199495,cg01229567,cg01424107,cg01496369,cg01658265,cg01668383,cg02135853,cg02304095,cg02565308,cg02573176,cg02585025,cg02739500,cg02804510,cg03215422,cg03238090,cg03349035,cg03438546,cg03476007,cg03519011,cg03548761,cg03614649,cg03642549,cg03778155,cg03906451,cg04038844,cg04087742,cg04476741,cg04518808,cg04797359,cg04803944,cg04840600,cg04892182,cg04906575,cg04994195,cg05251000,cg05354481,cg05492373,cg05569176,cg05707985,cg05800336,cg06214925,cg06266189,cg06414816,cg06441150,cg06742801,cg06853455,cg06903211,cg06964608,cg07016184,cg07433360,cg08033142,cg08170023,cg08346627,cg08690515,cg08692046,cg08858649,cg08935301,cg09044785,cg09121695,cg09414137,cg09515262,cg09567362,cg09725610,cg09750469,cg10055501,cg10287786,cg10620012,cg10665136,cg10965377,cg11001092,cg11433727,cg11579146,cg11906947,cg11917125,cg12264626,cg12570712,cg12654412,cg12674357,cg12758147,cg12969488,cg13037201,cg13372879,cg13582959,cg14039228,cg14106328,cg14261676,cg14360014,cg14383586,cg14607533,cg14669842,cg14728473,cg14740130,cg14794655,cg15107641,cg15158515,cg15295766,cg15343023,cg15352640,cg15523958,cg15634083,cg15667296,cg15684727,cg15782468,cg16079309,cg16152813,cg16260298,cg16301890,cg16321568,cg16490124,cg16507663,cg16558432,cg16788322,cg16953297,cg17331086,cg17867295,cg18721397,cg18821281,cg18986389,cg19036450,cg19113783,cg19123882,cg19166302,cg19272984,cg19684795,cg19876672,cg19965810,cg20254120,cg20294320,cg20426959,cg20653955,cg21051972,cg21074468,cg21191365,cg21221358,cg21461100,cg22035278,cg22574818,cg22693863,cg22799702,cg22833027,cg22949738,cg22990967,cg23219208,cg23288103,cg24669906,cg24677744,cg24690634,cg25595005,cg25962682,cg26146900,cg26394624,cg26432918,cg26668430,cg26759037,cg26856451,cg27253670	E004	1.00e+00
