Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
3.546	2.15e-03	Acute_myeloid_leukemia	Bone Marrow	DHS	S005FH41.DNase.hotspot_v3.20130819.bed.gz	cg02738868,cg03111156,cg03299066,cg03935432,cg04155830,cg04525491,cg04815626,cg04873548,cg05255305,cg07825799,cg14603358,cg15500907,cg16188532,cg16273766,cg17128892,cg17279912,cg18614779,cg22511904,cg26184812	NA	4.40e-02
3.429	2.94e-03	DG-75_Sporadic_Burkitt_lymphoma	Cell Line	DHS	BP_DG-75_d01.DNase.hotspot_v3.20130819.bed.gz	cg02575448,cg02738868,cg03299066,cg03935432,cg04155830,cg04525491,cg04815626,cg04873548,cg05255305,cg14603358,cg16273766,cg17128892,cg17279912,cg22511904,cg26184812	NA	4.40e-02
3.780	1.12e-03	KARPAS-422_Germinal_Center_B-Cell-Like_Diffuse_Large_B-Cell_Lymphoma	Cell Line	DHS	bp_KARPAS-422_d01.DNase.hotspot_v3.20131126.bed.gz	cg02738868,cg03111156,cg03299066,cg04155830,cg04367699,cg04815626,cg04873548,cg05255305,cg16188532,cg16273766,cg17128892,cg17279912,cg18614779,cg22511904,cg26184812	NA	3.35e-02
1.439	1.31e-01	SU-DHL-5_Germinal_Center_B-Cell-Like_Diffuse_Large_B-Cell_Lymphoma	Cell Line	DHS	bp_SU-DHL-5_d01.DNase.hotspot_v3.20131126.bed.gz	cg03299066,cg04155830,cg04525491,cg04815626,cg04873548,cg16273766,cg17128892,cg17279912,cg26184812	NA	5.22e-01
2.597	1.99e-02	U-266_Multiple_myeloma	Cell Line	DHS	BP_U-266_d01.DNase.hotspot_v3.20130819.bed.gz	cg02575448,cg02738868,cg03299066,cg04155830,cg04367699,cg04525491,cg04815626,cg04873548,cg05255305,cg16273766,cg17128892,cg17279912,cg26184812,cg26427270	NA	1.38e-01
1.935	5.85e-02	Z-138_Mantle_cell_lymphoma	Cell Line	DHS	BP_Z-138_d01.DNase.hotspot_v3.20130819.bed.gz	cg02738868,cg03299066,cg04155830,cg04367699,cg04525491,cg04815626,cg04873548,cg05255305,cg07380563,cg14603358,cg16273766,cg17128892,cg17279912,cg18614779,cg22511904,cg26184812	NA	2.69e-01
2.581	1.19e-02	CD14_positive_CD16_negative_classical_monocyte	Cord Blood	DHS	C005PS4E.DNase.hotspot_v3.20130819.bed.gz	cg02575448,cg02738868,cg03032247,cg03111156,cg03299066,cg03935432,cg04155830,cg04367699,cg04525491,cg04815626,cg04873548,cg05255305,cg14603358,cg15500907,cg16188532,cg16273766,cg17128892,cg17279912,cg18614779,cg21760990,cg22511904,cg26184812	NA	1.10e-01
2.274	2.72e-02	CD34-negative_CD41-positive_CD42-positive_megakaryocyte_cell	Cord Blood	DHS	C006NS47.DNase.hotspot_v3.20130819.bed.gz	cg02575448,cg02738868,cg03111156,cg03299066,cg03935432,cg04155830,cg04367699,cg04873548,cg05255305,cg14603358,cg16188532,cg16273766,cg17128892,cg17279912,cg18614779,cg21760990,cg22511904,cg26184812,cg26427270	NA	1.63e-01
1.833	7.98e-02	CD14-positive_CD16-negative_classical_monocyte	Venous Blood	DHS	C001UY46.DNase.hotspot_v3.20130415.bed.gz	cg03299066,cg04155830,cg14603358,cg17128892,cg17279912,cg18614779,cg26184812	NA	3.30e-01
2.949	9.16e-03	CD14-positive_CD16-negative_classical_monocyte	Venous Blood	DHS	C0010K46.DNase.hotspot_v3.20130415.bed.gz	cg02738868,cg03111156,cg03299066,cg03935432,cg04155830,cg04815626,cg04873548,cg05255305,cg15500907,cg16188532,cg16273766,cg17128892,cg17279912,cg18614779,cg22511904,cg26184812,cg26886252	NA	9.15e-02
3.850	8.36e-04	CD14-positive_CD16-negative_classical_monocyte	Venous Blood	DHS	C0011I43.DNase.hotspot_v3.20130415.bed.gz	cg02738868,cg03111156,cg03299066,cg04155830,cg04525491,cg04815626,cg04873548,cg05255305,cg14603358,cg16188532,cg16273766,cg17128892,cg17279912,cg18614779,cg22511904,cg26184812	NA	3.34e-02
2.585	1.51e-02	CD14-positive_CD16-negative_classical_monocyte	Venous Blood	DHS	C004084E.DNase.hotspot_v3.20130415.bed.gz	cg02575448,cg02738868,cg03111156,cg03299066,cg03935432,cg04155830,cg04367699,cg04525491,cg04815626,cg04873548,cg05255305,cg07380563,cg14603358,cg16188532,cg16273766,cg17128892,cg17279912,cg18614779,cg22511904,cg26184812,cg26427270	NA	1.21e-01
2.056	4.86e-02	inflammatory_macrophage	Venous Blood	DHS	S001MJ4A.DNase.hotspot_v3.20130819.bed.gz	cg02738868,cg03111156,cg03299066,cg04155830,cg04815626,cg04873548,cg05255305,cg16273766,cg17128892,cg17279912,cg26184812	NA	2.33e-01
1.849	7.64e-02	inflammatory_macrophage	Venous Blood	DHS	S001MJ48.DNase.hotspot_v3.20130819.bed.gz	cg02738868,cg03111156,cg03299066,cg04155830,cg04873548,cg17128892,cg17279912,cg26184812	NA	3.27e-01
2.715	1.39e-02	macrophage_-_T_6days_B-glucan	Venous Blood	DHS	S00CTZ41.DNase.hotspot_v3.20141014.bed.gz	cg02738868,cg03111156,cg03299066,cg04155830,cg04525491,cg04815626,cg04873548,cg05255305,cg15500907,cg16188532,cg16273766,cg17128892,cg17279912,cg18614779,cg22511904,cg26184812,cg26427270	NA	1.19e-01
2.172	4.49e-02	macrophage_-_T_6days_B-glucan	Venous Blood	DHS	S00C0J41.DNase.hotspot_v3.20141014.bed.gz	cg02575448,cg03299066,cg04155830,cg04815626,cg04873548,cg05255305,cg16273766,cg17279912,cg22511904,cg26184812,cg26427270	NA	2.24e-01
4.927	3.48e-05	macrophage_-_T_6days_B-glucan	Venous Blood	DHS	S00HTF41.DNase.hotspot_v3.20141014.bed.gz	cg02575448,cg02738868,cg03032247,cg03111156,cg03299066,cg03935432,cg04155830,cg04525491,cg04815626,cg04852443,cg04873548,cg05255305,cg07380563,cg07825799,cg15500907,cg16188532,cg16273766,cg17128892,cg17279912,cg18614779,cg21760990,cg22511904,cg26184812,cg26427270,cg26886252	NA	4.17e-03
3.677	2.22e-03	macrophage_-_T_6days_B-glucan	Venous Blood	DHS	S00JS941.DNase.hotspot_v3.20141014.bed.gz	cg02738868,cg03299066,cg04155830,cg04525491,cg04815626,cg04873548,cg16273766,cg17128892,cg17279912,cg18614779,cg22511904,cg26184812	NA	4.40e-02
2.643	1.70e-02	macrophage_-_T_6days_LPS	Venous Blood	DHS	S00BYT41.DNase.hotspot_v3.20141014.bed.gz	cg02738868,cg03111156,cg03299066,cg03935432,cg04155830,cg04525491,cg04815626,cg04873548,cg05255305,cg16273766,cg17128892,cg17279912,cg18614779,cg26184812	NA	1.27e-01
1.904	6.39e-02	macrophage_-_T_6days_LPS	Venous Blood	DHS	S00CS041.DNase.hotspot_v3.20141014.bed.gz	cg03111156,cg03299066,cg03935432,cg04155830,cg04525491,cg04815626,cg04873548,cg05255305,cg16273766,cg17128892,cg17279912,cg21760990,cg22511904,cg26184812	NA	2.84e-01
3.041	4.16e-03	macrophage_-_T_6days_LPS	Venous Blood	DHS	S00HSH41.DNase.hotspot_v3.20141014.bed.gz	cg02575448,cg02738868,cg03032247,cg03111156,cg03299066,cg03935432,cg04155830,cg04367699,cg04525491,cg04815626,cg04873548,cg05255305,cg14603358,cg15500907,cg16188532,cg16273766,cg17128892,cg17279912,cg18614779,cg21760990,cg22511904,cg26184812	NA	5.55e-02
2.499	2.08e-02	macrophage_-_T_6days_LPS	Venous Blood	DHS	S00JRB41.DNase.hotspot_v3.20141014.bed.gz	cg02738868,cg03299066,cg03935432,cg04155830,cg04367699,cg04525491,cg04815626,cg04873548,cg05255305,cg14603358,cg16188532,cg16273766,cg17128892,cg17279912,cg18614779,cg21760990,cg22511904,cg26184812	NA	1.38e-01
3.126	6.02e-03	macrophage_-_T_6days_untreated	Venous Blood	DHS	S00BXV41.DNase.hotspot_v3.20141014.bed.gz	cg02738868,cg03111156,cg03299066,cg04155830,cg04525491,cg04873548,cg05255305,cg16188532,cg16273766,cg17128892,cg17279912,cg22511904,cg26184812	NA	7.22e-02
2.330	2.98e-02	macrophage_-_T_6days_untreated	Venous Blood	DHS	S00CR241.DNase.hotspot_v3.20141014.bed.gz	cg02575448,cg03111156,cg03299066,cg04155830,cg04367699,cg04525491,cg04873548,cg05255305,cg07380563,cg14603358,cg16273766,cg17128892,cg17279912,cg21760990,cg22511904,cg26184812,cg26427270	NA	1.67e-01
4.176	5.38e-04	macrophage_-_T_6days_untreated	Venous Blood	DHS	S00HRJ41.DNase.hotspot_v3.20141014.bed.gz	cg02575448,cg02738868,cg03111156,cg03299066,cg04155830,cg04815626,cg04873548,cg05255305,cg14603358,cg15500907,cg16188532,cg16273766,cg17128892,cg17279912,cg18614779,cg26184812	NA	3.22e-02
2.296	3.07e-02	macrophage_-_T_6days_untreated	Venous Blood	DHS	S00JQD41.DNase.hotspot_v3.20141014.bed.gz	cg02738868,cg03111156,cg03299066,cg03935432,cg04155830,cg04367699,cg04525491,cg04815626,cg04873548,cg05255305,cg14603358,cg16273766,cg17128892,cg17279912,cg18614779,cg22511904,cg26184812	NA	1.67e-01
3.514	2.66e-03	macrophage	Venous Blood	DHS	C005VG45.DNase.hotspot_v3.20130819.bed.gz	cg02575448,cg02738868,cg03111156,cg03299066,cg03935432,cg04155830,cg04367699,cg04525491,cg04815626,cg04873548,cg05255305,cg14603358,cg16188532,cg16273766,cg17128892,cg17279912,cg22511904,cg26184812	NA	4.40e-02
3.011	7.25e-03	macrophage	Venous Blood	DHS	C006UE47.DNase.hotspot_v3.20130819.bed.gz	cg02738868,cg03111156,cg03299066,cg03935432,cg04155830,cg04367699,cg04525491,cg04815626,cg04873548,cg05255305,cg14603358,cg16188532,cg16273766,cg17128892,cg17279912,cg18614779,cg22511904,cg26184812	NA	7.90e-02
2.242	3.73e-02	monocyte_-_T_0days	Venous Blood	DHS	S00EPZ41.DNase.hotspot_v3.20141014.bed.gz	cg03111156,cg03299066,cg04155830,cg04815626,cg04873548,cg05255305,cg15500907,cg17128892,cg17279912,cg18614779,cg22511904,cg26184812	NA	1.94e-01
2.511	2.44e-02	monocyte_-_T_0days	Venous Blood	DHS	S00JPF41.DNase.hotspot_v3.20141014.bed.gz	cg02738868,cg03299066,cg03935432,cg04155830,cg04367699,cg04815626,cg04873548,cg05255305,cg16188532,cg16273766,cg17128892,cg17279912,cg18614779,cg26184812	NA	1.54e-01
