Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
2.088	4.60e-02	E029 Primary monocytes from peripheral blood	Blood	H3K4me1	E029-H3K4me1.broadPeak.gz	cg02738868,cg03032247,cg03111156,cg03935432,cg04155830,cg04367699,cg04525491,cg04873548,cg05255305,cg14603358,cg15500907,cg16188532,cg16273766,cg17128892,cg17279912,cg18614779,cg20264068,cg20822372,cg21760990,cg22058099,cg22511904,cg26184812,cg26427270,cg26886252	E029	3.32e-01
2.407	2.13e-02	E032 Primary B cells from peripheral blood	Blood	H3K4me1	E032-H3K4me1.broadPeak.gz	cg02575448,cg02738868,cg03032247,cg03111156,cg03935432,cg04155830,cg04367699,cg04525491,cg04815626,cg04873548,cg05255305,cg07380563,cg12304215,cg14603358,cg15500907,cg16188532,cg16273766,cg17128892,cg17279912,cg18614779,cg20264068,cg20822372,cg21158075,cg21760990,cg22058099,cg22511904,cg26184812,cg26427270,cg26886252	E032	1.77e-01
3.529	1.48e-03	E033 Primary T cells from cord blood	Blood	H3K4me1	E033-H3K4me1.broadPeak.gz	cg02738868,cg03032247,cg03111156,cg03935432,cg04155830,cg04367699,cg04525491,cg04815626,cg04873548,cg05255305,cg07380563,cg12304215,cg14603358,cg16188532,cg16273766,cg17128892,cg18614779,cg20822372,cg21760990,cg22058099,cg22511904,cg22561992,cg26184812,cg26886252	E033	4.57e-02
2.321	2.27e-02	E034 Primary T cells from peripheral blood	Blood	H3K4me1	E034-H3K4me1.broadPeak.gz	cg02575448,cg02738868,cg03032247,cg03111156,cg03299066,cg03935432,cg04155830,cg04367699,cg04525491,cg04815626,cg04852443,cg04873548,cg05255305,cg07380563,cg12304215,cg12957132,cg14603358,cg15666308,cg15928188,cg16188532,cg16273766,cg17128892,cg17279912,cg18614779,cg20264068,cg20822372,cg21158075,cg21760990,cg22058099,cg22511904,cg26184812,cg26427270,cg26886252	E034	1.80e-01
1.455	1.19e-01	E046 Primary Natural Killer cells from peripheral 	Blood	H3K4me1	E046-H3K4me1.broadPeak.gz	cg02034311,cg02575448,cg02738868,cg03032247,cg03111156,cg03935432,cg04155830,cg04873548,cg05255305,cg07380563,cg12304215,cg14603358,cg15666308,cg15928188,cg16188532,cg16273766,cg17128892,cg17279912,cg18614779,cg20264068,cg20822372,cg21760990,cg22058099,cg22511904,cg26184812,cg26427270,cg26886252	E046	5.80e-01
3.088	3.88e-03	E050 Primary hematopoietic stem cells G-CSF-mobili	Blood	H3K4me1	E050-H3K4me1.broadPeak.gz	cg02034311,cg02575448,cg02738868,cg03032247,cg03111156,cg03299066,cg03935432,cg04155830,cg04367699,cg04525491,cg04815626,cg04852443,cg04873548,cg05255305,cg07380563,cg07825799,cg12304215,cg14603358,cg15229570,cg15500907,cg16188532,cg16273766,cg17128892,cg17279912,cg18614779,cg20264068,cg20822372,cg21158075,cg21760990,cg22058099,cg22511904,cg26184812,cg26427270,cg26886252	E050	6.43e-02
3.521	1.12e-03	E051 Primary hematopoietic stem cells G-CSF-mobili	Blood	H3K4me1	E051-H3K4me1.broadPeak.gz	cg02034311,cg02575448,cg02738868,cg03032247,cg03111156,cg03299066,cg03935432,cg04155830,cg04367699,cg04525491,cg04815626,cg04852443,cg04873548,cg05255305,cg07380563,cg07825799,cg12304215,cg14603358,cg15500907,cg16188532,cg16273766,cg17128892,cg17279912,cg18614779,cg20264068,cg20822372,cg21158075,cg21760990,cg22058099,cg22511904,cg26184812,cg26427270,cg26886252	E051	4.57e-02
1.393	1.09e-01	E028 Breast variant Human Mammary Epithelial Cells	Breast	H3K4me1	E028-H3K4me1.broadPeak.gz	cg00389547,cg02296708,cg02738868,cg03032247,cg03935432,cg04155830,cg04367699,cg04525491,cg04873548,cg05255305,cg07380563,cg07825799,cg09671989,cg12304215,cg14603358,cg15500907,cg15928188,cg16188532,cg16273766,cg17128892,cg20264068,cg20822372,cg21760990,cg22058099,cg22511904,cg22561992,cg26184812,cg26427270	E028	5.64e-01
3.190	1.12e-03	E003 H1 Cells	ES Cell	H3K4me1	E003-H3K4me1.broadPeak.gz	cg02034311,cg02296708,cg02738868,cg03032247,cg03111156,cg03935432,cg04155830,cg04525491,cg04852443,cg04873548,cg05255305,cg06216309,cg07380563,cg12304215,cg14603358,cg15666308,cg15928188,cg16188532,cg16661473,cg17128892,cg17279912,cg18614779,cg20264068,cg20431421,cg20822372,cg21760990,cg22058099,cg22511904,cg24643625,cg26184812,cg26427270	E003	4.57e-02
2.465	1.39e-02	E004 H1 BMP4 Derived Mesendoderm Cultured Cells	ES Cell	H3K4me1	E004-H3K4me1.broadPeak.gz	cg00389547,cg02034311,cg02296708,cg02738868,cg04367699,cg04873548,cg05255305,cg07380563,cg07825799,cg12304215,cg14603358,cg16188532,cg17128892,cg21158075,cg21760990,cg22058099,cg24643625,cg26427270	E004	1.64e-01
