Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
-6.120	1.00e+00	Acute_myeloid_leukemia	Bone Marrow	DHS	S005FH41.DNase.hotspot_v3.20130819.bed.gz	cg00054210,cg00082939,cg00205605,cg00263619,cg00492070,cg00597876,cg01323777,cg01456368,cg01471372,cg01754713,cg01817364,cg01827781,cg02228675,cg02647265,cg02723291,cg02757970,cg02849695,cg02903680,cg02992639,cg02996583,cg03123759,cg03162823,cg03755115,cg03800939,cg03822639,cg03879180,cg03962527,cg04140525,cg04359753,cg04498198,cg04605287,cg04848686,cg04889800,cg04981619,cg05045598,cg05168015,cg05232215,cg05265607,cg05310240,cg05389174,cg05487507,cg05644462,cg06430387,cg06626847,cg06634862,cg07310671,cg07871442,cg08217910,cg08498747,cg08620329,cg09187007,cg09477758,cg09501959,cg09687907,cg09747445,cg09871637,cg10163955,cg10456541,cg10512203,cg10764196,cg10775991,cg10843343,cg11354105,cg11380327,cg11709405,cg11980800,cg12000995,cg12065616,cg12131208,cg12150256,cg12836958,cg12845268,cg13058819,cg13422804,cg13491563,cg13583664,cg13691108,cg13708645,cg14192542,cg14230238,cg14389669,cg14485097,cg15091747,cg15302379,cg15478483,cg15789095,cg15925365,cg16029875,cg16990174,cg17058475,cg17220161,cg17445812,cg18136963,cg18559799,cg19628934,cg19741660,cg19851563,cg20201270,cg20595752,cg20899625,cg20951444,cg21117965,cg21124375,cg21692620,cg22965943,cg23373640,cg24361265,cg24404630,cg24841257,cg25162533,cg25305703,cg25966016,cg26242687,cg26465389,cg27020362,cg27331665,cg27646484	NA	1.00e+00
-7.533	1.00e+00	DG-75_Sporadic_Burkitt_lymphoma	Cell Line	DHS	BP_DG-75_d01.DNase.hotspot_v3.20130819.bed.gz	cg00156995,cg01205935,cg01471372,cg01803461,cg02228675,cg02903680,cg03070187,cg03162823,cg03295417,cg03962527,cg04140525,cg04848686,cg04889800,cg05766948,cg06430387,cg07310671,cg08217285,cg08240539,cg09477758,cg09687907,cg09871637,cg10512203,cg11327659,cg11980800,cg13078421,cg13622265,cg13708645,cg13934236,cg14519997,cg15302379,cg16246545,cg17058475,cg17220161,cg17362900,cg18280057,cg19717060,cg20201270,cg20441135,cg21124375,cg21869046,cg22128896,cg23923820,cg24404630,cg27646484	NA	1.00e+00
-8.200	1.00e+00	KARPAS-422_Germinal_Center_B-Cell-Like_Diffuse_Large_B-Cell_Lymphoma	Cell Line	DHS	bp_KARPAS-422_d01.DNase.hotspot_v3.20131126.bed.gz	cg00040575,cg01323777,cg01466133,cg01471372,cg03295417,cg06000144,cg07943780,cg08217285,cg08217910,cg10512203,cg10775991,cg11980800,cg12836958,cg13491563,cg13708645,cg14519997,cg15302379,cg16302655,cg17058475,cg17220161,cg17231677,cg17516571,cg21869046,cg23261715,cg23373640,cg24361265,cg24404630,cg24903893,cg25783099	NA	1.00e+00
-7.316	1.00e+00	SU-DHL-5_Germinal_Center_B-Cell-Like_Diffuse_Large_B-Cell_Lymphoma	Cell Line	DHS	bp_SU-DHL-5_d01.DNase.hotspot_v3.20131126.bed.gz	cg00049729,cg00205605,cg00594129,cg01471372,cg01827781,cg02228675,cg03162823,cg03295417,cg03962527,cg04498198,cg04848686,cg04889800,cg06000144,cg06397322,cg07138399,cg07348535,cg07733851,cg08217285,cg08217910,cg08240539,cg09687907,cg09871637,cg10512203,cg10775991,cg11027707,cg11380327,cg11980800,cg12125332,cg12233232,cg12836958,cg13078421,cg13204699,cg13621396,cg13708645,cg13714026,cg13934236,cg14519997,cg15127250,cg16246545,cg17058475,cg17220161,cg17231677,cg18280057,cg19264571,cg19401033,cg21124375,cg23261715,cg23373640,cg24361265,cg24903893,cg25783099,cg25821785,cg26376346,cg27020362,cg27478242	NA	1.00e+00
-4.158	1.00e+00	U-266_Multiple_myeloma	Cell Line	DHS	BP_U-266_d01.DNase.hotspot_v3.20130819.bed.gz	cg00040575,cg00049729,cg00056066,cg00129811,cg00156995,cg00205605,cg00864684,cg00994804,cg01105418,cg01471372,cg01713950,cg01803461,cg01817364,cg02228675,cg02903680,cg02947450,cg03070187,cg03173827,cg03295417,cg03534375,cg03575602,cg03679544,cg03760191,cg03879180,cg04064050,cg04140525,cg04498198,cg04605287,cg04664126,cg04715503,cg04848686,cg04859826,cg04869006,cg04889800,cg05232215,cg05272827,cg05527113,cg05746014,cg05766948,cg06137072,cg06430387,cg06489606,cg06634862,cg07292773,cg07310671,cg07348535,cg07571928,cg07733851,cg07839313,cg08217910,cg08240539,cg08498747,cg08802933,cg09477758,cg09687907,cg09747445,cg10163955,cg10322443,cg10401489,cg10512203,cg10636490,cg10775991,cg10816169,cg11027707,cg11200656,cg11380327,cg11709405,cg11824191,cg11980800,cg12065616,cg12125332,cg12836958,cg13078421,cg13204699,cg13422804,cg13428213,cg13491563,cg13708645,cg13754720,cg13934236,cg14389669,cg14485097,cg14519997,cg15127250,cg15175162,cg15302379,cg15478483,cg15789095,cg15869022,cg15925365,cg16246545,cg16302655,cg16701167,cg17058475,cg17220161,cg18136963,cg18149394,cg18559799,cg19127638,cg19272540,cg19478539,cg19717060,cg19851563,cg20125920,cg20441135,cg20505728,cg21124375,cg21510189,cg21577356,cg21869046,cg22128896,cg23261715,cg23373640,cg23790219,cg23923820,cg24361265,cg24404630,cg24603028,cg25783099,cg25821785,cg25835351,cg25966016,cg26853787,cg27020362,cg27140633,cg27219972,cg27478242	NA	1.00e+00
-5.021	1.00e+00	Z-138_Mantle_cell_lymphoma	Cell Line	DHS	BP_Z-138_d01.DNase.hotspot_v3.20130819.bed.gz	cg00049729,cg00079023,cg00113225,cg00129811,cg00205605,cg00594129,cg00630991,cg00756943,cg01105418,cg01323777,cg01394847,cg01456368,cg01471372,cg01681525,cg01754713,cg01803461,cg01827781,cg02228675,cg02647265,cg02903680,cg03173827,cg03295417,cg03575602,cg03785076,cg03879180,cg03962527,cg04013159,cg04064050,cg04140525,cg04498198,cg04605287,cg04715503,cg04848686,cg05310240,cg05349837,cg05593411,cg05644462,cg05746014,cg05766948,cg05965387,cg06000144,cg06430387,cg07292773,cg07348535,cg07943780,cg08060857,cg08106887,cg08217285,cg08217910,cg08240539,cg09477758,cg09687907,cg10512203,cg10775991,cg11027707,cg11106117,cg11200656,cg11709405,cg12065616,cg12233232,cg12836958,cg12845268,cg13078421,cg13204699,cg13422804,cg13428213,cg13491563,cg13647973,cg13708645,cg13882377,cg13934236,cg14192542,cg14389669,cg14519997,cg15302379,cg16029875,cg16246545,cg16990174,cg17058475,cg17220161,cg17231677,cg17445812,cg17768691,cg17976121,cg18183624,cg18280057,cg18559799,cg19628934,cg19717060,cg19782271,cg20653375,cg20951444,cg21124375,cg21481950,cg21510189,cg21869046,cg22128896,cg23225147,cg23743554,cg23923820,cg24361265,cg24404630,cg24859236,cg24903893,cg25299676,cg25966016,cg26138978,cg26257411,cg27020362,cg27140633,cg27219972,cg27438980,cg27478242	NA	1.00e+00
-9.012	1.00e+00	CD14_positive_CD16_negative_classical_monocyte	Cord Blood	DHS	C005PS4E.DNase.hotspot_v3.20130819.bed.gz	cg00567854,cg01205935,cg01456368,cg02849695,cg02996583,cg03800939,cg03879180,cg04869006,cg04889800,cg06137072,cg06430387,cg09477758,cg10512203,cg10825471,cg13708645,cg13847322,cg14230238,cg15127250,cg16990174,cg17220161,cg17641566,cg17768691,cg19851563	NA	1.00e+00
-6.975	1.00e+00	CD34-negative_CD41-positive_CD42-positive_megakaryocyte_cell	Cord Blood	DHS	C006NS47.DNase.hotspot_v3.20130819.bed.gz	cg00259472,cg00263619,cg01471372,cg02228675,cg02623200,cg02705163,cg02849695,cg02996583,cg03258665,cg03785076,cg04498198,cg04889800,cg05593411,cg05766948,cg05815196,cg06137072,cg06397322,cg07421287,cg07864647,cg07871442,cg10401489,cg10708898,cg11025974,cg13708645,cg13916835,cg14230238,cg14485097,cg14699112,cg15895197,cg16467811,cg17220161,cg17223809,cg17231677,cg17296589,cg19851563,cg21124375,cg21644740,cg23790219,cg24404630,cg25966016,cg27646484	NA	1.00e+00
-9.530	1.00e+00	CD14-positive_CD16-negative_classical_monocyte	Venous Blood	DHS	C001UY46.DNase.hotspot_v3.20130415.bed.gz	cg00567854,cg00994804,cg01456368,cg02486855,cg02757970,cg02849695,cg03070187,cg03173827,cg03534375,cg04498198,cg04859826,cg04869006,cg04889800,cg05265607,cg05766948,cg06137072,cg06626847,cg06913600,cg07348535,cg07871442,cg09477758,cg10213875,cg10512203,cg10764196,cg10816169,cg10928544,cg12131208,cg13558810,cg13708645,cg13847322,cg13882377,cg14230238,cg14485097,cg15091747,cg16854876,cg17220161,cg17445812,cg17641566,cg17768691,cg18559799,cg19628934,cg19851563,cg20012601,cg20806427,cg21124375,cg21869046,cg23579062,cg24148304,cg24404630,cg25305703,cg26465389	NA	1.00e+00
-8.423	1.00e+00	CD14-positive_CD16-negative_classical_monocyte	Venous Blood	DHS	C0010K46.DNase.hotspot_v3.20130415.bed.gz	cg00056066,cg00113225,cg00994804,cg01456368,cg01754713,cg01817364,cg01827781,cg02486855,cg02849695,cg02996583,cg03800939,cg04498198,cg04605287,cg04889800,cg05766948,cg06137072,cg06397322,cg06626847,cg06814654,cg07348535,cg07421287,cg07871442,cg09477758,cg09687907,cg10512203,cg10764196,cg10775991,cg10904740,cg10928544,cg11380327,cg11709405,cg12065616,cg12845268,cg13518442,cg13708645,cg13882377,cg14230238,cg14485097,cg15127250,cg15175162,cg15789095,cg15925365,cg16508883,cg17058475,cg17220161,cg17641566,cg17768691,cg19628934,cg19851563,cg21124375,cg21577356,cg21869046,cg22374525,cg23373640,cg24404630,cg25966016	NA	1.00e+00
