Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
-1.718	9.77e-01	Acute_myeloid_leukemia	Bone Marrow	DHS	S005FH41.DNase.hotspot_v3.20130819.bed.gz	cg00338702,cg00606841,cg00624150,cg00743788,cg00760439,cg00958605,cg01119831,cg01121712,cg01124539,cg01589998,cg01643605,cg01656168,cg01822573,cg01915516,cg01971813,cg01985177,cg02018465,cg02136628,cg02260839,cg02274728,cg02330706,cg02343823,cg02472998,cg02519286,cg02744113,cg02919585,cg02987471,cg03123759,cg03209684,cg03225210,cg03266992,cg03297731,cg03340356,cg03438692,cg03768925,cg03813688,cg03919781,cg03959515,cg03999434,cg04021674,cg04024904,cg04059188,cg04067573,cg04094723,cg04138502,cg04181892,cg04220930,cg04371528,cg04390143,cg04567302,cg04847533,cg04983687,cg05042743,cg05072457,cg05255330,cg05390018,cg05403071,cg05451654,cg05543458,cg05691629,cg05871997,cg06315390,cg06382664,cg06390536,cg06684259,cg06748956,cg07026433,cg07082201,cg07109238,cg07175290,cg07248136,cg07248223,cg07516483,cg07529210,cg07556134,cg07565540,cg07635369,cg07657142,cg07678644,cg07920525,cg07939626,cg07966140,cg08514558,cg08514765,cg08706567,cg08711320,cg08804807,cg09113915,cg09119797,cg09163035,cg09188016,cg09243021,cg09327714,cg09364338,cg09410607,cg09418612,cg09495303,cg09652086,cg09698465,cg09724374,cg09806262,cg09862219,cg10046620,cg10124491,cg10279487,cg10284662,cg10348643,cg10380585,cg10582318,cg10607899,cg10836110,cg11331988,cg11360522,cg11402700,cg11433553,cg11580493,cg11592497,cg11777890,cg11850549,cg11869510,cg11953254,cg12146864,cg12147622,cg12317811,cg12441184,cg12449528,cg12534150,cg12630461,cg12838605,cg13013841,cg13091627,cg13124263,cg13178766,cg13255285,cg13408344,cg13441691,cg13468041,cg13615650,cg13641837,cg13668129,cg13977526,cg14095000,cg14263628,cg14270434,cg14334298,cg14433314,cg14442492,cg14575053,cg14686297,cg14841879,cg15147435,cg15444947,cg15520606,cg15574301,cg15593716,cg15694422,cg15787712,cg15872329,cg15974416,cg15982419,cg16020410,cg16071713,cg16167741,cg16178878,cg16737422,cg17378535,cg17475381,cg17480145,cg17842157,cg17928883,cg18073970,cg18132090,cg18146506,cg18158385,cg18391694,cg18430082,cg18458942,cg18733757,cg18947032,cg19226866,cg19305681,cg19674878,cg19705910,cg19733736,cg19919828,cg19929126,cg19995197,cg20015535,cg20303303,cg20483962,cg20497627,cg20770003,cg20811236,cg20830514,cg21189909,cg21220551,cg21261027,cg21340621,cg21554139,cg21609584,cg21647780,cg22101190,cg22114393,cg22268231,cg22697853,cg22827124,cg22975913,cg23295127,cg23318560,cg23423227,cg23697400,cg24056567,cg24095592,cg24285919,cg24408313,cg24539234,cg24631526,cg24760848,cg24768116,cg24790297,cg24808711,cg24830730,cg24928378,cg25153824,cg25165199,cg25282715,cg25382848,cg25599242,cg25936839,cg26082368,cg26247880,cg26353469,cg26376157,cg26566415,cg26609906,cg26646903,cg26685515,cg26770445,cg27090594	NA	1.00e+00
-3.281	1.00e+00	DG-75_Sporadic_Burkitt_lymphoma	Cell Line	DHS	BP_DG-75_d01.DNase.hotspot_v3.20130819.bed.gz	cg00213123,cg00624150,cg00804480,cg00958605,cg01422274,cg01822573,cg01975706,cg02018465,cg02136628,cg02472998,cg02616710,cg03266992,cg03297731,cg03438692,cg03768925,cg04021674,cg04024904,cg04067573,cg04181892,cg04366249,cg04371528,cg04390143,cg04837280,cg04844495,cg04847533,cg05072457,cg05142115,cg05313153,cg05390018,cg05403071,cg05691629,cg06407111,cg06748956,cg07109238,cg07175290,cg07248136,cg07248223,cg07529210,cg07657142,cg07678644,cg08678755,cg08804807,cg09113915,cg09119797,cg09163035,cg09188016,cg09243021,cg09328979,cg09418612,cg09497409,cg10046620,cg10124491,cg10284662,cg10348643,cg10380585,cg10385089,cg10607899,cg11331988,cg11402700,cg11433553,cg11592497,cg11777890,cg11869510,cg12317811,cg12441184,cg12457901,cg12534150,cg12630461,cg13124263,cg13255285,cg13441691,cg13615650,cg13641837,cg13668129,cg14095000,cg14263628,cg14600813,cg15108590,cg15147435,cg15520606,cg15853125,cg15872329,cg15974416,cg16020410,cg16167741,cg16178878,cg16737422,cg16949674,cg17378535,cg17414431,cg17475381,cg17480145,cg17842157,cg18146506,cg18430082,cg18458942,cg18702971,cg18947032,cg19919828,cg20015535,cg20303303,cg20483962,cg20497627,cg20770003,cg20811236,cg21261027,cg21340621,cg21341645,cg21647780,cg21823149,cg22114393,cg22263591,cg22268231,cg22462240,cg23295127,cg23309046,cg23318560,cg23423227,cg23434998,cg23697400,cg24285919,cg24408313,cg24631526,cg24928378,cg25192651,cg25382848,cg26247880,cg26376157,cg26609906,cg26617690,cg26646903,cg26685515	NA	1.00e+00
-4.402	1.00e+00	KARPAS-422_Germinal_Center_B-Cell-Like_Diffuse_Large_B-Cell_Lymphoma	Cell Line	DHS	bp_KARPAS-422_d01.DNase.hotspot_v3.20131126.bed.gz	cg00552704,cg00624150,cg00743788,cg01588379,cg01643605,cg02330706,cg02519286,cg03084103,cg03266992,cg03634775,cg03768925,cg04021674,cg04024904,cg04059188,cg04067573,cg04181892,cg04220930,cg04366249,cg04371528,cg04390143,cg04837280,cg04844495,cg04847533,cg05042743,cg05072457,cg05142115,cg05313153,cg05390018,cg05543458,cg06407111,cg07109238,cg07175290,cg07188009,cg07248136,cg07657142,cg07678644,cg08514558,cg08706567,cg08804807,cg09188016,cg09242181,cg09328979,cg09418612,cg10124491,cg10348643,cg10607899,cg11331988,cg11402700,cg11592497,cg11777890,cg12317811,cg12431087,cg12534150,cg13124263,cg13150855,cg13255285,cg13441691,cg13516655,cg13615650,cg13641837,cg13977526,cg14095000,cg15147435,cg15520606,cg15872329,cg15944026,cg16020410,cg16167741,cg16358099,cg16737422,cg16949674,cg17378535,cg17414431,cg17480145,cg17842157,cg18146506,cg18430082,cg18733757,cg18947032,cg19226866,cg19919828,cg19995197,cg20015535,cg20303303,cg20483962,cg20497627,cg20770003,cg21261027,cg21340621,cg21647780,cg22268231,cg23295127,cg23309046,cg23318560,cg23423227,cg23434998,cg23697400,cg24134767,cg24285919,cg24928378,cg25382848,cg26247880,cg26376157,cg26646903,cg26869362	NA	1.00e+00
-4.240	1.00e+00	SU-DHL-5_Germinal_Center_B-Cell-Like_Diffuse_Large_B-Cell_Lymphoma	Cell Line	DHS	bp_SU-DHL-5_d01.DNase.hotspot_v3.20131126.bed.gz	cg00606841,cg00624150,cg00743788,cg00958605,cg02018465,cg02260839,cg02519286,cg02919585,cg02987471,cg03266992,cg03297731,cg03438692,cg03768925,cg04021674,cg04024904,cg04067573,cg04220930,cg04371528,cg04390143,cg04597312,cg04844495,cg05072457,cg05142115,cg05255330,cg05313153,cg05390018,cg05451654,cg05691629,cg06407111,cg06748956,cg06875985,cg07109238,cg07175290,cg07248136,cg07248223,cg07495704,cg07565540,cg07657142,cg07678644,cg08514558,cg08678755,cg08706567,cg08804807,cg08969102,cg09119797,cg09163035,cg09188016,cg09243021,cg09418612,cg09497409,cg09859768,cg10046620,cg10124491,cg10348643,cg10380585,cg10385089,cg10607899,cg11331988,cg11402700,cg11777890,cg11874323,cg12077754,cg12147622,cg12317811,cg12431087,cg12441184,cg12534150,cg12630461,cg13091627,cg13124263,cg13255285,cg13441691,cg13516655,cg13615650,cg13641837,cg13668129,cg14095000,cg14263628,cg14575053,cg15084823,cg15147435,cg15520606,cg15853125,cg15872329,cg15974416,cg16020410,cg16167741,cg16178878,cg16737422,cg17014713,cg17378535,cg17475381,cg17480145,cg17842157,cg18146506,cg18430082,cg18458942,cg18733757,cg19226866,cg19919828,cg20015535,cg20303303,cg20340596,cg20483962,cg20497627,cg20770003,cg21220551,cg21261027,cg21340621,cg21341645,cg21647780,cg22263591,cg22268231,cg23295127,cg23309046,cg23318560,cg23423227,cg23434998,cg23697400,cg24285919,cg24631526,cg24808711,cg24928378,cg25192651,cg25382848,cg25599242,cg25936839,cg26082368,cg26353469,cg26376157,cg26646903,cg26685515	NA	1.00e+00
-3.095	1.00e+00	U-266_Multiple_myeloma	Cell Line	DHS	BP_U-266_d01.DNase.hotspot_v3.20130819.bed.gz	cg00050496,cg00338702,cg00430287,cg00624150,cg00743788,cg00958605,cg01422274,cg01735049,cg01822573,cg02086195,cg02136628,cg02343823,cg02472998,cg02519286,cg02919585,cg02987471,cg03266992,cg03278643,cg03297731,cg03438692,cg03768925,cg03908391,cg04021674,cg04024904,cg04059188,cg04067573,cg04094723,cg04220930,cg04366249,cg04371528,cg04390143,cg04520793,cg04548463,cg04837280,cg04844495,cg04847533,cg05001691,cg05042743,cg05072457,cg05142115,cg05313153,cg05390018,cg05403071,cg05451654,cg05691629,cg05871997,cg06061081,cg06374075,cg06407111,cg06684259,cg06748956,cg06875985,cg07109238,cg07175290,cg07248136,cg07248223,cg07404921,cg07495704,cg07529210,cg07565540,cg07657142,cg07678644,cg07966140,cg08199758,cg08706567,cg08804807,cg09027133,cg09088406,cg09099868,cg09188016,cg09242181,cg09327714,cg09328979,cg09364338,cg09418612,cg09806262,cg10046620,cg10124491,cg10125399,cg10284662,cg10348643,cg10380585,cg10385089,cg10561067,cg10582318,cg10607899,cg10636490,cg11331988,cg11360522,cg11402700,cg11433553,cg11777890,cg11869510,cg12146864,cg12147622,cg12317811,cg12441184,cg12457901,cg12534150,cg12630461,cg12838605,cg13124263,cg13255285,cg13441691,cg13453607,cg13516655,cg13615650,cg13641837,cg13668129,cg13676817,cg13933692,cg14095000,cg14263628,cg14442492,cg14600813,cg14686297,cg15108590,cg15147435,cg15520606,cg15622544,cg15853125,cg15872329,cg15944026,cg15974416,cg15982419,cg16020410,cg16167741,cg16178878,cg16737422,cg17100943,cg17162319,cg17378535,cg17414431,cg17475381,cg17480145,cg17842157,cg18073970,cg18132090,cg18146506,cg18158385,cg18430082,cg18458942,cg18912530,cg18947032,cg19226866,cg19919828,cg19995197,cg20015535,cg20303303,cg20340596,cg20483962,cg20497627,cg20770003,cg20908131,cg21189909,cg21220551,cg21261027,cg21340621,cg21341645,cg21614402,cg21647780,cg22116290,cg22263591,cg22268231,cg22841772,cg23237314,cg23295127,cg23309046,cg23318560,cg23423227,cg23434998,cg23697400,cg24285919,cg24408313,cg24631526,cg24808711,cg24900663,cg24928378,cg25192651,cg25292098,cg25320328,cg25382573,cg25382848,cg25599242,cg25838465,cg25890838,cg25936839,cg26353469,cg26376157,cg26403580,cg26646903,cg26685515,cg26770445,cg26869362,cg27475126,ch.20.682629F	NA	1.00e+00
-2.837	9.99e-01	Z-138_Mantle_cell_lymphoma	Cell Line	DHS	BP_Z-138_d01.DNase.hotspot_v3.20130819.bed.gz	cg00338702,cg00624150,cg00743788,cg00958605,cg01422274,cg01517680,cg01588379,cg01589998,cg01735049,cg01822573,cg01929699,cg01985177,cg02018465,cg02086195,cg02136628,cg02260839,cg02330706,cg02519286,cg02919585,cg02987471,cg03209684,cg03266992,cg03297731,cg03438692,cg03634775,cg03768925,cg03919781,cg04024904,cg04059188,cg04067573,cg04094723,cg04207746,cg04220930,cg04366249,cg04371528,cg04390143,cg04520793,cg04837280,cg04844495,cg04847533,cg05072457,cg05390018,cg05403071,cg05451654,cg05691629,cg05955675,cg06407111,cg06684259,cg06748956,cg06792065,cg06875985,cg07109238,cg07175290,cg07248136,cg07248223,cg07529210,cg07565540,cg07657142,cg07678644,cg08024029,cg08089543,cg08514558,cg08678755,cg08706567,cg08804807,cg08969102,cg09113915,cg09119797,cg09169132,cg09188016,cg09243021,cg09328979,cg09364338,cg09418612,cg09456285,cg09497409,cg09698465,cg09724374,cg09859768,cg10046620,cg10124491,cg10284662,cg10348643,cg10380585,cg10385089,cg10561067,cg10582318,cg10607899,cg11331988,cg11402700,cg11592497,cg11777890,cg11869510,cg12147622,cg12317811,cg12441184,cg12457901,cg12534150,cg12921411,cg13013841,cg13091627,cg13124263,cg13178766,cg13255285,cg13408344,cg13441691,cg13516655,cg13615650,cg13641837,cg13668129,cg13676817,cg13933692,cg14095000,cg14220764,cg14263628,cg14433314,cg14442492,cg15147435,cg15520606,cg15622544,cg15694422,cg15853125,cg15872329,cg15944026,cg15974416,cg16020410,cg16071713,cg16167741,cg16178878,cg16461248,cg16547027,cg16737422,cg16949674,cg17014713,cg17100943,cg17349406,cg17378535,cg17475381,cg17480145,cg17842157,cg17928883,cg18132090,cg18146506,cg18158385,cg18411500,cg18430082,cg18458942,cg18702971,cg18733757,cg18912530,cg18947032,cg19226866,cg19919828,cg19995197,cg20015535,cg20303303,cg20340596,cg20483962,cg20497627,cg20770003,cg21220551,cg21261027,cg21340621,cg21341645,cg21647780,cg22019158,cg22101190,cg22116290,cg22142686,cg22263591,cg22268231,cg22462240,cg23295127,cg23318560,cg23423227,cg23434998,cg23697400,cg24166100,cg24285919,cg24408313,cg24535439,cg24631526,cg24808711,cg24928378,cg25165199,cg25192651,cg25338423,cg25382848,cg25599242,cg25890838,cg26082368,cg26247880,cg26353469,cg26376157,cg26646903,cg26685515,cg26869362	NA	1.00e+00
-5.147	1.00e+00	CD14_positive_CD16_negative_classical_monocyte	Cord Blood	DHS	C005PS4E.DNase.hotspot_v3.20130819.bed.gz	cg00624150,cg01121712,cg01643605,cg01822573,cg02018465,cg03266992,cg03438692,cg03768925,cg04024904,cg04059188,cg04067573,cg04220930,cg04371528,cg04390143,cg04847533,cg05072457,cg05142115,cg05390018,cg05543458,cg05871997,cg06315390,cg07109238,cg07175290,cg07248136,cg07248223,cg07565540,cg07657142,cg07678644,cg08804807,cg09119797,cg09188016,cg09243021,cg09418612,cg09495303,cg09806262,cg10046620,cg10124491,cg10348643,cg10561067,cg10607899,cg11331988,cg11402700,cg11777890,cg12146864,cg12317811,cg12441184,cg12534150,cg12630461,cg12838605,cg13124263,cg13255285,cg13408344,cg13441691,cg13615650,cg13641837,cg13668129,cg13977526,cg14095000,cg14263628,cg14575053,cg14600813,cg15520606,cg15694422,cg15768443,cg15787712,cg15872329,cg15974416,cg16020410,cg16167741,cg16178878,cg16737422,cg17378535,cg17480145,cg17818196,cg17842157,cg18146506,cg18430082,cg18458942,cg18651578,cg18733757,cg18947032,cg19733736,cg19919828,cg19995197,cg20015535,cg20303303,cg20497627,cg20770003,cg21261027,cg21647780,cg23309046,cg23423227,cg23697400,cg24285919,cg24760848,cg24808711,cg25153824,cg25192651,cg25382848,cg26082368,cg26353469,cg26376157,cg26609906,cg26646903	NA	1.00e+00
-4.549	1.00e+00	CD34-negative_CD41-positive_CD42-positive_megakaryocyte_cell	Cord Blood	DHS	C006NS47.DNase.hotspot_v3.20130819.bed.gz	cg00552704,cg00624150,cg00851377,cg00958605,cg01121712,cg01589998,cg01822573,cg02136628,cg02260839,cg02330706,cg02853703,cg02987471,cg03266992,cg03297731,cg03768925,cg04024904,cg04067573,cg04371528,cg04487205,cg04847533,cg04983687,cg05042743,cg05072457,cg05390018,cg05451654,cg05541460,cg05543458,cg05691629,cg05871997,cg07082201,cg07109238,cg07175290,cg07248136,cg07529210,cg07657142,cg07678644,cg07966140,cg08804807,cg09188016,cg09327714,cg09395443,cg09410607,cg10046620,cg10124491,cg10284662,cg10555106,cg10561067,cg10607899,cg11331988,cg11402700,cg11433553,cg11580493,cg11592497,cg11777890,cg12317811,cg12431087,cg12441184,cg12534150,cg12838605,cg13124263,cg13255285,cg13441691,cg13468041,cg13615650,cg13641837,cg13668129,cg14095000,cg14263628,cg14600813,cg15296664,cg15444947,cg15520606,cg15787712,cg15872329,cg15974416,cg16020410,cg16167741,cg16737422,cg17378535,cg17475381,cg17842157,cg18146506,cg18158385,cg18430082,cg18458942,cg18733757,cg18947032,cg19226866,cg19733736,cg19919828,cg20303303,cg20366110,cg20497627,cg20770003,cg21261027,cg21340621,cg21647780,cg22114393,cg23295127,cg23318560,cg23697400,cg24285919,cg24790297,cg24900663,cg25153824,cg25382848,cg26082368,cg26353469,cg26376157,cg26609906,cg26646903	NA	1.00e+00
-2.423	9.97e-01	CD14-positive_CD16-negative_classical_monocyte	Venous Blood	DHS	C001UY46.DNase.hotspot_v3.20130415.bed.gz	cg00213123,cg00338702,cg00423700,cg00606841,cg00624150,cg00689340,cg01119831,cg01121712,cg01643605,cg01822573,cg02018465,cg02086195,cg02136628,cg02330706,cg02343823,cg02472998,cg02919585,cg02987471,cg03266992,cg03297731,cg03438692,cg03768925,cg04021674,cg04024904,cg04045544,cg04059188,cg04067573,cg04094723,cg04220930,cg04371528,cg04390143,cg04436755,cg04476427,cg04597312,cg04844495,cg04847533,cg05042743,cg05072457,cg05142115,cg05390018,cg05543458,cg05691629,cg05871997,cg06315390,cg06390536,cg07026433,cg07078841,cg07109238,cg07175290,cg07248136,cg07248223,cg07495704,cg07529210,cg07556134,cg07565540,cg07657142,cg07678644,cg07745373,cg07920525,cg07966140,cg08663969,cg08706567,cg08804807,cg09027133,cg09113915,cg09119797,cg09188016,cg09243021,cg09327714,cg09328979,cg09364338,cg09395443,cg09410607,cg09495303,cg09806262,cg09862219,cg10046620,cg10124491,cg10284662,cg10348643,cg10380585,cg10561067,cg10607899,cg11331988,cg11402700,cg11433553,cg11580493,cg11592497,cg11777890,cg11886358,cg11953254,cg12146864,cg12147622,cg12317811,cg12431087,cg12441184,cg12630461,cg12838605,cg13013841,cg13091627,cg13124263,cg13255285,cg13408344,cg13441691,cg13516655,cg13615650,cg13641837,cg13668129,cg13933692,cg13977526,cg14095000,cg14220764,cg14263628,cg14301190,cg14334298,cg14442492,cg14575053,cg14600813,cg15084823,cg15147435,cg15296664,cg15444947,cg15520606,cg15574301,cg15694422,cg15787712,cg15872329,cg15974416,cg16020410,cg16167741,cg16178878,cg16737422,cg16949674,cg17191872,cg17378535,cg17414431,cg17475381,cg17480145,cg17818196,cg17842157,cg18073970,cg18099189,cg18146506,cg18158385,cg18331412,cg18430082,cg18458942,cg18702971,cg18733757,cg18947032,cg19226866,cg19733736,cg19919828,cg19995197,cg20015535,cg20203114,cg20303303,cg20497627,cg20770003,cg21220551,cg21261027,cg21340621,cg21341645,cg21647780,cg22114393,cg22268231,cg23295127,cg23309046,cg23579062,cg23697400,cg24056567,cg24285919,cg24631526,cg24760848,cg24808711,cg24928378,cg25153824,cg25382848,cg25599242,cg25936839,cg26082368,cg26247880,cg26353469,cg26376157,cg26566415,cg26609906,cg26646903,cg26685515	NA	1.00e+00
-3.877	1.00e+00	CD14-positive_CD16-negative_classical_monocyte	Venous Blood	DHS	C0010K46.DNase.hotspot_v3.20130415.bed.gz	cg00624150,cg00958605,cg01121712,cg01404615,cg01822573,cg02018465,cg02086195,cg02136628,cg02260839,cg02330706,cg02472998,cg02919585,cg03209684,cg03266992,cg03297731,cg03768925,cg03919781,cg03959515,cg04021674,cg04045544,cg04059188,cg04067573,cg04371528,cg04390143,cg04597312,cg04847533,cg05042743,cg05072457,cg05142115,cg05313153,cg05390018,cg05403071,cg05451654,cg05543458,cg05691629,cg05871997,cg06315390,cg07026433,cg07078841,cg07109238,cg07175290,cg07248136,cg07248223,cg07529210,cg07565540,cg07657142,cg07678644,cg07903677,cg07920525,cg07966140,cg08804807,cg09027133,cg09099868,cg09113915,cg09119797,cg09163035,cg09188016,cg09243021,cg09495303,cg09806262,cg09862219,cg10046620,cg10065520,cg10124491,cg10284662,cg10348643,cg10380585,cg10582318,cg10607899,cg11331988,cg11402700,cg11433553,cg11592497,cg11777890,cg12146864,cg12317811,cg12431087,cg12441184,cg12534150,cg12630461,cg12838605,cg13013841,cg13124263,cg13255285,cg13408344,cg13516655,cg13615650,cg13641837,cg13668129,cg14095000,cg14220764,cg14263628,cg14334298,cg14442492,cg14575053,cg14600813,cg15296664,cg15444947,cg15520606,cg15694422,cg15787712,cg15872329,cg15974416,cg16020410,cg16071713,cg16167741,cg16178878,cg16737422,cg17191872,cg17378535,cg17475381,cg17480145,cg17818196,cg17842157,cg17928883,cg18073970,cg18331412,cg18430082,cg18458942,cg18733757,cg18947032,cg19108771,cg19226866,cg19305681,cg19733736,cg19919828,cg19995197,cg20015535,cg20303303,cg20340596,cg20483962,cg20497627,cg20770003,cg21261027,cg21340621,cg21341645,cg21554139,cg21647780,cg22114393,cg22268231,cg22593432,cg23295127,cg23309046,cg23318560,cg23697400,cg24285919,cg24760848,cg24928378,cg25153824,cg25192651,cg25382848,cg25599242,cg26247880,cg26353469,cg26376157,cg26609906,cg26646903,cg26685515	NA	1.00e+00
