Zscore	Pvalue	Cell	Tissue	File	Probe	Accession	Qvalue
1.624	8.86e-02	CD3	Blood	UW.CD3_Primary_Cells.ChromatinAccessibility.CB1_1-3-2011.DS17702.twopass.merge150.wgt10.zgt2.wig	cg00746981,cg01064957,cg01120308,cg01414934,cg01532103,cg02275294,cg02310296,cg03465320,cg03549127,cg03771255,cg03876622,cg03922337,cg04060163,cg04790874,cg04856203,cg05229898,cg05232067,cg05311623,cg05564251,cg06168050,cg06305609,cg06855803,cg07009002,cg08069899,cg08081725,cg08400120,cg08491964,cg08592230,cg08966023,cg09238677,cg09593286,cg10037068,cg10061117,cg10559803,cg11098259,cg11223864,cg11536940,cg11826116,cg12082568,cg12090388,cg12335708,cg12971694,cg13014406,cg13225039,cg13311440,cg13800022,cg14694232,cg15834294,cg16116363,cg16419345,cg17048483,cg17338403,cg17509612,cg17711870,cg17808849,cg18277508,cg18353563,cg19032144,cg19049316,cg19398783,cg19496782,cg19569684,cg19740763,cg19903333,cg20141916,cg20209009,cg20652889,cg21020082,cg21022247,cg21120786,cg22054191,cg22753607,cg23792364,cg24267801,cg24480859,cg24497819,cg24612198,cg25705900,cg25882366,cg25892434,cg26131019,cg26620356,cg26635603,cg26643856,cg27187881	GSM701525	1.00e+00
3.173	3.80e-03	CD3	Blood	UW.CD3_Primary_Cells.ChromatinAccessibility.CB6_1-4-2011.DS17706.twopass.merge150.wgt10.zgt2.wig	cg00226923,cg00746981,cg01064957,cg01120308,cg01414934,cg01532103,cg02310296,cg03072378,cg03549127,cg03763616,cg03771255,cg03876622,cg03922337,cg04060163,cg04398978,cg04790874,cg04856203,cg05229898,cg05232067,cg05311623,cg05367858,cg05564251,cg05825950,cg05920090,cg06168050,cg06305609,cg06378976,cg06529761,cg06855803,cg07009002,cg08491964,cg08592230,cg08955609,cg08966023,cg09238677,cg09593286,cg09604203,cg10037068,cg10559803,cg10639440,cg11223864,cg11378840,cg11536940,cg11826116,cg12082568,cg12090388,cg12335708,cg12971694,cg13225039,cg13311440,cg13800022,cg14088811,cg14694232,cg15512851,cg15528736,cg15834294,cg16116363,cg16177830,cg16419345,cg16580737,cg16826718,cg17048483,cg17509612,cg17711870,cg17808849,cg18277508,cg18353563,cg19032144,cg19049316,cg19186356,cg19398783,cg19569684,cg19614321,cg19740763,cg19848683,cg19903333,cg20141916,cg20209009,cg20652889,cg21020082,cg21022247,cg21120786,cg22054191,cg22425806,cg22753607,cg23447996,cg23792364,cg24267801,cg24480859,cg24497819,cg24805239,cg25705900,cg25892434,cg26620356,cg26635603,cg26643856,cg27187881,cg27465566	GSM701526	5.18e-01
1.850	6.52e-02	CD3	Blood	UW.CD3_Primary_Cells.ChromatinAccessibility.RO_01679.DS17198.twopass.merge150.wgt10.zgt2.wig	cg00746981,cg01064957,cg01120308,cg01414934,cg01532103,cg02275294,cg02310296,cg03465320,cg03549127,cg03771255,cg03922337,cg04060163,cg04790874,cg04856203,cg05229898,cg05232067,cg05311623,cg05564251,cg05825950,cg05920090,cg06168050,cg06305609,cg06378976,cg06855803,cg07009002,cg08069899,cg08081725,cg08400120,cg08491964,cg08592230,cg08966023,cg09238677,cg09593286,cg10037068,cg11223864,cg11536940,cg11826116,cg12082568,cg12090388,cg12335708,cg12916723,cg13014406,cg13021192,cg13225039,cg13311440,cg14694232,cg15052335,cg15512851,cg15834294,cg16116363,cg16408394,cg16419345,cg17048483,cg17338403,cg17509612,cg17711870,cg17808849,cg18277508,cg18353563,cg19032144,cg19049316,cg19398783,cg19496782,cg19569684,cg19614321,cg19740763,cg19848683,cg19903333,cg20141916,cg20209009,cg20652889,cg21020082,cg21022247,cg21120786,cg22054191,cg22425806,cg22753607,cg23792364,cg24235633,cg24267801,cg24497819,cg24612198,cg25705900,cg25882366,cg25892434,cg25902460,cg26131019,cg26620356,cg26635603,cg26643856,cg27187881,cg27465566	GSM665837	1.00e+00
3.171	4.69e-03	CD3	Blood	UW.CD3_Primary_Cells.ChromatinAccessibility.RO_01701.DS17534.twopass.merge150.wgt10.zgt2.wig	cg00746981,cg01064957,cg01120308,cg01414934,cg01532103,cg02275294,cg02310296,cg03072378,cg03465320,cg03549127,cg03771255,cg03876622,cg03922337,cg04060163,cg04398978,cg04790874,cg04856203,cg05229898,cg05232067,cg05311623,cg05367858,cg05564251,cg05825950,cg05920090,cg06168050,cg06305609,cg06378976,cg06855803,cg07009002,cg08069899,cg08081725,cg08400120,cg08491964,cg08592230,cg08955609,cg08966023,cg09238677,cg09593286,cg09604203,cg09914304,cg09941381,cg10037068,cg10061117,cg10559803,cg10639440,cg11223864,cg11378840,cg11536940,cg11826116,cg12044210,cg12082568,cg12090388,cg12335708,cg12916723,cg12971694,cg13014406,cg13021192,cg13225039,cg13299148,cg13311440,cg13800022,cg14088811,cg14694232,cg15052335,cg15512851,cg15834294,cg16116363,cg16408394,cg16419345,cg16826718,cg17048483,cg17338403,cg17509612,cg17711870,cg17808849,cg18277508,cg18353563,cg19032144,cg19049316,cg19186356,cg19398783,cg19496782,cg19569684,cg19614321,cg19740763,cg19903333,cg20141916,cg20209009,cg20652889,cg21020082,cg21022247,cg21120786,cg22054191,cg22425806,cg22753607,cg23792364,cg24235633,cg24267801,cg24497819,cg24612198,cg24805239,cg25705900,cg25882366,cg25892434,cg25902460,cg26131019,cg26620356,cg26635603,cg26643856,cg27187881,cg27465566	GSM701516	5.50e-01
2.501	1.80e-02	CD4_Mobilised	Blood	UW.Mobilized_CD4_Primary_Cells.ChromatinAccessibility.RO_01679.DS16955.twopass.merge150.wgt10.zgt2.wig	cg00746981,cg01064957,cg01120308,cg01414934,cg01532103,cg02275294,cg02310296,cg03072378,cg03549127,cg03771255,cg03876622,cg03922337,cg04060163,cg04398978,cg04790874,cg04856203,cg05229898,cg05232067,cg05311623,cg05367858,cg05564251,cg05825950,cg05920090,cg06168050,cg06305609,cg06378976,cg06855803,cg07009002,cg08069899,cg08081725,cg08400120,cg08491964,cg08592230,cg08955609,cg08966023,cg09238677,cg09593286,cg09914304,cg09941381,cg10037068,cg10061117,cg10559803,cg10639440,cg11223864,cg11536940,cg11826116,cg12082568,cg12090388,cg12335708,cg12916723,cg12971694,cg13014406,cg13021192,cg13225039,cg13311440,cg13800022,cg14088811,cg14694232,cg15489422,cg15834294,cg16097772,cg16116363,cg16408394,cg16419345,cg16826718,cg17048483,cg17142183,cg17338403,cg17509612,cg17711870,cg17808849,cg17942096,cg18125479,cg18277508,cg18353563,cg19032144,cg19049316,cg19103704,cg19186356,cg19398783,cg19569684,cg19614321,cg19740763,cg19903333,cg20141916,cg20209009,cg20652889,cg21020082,cg21022247,cg21120786,cg22054191,cg22425806,cg22753607,cg23792364,cg24235633,cg24267801,cg24497819,cg24612198,cg24805239,cg25705900,cg25882366,cg25892434,cg25902460,cg26131019,cg26620356,cg26635603,cg26643856,cg27187881,cg27465566	GSM701489	1.00e+00
2.715	1.04e-02	CD4_Mobilised	Blood	UW.Mobilized_CD4_Primary_Cells.ChromatinAccessibility.RO_01701.DS17175.twopass.merge150.wgt10.zgt2.wig	cg00746981,cg01064957,cg01120308,cg01414934,cg01532103,cg02275294,cg03549127,cg03771255,cg03922337,cg04060163,cg04398978,cg04790874,cg04856203,cg05229898,cg05232067,cg05311623,cg05367858,cg05564251,cg05825950,cg05920090,cg06168050,cg06305609,cg06378976,cg06855803,cg07009002,cg08069899,cg08081725,cg08400120,cg08491964,cg08592230,cg08966023,cg09237521,cg09238677,cg09593286,cg10037068,cg10061117,cg11098259,cg11223864,cg11378840,cg11536940,cg11826116,cg12082568,cg12090388,cg12335708,cg12916723,cg12966875,cg12971694,cg13014406,cg13021192,cg13225039,cg13311440,cg13800022,cg14694232,cg15052335,cg15512851,cg15834294,cg16116363,cg16408394,cg16419345,cg16826718,cg17048483,cg17142183,cg17338403,cg17509612,cg17711870,cg17808849,cg18125479,cg18277508,cg18353563,cg19032144,cg19049316,cg19103704,cg19398783,cg19569684,cg19614321,cg19740763,cg19848683,cg19903333,cg20141916,cg20209009,cg20652889,cg21020082,cg21022247,cg21120786,cg22054191,cg22425806,cg22753607,cg23792364,cg24235633,cg24267801,cg24480859,cg24497819,cg24612198,cg25705900,cg25882366,cg25892434,cg25902460,cg26131019,cg26620356,cg26635603,cg26643856,cg27187881	GSM701491	8.53e-01
2.801	9.53e-03	CD4	Blood	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01549.DS15947.twopass.merge150.wgt10.zgt2.wig	cg00746981,cg01064957,cg01120308,cg01357263,cg01414934,cg01532103,cg02275294,cg02310296,cg03072378,cg03465320,cg03549127,cg03771255,cg03876622,cg03922337,cg04060163,cg04398978,cg04856203,cg05229898,cg05232067,cg05311623,cg05367858,cg05564251,cg05825950,cg05920090,cg06168050,cg06305609,cg06378976,cg06855803,cg07009002,cg08069899,cg08081725,cg08400120,cg08491964,cg08592230,cg08966023,cg09238677,cg09593286,cg10061117,cg10559803,cg11098259,cg11223864,cg11378840,cg11536940,cg11826116,cg12082568,cg12090388,cg12335708,cg12971694,cg13021192,cg13225039,cg13299148,cg13311440,cg13800022,cg14088811,cg14694232,cg15052335,cg15834294,cg16116363,cg16408394,cg16419345,cg16826718,cg17048483,cg17142183,cg17338403,cg17509612,cg17711870,cg17808849,cg18125479,cg18277508,cg18353563,cg19032144,cg19049316,cg19186356,cg19398783,cg19614321,cg19740763,cg19848683,cg19903333,cg20141916,cg20209009,cg20652889,cg21020082,cg21022247,cg21120786,cg22054191,cg22425806,cg22753607,cg23792364,cg24235633,cg24267801,cg24480859,cg24497819,cg24612198,cg24805239,cg25705900,cg25882366,cg25892434,cg26131019,cg26620356,cg26635603,cg26643856,cg27187881	GSM665812	8.14e-01
2.018	4.67e-02	CD4	Blood	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01679.DS17212.twopass.merge150.wgt10.zgt2.wig	cg00746981,cg01064957,cg01120308,cg01532103,cg02275294,cg02310296,cg03465320,cg03549127,cg03763616,cg03771255,cg03922337,cg04060163,cg04790874,cg04856203,cg05229898,cg05232067,cg05311623,cg05367858,cg05564251,cg05825950,cg05920090,cg06168050,cg06305609,cg06378976,cg06855803,cg07009002,cg08069899,cg08081725,cg08400120,cg08491964,cg08592230,cg08966023,cg09238677,cg09593286,cg10037068,cg10639440,cg11098259,cg11223864,cg11536940,cg11826116,cg12082568,cg12090388,cg12335708,cg12966875,cg12971694,cg13014406,cg13225039,cg13299148,cg13311440,cg13800022,cg14694232,cg15052335,cg15834294,cg16097772,cg16116363,cg16408394,cg16419345,cg17048483,cg17142183,cg17509612,cg17711870,cg17808849,cg18277508,cg18353563,cg19032144,cg19398783,cg19496782,cg19614321,cg19740763,cg19903333,cg20141916,cg20209009,cg20652889,cg21020082,cg21022247,cg21120786,cg22054191,cg22425806,cg22753607,cg23792364,cg24235633,cg24267801,cg24480859,cg24497819,cg24612198,cg24805239,cg25705900,cg25882366,cg25892434,cg25902460,cg26131019,cg26620356,cg26635603,cg26643856,cg27187881,cg27465566	GSM665839	1.00e+00
2.478	2.08e-02	CD4	Blood	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01689.DS17329.twopass.merge150.wgt10.zgt2.wig	cg00746981,cg01064957,cg01120308,cg01357263,cg01532103,cg02275294,cg02310296,cg03549127,cg03771255,cg03876622,cg03922337,cg04060163,cg04398978,cg04790874,cg04856203,cg05229898,cg05232067,cg05311623,cg05367858,cg05564251,cg06168050,cg06305609,cg06378976,cg06855803,cg07009002,cg08069899,cg08081725,cg08400120,cg08592230,cg08955609,cg08966023,cg09238677,cg09593286,cg09604203,cg09914304,cg10037068,cg10061117,cg10559803,cg10639440,cg11223864,cg11378840,cg11536940,cg11826116,cg12044210,cg12082568,cg12090388,cg12335708,cg12916723,cg12971694,cg13014406,cg13021192,cg13225039,cg13299148,cg13311440,cg13800022,cg14088811,cg14694232,cg15052335,cg15528736,cg15834294,cg16092786,cg16116363,cg16177830,cg16408394,cg16419345,cg16580737,cg17048483,cg17338403,cg17509612,cg17711870,cg17808849,cg18125479,cg18277508,cg18353563,cg19032144,cg19049316,cg19398783,cg19569684,cg19614321,cg19740763,cg19903333,cg20141916,cg20209009,cg20652889,cg21020082,cg21022247,cg21120786,cg22054191,cg22425806,cg22753607,cg23792364,cg24235633,cg24267801,cg24480859,cg24497819,cg24612198,cg24805239,cg25705900,cg25882366,cg25892434,cg25902460,cg25906419,cg26131019,cg26620356,cg26635603,cg26643856,cg27187881,cg27465566	GSM817166	1.00e+00
1.802	7.40e-02	CD4	Blood	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01701.DS17881.twopass.merge150.wgt10.zgt2.wig	cg00746981,cg01064957,cg01120308,cg01357263,cg01532103,cg02275294,cg02310296,cg03549127,cg03771255,cg03922337,cg04060163,cg04790874,cg04856203,cg05229898,cg05232067,cg05311623,cg05367858,cg05564251,cg05825950,cg05920090,cg06168050,cg06305609,cg06378976,cg06855803,cg08069899,cg08400120,cg08592230,cg08966023,cg09237521,cg09238677,cg09593286,cg09604203,cg09914304,cg09941381,cg10061117,cg10559803,cg10639440,cg11098259,cg11223864,cg11378840,cg11536940,cg11826116,cg12082568,cg12090388,cg12335708,cg12916723,cg12971694,cg13021192,cg13225039,cg13299148,cg13311440,cg13800022,cg14088811,cg14694232,cg15052335,cg15512851,cg15834294,cg16116363,cg16408394,cg16419345,cg17048483,cg17142183,cg17509612,cg17711870,cg17808849,cg18277508,cg18353563,cg19032144,cg19049316,cg19186356,cg19398783,cg19496782,cg19569684,cg19614321,cg19740763,cg19903333,cg20141916,cg20209009,cg20652889,cg21020082,cg21022247,cg21120786,cg22054191,cg22425806,cg22753607,cg23792364,cg24235633,cg24267801,cg24497819,cg24612198,cg25705900,cg25882366,cg25892434,cg25902460,cg26131019,cg26620356,cg26635603,cg26643856,cg27187881,cg27465566	GSM701539	1.00e+00
