Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
4.153	6.08e-04	E029 Primary monocytes from peripheral blood	Blood	H3K4me3	E029-H3K4me3.broadPeak.gz	cg00159243,cg01059398,cg01409343,cg02341197,cg02481950,cg02650017,cg08548559,cg09182678,cg10636246,cg12269535,cg17501210,cg18181703,cg18608055,cg18663307,cg21429551,cg26470501,cg27023597	E029	2.63e-02
3.231	3.46e-03	E032 Primary B cells from peripheral blood	Blood	H3K4me3	E032-H3K4me3.broadPeak.gz	cg01409343,cg02003183,cg02650017,cg02734358,cg03957124,cg04523589,cg06192883,cg07094298,cg08548559,cg09182678,cg10636246,cg12269535,cg15551881,cg17501210,cg18181703,cg18608055,cg18663307,cg21429551,cg26470501,cg27023597	E032	6.38e-02
3.164	3.91e-03	E033 Primary T cells from cord blood	Blood	H3K4me3	E033-H3K4me3.broadPeak.gz	cg00159243,cg00851028,cg01059398,cg01409343,cg02650017,cg02734358,cg03957124,cg06690548,cg08548559,cg09182678,cg12269535,cg15020801,cg15551881,cg18181703,cg18608055,cg18663307,cg19821297,cg21429551,cg25325512,cg26470501	E033	6.48e-02
3.643	1.08e-03	E034 Primary T cells from peripheral blood	Blood	H3K4me3	E034-H3K4me3.broadPeak.gz	cg00159243,cg01059398,cg01409343,cg02650017,cg02734358,cg03957124,cg06192883,cg08548559,cg09182678,cg10636246,cg12269535,cg15020801,cg15551881,cg18181703,cg18608055,cg18663307,cg19821297,cg21429551,cg25325512,cg25392060,cg26470501,cg27023597	E034	2.98e-02
3.240	3.21e-03	E046 Primary Natural Killer cells from peripheral 	Blood	H3K4me3	E046-H3K4me3.broadPeak.gz	cg00159243,cg01059398,cg01409343,cg02650017,cg02734358,cg03957124,cg06192883,cg08548559,cg09182678,cg10636246,cg12269535,cg15551881,cg18181703,cg18608055,cg18663307,cg21429551,cg25325512,cg26470501,cg27023597	E046	6.38e-02
2.730	8.91e-03	E050 Primary hematopoietic stem cells G-CSF-mobili	Blood	H3K4me3	E050-H3K4me3.broadPeak.gz	cg00159243,cg01059398,cg01409343,cg02650017,cg02734358,cg04523589,cg05575921,cg06192883,cg06690548,cg07573872,cg08548559,cg09182678,cg12269535,cg15551881,cg18181703,cg18608055,cg18663307,cg19821297,cg20995564,cg21429551,cg24174557,cg25325512,cg26470501,cg27023597	E050	1.14e-01
4.765	2.87e-05	E051 Primary hematopoietic stem cells G-CSF-mobili	Blood	H3K4me3	E051-H3K4me3.broadPeak.gz	cg00159243,cg01059398,cg01409343,cg02003183,cg02341197,cg02650017,cg02734358,cg03957124,cg05575921,cg06126421,cg06192883,cg06690548,cg08548559,cg09182678,cg12269535,cg12992827,cg15551881,cg17501210,cg18181703,cg18608055,cg18663307,cg19821297,cg21429551,cg24174557,cg25325512,cg26470501,cg27023597,cg27050612	E051	4.76e-03
0.864	2.39e-01	E028 Breast variant Human Mammary Epithelial Cells	Breast	H3K4me3	E028-H3K4me3.broadPeak.gz	cg01409343,cg02650017,cg05316065,cg06126421,cg06690548,cg07094298,cg07573872,cg09182678,cg10636246,cg12269535,cg13585930,cg17501210,cg18181703,cg18608055,cg19821297,cg21429551,cg24174557,cg26470501,cg27023597,cg27469606	E028	1.00e+00
1.139	1.94e-01	E003 H1 Cells	ES Cell	H3K4me3	E003-H3K4me3.broadPeak.gz	cg01409343,cg02481950,cg02650017,cg02734358,cg05575921,cg06192883,cg06690548,cg08548559,cg09182678,cg12053291,cg12269535,cg18181703,cg21429551,cg25325512,cg27023597,cg27050612	E003	1.00e+00
0.119	5.14e-01	E004 H1 BMP4 Derived Mesendoderm Cultured Cells	ES Cell	H3K4me3	E004-H3K4me3.broadPeak.gz	cg01409343,cg02734358,cg06690548,cg12269535,cg12992827,cg13585930,cg18181703,cg21429551,cg27023597,cg27050612	E004	1.00e+00
-0.749	8.09e-01	E005 H1 BMP4 Derived Trophoblast Cultured Cells	ES Cell	H3K4me3	E005-H3K4me3.broadPeak.gz	cg00851028,cg01409343,cg02341197,cg02481950,cg02650017,cg02734358,cg03957124,cg05575921,cg06690548,cg07094298,cg09182678,cg12269535,cg15020801,cg17980786,cg18181703,cg18608055,cg18663307,cg19821297,cg21429551,cg25392060,cg27023597,cg27050612	E005	1.00e+00
-0.342	6.84e-01	E006 H1 Derived Mesenchymal Stem Cells	ES Cell	H3K4me3	E006-H3K4me3.broadPeak.gz	cg00812761,cg00851028,cg01409343,cg02003183,cg02650017,cg04523589,cg05575921,cg06690548,cg07094298,cg07573872,cg08548559,cg09182678,cg12053291,cg12269535,cg15020801,cg18181703,cg18608055,cg18663307,cg19769147,cg21429551,cg25325512,cg26804423,cg26846781,cg27023597,cg27050612	E006	1.00e+00
1.967	3.79e-02	E007 H1 Derived Neuronal Progenitor Cultured Cells	ES Cell	H3K4me3	E007-H3K4me3.broadPeak.gz	cg00812761,cg00851028,cg01059398,cg01409343,cg02003183,cg02341197,cg02481950,cg02650017,cg02734358,cg04523589,cg05316065,cg06690548,cg07573872,cg08548559,cg09182678,cg12269535,cg13585930,cg15020801,cg15551881,cg17501210,cg17980786,cg18181703,cg18608055,cg19769147,cg19821297,cg21429551,cg25325512,cg26470501,cg26804423,cg26846781,cg27050612,cg27184903	E007	3.93e-01
1.782	5.89e-02	E008 H9 Cells	ES Cell	H3K4me3	E008-H3K4me3.broadPeak.gz	cg01409343,cg02481950,cg02650017,cg04523589,cg06690548,cg08548559,cg09182678,cg10636246,cg12053291,cg12269535,cg12992827,cg13585930,cg15551881,cg17980786,cg18181703,cg18663307,cg19769147,cg19821297,cg21429551,cg25325512,cg26804423,cg26846781,cg27023597,cg27050612,cg27469606	E008	5.15e-01
1.646	9.64e-02	E085 Fetal Intestine Small	Feta Intestine Small	H3K4me3	E085-H3K4me3.broadPeak.gz	cg01059398,cg01409343,cg02341197,cg02650017,cg02734358,cg06690548,cg08548559,cg09182678,cg12269535,cg13585930,cg18181703,cg18608055,cg19821297,cg21429551,cg25325512,cg25392060,cg26470501,cg27023597,cg27050612	E085	6.66e-01
1.246	1.59e-01	E080 Fetal Adrenal Gland	Fetal Adrenal Gland	H3K4me3	E080-H3K4me3.broadPeak.gz	cg01409343,cg02650017,cg05575921,cg06690548,cg08548559,cg09182678,cg12053291,cg12269535,cg15551881,cg18181703,cg19821297,cg21429551,cg23761815,cg26470501,cg27023597,cg27050612	E080	1.00e+00
0.042	5.44e-01	E081 Fetal Brain Male	Fetal Brain	H3K4me3	E081-H3K4me3.broadPeak.gz	cg01409343,cg02734358,cg06192883,cg06690548,cg12269535,cg12992827,cg19821297,cg21429551,cg27023597	E081	1.00e+00
1.013	2.31e-01	E082 Fetal Brain Female	Fetal Brain	H3K4me3	E082-H3K4me3.broadPeak.gz	cg01409343,cg02650017,cg02734358,cg06126421,cg06192883,cg06690548,cg08548559,cg09182678,cg12269535,cg18181703,cg19821297,cg21429551,cg25325512,cg27023597,cg27050612	E082	1.00e+00
1.544	9.03e-02	E083 Fetal Heart	Fetal Heart	H3K4me3	E083-H3K4me3.broadPeak.gz	cg00851028,cg01409343,cg02650017,cg02734358,cg03957124,cg06126421,cg06690548,cg08548559,cg12269535,cg15721584,cg17501210,cg18181703,cg19821297,cg21429551,cg25325512,cg25392060,cg26470501,cg26804423,cg27023597,cg27050612,cg27184903	E083	6.66e-01
0.685	3.17e-01	E084 Fetal Intestine Large	Fetal Intestine Large	H3K4me3	E084-H3K4me3.broadPeak.gz	cg01409343,cg02650017,cg02734358,cg05575921,cg06690548,cg08548559,cg09182678,cg12269535,cg18181703,cg19821297,cg21429551,cg25325512,cg26470501,cg27023597	E084	1.00e+00
1.811	6.75e-02	E086 Fetal Kidney	Fetal Kidney	H3K4me3	E086-H3K4me3.broadPeak.gz	cg01409343,cg02003183,cg02341197,cg02650017,cg02734358,cg03957124,cg04523589,cg06690548,cg08548559,cg12053291,cg12269535,cg18181703,cg19821297,cg21429551,cg25392060,cg26470501,cg27023597,cg27050612	E086	5.60e-01
0.834	2.47e-01	E088 Fetal Lung	Fetal Lung	H3K4me3	E088-H3K4me3.broadPeak.gz	cg00851028,cg01059398,cg01409343,cg02341197,cg02734358,cg03957124,cg06690548,cg08548559,cg09182678,cg12269535,cg12992827,cg15310871,cg18181703,cg19821297,cg20995564,cg21429551,cg24174557,cg25325512,cg26470501,cg27023597,cg27184903	E088	1.00e+00
1.978	5.57e-02	E090 Fetal Muscle Leg	Fetal Muscle Leg	H3K4me3	E090-H3K4me3.broadPeak.gz	cg01409343,cg02341197,cg02650017,cg02734358,cg06690548,cg08548559,cg09182678,cg12269535,cg15551881,cg18181703,cg18608055,cg18663307,cg19821297,cg21429551,cg25325512,cg26470501,cg27023597	E090	5.14e-01
2.913	7.34e-03	E089 Fetal Muscle Trunk	Fetal Muscle Trunk	H3K4me3	E089-H3K4me3.broadPeak.gz	cg01409343,cg02341197,cg02650017,cg02734358,cg03957124,cg06690548,cg09182678,cg12053291,cg12269535,cg17501210,cg18181703,cg18608055,cg18663307,cg19769147,cg19821297,cg21429551,cg25325512,cg26470501,cg26804423,cg27023597,cg27050612	E089	1.01e-01
0.810	2.78e-01	E092 Fetal Stomach	Fetal Stomach	H3K4me3	E092-H3K4me3.broadPeak.gz	cg01409343,cg02650017,cg02734358,cg05575921,cg06690548,cg08548559,cg09182678,cg12269535,cg18181703,cg18663307,cg19821297,cg21429551,cg25325512,cg26470501,cg27023597	E092	1.00e+00
3.623	7.92e-04	E093 Fetal Thymus	Fetal Thymus	H3K4me3	E093-H3K4me3.broadPeak.gz	cg00159243,cg00812761,cg01059398,cg01409343,cg02650017,cg02734358,cg05575921,cg06192883,cg06690548,cg08548559,cg09182678,cg12269535,cg13585930,cg15020801,cg15310871,cg15551881,cg18181703,cg18608055,cg18663307,cg19821297,cg21429551,cg25325512,cg26470501,cg27023597,cg27184903	E093	2.63e-02
1.861	4.78e-02	E094 Gastric	Gastric	H3K4me3	E094-H3K4me3.broadPeak.gz	cg00159243,cg00851028,cg01409343,cg02003183,cg02481950,cg02650017,cg02734358,cg03957124,cg04523589,cg05575921,cg06690548,cg07094298,cg08548559,cg09182678,cg12053291,cg12269535,cg12992827,cg13585930,cg15020801,cg17501210,cg17980786,cg18181703,cg18608055,cg18663307,cg19769147,cg21429551,cg25325512,cg26470501,cg26846781,cg27023597,cg27184903,cg27469606	E094	4.66e-01
0.566	3.52e-01	E021 iPS DF 6.9 Cells	IPS cell	H3K4me3	E021-H3K4me3.broadPeak.gz	cg00812761,cg01409343,cg02650017,cg05575921,cg06690548,cg07573872,cg08548559,cg09182678,cg12269535,cg17501210,cg17980786,cg18181703,cg19769147,cg19821297,cg21429551,cg25392060,cg27023597,cg27050612	E021	1.00e+00
0.189	4.84e-01	E022 iPS DF 19.11 Cells	IPS cell	H3K4me3	E022-H3K4me3.broadPeak.gz	cg00159243,cg00851028,cg01409343,cg02003183,cg02481950,cg02650017,cg04523589,cg05575921,cg06690548,cg09182678,cg12269535,cg18181703,cg19769147,cg19821297,cg21429551,cg25325512,cg27023597,cg27050612,cg27184903,cg27469606	E022	1.00e+00
1.616	9.33e-02	E017 IMR90 fetal lung fibroblasts Cell Line	Lung	H3K4me3	E017-H3K4me3.broadPeak.gz	cg01409343,cg02650017,cg06126421,cg06690548,cg07094298,cg09182678,cg12269535,cg18181703,cg18608055,cg19821297,cg21429551,cg25392060,cg26470501,cg27023597	E017	6.66e-01
-0.619	7.73e-01	E097 Ovary	Ovary	H3K4me3	E097-H3K4me3.broadPeak.gz	cg01409343,cg02341197,cg02734358,cg03128029,cg12269535,cg18181703,cg21429551,cg25392060,cg26470501,cg27023597	E097	1.00e+00
1.227	1.59e-01	E098 Pancreas	Pancreas	H3K4me3	E098-H3K4me3.broadPeak.gz	cg01059398,cg01409343,cg02341197,cg02650017,cg02734358,cg05575921,cg06192883,cg06690548,cg07094298,cg07573872,cg08548559,cg09182678,cg12053291,cg12269535,cg15020801,cg18181703,cg18608055,cg19821297,cg21429551,cg25325512,cg26470501,cg27023597,cg27469606	E098	1.00e+00
2.293	3.46e-02	E091 Placenta	Placenta	H3K4me3	E091-H3K4me3.broadPeak.gz	cg00159243,cg01059398,cg01409343,cg02650017,cg02734358,cg06690548,cg07094298,cg08548559,cg09182678,cg12269535,cg18181703,cg18608055,cg18663307,cg21429551,cg25325512,cg26470501,cg27023597	E091	3.83e-01
1.675	8.80e-02	E100 Psoas Muscle	Psoas Muscle	H3K4me3	E100-H3K4me3.broadPeak.gz	cg01409343,cg02650017,cg02734358,cg03128029,cg05316065,cg08548559,cg09182678,cg12269535,cg15310871,cg17501210,cg18181703,cg19821297,cg21429551,cg24174557,cg26470501,cg27023597	E100	6.66e-01
