Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
-5.211	1.00e+00	E063 Adipose Nuclei	Adipose	TssA	erc2-chromatin15state-all-files/E063_1_TssA.bed	cg00218406,cg00501622,cg02642117,cg02833588,cg03546163,cg06021552,cg08529529,cg12486287,cg13698613,cg24766030,cg26257082,cg27577907	E063	1.00e+00
3.269	7.63e-03	E063 Adipose Nuclei	Adipose	TssAFlnk	erc2-chromatin15state-all-files/E063_2_TssAFlnk.bed	cg00049440,cg00346446,cg00350296,cg00357551,cg00501876,cg00533183,cg00729699,cg00799984,cg00813162,cg00930606,cg01004980,cg01022370,cg01684586,cg01844235,cg01885635,cg01933228,cg01966117,cg02215171,cg02968508,cg02977524,cg03074946,cg03450635,cg03519879,cg03958883,cg04023434,cg04086928,cg04173586,cg04682133,cg04864179,cg05257275,cg05339037,cg05516004,cg05544807,cg05670953,cg05681757,cg05958351,cg06158227,cg06244417,cg06559575,cg06560379,cg06975311,cg06983052,cg07211476,cg07443529,cg07520810,cg07615364,cg07827420,cg07888884,cg07904865,cg08062273,cg08537847,cg08604596,cg08727202,cg09147843,cg09182678,cg09183671,cg09478591,cg09537279,cg09581226,cg09802688,cg10755077,cg10759293,cg10960375,cg10975897,cg11032810,cg11143953,cg11405200,cg11498582,cg11701312,cg12013713,cg12120406,cg12259792,cg12303084,cg12396368,cg12474798,cg12498580,cg12559925,cg12853742,cg13091627,cg13442969,cg13656831,cg13832201,cg14195992,cg14897188,cg15146567,cg15260921,cg15432711,cg15763670,cg15804598,cg16113254,cg16407699,cg16587010,cg16618493,cg16702313,cg16988611,cg17378803,cg17907525,cg17915189,cg18352516,cg18590502,cg18642234,cg18651578,cg18844163,cg19018709,cg19862899,cg19908768,cg20777437,cg20898283,cg21483092,cg21698310,cg21960364,cg22039458,cg22164298,cg22221831,cg22441770,cg22530519,cg22580512,cg23048494,cg23679992,cg24163210,cg24375627,cg24819835,cg24860589,cg24902842,cg24996979,cg25317746,cg25941075,cg26547506,cg27278843,cg27366007,cg27370104,cg27653384,cg27660627	E063	3.14e-01
6.581	7.95e-06	E063 Adipose Nuclei	Adipose	TxFlnk	erc2-chromatin15state-all-files/E063_3_TxFlnk.bed	cg04264002,cg06644515,cg10955164,cg11133226,cg11789371,cg13981001,cg14145185,cg15648041,cg16052901,cg19136673,cg19946376,cg20722088,cg23533285,cg26718213	E063	5.47e-04
-0.432	8.81e-01	E063 Adipose Nuclei	Adipose	Tx	erc2-chromatin15state-all-files/E063_4_Tx.bed	cg00013733,cg00105306,cg00193959,cg00366037,cg00403579,cg00489795,cg00664021,cg00826902,cg01211396,cg02059849,cg02455792,cg02712949,cg02973084,cg02980000,cg03297731,cg03517919,cg03670228,cg03721291,cg03877174,cg04094640,cg04260584,cg05075416,cg05089897,cg05417607,cg06024215,cg06296597,cg07093539,cg07105409,cg07697428,cg07988171,cg08064672,cg08080174,cg08329754,cg08802944,cg08894588,cg08937734,cg09197783,cg09232727,cg09466818,cg09711214,cg10027245,cg10295552,cg11095027,cg11460110,cg11471262,cg12065228,cg12087627,cg12485386,cg13085627,cg13669080,cg13859589,cg14531564,cg14690467,cg14976569,cg15197657,cg15645757,cg17097293,cg17468855,cg17975379,cg18315935,cg18398753,cg18505752,cg18702971,cg18722504,cg19267205,cg19458497,cg19570155,cg19811144,cg20054309,cg20674658,cg20761853,cg20947553,cg22623033,cg22825871,cg23549385,cg23599026,cg24009439,cg24143611,cg24208886,cg24395387,cg24423806,cg25302603,cg25806591,cg26014994,cg26432350,cg26728282,cg26921611,cg27148452,cg27586207	E063	1.00e+00
0.054	7.81e-01	E063 Adipose Nuclei	Adipose	TxWk	erc2-chromatin15state-all-files/E063_5_TxWk.bed	cg00024471,cg00094412,cg00131893,cg00313685,cg00769590,cg00958412,cg00968616,cg01243312,cg01447828,cg01545493,cg01660999,cg01901101,cg02086839,cg02203067,cg02239377,cg02358653,cg02578470,cg02794990,cg04011474,cg04085571,cg04182865,cg04189320,cg04562757,cg04583842,cg05002190,cg05119988,cg05249744,cg05261759,cg05303899,cg05391998,cg05790989,cg05851887,cg05949667,cg06008406,cg06653796,cg06737484,cg06807905,cg06997767,cg07054804,cg07242931,cg07551060,cg08142848,cg08763102,cg08872425,cg08929626,cg08998950,cg10005565,cg10031769,cg10173620,cg10371155,cg11223735,cg11564652,cg11751117,cg11795488,cg11924638,cg11941929,cg11997536,cg12728588,cg12993663,cg13001142,cg13126206,cg13344587,cg13461821,cg13544027,cg13561409,cg13567986,cg13618111,cg13839391,cg13885609,cg13942826,cg14519777,cg14930065,cg14995235,cg15068641,cg15467116,cg15903956,cg15962267,cg16196506,cg16339915,cg16886828,cg16950726,cg17183174,cg17306706,cg17944885,cg18194850,cg18771737,cg19610615,cg20138067,cg20732160,cg20822884,cg20965527,cg21029167,cg21507987,cg21586223,cg21898299,cg22023664,cg22615330,cg22753611,cg22799757,cg22801913,cg23227726,cg23533927,cg23597162,cg23944572,cg24112628,cg25326952,cg25711239,cg25720264,cg25839744,cg26009832,cg26068595,cg26252592,cg26920808,cg27589594	E063	1.00e+00
6.366	4.38e-07	E063 Adipose Nuclei	Adipose	EnhG	erc2-chromatin15state-all-files/E063_6_EnhG.bed	cg00088797,cg01465769,cg01801191,cg02003183,cg02079413,cg02304370,cg02647929,cg03281139,cg03507593,cg03885055,cg04816311,cg05143420,cg06017697,cg06141561,cg06266100,cg06380320,cg08237401,cg09641127,cg10276404,cg12491115,cg12644285,cg12647283,cg12836643,cg14120703,cg14469436,cg14478589,cg15378913,cg16151960,cg17397836,cg17540192,cg19051213,cg22260625,cg23659289,cg23782083,cg23903708,cg24207616,cg24714606,cg26039141,cg26227957,cg26234885,cg26924825,cg27128761,cg27652459	E063	3.59e-05
13.283	1.11e-29	E063 Adipose Nuclei	Adipose	Enh	erc2-chromatin15state-all-files/E063_7_Enh.bed	cg00247963,cg00370047,cg00375581,cg00611192,cg00802237,cg00944304,cg01068906,cg01097897,cg01219553,cg01300684,cg01403010,cg01439754,cg01695994,cg01731783,cg01799015,cg01811583,cg01947583,cg02145310,cg02183564,cg02314339,cg02402423,cg02467956,cg02497046,cg02543993,cg02729030,cg02913882,cg03066323,cg03096954,cg03165378,cg03217337,cg03318904,cg03413355,cg03445151,cg03450842,cg03485667,cg03590328,cg03630596,cg03919488,cg03919650,cg04113258,cg04299274,cg04428662,cg04578362,cg04609499,cg04674832,cg04852339,cg04880052,cg05132782,cg05201300,cg05235344,cg05439368,cg05503062,cg05527044,cg05874806,cg05915362,cg05927789,cg05969150,cg05987787,cg06016427,cg06048102,cg06638529,cg06690548,cg06773488,cg06823060,cg07248223,cg07248440,cg07440264,cg07589342,cg07714319,cg07815238,cg08161325,cg08170911,cg08307171,cg08354053,cg08511818,cg08796240,cg08843513,cg08960830,cg09010791,cg09022230,cg09039672,cg09264489,cg09354294,cg09479650,cg09530438,cg09610644,cg09797463,cg10163377,cg10254082,cg10374499,cg10427868,cg10540573,cg10557584,cg10632966,cg10750182,cg10779317,cg10811945,cg10831642,cg10889792,cg10913077,cg11290998,cg11466832,cg11555067,cg11935041,cg12041266,cg12137220,cg12467090,cg12756527,cg12771852,cg12893030,cg13054523,cg13142374,cg13408344,cg13551141,cg13641778,cg13819552,cg14012686,cg14029001,cg14239983,cg14322343,cg14369329,cg14382215,cg14438453,cg14439774,cg14507845,cg14750778,cg14959425,cg14962049,cg15106082,cg15536947,cg15701612,cg15872079,cg15996397,cg16095551,cg16100721,cg16143049,cg16230626,cg16260349,cg16292768,cg16389345,cg16410171,cg16420340,cg16527877,cg16544989,cg16734795,cg16735495,cg16739178,cg16834011,cg16855355,cg16999602,cg17117243,cg17237804,cg17511532,cg17823346,cg18655522,cg18885210,cg19138865,cg19358608,cg19408882,cg19837174,cg19908207,cg20004659,cg20146909,cg20401130,cg20505728,cg20713968,cg20782117,cg20970369,cg21340821,cg21382567,cg21680729,cg22007809,cg22025064,cg22266072,cg22386583,cg22534374,cg22593432,cg22755445,cg22804528,cg22825202,cg23184690,cg23205886,cg23304647,cg23329411,cg23509869,cg23712594,cg23878206,cg24052964,cg24136700,cg24260327,cg24405951,cg24429533,cg24497361,cg25247177,cg25364972,cg25389328,cg25423174,cg25550425,cg25561401,cg25799109,cg26033520,cg26091131,cg26099045,cg26488978,cg26577252,cg26618703,cg26912602,cg26916780,cg27118035,cg27493411	E063	6.37e-27
-0.692	8.45e-01	E063 Adipose Nuclei	Adipose	ZNF-Rpts	erc2-chromatin15state-all-files/E063_8_ZNF-Rpts.bed	cg04070976,cg14947846,cg16428517	E063	1.00e+00
0.622	3.93e-01	E063 Adipose Nuclei	Adipose	Het	erc2-chromatin15state-all-files/E063_9_Het.bed	cg00981060,cg02260750,cg03986311,cg04610667,cg07564837,cg10118456,cg10288307,cg11220732,cg13840174,cg20475114,cg24307601	E063	1.00e+00
-1.125	9.30e-01	E063 Adipose Nuclei	Adipose	TssBiv	erc2-chromatin15state-all-files/E063_10_TssBiv.bed	cg00699898,cg01419539	E063	1.00e+00
