Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
-0.740	8.66e-01	E063 Adipose Nuclei	Adipose	TssA	erc2-chromatin15state-all-files/E063_1_TssA.bed	cg00218406,cg11544657,cg12054453,cg17803993	E063	1.00e+00
2.216	5.72e-02	E063 Adipose Nuclei	Adipose	TssAFlnk	erc2-chromatin15state-all-files/E063_2_TssAFlnk.bed	cg00959259,cg01243823,cg01309328,cg01595951,cg02010481,cg02716826,cg03124318,cg06362313,cg07839457,cg08683263,cg08818207,cg08850169,cg12170787,cg12269535,cg13984040,cg20316440,cg20408175,cg20898283,cg22129276,cg25353281,cg26470501,cg27660627	E063	1.00e+00
20.465	1.09e-12	E063 Adipose Nuclei	Adipose	TxFlnk	erc2-chromatin15state-all-files/E063_3_TxFlnk.bed	cg00340855,cg01517384,cg08507178,cg10601943,cg13031097,cg17394978,cg17972213,cg18181703,cg20408505,cg24704287,cg26392102,cg27023597	E063	2.40e-09
-0.004	6.57e-01	E063 Adipose Nuclei	Adipose	Tx	erc2-chromatin15state-all-files/E063_4_Tx.bed	cg01498832,cg04120520,cg04993082,cg07333021,cg07467649,cg07573872,cg08894588,cg09481056,cg12394289,cg13618969,cg16448702,cg20595453,cg22221575,cg23387863,cg23599026,cg26250129,cg26607897	E063	1.00e+00
-1.938	9.92e-01	E063 Adipose Nuclei	Adipose	TxWk	erc2-chromatin15state-all-files/E063_5_TxWk.bed	cg01252219,cg09245302,cg11354682,cg12483947,cg12728588,cg12949141,cg18650626,cg19604369,cg23648810,cg24691964,cg25132241	E063	1.00e+00
3.608	5.38e-03	E063 Adipose Nuclei	Adipose	EnhG	erc2-chromatin15state-all-files/E063_6_EnhG.bed	cg00741986,cg01357892,cg02297838,cg03370752,cg09018739,cg09912552,cg17446956,cg26227957,cg27128761	E063	3.56e-01
5.682	1.39e-06	E063 Adipose Nuclei	Adipose	Enh	erc2-chromatin15state-all-files/E063_7_Enh.bed	cg00221794,cg01127300,cg01616956,cg01649611,cg03055021,cg03290827,cg05439368,cg05554494,cg06391412,cg07948085,cg08904394,cg08913523,cg09479650,cg09610644,cg11849692,cg12419318,cg12680205,cg13028635,cg13359998,cg13458609,cg14016418,cg16306654,cg16909914,cg19149463,cg22953759,cg22959742,cg23172671,cg23480341,cg23547429,cg23691006,cg23876292,cg25220990,cg25364972,cg26172016	E063	2.99e-04
-2.012	1.00e+00	E063 Adipose Nuclei	Adipose	ZNF-Rpts	erc2-chromatin15state-all-files/E063_8_ZNF-Rpts.bed		E063	1.00e+00
-1.844	1.00e+00	E063 Adipose Nuclei	Adipose	Het	erc2-chromatin15state-all-files/E063_9_Het.bed		E063	1.00e+00
-2.369	1.00e+00	E063 Adipose Nuclei	Adipose	TssBiv	erc2-chromatin15state-all-files/E063_10_TssBiv.bed		E063	1.00e+00
-1.126	9.00e-01	E063 Adipose Nuclei	Adipose	BivFlnk	erc2-chromatin15state-all-files/E063_11_BivFlnk.bed	cg13823169	E063	1.00e+00
-1.812	1.00e+00	E063 Adipose Nuclei	Adipose	EnhBiv	erc2-chromatin15state-all-files/E063_12_EnhBiv.bed		E063	1.00e+00
-1.998	9.97e-01	E063 Adipose Nuclei	Adipose	ReprPC	erc2-chromatin15state-all-files/E063_13_ReprPC.bed	cg24707200,cg24836822	E063	1.00e+00
-1.388	9.72e-01	E063 Adipose Nuclei	Adipose	ReprPCWk	erc2-chromatin15state-all-files/E063_14_ReprPCWk.bed	cg00490406,cg01904393,cg02346442,cg02750743,cg04036920,cg08669096,cg09586924,cg10454864,cg14140379,cg25368824,cg26508465,cg27067618	E063	1.00e+00
-2.330	9.98e-01	E063 Adipose Nuclei	Adipose	Quies	erc2-chromatin15state-all-files/E063_15_Quies.bed	cg01101459,cg02088996,cg04162032,cg04983687,cg05400196,cg06494464,cg06837325,cg13924998,cg14523476,cg16824319,cg18170297,cg19417526,cg21550372,cg22914762,cg25533551,cg26101890	E063	1.00e+00
-2.942	1.00e+00	E080 Fetal Adrenal Gland	Adrenal	TssA	erc2-chromatin15state-all-files/E080_1_TssA.bed		E080	1.00e+00
2.968	1.37e-02	E080 Fetal Adrenal Gland	Adrenal	TssAFlnk	erc2-chromatin15state-all-files/E080_2_TssAFlnk.bed	cg00218406,cg01243823,cg01309328,cg02010481,cg02716826,cg07839457,cg08818207,cg08850169,cg12054453,cg12269535,cg23876292,cg24704287,cg26392102,cg26470501	E080	7.43e-01
7.649	6.05e-05	E080 Fetal Adrenal Gland	Adrenal	TxFlnk	erc2-chromatin15state-all-files/E080_3_TxFlnk.bed	cg00340855,cg06362313,cg08507178,cg08683263,cg17972213,cg20408505	E080	7.88e-03
-0.999	9.20e-01	E080 Fetal Adrenal Gland	Adrenal	Tx	erc2-chromatin15state-all-files/E080_4_Tx.bed	cg01498832,cg04993082,cg07333021,cg07467649,cg07573872,cg08894588,cg12394289,cg12728588,cg13618969,cg20595453,cg22221575,cg23387863,cg26227957,cg26250129	E080	1.00e+00
-0.092	6.78e-01	E080 Fetal Adrenal Gland	Adrenal	TxWk	erc2-chromatin15state-all-files/E080_5_TxWk.bed	cg00959259,cg06494464,cg11354682,cg12483947,cg12949141,cg18170297,cg18650626,cg19604369,cg23599026,cg23648810,cg25132241,cg26172016,cg26607897	E080	1.00e+00
