Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
14.707	1.76e-40	E029 Primary monocytes from peripheral blood	Blood	DHS	E029-DNase.hotspot.fdr0.01.broad.bed.gz	cg00504599,cg00524561,cg00539174,cg00619207,cg00700039,cg00876196,cg00908292,cg00997251,cg01040749,cg01264729,cg01418351,cg01511901,cg01543603,cg01569083,cg01596292,cg01905489,cg02074956,cg02083676,cg02084118,cg02237342,cg02508743,cg02666020,cg02687026,cg02904344,cg03291835,cg03378645,cg03408904,cg03466198,cg03652336,cg03802185,cg03867607,cg03887528,cg04088945,cg04102510,cg04245131,cg04515608,cg04890607,cg04926244,cg05076730,cg05162166,cg05376738,cg05422796,cg05438378,cg05549575,cg05598678,cg05644602,cg05870586,cg05915362,cg06015525,cg06043201,cg06142108,cg06398474,cg06419268,cg06489569,cg06576318,cg06639053,cg06721411,cg06792126,cg06802985,cg06836480,cg06892907,cg06980932,cg07081759,cg07157107,cg07243202,cg07248223,cg07248377,cg07539709,cg07551060,cg07631309,cg07711192,cg07719512,cg07769015,cg07800907,cg07812957,cg07915516,cg08036172,cg08168141,cg08271907,cg08355863,cg08400424,cg08425678,cg08425796,cg08458745,cg08500112,cg08574423,cg08684477,cg08684511,cg08691235,cg08698943,cg08752433,cg08798349,cg09043456,cg09138892,cg09220326,cg09287328,cg09318283,cg09326204,cg09340403,cg09387152,cg09502149,cg09546258,cg09561830,cg09636302,cg09667606,cg09763644,cg09797463,cg09802688,cg09885622,cg10284440,cg10881749,cg10922232,cg11046602,cg11118962,cg11153071,cg11231069,cg11311053,cg11465404,cg11509907,cg11555067,cg11597277,cg11597902,cg11669284,cg11681597,cg11906021,cg12048965,cg12284769,cg12332239,cg12498580,cg12520319,cg12570716,cg12573002,cg13157980,cg13311440,cg13314965,cg13408344,cg13583535,cg13586051,cg13618516,cg13785123,cg13810673,cg13931640,cg13935558,cg13947735,cg14064762,cg14088282,cg14178895,cg14364797,cg14480116,cg14611767,cg14643399,cg14792180,cg14836555,cg14852276,cg14855124,cg14893576,cg15068842,cg15097361,cg15320998,cg15420926,cg15601361,cg15751131,cg15871766,cg15901722,cg16045731,cg16158027,cg16206504,cg16448702,cg16596317,cg16624482,cg16660547,cg16734795,cg16871561,cg16941122,cg17092523,cg17122311,cg17173896,cg17178175,cg17327171,cg17706411,cg17907003,cg18098839,cg18132262,cg18352516,cg18397975,cg18442362,cg18599081,cg18680181,cg18865207,cg18995788,cg19400926,cg19733736,cg19769147,cg20025658,cg20351875,cg20450689,cg20472746,cg20556803,cg20799917,cg20959965,cg21121843,cg21249754,cg21271945,cg21393163,cg21465176,cg21486834,cg21554670,cg21669326,cg21840434,cg22023664,cg22100563,cg22137236,cg22166739,cg22185977,cg22262140,cg22307974,cg22534374,cg22562591,cg22563987,cg22678092,cg22900266,cg22941573,cg23092775,cg23261319,cg23281529,cg23509869,cg23542902,cg23598089,cg23633330,cg23680451,cg23756272,cg23975840,cg23985447,cg24067911,cg24328944,cg24425149,cg24531955,cg24718015,cg24718773,cg24894783,cg25221092,cg25318579,cg25329734,cg25392060,cg25397054,cg25700432,cg25761791,cg25949447,cg26080567,cg26136772,cg26501007,cg26578983,cg26656658,cg26686361,cg26689077,cg26689780,cg26787199,cg26797722,cg26849931,cg26894079,cg26899651,cg27133780,cg27134322,cg27270962,cg27449864,cg27524460,cg27544405	E029	2.91e-38
6.448	6.76e-10	E032 Primary B cells from peripheral blood	Blood	DHS	E032-DNase.hotspot.fdr0.01.broad.bed.gz	cg00032756,cg00058449,cg00091302,cg00093433,cg00442646,cg00452835,cg00524561,cg00539174,cg00700039,cg00709979,cg00908292,cg00910893,cg00934037,cg01133215,cg01264729,cg01459052,cg01543603,cg01569083,cg01719223,cg01867764,cg01881899,cg01905489,cg02003183,cg02016178,cg02237342,cg02341571,cg02508743,cg02666020,cg02720566,cg02722672,cg02837301,cg02904344,cg03427849,cg03466198,cg03652336,cg03669394,cg03766264,cg03802185,cg03887528,cg04102510,cg04195774,cg04321224,cg04403049,cg04515608,cg04813697,cg04837616,cg04956471,cg05076730,cg05129597,cg05344293,cg05376738,cg05422796,cg05438378,cg05549575,cg05598678,cg05915362,cg05921138,cg05955036,cg06015525,cg06043201,cg06303168,cg06398474,cg06612130,cg06721411,cg06784824,cg06802985,cg06806711,cg06824394,cg06832898,cg06980932,cg07078732,cg07157107,cg07248223,cg07711192,cg07719512,cg07800907,cg07812957,cg07869232,cg08036172,cg08045301,cg08280936,cg08425678,cg08425796,cg08458745,cg08500112,cg08574423,cg08691235,cg08759026,cg08841257,cg08844313,cg09287328,cg09318283,cg09387152,cg09561830,cg09763644,cg09802688,cg09865593,cg10284440,cg10441424,cg10671066,cg10922232,cg10944833,cg10967866,cg11145772,cg11231069,cg11420667,cg11468085,cg11509907,cg11555067,cg11681597,cg11775828,cg11906021,cg11977716,cg12048965,cg12103569,cg12252865,cg12284769,cg12332239,cg12498580,cg12520319,cg12573002,cg12875534,cg13157980,cg13311440,cg13353550,cg13408344,cg13509702,cg13525276,cg13549638,cg13583535,cg13586051,cg13603599,cg13772414,cg13810673,cg13940534,cg14004921,cg14064762,cg14184907,cg14219900,cg14364797,cg14522298,cg14547461,cg14710984,cg14792180,cg14836555,cg14868222,cg14893576,cg15068842,cg15420926,cg15751131,cg15871766,cg16045731,cg16158027,cg16302310,cg16352321,cg16481791,cg16530881,cg16734795,cg16743273,cg16871561,cg17009616,cg17092523,cg17706411,cg17830204,cg17831694,cg18352516,cg18426142,cg18442362,cg18448426,cg18865207,cg19233405,cg19281794,cg19382191,cg19533955,cg19695507,cg20025658,cg20173011,cg20306694,cg20351875,cg20472746,cg20975835,cg21097090,cg21192091,cg21221767,cg21249754,cg21271945,cg21393163,cg21448870,cg21465176,cg21486834,cg21652803,cg21840434,cg22166739,cg22262140,cg22277567,cg22562591,cg22563987,cg22900266,cg23018448,cg23092775,cg23198623,cg23462242,cg23509869,cg23542902,cg23598089,cg23633330,cg23680451,cg23985447,cg24499627,cg24718015,cg24957609,cg24960799,cg25003924,cg25221092,cg25329734,cg25574849,cg25613180,cg25761791,cg26501007,cg26689077,cg26712428,cg26775538,cg26787199,cg26899651,cg27133780,cg27217148,cg27449864,cg27524460	E032	2.80e-08
7.943	1.38e-13	E033 Primary T cells from cord blood	Blood	DHS	E033-DNase.hotspot.fdr0.01.broad.bed.gz	cg00032756,cg00091302,cg00093433,cg00539174,cg00619207,cg00709979,cg00908292,cg00910893,cg00934037,cg01133215,cg01543603,cg01569083,cg01719223,cg01867764,cg01881899,cg01905489,cg01986630,cg02003183,cg02016178,cg02083676,cg02237342,cg02508743,cg02556345,cg02666020,cg02707799,cg02720566,cg02904344,cg03440799,cg03466198,cg03507641,cg03652336,cg03802185,cg03867607,cg03887528,cg04102510,cg04195774,cg04515608,cg04813697,cg04837616,cg04956471,cg05076730,cg05344293,cg05348871,cg05376738,cg05438378,cg05549575,cg05598678,cg05870586,cg05915362,cg05921138,cg06015525,cg06043201,cg06303168,cg06398474,cg06721411,cg06806711,cg06824394,cg06832898,cg06892907,cg06980932,cg07078732,cg07081759,cg07157107,cg07243202,cg07248223,cg07551060,cg07711192,cg07800907,cg07812957,cg07869232,cg07915516,cg08045301,cg08280936,cg08425678,cg08425796,cg08458745,cg08500112,cg08574423,cg08703857,cg08756594,cg08759026,cg08841257,cg09287328,cg09387152,cg09561830,cg09756109,cg09763644,cg09802688,cg10441424,cg10671066,cg10922232,cg10944833,cg10967866,cg11145772,cg11231069,cg11303839,cg11420667,cg11465404,cg11468085,cg11509907,cg11555067,cg11597277,cg11597902,cg11681597,cg11775828,cg11906021,cg11977716,cg12033075,cg12048965,cg12103569,cg12222277,cg12252865,cg12284769,cg12336290,cg12498580,cg12520319,cg12573002,cg12875534,cg13157980,cg13311440,cg13314965,cg13408344,cg13525276,cg13549638,cg13583535,cg13586051,cg13603599,cg13772414,cg13810673,cg14004921,cg14064762,cg14088282,cg14184907,cg14219900,cg14364797,cg14522298,cg14710984,cg14792180,cg14836555,cg14868222,cg14893576,cg15068842,cg15320998,cg15751131,cg15871766,cg15901722,cg16045731,cg16206504,cg16302310,cg16671238,cg16734795,cg16871561,cg17092523,cg17706411,cg17830204,cg17831694,cg18352516,cg18426142,cg18442362,cg18448426,cg18599081,cg18642369,cg18865207,cg18912103,cg19233405,cg19281794,cg19400926,cg19695507,cg19733736,cg20025658,cg20173011,cg20306694,cg20472746,cg20799917,cg20888995,cg20959965,cg21192091,cg21221767,cg21249754,cg21393163,cg21465176,cg21486834,cg22262140,cg22277567,cg22562591,cg22563987,cg22900266,cg23018448,cg23198623,cg23509869,cg23598089,cg23633330,cg23680451,cg23985447,cg24169315,cg24499627,cg24560729,cg24718015,cg24957609,cg25003924,cg25221092,cg25221975,cg25329734,cg25574849,cg25761791,cg26501007,cg26550194,cg26787199,cg26849931,cg26894079,cg26899651,cg27133780,cg27164770,cg27217148,cg27229484,cg27449864,cg27524460	E033	7.64e-12
6.155	4.08e-09	E034 Primary T cells from peripheral blood	Blood	DHS	E034-DNase.hotspot.fdr0.01.broad.bed.gz	cg00032756,cg00058449,cg00093433,cg00241281,cg00421164,cg00524561,cg00539174,cg00574379,cg00619207,cg00782811,cg00908292,cg00934037,cg00974255,cg01133215,cg01264729,cg01543603,cg01569083,cg01596292,cg01810926,cg01881899,cg01905489,cg01986630,cg02003183,cg02016178,cg02083676,cg02237342,cg02556345,cg02666020,cg02687026,cg02707799,cg02720566,cg02787737,cg02837301,cg02904344,cg03466198,cg03507641,cg03652336,cg03766264,cg03802185,cg03867607,cg03887528,cg04102510,cg04195774,cg04403049,cg04515608,cg04813697,cg04837616,cg04956471,cg05076730,cg05129597,cg05344293,cg05348871,cg05376738,cg05422796,cg05438378,cg05598678,cg05870586,cg05915362,cg06015525,cg06019050,cg06303168,cg06398474,cg06721411,cg06806711,cg06824394,cg06892907,cg07081759,cg07157107,cg07243202,cg07248223,cg07471156,cg07551060,cg07800907,cg07915516,cg08271907,cg08280936,cg08400424,cg08425678,cg08458745,cg08500112,cg08574423,cg08684477,cg08704934,cg08752433,cg08756594,cg08759026,cg08841257,cg08844313,cg08949143,cg09318283,cg09502149,cg09561830,cg09802688,cg10284440,cg10441424,cg10671066,cg10819350,cg10922232,cg10944833,cg11303839,cg11465404,cg11509907,cg11555067,cg11775828,cg11977716,cg12033075,cg12048965,cg12116137,cg12222277,cg12252865,cg12284769,cg12336290,cg12498580,cg12520319,cg12570716,cg12573002,cg12875534,cg13157980,cg13311440,cg13314965,cg13408344,cg13525276,cg13583535,cg13603599,cg13629388,cg13772414,cg13810673,cg13863007,cg14004921,cg14064762,cg14088282,cg14184907,cg14364797,cg14710984,cg14836555,cg14868222,cg14893576,cg15320998,cg15426006,cg15583887,cg15871766,cg15901722,cg16045731,cg16206504,cg16360836,cg16671238,cg16734795,cg16871561,cg16941122,cg17009616,cg17092523,cg17706411,cg17830204,cg18245976,cg18352516,cg18397975,cg18426142,cg18442362,cg18448426,cg18642369,cg18865207,cg18912103,cg19233405,cg19281794,cg19400926,cg20025658,cg20173011,cg20306694,cg20472746,cg20730966,cg20799917,cg20888995,cg20952652,cg20975835,cg21097090,cg21121843,cg21192091,cg21221767,cg21249754,cg21271945,cg21393163,cg21465176,cg21652803,cg22166739,cg22262140,cg22277567,cg22307974,cg22562591,cg22563987,cg23018448,cg23198623,cg23462242,cg23509869,cg23598089,cg23633330,cg23648810,cg23680451,cg23985447,cg24169315,cg24499627,cg24560729,cg24718015,cg24957609,cg25003924,cg25221092,cg25221975,cg25329734,cg25574849,cg26550194,cg26689077,cg26787199,cg26894079,cg26899651,cg27133780,cg27134322,cg27164770,cg27217148,cg27229484,cg27449864,cg27524460	E034	1.36e-07
11.032	9.72e-25	E046 Primary Natural Killer cells from peripheral 	Blood	DHS	E046-DNase.hotspot.fdr0.01.broad.bed.gz	cg00032756,cg00058449,cg00399027,cg00504599,cg00524561,cg00539174,cg00574379,cg00619207,cg00634542,cg00700039,cg00782811,cg00876196,cg00908292,cg00974255,cg01133215,cg01395261,cg01569083,cg01810926,cg01881899,cg01905489,cg01986630,cg02003183,cg02016178,cg02083676,cg02237342,cg02286380,cg02341571,cg02390624,cg02508743,cg02556345,cg02666020,cg02687026,cg02707799,cg02720566,cg02787737,cg02837301,cg02904344,cg03378645,cg03427849,cg03466198,cg03507641,cg03652336,cg03669394,cg03802185,cg03867607,cg03887528,cg04094640,cg04102510,cg04195774,cg04515608,cg04813697,cg04956471,cg05076730,cg05344293,cg05348871,cg05376738,cg05438378,cg05598678,cg05870586,cg05914150,cg05915362,cg06015525,cg06019050,cg06303168,cg06398474,cg06419268,cg06639053,cg06721411,cg06802985,cg06806711,cg06824394,cg06892907,cg06980932,cg07078732,cg07081759,cg07243202,cg07248223,cg07248377,cg07471156,cg07551060,cg07800907,cg07869232,cg07915516,cg08036172,cg08280936,cg08400424,cg08425678,cg08425796,cg08458745,cg08574423,cg08684477,cg08691235,cg08752433,cg08756594,cg08759026,cg08841257,cg08844313,cg08949143,cg09043456,cg09220326,cg09318283,cg09340403,cg09387152,cg09502149,cg09561830,cg09763644,cg09797463,cg09802688,cg10441424,cg10671066,cg10819350,cg10922232,cg10944833,cg11145772,cg11231069,cg11303839,cg11399409,cg11420667,cg11465404,cg11509907,cg11555067,cg11597277,cg11597902,cg11681597,cg11775828,cg11906021,cg11977716,cg12033075,cg12048965,cg12116137,cg12222277,cg12284769,cg12332239,cg12336290,cg12498580,cg12520319,cg12573002,cg12875534,cg13157980,cg13311440,cg13314965,cg13408344,cg13525276,cg13583535,cg13586051,cg13603599,cg13629388,cg13772414,cg13810673,cg13931640,cg14004921,cg14064762,cg14088282,cg14184907,cg14364797,cg14398113,cg14522298,cg14643399,cg14710984,cg14792180,cg14836555,cg14852276,cg14855124,cg14893576,cg15068842,cg15315773,cg15426006,cg15871766,cg15901722,cg16206504,cg16734795,cg16871561,cg17009616,cg17092523,cg17178175,cg17706411,cg17830204,cg17907003,cg18098839,cg18245976,cg18352516,cg18426142,cg18442362,cg18599081,cg18865207,cg18912103,cg18944752,cg19233405,cg19400926,cg19733736,cg19900821,cg20025658,cg20173011,cg20306694,cg20351875,cg20472746,cg20799917,cg20888995,cg20959965,cg20975835,cg21121843,cg21192091,cg21221767,cg21249754,cg21271945,cg21393163,cg21465176,cg21554670,cg22137236,cg22166739,cg22262140,cg22277567,cg22562591,cg22563987,cg22564731,cg22941573,cg23018448,cg23198623,cg23261319,cg23462242,cg23509869,cg23542902,cg23598089,cg23633330,cg23648810,cg23680451,cg24011073,cg24169315,cg24499627,cg24718015,cg24957609,cg24961970,cg25003924,cg25075684,cg25221092,cg25221975,cg25329734,cg25392060,cg25574849,cg25761791,cg25949447,cg26501007,cg26682407,cg26689077,cg26689780,cg26712428,cg26787199,cg26894079,cg26899651,cg27133780,cg27134322,cg27217148,cg27229484,cg27270962,cg27449864,cg27524460	E046	8.07e-23
1.332	1.03e-01	E050 Primary hematopoietic stem cells G-CSF-mobili	Blood	DHS	E050-DNase.hotspot.fdr0.01.broad.bed.gz	cg00241281,cg00399027,cg00700039,cg00908292,cg00910893,cg01264729,cg01543603,cg01569083,cg01905489,cg02003183,cg02083676,cg02086839,cg02237342,cg02666020,cg02720566,cg02787737,cg02904344,cg02953397,cg03378645,cg03466198,cg03652336,cg03802185,cg04094640,cg04102510,cg04134748,cg04147642,cg04214459,cg04515608,cg04858335,cg04970434,cg05076730,cg05148180,cg05376738,cg05438378,cg05598678,cg05915362,cg05935520,cg06015525,cg06398474,cg06721411,cg06784824,cg06806711,cg06892907,cg07012687,cg07157107,cg07173823,cg07248223,cg07466463,cg07506795,cg07539709,cg07551060,cg07800907,cg07915516,cg08168141,cg08280936,cg08425678,cg08425796,cg08500112,cg08759026,cg08841257,cg08844313,cg09340403,cg09561830,cg09667606,cg09763644,cg10183965,cg10819350,cg10967866,cg11303839,cg11420667,cg11465404,cg11509907,cg11555067,cg11681597,cg11977716,cg12048965,cg12103569,cg12284769,cg12332239,cg12336290,cg12498580,cg12520319,cg12573002,cg13311440,cg13525276,cg13583535,cg13586051,cg13772414,cg13931640,cg14004921,cg14064762,cg14088282,cg14184907,cg14486857,cg14522298,cg14710984,cg14836555,cg14893576,cg15420926,cg15901722,cg16302310,cg16481791,cg16734795,cg16776035,cg16871561,cg17009616,cg17178175,cg17706411,cg17830204,cg17907003,cg18098839,cg18397975,cg18426142,cg18442362,cg18599081,cg18865207,cg18995788,cg19233405,cg19325791,cg19382191,cg19400926,cg19733736,cg19900821,cg20025658,cg20256153,cg20306694,cg20386404,cg20472746,cg20476159,cg20556803,cg20730966,cg20799917,cg21121843,cg21192091,cg21249754,cg21393163,cg21400802,cg21465176,cg21486834,cg21554670,cg21669326,cg21840434,cg22100563,cg22137236,cg22166739,cg22262140,cg22562591,cg22563987,cg22610620,cg23261319,cg23542902,cg23598089,cg23633330,cg23680451,cg23975840,cg24011073,cg24499627,cg24531955,cg24718015,cg24803517,cg25003924,cg25020666,cg25221092,cg25221975,cg25329734,cg26080567,cg26550194,cg26682407,cg26775538,cg26894079,cg26899651,cg27134322,cg27164770,cg27217148,cg27270962,cg27449864,cg27524460	E050	1.00e+00
-0.675	7.76e-01	E051 Primary hematopoietic stem cells G-CSF-mobili	Blood	DHS	E051-DNase.hotspot.fdr0.01.broad.bed.gz	cg00709979,cg00910893,cg01264729,cg01483139,cg01543603,cg01569083,cg01905489,cg02003183,cg02237342,cg02306995,cg02837301,cg03378645,cg03466198,cg03652336,cg03802185,cg04094640,cg04102510,cg04134748,cg04173586,cg04225775,cg04515608,cg04815334,cg04858335,cg04970434,cg05148180,cg05438378,cg05598678,cg05915362,cg06398474,cg06419268,cg06721411,cg06784824,cg06806711,cg06824394,cg06832898,cg06892907,cg07092805,cg07248223,cg07404200,cg07466463,cg07539709,cg07551060,cg07800907,cg08168141,cg08425678,cg08458745,cg08759026,cg08844313,cg09043456,cg09340403,cg09561830,cg09763644,cg09802688,cg10183965,cg10408731,cg10441424,cg10944833,cg10967866,cg11303839,cg11399409,cg11465404,cg11468085,cg11509907,cg11555067,cg11977716,cg12048965,cg12103569,cg12284769,cg12498580,cg12573002,cg13408344,cg13525276,cg13583535,cg13586051,cg13931640,cg14064762,cg14184907,cg14486857,cg14522298,cg14710984,cg14893576,cg15901722,cg16302310,cg16481791,cg16734795,cg16776035,cg16871561,cg17178175,cg17706411,cg17830204,cg17831694,cg18098839,cg18397975,cg18865207,cg19233405,cg19733736,cg19900821,cg20025658,cg20306694,cg20472746,cg20799917,cg21192091,cg21249754,cg21400802,cg21465176,cg21554670,cg21669326,cg22100563,cg22262140,cg22563987,cg23018448,cg23198623,cg23509869,cg23542902,cg23598089,cg23633330,cg23680451,cg23975840,cg24011073,cg24169315,cg24499627,cg24718015,cg25003924,cg25221092,cg25329734,cg26682407,cg26787199,cg26894079,cg26899651,cg27134322,cg27164770,cg27217148,cg27270962,cg27449864,cg27524460	E051	1.00e+00
0.913	1.88e-01	E028 Breast variant Human Mammary Epithelial Cells	Breast	DHS	E028-DNase.hotspot.fdr0.01.broad.bed.gz	cg00366413,cg00908292,cg00910893,cg01264729,cg01417714,cg01511901,cg01569083,cg01986630,cg02083676,cg02720566,cg02863179,cg02904344,cg02953397,cg03378645,cg03408904,cg03507641,cg03652336,cg03867607,cg03894068,cg04102510,cg04147642,cg04173586,cg04245131,cg04515608,cg04834204,cg04890607,cg04956471,cg05162166,cg05376738,cg05438378,cg05598678,cg05644602,cg05870586,cg05915362,cg06043201,cg06721411,cg06784824,cg06792126,cg06802985,cg06836480,cg06876354,cg07054804,cg07092805,cg07156336,cg07157107,cg07243202,cg07409471,cg07551060,cg07631309,cg07769015,cg07814567,cg07853489,cg07915516,cg07933720,cg08271907,cg08400424,cg08684477,cg08698943,cg08752433,cg08759026,cg08844313,cg09043456,cg09174555,cg09220326,cg09318283,cg09340403,cg09387152,cg09471887,cg09502149,cg09546258,cg09561830,cg10208610,cg10441424,cg10491120,cg10881749,cg11046602,cg11118962,cg11303839,cg11509907,cg11749792,cg11775828,cg11972534,cg12048965,cg12284769,cg12498580,cg12520319,cg12570716,cg13157980,cg13314965,cg13408344,cg13586051,cg13772414,cg14004921,cg14064762,cg14088282,cg14398113,cg14480116,cg14643399,cg14799927,cg14836555,cg14852276,cg14893576,cg15420926,cg15601361,cg15871766,cg15877233,cg15901722,cg16158027,cg16206504,cg16555909,cg16596317,cg16776035,cg16871561,cg17178175,cg17486314,cg17907003,cg18098839,cg18136895,cg18196453,cg18352516,cg18397975,cg18442362,cg18454133,cg18468842,cg18680181,cg18912103,cg19106968,cg19325791,cg19400926,cg19733736,cg19900821,cg20025658,cg20121012,cg20386404,cg20472746,cg20475082,cg20591120,cg20959965,cg21669326,cg22095582,cg22100563,cg22563987,cg22941573,cg23542902,cg23633330,cg23680451,cg23985447,cg24328944,cg24499627,cg24531955,cg25027367,cg25234117,cg25329734,cg25786273,cg26136772,cg26689077,cg26787199,cg26894079,cg27164770,cg27217148,cg27229484,cg27449864,cg27524460	E028	1.00e+00
-6.974	1.00e+00	E003 H1 Cells	ES Cell	DHS	E003-DNase.hotspot.fdr0.01.broad.bed.gz	cg00001793,cg00032756,cg00091302,cg00504599,cg00780426,cg00782811,cg00908292,cg01264729,cg01543603,cg01596292,cg02377024,cg02953397,cg03408904,cg03511957,cg03867607,cg04102510,cg04134748,cg04173586,cg04813697,cg04837616,cg05162166,cg05331340,cg05438378,cg05915362,cg06068369,cg06612130,cg06633438,cg06779856,cg06784824,cg06892907,cg07012687,cg07409471,cg07551060,cg07694319,cg07933720,cg08280936,cg08427067,cg08684477,cg08698943,cg08759026,cg08798349,cg08841257,cg08844313,cg09043456,cg09186031,cg09318283,cg09340403,cg09387152,cg09546258,cg09912552,cg10208610,cg10233454,cg10239163,cg10441424,cg10512886,cg11509907,cg11692409,cg11737831,cg11969064,cg12048965,cg12103569,cg12252865,cg12498580,cg12573002,cg13157980,cg13408344,cg13935558,cg14219900,cg14792180,cg14799927,cg14852276,cg15428453,cg15751131,cg15877233,cg16158027,cg16555909,cg16671238,cg16871561,cg16941122,cg17178175,cg17520654,cg17680813,cg18426142,cg18454133,cg18468842,cg19380303,cg19733736,cg21192091,cg22166739,cg22171758,cg22262140,cg22307974,cg22562591,cg22563987,cg22637435,cg23018448,cg23198623,cg23462242,cg23509869,cg23598089,cg23680451,cg23774975,cg23985447,cg25003924,cg25786273,cg26712428,cg27449864,cg27524460,cg27585822	E003	1.00e+00
-4.136	1.00e+00	E004 H1 BMP4 Derived Mesendoderm Cultured Cells	ES Cell	DHS	E004-DNase.hotspot.fdr0.01.broad.bed.gz	cg00032756,cg00091302,cg00366413,cg00476771,cg00574379,cg00700039,cg00782811,cg00910893,cg00934037,cg01264729,cg01511901,cg01596292,cg02508743,cg03107987,cg03408904,cg03423077,cg03507641,cg03511957,cg03652336,cg03867607,cg04003615,cg04102510,cg04308167,cg04813697,cg04834204,cg05006384,cg05076730,cg05162166,cg05376738,cg05438378,cg05598678,cg05830425,cg05915362,cg06068369,cg06340161,cg06633438,cg06639053,cg06721411,cg06784824,cg06892907,cg07157107,cg07223106,cg07409471,cg07551060,cg07694319,cg07729527,cg07769015,cg07853489,cg07933720,cg08280936,cg08427067,cg08684477,cg08698943,cg08759026,cg08841257,cg08844313,cg09043456,cg09318283,cg09340403,cg09387152,cg09502149,cg09546258,cg10208610,cg10233454,cg10239163,cg10460657,cg10512886,cg10944833,cg11509907,cg11555067,cg11597277,cg11692409,cg11737831,cg11969064,cg12048965,cg12103569,cg12284769,cg12498580,cg12570716,cg12573002,cg13157980,cg13314965,cg13586051,cg13935558,cg14096415,cg14219900,cg14267671,cg14469436,cg14480116,cg14799927,cg14852276,cg14868222,cg14893576,cg15315773,cg15428453,cg15583887,cg15601361,cg15751131,cg15877233,cg16045731,cg16158027,cg16555909,cg16671238,cg16941122,cg17178175,cg17327171,cg17486314,cg17520654,cg17582615,cg17952468,cg18196453,cg18426142,cg18454133,cg18468842,cg18642369,cg19400926,cg19733736,cg20173011,cg20386404,cg20730966,cg21227325,cg21544415,cg21840434,cg22166739,cg22262140,cg22307974,cg22562591,cg22563987,cg22687766,cg22900266,cg23018448,cg23198623,cg23214435,cg23462242,cg23509869,cg23542902,cg23598089,cg23985447,cg25003924,cg25132241,cg25329734,cg25786273,cg26501007,cg26712428,cg26797722,cg26894079,cg27217148,cg27524460	E004	1.00e+00
