Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
2.318	5.10e-02	HTR8svn	Blastula	DHS	wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	cg00574958,cg02711608,cg08035323,cg10601624,cg18120259	GSM816644	3.49e-01
1.697	9.88e-02	Adult_CD4+	Blood	DHS	Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig	cg00574958,cg02711608,cg08035323,cg10601624,cg14476101,cg18120259	Lookup	6.30e-01
4.760	3.38e-04	CD14+	Blood	DHS	CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig	cg00574958,cg02711608,cg06690548,cg08035323,cg10601624,cg17061862,cg18120259,cg23999170	Lookup	4.40e-03
1.678	1.09e-01	CD20+	Blood	DHS	CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig	cg00574958,cg02711608,cg08035323,cg14476101,cg17061862	Lookup	6.91e-01
4.357	3.38e-04	CD34+	Blood	DHS	CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig	cg00533891,cg00574958,cg02711608,cg06690548,cg08035323,cg10601624,cg17061862,cg18120259,cg23999170	Lookup	4.40e-03
0.438	4.14e-01	CLL	Blood	DHS	wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	cg00574958,cg02711608,cg08035323	GSM816664	1.00e+00
5.217	1.50e-04	CMK	Blood	DHS	CMK-DS12393.twopass.merge150.wgt10.zgt2.wig	cg00574958,cg02711608,cg06690548,cg08035323,cg10601624,cg14476101,cg18120259,cg19693031	GSM736607	2.41e-03
2.674	3.08e-02	GM06990	Blood	DHS	GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig	cg00574958,cg02711608,cg06690548,cg08035323,cg17061862	"GSM736558,GSM736635"	2.24e-01
3.770	5.38e-03	GM12864	Blood	DHS	GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig	cg00574958,cg02711608,cg06690548,cg08035323,cg14476101,cg17061862	GSM736525	4.79e-02
3.428	7.28e-03	GM12865	Blood	DHS	GM12865-DS12436.twopass.merge150.wgt10.zgt2.wig	cg00574958,cg02711608,cg06690548,cg08035323,cg10601624,cg17061862	"GSM736512,GSM736561"	6.15e-02
2.118	5.50e-02	GM12878	Blood	DHS	GM12878-all.twopass.merge150.wgt10.zgt2.wig	cg00574958,cg02711608,cg08035323,cg10601624,cg17061862,cg19693031	"GSM816665,GSM736496,GSM736620"	3.61e-01
