Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
-6.509	1.00e+00	E029 Primary monocytes from peripheral blood	Blood	H3K9me3	E029-H3K9me3.broadPeak.gz	cg00455327,cg01414882,cg01464985,cg01597398,cg02651400,cg03143849,cg03636183,cg04614997,cg05555337,cg05559445,cg05657427,cg06226150,cg06630241,cg06936155,cg07862235,cg08210629,cg10508317,cg11344744,cg11419931,cg11793449,cg12133952,cg12674975,cg13092108,cg13505393,cg14127947,cg14363114,cg16292768,cg16463460,cg17439093,cg17443080,cg17602444,cg17849569,cg17877220,cg19202384,cg20560182,cg20660989,cg20945853,cg21901395,cg21910821,cg22141389,cg22459204,cg23510415,cg26581729,cg27494897	E029	1.00e+00
-4.919	1.00e+00	E032 Primary B cells from peripheral blood	Blood	H3K9me3	E032-H3K9me3.broadPeak.gz	cg01414882,cg01464985,cg03183540,cg03536289,cg06936155,cg08210629,cg17602444,cg17849569,cg20560182,cg26315985,cg27494897	E032	1.00e+00
-2.747	1.00e+00	E033 Primary T cells from cord blood	Blood	H3K9me3	E033-H3K9me3.broadPeak.gz	cg03536289,cg13372658	E033	1.00e+00
-4.616	1.00e+00	E034 Primary T cells from peripheral blood	Blood	H3K9me3	E034-H3K9me3.broadPeak.gz	cg00210249,cg00611192,cg00711496,cg01020987,cg01414882,cg02025827,cg02249930,cg02345399,cg02560388,cg02651400,cg02905900,cg03143849,cg03359362,cg03536289,cg03945538,cg04608933,cg05151185,cg05232694,cg05845319,cg06630241,cg06690548,cg06936155,cg06976025,cg07134632,cg08876103,cg10468373,cg11368628,cg11649376,cg13428066,cg13668129,cg14097568,cg14363114,cg14476101,cg15208284,cg17197981,cg17217654,cg17439093,cg17849569,cg18394552,cg19220272,cg20560182,cg20660989,cg22017309,cg22940798,cg23542902,cg23645210,cg24663255,cg24739326,cg24760467,cg25114611,cg25281677,cg25817701,cg27470213,cg27494897,cg27610250	E034	1.00e+00
-4.487	1.00e+00	E046 Primary Natural Killer cells from peripheral 	Blood	H3K9me3	E046-H3K9me3.broadPeak.gz	cg00134210,cg00509772,cg00759699,cg01020987,cg01414882,cg01464985,cg02249930,cg02504211,cg02505871,cg02607915,cg02743070,cg02893429,cg03536289,cg03560879,cg04009456,cg04203238,cg04608933,cg05232694,cg05242244,cg05657427,cg06007201,cg06032919,cg06500161,cg06690548,cg06778853,cg06936155,cg06976025,cg07452306,cg07606115,cg08176258,cg09249494,cg10255761,cg10287970,cg10884953,cg10922280,cg11068337,cg11366934,cg11419931,cg11649376,cg11787522,cg12674975,cg13372658,cg14097568,cg15672022,cg16463460,cg16967583,cg16968985,cg17439093,cg17443080,cg17602444,cg17749033,cg17849569,cg17877220,cg17901584,cg17916418,cg18120259,cg19202384,cg20014974,cg20560182,cg20945853,cg21913886,cg22017309,cg22141389,cg22370057,cg22459204,cg22695339,cg23090046,cg23384027,cg23510415,cg23547429,cg23645210,cg24332710,cg24461171,cg24739326,cg24848615,cg25281677,cg25983901,cg26421286,cg26581729,cg26728422,cg27093918,cg27494897	E046	1.00e+00
-6.600	1.00e+00	E050 Primary hematopoietic stem cells G-CSF-mobili	Blood	H3K9me3	E050-H3K9me3.broadPeak.gz	cg00907204,cg02249930,cg02743070,cg02805822,cg06032919,cg06936155,cg07698196,cg09360041,cg09643139,cg11649376,cg12674975,cg13372658,cg13428066,cg13770461,cg16001689,cg16463460,cg17439093,cg17849569,cg17877220,cg20014974,cg20660989,cg21932231,cg24496021,cg24739326,cg25983901	E050	1.00e+00
-5.797	1.00e+00	E051 Primary hematopoietic stem cells G-CSF-mobili	Blood	H3K9me3	E051-H3K9me3.broadPeak.gz	cg03183540,cg06032919,cg06936155,cg10508317,cg11649376,cg12497543,cg12674975,cg13372658,cg13428066,cg16969872,cg17849569,cg17877220,cg27494897	E051	1.00e+00
-6.004	1.00e+00	E028 Breast variant Human Mammary Epithelial Cells	Breast	H3K9me3	E028-H3K9me3.broadPeak.gz	cg00285394,cg04203238,cg06936155,cg08262220,cg13428066,cg14044057,cg17849569,cg18369972,cg19240637,cg20560182,cg23309527,cg27184903	E028	1.00e+00
-3.366	1.00e+00	E003 H1 Cells	ES Cell	H3K9me3	E003-H3K9me3.broadPeak.gz	cg00058291,cg00061031,cg00259742,cg00611192,cg01180628,cg01234420,cg01406381,cg01414882,cg01496720,cg01656750,cg01766737,cg01820962,cg02249930,cg02424179,cg02504211,cg02651400,cg02805822,cg02909097,cg02913194,cg02990302,cg03156547,cg03183540,cg03359362,cg03395898,cg03698343,cg03940776,cg03963219,cg04100595,cg04444771,cg04913803,cg05068428,cg05339037,cg05555337,cg05603985,cg05673882,cg06012428,cg06211255,cg06294803,cg06422693,cg06465011,cg06647928,cg07092212,cg07134632,cg07156249,cg07217499,cg08198483,cg08355863,cg08580308,cg08761535,cg09130674,cg09351636,cg09449988,cg10919522,cg11394644,cg11870042,cg11926473,cg12587954,cg12627844,cg12773030,cg12848614,cg13167816,cg13372658,cg13428066,cg13583535,cg13787850,cg14277403,cg14428590,cg14795047,cg15208284,cg15416179,cg15717558,cg17327067,cg17439093,cg17724175,cg17849569,cg18369972,cg18394552,cg19589396,cg20155035,cg20554312,cg20698421,cg20811755,cg20813374,cg20908993,cg21910821,cg22017309,cg22459204,cg22706883,cg23090046,cg24332710,cg24461171,cg24848615,cg25230327,cg27494897	E003	1.00e+00
-1.322	9.35e-01	E004 H1 BMP4 Derived Mesendoderm Cultured Cells	ES Cell	H3K9me3	E004-H3K9me3.broadPeak.gz	cg00134210,cg00574958,cg01178099,cg01820962,cg03281335,cg03655330,cg07266431,cg08099136,cg09480855,cg11649376,cg12054453,cg12773030,cg13428066,cg13518625,cg13525276,cg14603886,cg16001689,cg16671360,cg17849569,cg18369972,cg18394552,cg20842915,cg22459204,cg25983901	E004	1.00e+00
