Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
9.818	9.17e-19	E029 Primary monocytes from peripheral blood	Blood	H3K4me1	E029-H3K4me1.broadPeak.gz	cg00093829,cg00159243,cg00490406,cg00506299,cg00705600,cg01026383,cg01101459,cg01153613,cg01598596,cg02249390,cg02538248,cg02650017,cg03612357,cg03660096,cg03819286,cg03860038,cg03940776,cg04321224,cg04523589,cg04638265,cg04848343,cg05272827,cg05279866,cg06164260,cg06383241,cg07372520,cg07398517,cg07558761,cg07683636,cg07698196,cg07719512,cg08289839,cg08352115,cg08363114,cg09018739,cg09349128,cg09849319,cg10045881,cg10460946,cg10926330,cg10967866,cg11393173,cg12170787,cg12582317,cg12635790,cg13316148,cg13354241,cg13745870,cg13781414,cg14237301,cg14849578,cg15551881,cg15901722,cg16267322,cg16292768,cg16305292,cg16536330,cg17501210,cg17588094,cg17602444,cg17901584,cg18518074,cg18995788,cg19281794,cg19283354,cg19821297,cg20995564,cg21340821,cg21727145,cg22488164,cg22877129,cg22959742,cg24002003,cg24954967,cg25739715,cg25790365,cg26340740,cg26426564,cg26804423,cg27023597,cg27307975,cg27310092,cg27469606,cg27661394	E029	1.05e-15
1.548	1.09e-01	E029 Primary monocytes from peripheral blood	Blood	H3K4me3	E029-H3K4me3.broadPeak.gz	cg00093829,cg00159243,cg00490406,cg01409343,cg02249390,cg02650017,cg04321224,cg04848343,cg06383241,cg08289839,cg08363114,cg09349128,cg09849319,cg10926330,cg12170787,cg12635790,cg14237301,cg16305292,cg17501210,cg17602444,cg22488164,cg24002003,cg25739715,cg26340740,cg27023597	E029	1.00e+00
-3.797	1.00e+00	E029 Primary monocytes from peripheral blood	Blood	H3K9me3	E029-H3K9me3.broadPeak.gz	cg02650017,cg10926330,cg16292768,cg17602444,cg18860310,cg24430034,cg27307975	E029	1.00e+00
-3.356	1.00e+00	E029 Primary monocytes from peripheral blood	Blood	H3K27me3	E029-H3K27me3.broadPeak.gz	cg00093829,cg00094412,cg00569418,cg02464912,cg02650017,cg05272827,cg10180440,cg10926330,cg16292768,cg17901584,cg18513344,cg21727145,cg23556574,cg23902264	E029	1.00e+00
3.299	2.21e-03	E029 Primary monocytes from peripheral blood	Blood	H3K36me3	E029-H3K36me3.broadPeak.gz	cg00093829,cg00159243,cg00569418,cg01026383,cg01409343,cg02097604,cg02213678,cg02650017,cg03612357,cg03940776,cg04638265,cg05166473,cg05399785,cg06164260,cg07558761,cg07573872,cg07683636,cg08176258,cg08352115,cg08363114,cg08450017,cg09018739,cg09849319,cg09994445,cg12170787,cg14849578,cg16305292,cg16743273,cg18518074,cg19283354,cg20671910,cg20995564,cg21421984,cg22488164,cg23729283,cg23761815,cg24129923,cg27023597,cg27469606	E029	6.64e-02
5.174	1.47e-06	E032 Primary B cells from peripheral blood	Blood	H3K4me1	E032-H3K4me1.broadPeak.gz	cg00093829,cg00094412,cg00159243,cg00490406,cg00506299,cg01026383,cg01409343,cg01598596,cg02249390,cg02464912,cg02538248,cg02650017,cg02991558,cg03819286,cg03860038,cg03940776,cg04321224,cg04389058,cg04523589,cg04638265,cg05166473,cg06164260,cg06383241,cg07558761,cg07573872,cg07719512,cg08289839,cg08363114,cg09018739,cg09349128,cg09849319,cg10045881,cg10460946,cg10926330,cg10967866,cg12170787,cg12582317,cg12635790,cg13316148,cg13354241,cg13781414,cg14237301,cg15551881,cg15809077,cg15901722,cg16536330,cg16743273,cg17501210,cg17588094,cg17602444,cg17901584,cg18482303,cg18513344,cg18518074,cg19281794,cg19283354,cg19821297,cg20510033,cg20671910,cg20937934,cg20995564,cg21727145,cg22959742,cg23761815,cg24002003,cg24954967,cg25621991,cg25739715,cg26340740,cg26426564,cg27023597	E032	1.68e-04
2.183	2.80e-02	E032 Primary B cells from peripheral blood	Blood	H3K4me3	E032-H3K4me3.broadPeak.gz	cg00093829,cg00490406,cg01026383,cg01153613,cg01409343,cg02249390,cg02464912,cg02650017,cg03819286,cg03860038,cg03940776,cg04321224,cg04523589,cg05166473,cg06383241,cg07398517,cg07558761,cg08289839,cg09349128,cg09849319,cg12170787,cg12582317,cg12635790,cg14237301,cg15551881,cg17501210,cg17602444,cg18482303,cg18518074,cg19281794,cg19283354,cg20671910,cg20937934,cg24002003,cg25621991,cg25739715,cg26340740,cg27023597	E032	5.70e-01
-1.721	9.79e-01	E032 Primary B cells from peripheral blood	Blood	H3K9me3	E032-H3K9me3.broadPeak.gz	cg00506299,cg17602444,cg18860310,cg23761815,cg27307975	E032	1.00e+00
0.676	2.81e-01	E032 Primary B cells from peripheral blood	Blood	H3K27me3	E032-H3K27me3.broadPeak.gz	cg00093829,cg00506299,cg00705600,cg01101459,cg02538248,cg02650017,cg03660096,cg03860038,cg04389058,cg04523589,cg05272827,cg06092244,cg06164260,cg07398517,cg07558761,cg07698196,cg08352115,cg09994445,cg10180440,cg10460946,cg10926330,cg11393173,cg12582317,cg13139542,cg13316148,cg13745870,cg13781414,cg15082870,cg15809077,cg16267322,cg16292768,cg17501210,cg17901584,cg18513344,cg18860310,cg18995788,cg21340821,cg21727145,cg22877129,cg23114435,cg23556574,cg23689615,cg23729283,cg23902264,cg24430034,cg25621991,cg25790365,cg26804423,cg27307975,cg27310092,cg27661394	E032	1.00e+00
3.662	6.15e-04	E032 Primary B cells from peripheral blood	Blood	H3K36me3	E032-H3K36me3.broadPeak.gz	cg00094412,cg00490406,cg00506299,cg00569418,cg01026383,cg01409343,cg02097604,cg02249390,cg03612357,cg03940776,cg04638265,cg05166473,cg05399785,cg06164260,cg07558761,cg07573872,cg07683636,cg08176258,cg08289839,cg08352115,cg08363114,cg08450017,cg09349128,cg09849319,cg09994445,cg10045881,cg13354241,cg13745870,cg14849578,cg16305292,cg16536330,cg16743273,cg17588094,cg17602444,cg18482303,cg18513344,cg18518074,cg19283354,cg20671910,cg20995564,cg21340821,cg21421984,cg23761815,cg24129923,cg24954967,cg25739715,cg27023597,cg27469606,cg27661394	E032	2.26e-02
