Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
7.232	1.22e-07	Acute_myeloid_leukemia	Bone Marrow	DHS	S005FH41.DNase.hotspot_v3.20130819.bed.gz	cg00052684,cg01680062,cg03574890,cg04175911,cg05639088,cg07475825,cg08552853,cg09432792,cg15002347,cg15135194,cg15920942,cg17555274,cg20292908,cg22885409,cg27459630	NA	1.62e-06
-0.047	4.95e-01	DG-75_Sporadic_Burkitt_lymphoma	Cell Line	DHS	BP_DG-75_d01.DNase.hotspot_v3.20130819.bed.gz	cg09432792,cg12896170	NA	1.00e+00
5.718	7.13e-05	KARPAS-422_Germinal_Center_B-Cell-Like_Diffuse_Large_B-Cell_Lymphoma	Cell Line	DHS	bp_KARPAS-422_d01.DNase.hotspot_v3.20131126.bed.gz	cg00052684,cg03574890,cg07475825,cg08552853,cg15002347,cg15135194,cg15920942,cg22885409,cg27459630	NA	5.02e-04
3.082	1.73e-02	SU-DHL-5_Germinal_Center_B-Cell-Like_Diffuse_Large_B-Cell_Lymphoma	Cell Line	DHS	bp_SU-DHL-5_d01.DNase.hotspot_v3.20131126.bed.gz	cg03574890,cg05639088,cg07475825,cg15002347,cg15135194	NA	9.41e-02
0.751	2.86e-01	U-266_Multiple_myeloma	Cell Line	DHS	BP_U-266_d01.DNase.hotspot_v3.20130819.bed.gz	cg09432792,cg15920942,cg22885409	NA	1.00e+00
-0.289	6.74e-01	Z-138_Mantle_cell_lymphoma	Cell Line	DHS	BP_Z-138_d01.DNase.hotspot_v3.20130819.bed.gz	cg05639088,cg09432792,cg12896170	NA	1.00e+00
7.512	1.85e-09	CD14_positive_CD16_negative_classical_monocyte	Cord Blood	DHS	C005PS4E.DNase.hotspot_v3.20130819.bed.gz	cg00052684,cg01680062,cg02534167,cg03489069,cg03574890,cg04175911,cg05639088,cg07475825,cg09412707,cg09432792,cg12896170,cg15002347,cg15135194,cg15848159,cg15920942,cg17555274,cg20292908,cg20361768,cg22885409,cg27167895,cg27459630	NA	1.11e-07
7.235	3.00e-08	CD34-negative_CD41-positive_CD42-positive_megakaryocyte_cell	Cord Blood	DHS	C006NS47.DNase.hotspot_v3.20130819.bed.gz	cg00052684,cg01680062,cg03489069,cg03574890,cg05639088,cg07475825,cg08552853,cg09412707,cg09432792,cg15002347,cg15135194,cg15848159,cg15920942,cg17555274,cg20361768,cg22885409,cg27167895,cg27459630	NA	4.78e-07
6.412	4.55e-05	CD14-positive_CD16-negative_classical_monocyte	Venous Blood	DHS	C001UY46.DNase.hotspot_v3.20130415.bed.gz	cg03489069,cg03574890,cg05639088,cg07475825,cg08552853,cg15135194,cg17555274,cg22885409	NA	3.41e-04
7.098	3.21e-07	CD14-positive_CD16-negative_classical_monocyte	Venous Blood	DHS	C0010K46.DNase.hotspot_v3.20130415.bed.gz	cg00052684,cg01680062,cg03574890,cg04175911,cg05639088,cg07475825,cg08552853,cg09432792,cg15002347,cg15135194,cg15920942,cg17555274,cg20292908,cg27459630	NA	3.50e-06
6.537	8.79e-06	CD14-positive_CD16-negative_classical_monocyte	Venous Blood	DHS	C0011I43.DNase.hotspot_v3.20130415.bed.gz	cg00052684,cg03574890,cg04175911,cg05639088,cg07475825,cg09432792,cg15002347,cg15920942,cg17555274,cg20292908,cg27459630	NA	8.10e-05
