Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
-4.669	1.00e+00	E063 Adipose Nuclei	Adipose	TssA	erc2-chromatin15state-all-files/E063_1_TssA.bed	cg00052932,cg01496369,cg02565308,cg03293735,cg03772020,cg06414816,cg08935301,cg10042327,cg14383586,cg15164446,cg15523958,cg16260298,cg16301890,cg16490124,cg17127769,cg18821281,cg19123882,cg20294320,cg21074468,cg22574818,cg22864308,cg24677744,cg24893551,cg25924746,cg26668430,cg26856451	E063	1.00e+00
-2.534	9.96e-01	E063 Adipose Nuclei	Adipose	TssAFlnk	erc2-chromatin15state-all-files/E063_2_TssAFlnk.bed	cg00002464,cg00016841,cg00282953,cg00981170,cg01049678,cg01199495,cg01229567,cg01658265,cg01658506,cg01838004,cg02135853,cg02799643,cg03614649,cg03930097,cg04038844,cg04476741,cg04518808,cg05569176,cg06441150,cg06474274,cg06795316,cg07016184,cg07116947,cg07607639,cg08346627,cg08372168,cg08692046,cg08889009,cg09044785,cg09121695,cg09750469,cg09876992,cg11433727,cg11579146,cg11603759,cg11906947,cg12264626,cg12674357,cg12969488,cg13037201,cg13987606,cg14197156,cg14607533,cg14740130,cg14794655,cg15054077,cg15158515,cg15295766,cg15352640,cg15684727,cg16226020,cg16507663,cg16558432,cg16740427,cg17106431,cg17734243,cg18986389,cg19008097,cg19166302,cg19673462,cg19698668,cg20513206,cg21899520,cg22035278,cg22224625,cg22248488,cg22693863,cg22833027,cg23288103,cg25146577,cg26157333,cg26228577,cg26751094,cg26759037,cg27173717,cg27405010	E063	1.00e+00
2.358	3.52e-02	E063 Adipose Nuclei	Adipose	TxFlnk	erc2-chromatin15state-all-files/E063_3_TxFlnk.bed	cg03705621,cg06613263,cg09414137,cg14882265,cg15634083,cg27317813	E063	1.00e+00
-4.860	1.00e+00	E063 Adipose Nuclei	Adipose	Tx	erc2-chromatin15state-all-files/E063_4_Tx.bed	cg00442308,cg00844192,cg02332863,cg02599385,cg02628470,cg03108777,cg03693925,cg03864262,cg03983008,cg04065236,cg04317756,cg04990605,cg05177685,cg05600342,cg05903626,cg06082822,cg06507072,cg06652484,cg07624353,cg09704191,cg09725610,cg10921624,cg12604031,cg12799489,cg13685437,cg13773421,cg13834932,cg14261676,cg16540134,cg16989086,cg18195266,cg20054309,cg23034802,cg23666682,cg23922467,cg24360174,cg24915409,cg25306511,cg26603597	E063	1.00e+00
-1.047	8.74e-01	E063 Adipose Nuclei	Adipose	TxWk	erc2-chromatin15state-all-files/E063_5_TxWk.bed	cg00219855,cg00343711,cg00438952,cg00457915,cg00566949,cg00709387,cg00731352,cg00770773,cg00808563,cg01091831,cg01164631,cg01250155,cg01291920,cg01331198,cg01709919,cg01966398,cg02096324,cg02324006,cg02407203,cg02467086,cg02493332,cg02585025,cg02713599,cg02925872,cg03258523,cg03577632,cg03836831,cg04302388,cg04360546,cg04574286,cg04595021,cg04803944,cg04892182,cg05033341,cg05134567,cg05555502,cg05769891,cg06196597,cg06665075,cg06826760,cg06903211,cg06917867,cg07194963,cg07312624,cg07338713,cg07537738,cg08786399,cg09134948,cg09264374,cg09380149,cg09492210,cg09527715,cg09804528,cg09805254,cg09865593,cg10808534,cg11001092,cg11188103,cg11211942,cg11575340,cg11656382,cg11708721,cg11783602,cg12426470,cg12557562,cg12906989,cg13858321,cg13872405,cg13983113,cg14103335,cg14207539,cg14317467,cg14669842,cg14744050,cg15735438,cg15885274,cg15901963,cg16193557,cg16276053,cg16613990,cg17110052,cg17279592,cg17892825,cg18279051,cg18415510,cg18455364,cg18556579,cg18721397,cg18753364,cg19339902,cg19412649,cg20530515,cg20750319,cg21221358,cg21570597,cg21826978,cg22143285,cg22329336,cg22347523,cg22437405,cg24033750,cg24280925,cg24516139,cg24710671,cg25500027,cg26168764,cg26468807,cg27298509	E063	1.00e+00
-2.149	9.95e-01	E063 Adipose Nuclei	Adipose	EnhG	erc2-chromatin15state-all-files/E063_6_EnhG.bed	cg05471630,cg06130683,cg07309461,cg09148794,cg21224380,cg22498676	E063	1.00e+00
-1.905	9.79e-01	E063 Adipose Nuclei	Adipose	Enh	erc2-chromatin15state-all-files/E063_7_Enh.bed	cg00022235,cg00311883,cg00455003,cg02605708,cg03238090,cg03642549,cg03808714,cg04179415,cg04234566,cg05276360,cg05354481,cg05391002,cg05568532,cg06229084,cg06435847,cg06586376,cg07220939,cg07375254,cg07454365,cg07826747,cg08033142,cg08340277,cg08900396,cg08941853,cg09135347,cg09315614,cg09682988,cg09795520,cg09797340,cg10781468,cg10983398,cg11146248,cg11340498,cg12179884,cg12608445,cg12689200,cg13405222,cg13471491,cg13582959,cg14373068,cg14877755,cg14986219,cg15063771,cg15210447,cg15266205,cg15667296,cg16052121,cg16079309,cg16190265,cg17573586,cg18525301,cg19036450,cg19113783,cg19130904,cg19261516,cg19486604,cg19614911,cg19704683,cg19991046,cg20080231,cg20241433,cg20426959,cg21839211,cg22216242,cg23555395,cg24048022,cg24598305,cg25672327,cg26146900,cg26394624,cg26669717,cg26746573,cg27022201,cg27175123,cg27186250,cg27492102	E063	1.00e+00
0.406	3.98e-01	E063 Adipose Nuclei	Adipose	ZNF-Rpts	erc2-chromatin15state-all-files/E063_8_ZNF-Rpts.bed	cg00107617,cg01586682,cg05220083,cg08386546,cg12038694	E063	1.00e+00
-0.478	7.19e-01	E063 Adipose Nuclei	Adipose	Het	erc2-chromatin15state-all-files/E063_9_Het.bed	cg03402443,cg04840600,cg07433360,cg17296854,cg17676693,cg21147013,cg22167526,cg24697098,cg24699083,cg25331127,cg26500279	E063	1.00e+00
0.446	3.88e-01	E063 Adipose Nuclei	Adipose	TssBiv	erc2-chromatin15state-all-files/E063_10_TssBiv.bed	cg06423949,cg15782468,cg21461100,cg23605961,cg25962682	E063	1.00e+00
