Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
1.401	1.44e-01	CD3	Blood	DHS	UW.CD3_Primary_Cells.ChromatinAccessibility.CB1_1-3-2011.DS17702.twopass.merge150.wgt10.zgt2.wig.gz	cg06961313,cg09006487,cg09374353,cg21418854,cg25466245,cg27229484	GSM701525	1.00e+00
2.243	3.65e-02	CD3	Blood	DHS	UW.CD3_Primary_Cells.ChromatinAccessibility.CB6_1-4-2011.DS17706.twopass.merge150.wgt10.zgt2.wig.gz	cg04402828,cg06961313,cg09006487,cg09374353,cg13458803,cg17574812,cg18030943,cg27229484	GSM701526	1.00e+00
0.048	5.58e-01	CD3	Blood	DHS	UW.CD3_Primary_Cells.ChromatinAccessibility.RO_01679.DS17198.twopass.merge150.wgt10.zgt2.wig.gz	cg06961313,cg09006487,cg09374353,cg27229484	GSM665837	1.00e+00
0.285	4.61e-01	CD3	Blood	DHS	UW.CD3_Primary_Cells.ChromatinAccessibility.RO_01701.DS17534.twopass.merge150.wgt10.zgt2.wig.gz	cg02341139,cg06961313,cg09006487,cg09374353,cg21418854,cg27229484	GSM701516	1.00e+00
0.230	4.87e-01	CD4_Mobilised;	Blood	DHS	UW.Mobilized_CD4_Primary_Cells.ChromatinAccessibility.RO_01679.DS16955.twopass.merge150.wgt10.zgt2.wig.gz	cg06961313,cg09006487,cg09374353,cg21418854,cg25466245,cg27229484	GSM701489	1.00e+00
0.774	2.94e-01	CD4_Mobilised;	Blood	DHS	UW.Mobilized_CD4_Primary_Cells.ChromatinAccessibility.RO_01701.DS17175.twopass.merge150.wgt10.zgt2.wig.gz	cg06961313,cg09374353,cg13458803,cg21418854,cg25466245,cg27229484	GSM701491	1.00e+00
1.946	5.98e-02	CD4	Blood	DHS	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01549.DS15947.twopass.merge150.wgt10.zgt2.wig.gz	cg02341139,cg06961313,cg09006487,cg09374353,cg18030943,cg21418854,cg25648203,cg27229484	GSM665812	1.00e+00
1.543	1.17e-01	CD4	Blood	DHS	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01679.DS17212.twopass.merge150.wgt10.zgt2.wig.gz	cg06961313,cg09006487,cg09374353,cg13610455,cg18030943,cg21418854,cg27229484	GSM665839	1.00e+00
0.689	3.19e-01	CD4	Blood	DHS	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01689.DS17329.twopass.merge150.wgt10.zgt2.wig.gz	cg05337681,cg06961313,cg09006487,cg09374353,cg13610455,cg21418854,cg27229484	GSM817166	1.00e+00
1.599	1.02e-01	CD4	Blood	DHS	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01701.DS17881.twopass.merge150.wgt10.zgt2.wig.gz	cg02341139,cg04402828,cg09006487,cg09374353,cg18030943,cg21418854,cg25466245,cg27229484	GSM701539	1.00e+00
3.560	2.40e-03	CD8_Mobilised;	Blood	DHS	UW.Mobilized_CD8_Primary_Cells.ChromatinAccessibility.RO_01679.DS16962.twopass.merge150.wgt10.zgt2.wig.gz	cg00506299,cg01668352,cg02341139,cg06961313,cg07650681,cg09127592,cg09374353,cg11254522,cg13610455,cg21418854,cg25466245,cg27229484	GSM817160	2.38e-01
2.994	8.66e-03	CD8	Blood	DHS	UW.CD8_Primary_Cells.ChromatinAccessibility.RO_01549.DS16012.twopass.merge150.wgt10.zgt2.wig.gz	cg02341139,cg06961313,cg09006487,cg09374353,cg11254522,cg14223856,cg14310198,cg17576603,cg21418854,cg25466245,cg27229484	GSM665813	6.33e-01
0.538	3.77e-01	CD8	Blood	DHS	UW.CD8_Primary_Cells.ChromatinAccessibility.RO_01679.DS17203.twopass.merge150.wgt10.zgt2.wig.gz	cg06961313,cg09006487,cg09374353,cg21418854,cg27229484	GSM665838	1.00e+00
-0.815	8.40e-01	CD8	Blood	DHS	UW.CD8_Primary_Cells.ChromatinAccessibility.RO_01689.DS17332.twopass.merge150.wgt10.zgt2.wig.gz	cg06961313,cg09006487,cg27229484	GSM701499	1.00e+00
-0.089	6.04e-01	CD8	Blood	DHS	UW.CD8_Primary_Cells.ChromatinAccessibility.RO_01701.DS17885.twopass.merge150.wgt10.zgt2.wig.gz	cg09374353,cg18030943,cg21418854,cg27229484	GSM701540	1.00e+00
1.968	6.67e-02	CD14	Blood	DHS	UW.CD14_Primary_Cells.ChromatinAccessibility.RO_01689.DS17391.twopass.merge150.wgt10.zgt2.wig.gz	cg02341139,cg07650681,cg09374353,cg11254522,cg13610455,cg18030943,cg25648203	GSM701503	1.00e+00
3.127	9.25e-03	CD14	Blood	DHS	UW.CD14_Primary_Cells.ChromatinAccessibility.RO_01701.DS17889.twopass.merge150.wgt10.zgt2.wig.gz	cg02341139,cg07650681,cg09374353,cg13610455,cg17574812,cg18030943,cg25648203,cg27229484	GSM701541	6.43e-01
1.590	1.08e-01	CD19	Blood	DHS	UW.CD19_Primary_Cells.ChromatinAccessibility.RO_01679.DS17186.twopass.merge150.wgt10.zgt2.wig.gz	cg04402828,cg06961313,cg09006487,cg09374353,cg14310198,cg18030943,cg21418854,cg27229484	GSM701492	1.00e+00
2.274	3.37e-02	CD19	Blood	DHS	UW.CD19_Primary_Cells.ChromatinAccessibility.RO_01689.DS17281.twopass.merge150.wgt10.zgt2.wig.gz	cg04402828,cg05337681,cg06961313,cg09374353,cg13458803,cg14310198,cg18030943,cg21418854,cg27229484	GSM701493	1.00e+00
0.673	3.31e-01	CD19	Blood	DHS	UW.CD19_Primary_Cells.ChromatinAccessibility.RO_01701.DS17440.twopass.merge150.wgt10.zgt2.wig.gz	cg04402828,cg06961313,cg09374353,cg13458803,cg13610455,cg18030943	GSM701507	1.00e+00
1.112	1.94e-01	CD20	Blood	DHS	UW.CD20_Primary_Cells.ChromatinAccessibility.RO_01778.DS17371.twopass.merge150.wgt10.zgt2.wig.gz	cg00738897,cg01668352,cg02233197,cg05337681,cg07650681,cg17576603,cg21418854,cg25466245	GSM701500	1.00e+00
2.660	1.80e-02	CD34_Mobilised;	Blood	DHS	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_00738.DS13199.twopass.merge150.wgt10.zgt2.wig.gz	cg02341139,cg04402828,cg05317600,cg05337681,cg05951221,cg09006487,cg13610455,cg17574812,cg27229484	GSM530664	8.70e-01
2.196	4.30e-02	CD34_Mobilised;	Blood	DHS	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_01480.DS12771.twopass.merge150.wgt10.zgt2.wig.gz	cg02341139,cg04402828,cg05951221,cg09006487,cg09374353,cg13610455,cg14310198,cg17574812,cg21418854	GSM530658	1.00e+00
1.796	8.38e-02	CD34_Mobilised;	Blood	DHS	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_01492.DS12774.twopass.merge150.wgt10.zgt2.wig.gz	cg02341139,cg04402828,cg05337681,cg05951221,cg09006487,cg09374353,cg14310198,cg21418854	GSM530659	1.00e+00
0.194	5.00e-01	CD34_Mobilised;	Blood	DHS	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_01492.DS14206.twopass.merge150.wgt10.zgt2.wig.gz	cg05337681,cg05951221,cg07650681,cg09006487,cg09374353	GSM595919	1.00e+00
1.513	1.27e-01	CD34_Mobilised;	Blood	DHS	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_01508.DS11202.twopass.merge150.wgt10.zgt2.wig.gz	cg04402828,cg05337681,cg05951221,cg09006487,cg09374353,cg14310198,cg17574812	GSM493386	1.00e+00
2.892	1.24e-02	CD34_Mobilised;	Blood	DHS	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_01517.DS14129.twopass.merge150.wgt10.zgt2.wig.gz	cg02341139,cg04402828,cg05951221,cg07650681,cg09006487,cg13610455,cg14310198,cg17574812,cg18030943	GSM595917	7.32e-01
1.577	1.11e-01	CD34_Mobilised;	Blood	DHS	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_01520.DS12785.twopass.merge150.wgt10.zgt2.wig.gz	cg04402828,cg05337681,cg05951221,cg09006487,cg09374353,cg13610455,cg14310198,cg27229484	GSM530660	1.00e+00
