Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
-1.864	9.71e-01	E063 Adipose Nuclei	Adipose	TssA	erc2-chromatin15state-all-files/E063_1_TssA.bed	cg01392772,cg01569083,cg04045079,cg04070847,cg04360557,cg06000951,cg09573359,cg09915500,cg10583755,cg13363409,cg13456138,cg21301387,cg23622369,cg26394270	E063	1.00e+00
-0.837	8.08e-01	E063 Adipose Nuclei	Adipose	TssAFlnk	erc2-chromatin15state-all-files/E063_2_TssAFlnk.bed	cg00208912,cg01486537,cg01851399,cg01958295,cg03086857,cg04163638,cg05085499,cg05550603,cg06371243,cg06652329,cg07697733,cg08896939,cg08922698,cg08966485,cg10782206,cg13104385,cg13904286,cg15690316,cg16264526,cg16997558,cg17004162,cg17350632,cg18574822,cg20373771,cg20786131,cg21614759,cg22175303,cg25363789,cg25587662,cg26348226,cg27155592,cg27544046	E063	1.00e+00
-0.690	6.12e-01	E063 Adipose Nuclei	Adipose	TxFlnk	erc2-chromatin15state-all-files/E063_3_TxFlnk.bed	cg19693031	E063	1.00e+00
-1.456	9.36e-01	E063 Adipose Nuclei	Adipose	Tx	erc2-chromatin15state-all-files/E063_4_Tx.bed	cg00089430,cg00719568,cg02384859,cg02407068,cg02916920,cg03390830,cg04653326,cg04766772,cg04933135,cg08030438,cg08222192,cg08390732,cg09414922,cg10283311,cg10436631,cg11225266,cg11499236,cg11747695,cg13019030,cg13733008,cg14239540,cg14801356,cg15258722,cg15892950,cg17090754,cg18114649,cg18642719,cg19730730,cg19802564,cg19987248,cg20109855,cg20181209,cg21738270,cg23651281,cg23800023,cg25979148,cg26539024	E063	1.00e+00
-1.694	9.65e-01	E063 Adipose Nuclei	Adipose	TxWk	erc2-chromatin15state-all-files/E063_5_TxWk.bed	cg00120147,cg00373663,cg01191349,cg01276843,cg01421256,cg02739534,cg03378637,cg03434521,cg03732055,cg03737188,cg04195858,cg04280657,cg04295372,cg04527989,cg04612248,cg04892724,cg04922682,cg05170183,cg05272587,cg06121113,cg06141378,cg06917015,cg07678273,cg08426368,cg08985282,cg09075096,cg09124901,cg09205611,cg09361598,cg09527411,cg10541183,cg11769360,cg12058878,cg12226453,cg13262212,cg13471408,cg15035920,cg15043117,cg16964791,cg17873675,cg18445418,cg20503282,cg20976607,cg21295453,cg21847062,cg21930227,cg21992594,cg22351103,cg23903774,cg24632943,cg24782857,cg26353322,cg26863821	E063	1.00e+00
1.952	4.81e-02	E063 Adipose Nuclei	Adipose	EnhG	erc2-chromatin15state-all-files/E063_6_EnhG.bed	cg03209707,cg03699103,cg05063632,cg05167916,cg05639392,cg07027444,cg07463103,cg13806230,cg16522557,cg19255656,cg26090406,cg27336611,cg27398401	E063	1.00e+00
3.736	2.06e-04	E063 Adipose Nuclei	Adipose	Enh	erc2-chromatin15state-all-files/E063_7_Enh.bed	cg00175482,cg00529978,cg00549064,cg00649330,cg00804634,cg01427388,cg02037425,cg03582285,cg03928887,cg04096477,cg04372796,cg04379086,cg04569233,cg04633676,cg04853616,cg05121110,cg05425909,cg05569018,cg06016811,cg06598877,cg06815489,cg07062156,cg07380200,cg07968192,cg08113064,cg08357961,cg08479615,cg08616951,cg08639424,cg09990194,cg10589094,cg10662345,cg10791278,cg10845147,cg10990006,cg11065972,cg11712187,cg11935041,cg12180319,cg12641629,cg12872535,cg14199978,cg14488087,cg15483907,cg15761598,cg15866363,cg15990170,cg16883145,cg17169712,cg18096774,cg19113783,cg19234894,cg19753864,cg20351582,cg21009769,cg21233180,cg21401359,cg21901847,cg22049881,cg22097677,cg22477731,cg23609219,cg23609672,cg23998500,cg24022532,cg24853857,cg25854725,cg26127114,cg26680760,cg26872482,cg26957356,cg27208362,cg27341384,cg27567544	E063	8.19e-02
1.393	1.30e-01	E063 Adipose Nuclei	Adipose	ZNF-Rpts	erc2-chromatin15state-all-files/E063_8_ZNF-Rpts.bed	cg03185827,cg10142452,cg16238475,cg22910540	E063	1.00e+00
-1.404	9.69e-01	E063 Adipose Nuclei	Adipose	Het	erc2-chromatin15state-all-files/E063_9_Het.bed	cg08159978,cg23527612	E063	1.00e+00
2.154	5.46e-02	E063 Adipose Nuclei	Adipose	TssBiv	erc2-chromatin15state-all-files/E063_10_TssBiv.bed	cg02113641,cg02693870,cg18714224,cg27565517	E063	1.00e+00
0.700	3.05e-01	E063 Adipose Nuclei	Adipose	BivFlnk	erc2-chromatin15state-all-files/E063_11_BivFlnk.bed	cg01287975,cg03083467,cg03260566,cg05710753,cg22730464,cg23057870,cg23400208	E063	1.00e+00
0.789	2.65e-01	E063 Adipose Nuclei	Adipose	EnhBiv	erc2-chromatin15state-all-files/E063_12_EnhBiv.bed	cg00732815,cg02438164,cg07404365,cg07996027,cg10505873,cg14640244,cg22275864	E063	1.00e+00
-1.276	9.17e-01	E063 Adipose Nuclei	Adipose	ReprPC	erc2-chromatin15state-all-files/E063_13_ReprPC.bed	cg14732602,cg15182360,cg17555825,cg18049776,cg19094530,cg19223299,cg20709984,cg20786197,cg21537214,cg26678144,cg27313201,cg27581493	E063	1.00e+00
