Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
-4.409	1.00e+00	E029 Primary monocytes from peripheral blood	Blood	H3K36me3	E029-H3K36me3.broadPeak.gz	cg01707795,cg03415617,cg04027059,cg18067514	E029	1.00e+00
-4.494	1.00e+00	E032 Primary B cells from peripheral blood	Blood	H3K36me3	E032-H3K36me3.broadPeak.gz	cg00758915,cg01575930,cg02596089,cg03233793,cg04027059,cg08626932,cg09092052,cg17967673,cg25976804	E032	1.00e+00
-3.812	1.00e+00	E033 Primary T cells from cord blood	Blood	H3K36me3	E033-H3K36me3.broadPeak.gz	cg00758915,cg01707795,cg04027059,cg04773864,cg07494914,cg08626932,cg24633027	E033	1.00e+00
-4.363	1.00e+00	E034 Primary T cells from peripheral blood	Blood	H3K36me3	E034-H3K36me3.broadPeak.gz	cg01707795,cg04027059,cg06410284,cg08626932,cg09741519,cg09898978,cg10347828,cg18067514,cg21098323,cg23948391,cg25976804	E034	1.00e+00
-4.315	1.00e+00	E046 Primary Natural Killer cells from peripheral 	Blood	H3K36me3	E046-H3K36me3.broadPeak.gz	cg01707795,cg02605776,cg04027059,cg08626932	E046	1.00e+00
-3.297	1.00e+00	E050 Primary hematopoietic stem cells G-CSF-mobili	Blood	H3K36me3	E050-H3K36me3.broadPeak.gz	cg00758915,cg01301252,cg01707795,cg03086707,cg04027059,cg04773864,cg05852276,cg07494914,cg17967673,cg24633027,cg26879386	E050	1.00e+00
1.035	1.85e-01	E051 Primary hematopoietic stem cells G-CSF-mobili	Blood	H3K36me3	E051-H3K36me3.broadPeak.gz	cg00635356,cg00758915,cg00978427,cg01301252,cg01707795,cg02349373,cg02539074,cg02804091,cg03086707,cg04027059,cg04160343,cg04773864,cg08243619,cg08714996,cg09135656,cg09785512,cg10933186,cg11086421,cg13283199,cg13725516,cg13972793,cg15116095,cg16547529,cg17932096,cg17967673,cg18251449,cg19814830,cg23614852,cg24633027,cg24729221,cg25340050,cg26879386	E051	1.00e+00
-0.575	7.44e-01	E028 Breast variant Human Mammary Epithelial Cells	Breast	H3K36me3	E028-H3K36me3.broadPeak.gz	cg00543335,cg00978427,cg01418385,cg01707795,cg04027059,cg04160343,cg09816420,cg10933186,cg15044767,cg17227466,cg23614852,cg23824713,cg25340050	E028	1.00e+00
8.287	2.11e-14	E003 H1 Cells	ES Cell	H3K36me3	E003-H3K36me3.broadPeak.gz	cg00543335,cg00758915,cg00805880,cg00916640,cg00978427,cg01281851,cg01285926,cg01512854,cg01524894,cg01707795,cg01837362,cg01873249,cg01893629,cg01947695,cg02161906,cg02349373,cg02403883,cg02601140,cg02703627,cg02773588,cg03003467,cg03043130,cg03054846,cg03070262,cg03122674,cg03124146,cg03313088,cg03415617,cg03473127,cg03644691,cg04027059,cg04160343,cg04520078,cg04625871,cg04696808,cg04773864,cg04838249,cg04880091,cg04895616,cg05007325,cg05453358,cg05852276,cg05988356,cg06098368,cg06176824,cg06512316,cg06617961,cg07388216,cg07494914,cg07549924,cg08214455,cg08243619,cg08538752,cg09320731,cg09563325,cg09677268,cg09741519,cg09785512,cg09871679,cg09898978,cg10285526,cg10725861,cg10734218,cg10933186,cg11086421,cg11347033,cg12777672,cg13283199,cg13495693,cg13519035,cg13587180,cg13725516,cg13972793,cg15044767,cg15073666,cg15548198,cg15655495,cg15717183,cg15865243,cg16547529,cg16562776,cg16812621,cg17967673,cg18067514,cg18328998,cg19206486,cg19495714,cg19814830,cg20260127,cg20597382,cg21043657,cg22694067,cg23542590,cg23614852,cg23738353,cg23824713,cg23918315,cg23948391,cg24633027,cg25261547,cg26605683,cg26613361	E003	3.50e-12
-1.483	9.63e-01	E004 H1 BMP4 Derived Mesendoderm Cultured Cells	ES Cell	H3K36me3	E004-H3K36me3.broadPeak.gz	cg01301252,cg01418385,cg02403883,cg03054846	E004	1.00e+00
4.127	2.34e-05	E005 H1 BMP4 Derived Trophoblast Cultured Cells	ES Cell	H3K36me3	E005-H3K36me3.broadPeak.gz	cg00106591,cg00297876,cg00543335,cg00635356,cg00758915,cg00831126,cg00916640,cg00978427,cg01281851,cg01301252,cg01316659,cg01512854,cg01707795,cg01837362,cg01873249,cg01893629,cg02161906,cg02349373,cg02475600,cg02596089,cg02601140,cg02773588,cg03043130,cg03054846,cg03070262,cg03086707,cg03122674,cg03124146,cg03233793,cg03313088,cg03415617,cg04027059,cg04520078,cg04625871,cg04696808,cg04742556,cg04773864,cg04838249,cg04880091,cg05007325,cg05210606,cg05453358,cg05970777,cg06098368,cg06512316,cg06617961,cg07200871,cg07212940,cg07388216,cg07549924,cg08214455,cg08243619,cg08538752,cg08626932,cg08714996,cg09135656,cg09563325,cg09677268,cg09741519,cg09785512,cg09786098,cg09871679,cg10725861,cg10750464,cg11086421,cg11336382,cg11347033,cg11383474,cg12777672,cg13519035,cg13725516,cg13972793,cg14724749,cg15044767,cg15073666,cg15116095,cg15717183,cg15865243,cg16340103,cg16547529,cg16562776,cg17330048,cg17628468,cg17932096,cg17967673,cg18251449,cg18328998,cg18677906,cg19495714,cg19694465,cg19814830,cg20260127,cg21043657,cg23542590,cg23614852,cg24633027,cg24729221,cg25261547,cg26605683,cg26613361	E005	1.94e-03
