Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
2.950	8.65e-03	CD3	Blood	DHS	UW.CD3_Primary_Cells.ChromatinAccessibility.CB1_1-3-2011.DS17702.twopass.merge150.wgt10.zgt2.wig.gz	cg02575448,cg02738868,cg03032247,cg03111156,cg03299066,cg03935432,cg04155830,cg04525491,cg04815626,cg04873548,cg05255305,cg07380563,cg14603358,cg16273766,cg17128892,cg17279912,cg21760990,cg22511904,cg26184812	GSM701525	4.76e-01
2.932	9.28e-03	CD3	Blood	DHS	UW.CD3_Primary_Cells.ChromatinAccessibility.CB6_1-4-2011.DS17706.twopass.merge150.wgt10.zgt2.wig.gz	cg02575448,cg02738868,cg03299066,cg03935432,cg04155830,cg04367699,cg04815626,cg04873548,cg05255305,cg12304215,cg14603358,cg16188532,cg16273766,cg17128892,cg17279912,cg18614779,cg21760990,cg22511904,cg26184812,cg26427270	GSM701526	4.76e-01
2.607	2.08e-02	CD3	Blood	DHS	UW.CD3_Primary_Cells.ChromatinAccessibility.RO_01679.DS17198.twopass.merge150.wgt10.zgt2.wig.gz	cg02575448,cg02738868,cg03032247,cg03111156,cg03299066,cg04155830,cg04525491,cg04815626,cg04873548,cg05255305,cg07380563,cg12304215,cg14603358,cg16188532,cg16273766,cg17128892,cg17279912,cg22511904,cg26184812	GSM665837	4.99e-01
2.735	1.46e-02	CD3	Blood	DHS	UW.CD3_Primary_Cells.ChromatinAccessibility.RO_01701.DS17534.twopass.merge150.wgt10.zgt2.wig.gz	cg02575448,cg02738868,cg03032247,cg03111156,cg03299066,cg03935432,cg04155830,cg04367699,cg04525491,cg04815626,cg04873548,cg05255305,cg07380563,cg12304215,cg14603358,cg16273766,cg17128892,cg17279912,cg21760990,cg22511904,cg26184812,cg26427270,cg26886252	GSM701516	4.91e-01
2.626	1.88e-02	CD4_Mobilised;	Blood	DHS	UW.Mobilized_CD4_Primary_Cells.ChromatinAccessibility.RO_01679.DS16955.twopass.merge150.wgt10.zgt2.wig.gz	cg02575448,cg02738868,cg03032247,cg03111156,cg03299066,cg03935432,cg04155830,cg04367699,cg04525491,cg04815626,cg04873548,cg05255305,cg07380563,cg12304215,cg14603358,cg16273766,cg17128892,cg17279912,cg20822372,cg21760990,cg22511904,cg26184812,cg26427270	GSM701489	4.91e-01
1.986	5.72e-02	CD4_Mobilised;	Blood	DHS	UW.Mobilized_CD4_Primary_Cells.ChromatinAccessibility.RO_01701.DS17175.twopass.merge150.wgt10.zgt2.wig.gz	cg02738868,cg03032247,cg03111156,cg03299066,cg03935432,cg04155830,cg04367699,cg04525491,cg04815626,cg04873548,cg05255305,cg07380563,cg14603358,cg16273766,cg17128892,cg17279912,cg21760990,cg22511904,cg26184812	GSM701491	6.66e-01
2.843	1.18e-02	CD4	Blood	DHS	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01549.DS15947.twopass.merge150.wgt10.zgt2.wig.gz	cg02575448,cg02738868,cg03032247,cg03111156,cg03299066,cg03935432,cg04155830,cg04367699,cg04525491,cg04815626,cg04873548,cg05255305,cg14603358,cg15928188,cg16273766,cg17128892,cg17279912,cg20822372,cg21760990,cg22511904,cg26184812	GSM665812	4.91e-01
2.162	4.49e-02	CD4	Blood	DHS	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01679.DS17212.twopass.merge150.wgt10.zgt2.wig.gz	cg02575448,cg02738868,cg03111156,cg03299066,cg03935432,cg04155830,cg04525491,cg04815626,cg04873548,cg05255305,cg07380563,cg12304215,cg14603358,cg16273766,cg17128892,cg17279912,cg21760990,cg22511904,cg26184812	GSM665839	6.03e-01
2.747	1.47e-02	CD4	Blood	DHS	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01689.DS17329.twopass.merge150.wgt10.zgt2.wig.gz	cg02575448,cg02738868,cg03032247,cg03299066,cg03935432,cg04155830,cg04367699,cg04525491,cg04815626,cg04873548,cg05255305,cg12957132,cg14603358,cg16273766,cg16661473,cg17128892,cg17279912,cg18614779,cg20822372,cg21760990,cg22511904,cg26184812,cg26427270	GSM817166	4.91e-01
2.174	4.50e-02	CD4	Blood	DHS	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01701.DS17881.twopass.merge150.wgt10.zgt2.wig.gz	cg02575448,cg02738868,cg03032247,cg03111156,cg03299066,cg03935432,cg04155830,cg04525491,cg04815626,cg04873548,cg05255305,cg12304215,cg14603358,cg15666308,cg16273766,cg17128892,cg17279912,cg21760990,cg22511904,cg26184812	GSM701539	6.03e-01
2.646	1.85e-02	CD8_Mobilised;	Blood	DHS	UW.Mobilized_CD8_Primary_Cells.ChromatinAccessibility.RO_01679.DS16962.twopass.merge150.wgt10.zgt2.wig.gz	cg02296708,cg02738868,cg03032247,cg03111156,cg03299066,cg03935432,cg04155830,cg04367699,cg04525491,cg04815626,cg04873548,cg05255305,cg12304215,cg14603358,cg15500907,cg15928188,cg16273766,cg17128892,cg17279912,cg22511904,cg26184812,cg26427270	GSM817160	4.91e-01
2.165	3.93e-02	CD8	Blood	DHS	UW.CD8_Primary_Cells.ChromatinAccessibility.RO_01549.DS16012.twopass.merge150.wgt10.zgt2.wig.gz	cg02575448,cg02738868,cg03032247,cg03111156,cg03299066,cg03935432,cg04155830,cg04525491,cg04815626,cg04873548,cg05255305,cg12304215,cg14603358,cg16273766,cg17128892,cg17279912,cg20822372,cg21760990,cg22511904,cg26184812,cg26427270	GSM665813	5.77e-01
3.284	6.23e-03	CD8	Blood	DHS	UW.CD8_Primary_Cells.ChromatinAccessibility.RO_01679.DS17203.twopass.merge150.wgt10.zgt2.wig.gz	cg02575448,cg02738868,cg03111156,cg03299066,cg03935432,cg04155830,cg04525491,cg04815626,cg04873548,cg05255305,cg12304215,cg14603358,cg16273766,cg17128892,cg17279912,cg18614779,cg20822372,cg22511904,cg26184812,cg26427270,cg26886252	GSM665838	4.51e-01
1.393	1.34e-01	CD8	Blood	DHS	UW.CD8_Primary_Cells.ChromatinAccessibility.RO_01689.DS17332.twopass.merge150.wgt10.zgt2.wig.gz	cg02738868,cg03111156,cg03299066,cg04155830,cg04367699,cg04525491,cg04815626,cg04873548,cg05255305,cg12304215,cg14603358,cg16273766,cg17128892,cg17279912,cg21760990,cg22511904,cg26184812	GSM701499	1.00e+00
2.761	1.86e-02	CD8	Blood	DHS	UW.CD8_Primary_Cells.ChromatinAccessibility.RO_01701.DS17885.twopass.merge150.wgt10.zgt2.wig.gz	cg02575448,cg02738868,cg03032247,cg03111156,cg03299066,cg03935432,cg04155830,cg04525491,cg04815626,cg04873548,cg05255305,cg14603358,cg16273766,cg17128892,cg17279912,cg21760990,cg22511904,cg26184812,cg26427270,cg26886252	GSM701540	4.91e-01
2.085	5.48e-02	CD14	Blood	DHS	UW.CD14_Primary_Cells.ChromatinAccessibility.RO_01689.DS17391.twopass.merge150.wgt10.zgt2.wig.gz	cg02738868,cg03111156,cg03299066,cg04155830,cg04525491,cg04815626,cg04873548,cg05255305,cg15500907,cg16273766,cg17128892,cg17279912,cg18614779,cg20822372,cg22511904,cg26184812	GSM701503	6.55e-01
1.984	5.62e-02	CD14	Blood	DHS	UW.CD14_Primary_Cells.ChromatinAccessibility.RO_01701.DS17889.twopass.merge150.wgt10.zgt2.wig.gz	cg02738868,cg03111156,cg03299066,cg03935432,cg04155830,cg04815626,cg04873548,cg15500907,cg16273766,cg17128892,cg17279912,cg18614779,cg22511904,cg26184812	GSM701541	6.59e-01
2.729	1.72e-02	CD19	Blood	DHS	UW.CD19_Primary_Cells.ChromatinAccessibility.RO_01679.DS17186.twopass.merge150.wgt10.zgt2.wig.gz	cg02575448,cg02738868,cg03032247,cg03299066,cg03935432,cg04155830,cg04367699,cg04525491,cg04815626,cg04873548,cg05255305,cg07380563,cg12304215,cg14603358,cg16273766,cg17128892,cg17279912,cg18614779,cg21760990,cg22511904,cg26184812,cg26427270	GSM701492	4.91e-01
2.501	2.24e-02	CD19	Blood	DHS	UW.CD19_Primary_Cells.ChromatinAccessibility.RO_01689.DS17281.twopass.merge150.wgt10.zgt2.wig.gz	cg02575448,cg02738868,cg03032247,cg03299066,cg03935432,cg04155830,cg04367699,cg04525491,cg04815626,cg04873548,cg05255305,cg12304215,cg14603358,cg16273766,cg17128892,cg17279912,cg18614779,cg20822372,cg22511904,cg26184812,cg26427270	GSM701493	4.99e-01
2.196	4.19e-02	CD19	Blood	DHS	UW.CD19_Primary_Cells.ChromatinAccessibility.RO_01701.DS17440.twopass.merge150.wgt10.zgt2.wig.gz	cg02575448,cg02738868,cg03299066,cg03935432,cg04155830,cg04367699,cg04525491,cg04815626,cg04873548,cg05255305,cg12304215,cg14603358,cg16273766,cg17128892,cg17279912,cg18614779,cg20822372,cg22511904,cg26184812,cg26427270	GSM701507	5.90e-01
1.090	1.96e-01	CD20	Blood	DHS	UW.CD20_Primary_Cells.ChromatinAccessibility.RO_01778.DS17371.twopass.merge150.wgt10.zgt2.wig.gz	cg02296708,cg02575448,cg02738868,cg03032247,cg03299066,cg04155830,cg04367699,cg04525491,cg04815626,cg04873548,cg05255305,cg12304215,cg14603358,cg16273766,cg17128892,cg17279912,cg21760990,cg22511904,cg26184812	GSM701500	1.00e+00
2.754	1.52e-02	CD34_Mobilised;	Blood	DHS	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_00738.DS13199.twopass.merge150.wgt10.zgt2.wig.gz	cg02575448,cg02738868,cg03111156,cg03299066,cg04155830,cg04525491,cg04815626,cg04852443,cg04873548,cg05255305,cg07825799,cg14603358,cg15500907,cg16273766,cg17128892,cg17279912,cg22511904,cg26184812,cg26427270,cg26886252	GSM530664	4.91e-01
4.255	2.54e-04	CD34_Mobilised;	Blood	DHS	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_01480.DS12771.twopass.merge150.wgt10.zgt2.wig.gz	cg02575448,cg02738868,cg03111156,cg03299066,cg03935432,cg04155830,cg04525491,cg04815626,cg04852443,cg04873548,cg05255305,cg07380563,cg07825799,cg14603358,cg15229570,cg15500907,cg16188532,cg16273766,cg17128892,cg17279912,cg18614779,cg20264068,cg21158075,cg22511904,cg26184812,cg26427270,cg26886252	GSM530658	1.19e-01
4.493	1.86e-04	CD34_Mobilised;	Blood	DHS	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_01492.DS12774.twopass.merge150.wgt10.zgt2.wig.gz	cg02575448,cg02738868,cg03032247,cg03111156,cg03299066,cg03935432,cg04155830,cg04525491,cg04815626,cg04852443,cg04873548,cg05255305,cg07825799,cg14603358,cg15229570,cg15500907,cg16188532,cg16273766,cg17128892,cg17279912,cg18614779,cg20264068,cg22058099,cg22511904,cg26184812,cg26427270,cg26886252	GSM530659	1.19e-01
2.901	1.01e-02	CD34_Mobilised;	Blood	DHS	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_01492.DS14206.twopass.merge150.wgt10.zgt2.wig.gz	cg02575448,cg02738868,cg03299066,cg04155830,cg04525491,cg04815626,cg04873548,cg05255305,cg07825799,cg14603358,cg15500907,cg16188532,cg16273766,cg17128892,cg17279912,cg18614779,cg20264068,cg20822372,cg21760990,cg22511904,cg26184812,cg26886252	GSM595919	4.83e-01
3.086	5.89e-03	CD34_Mobilised;	Blood	DHS	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_01508.DS11202.twopass.merge150.wgt10.zgt2.wig.gz	cg02575448,cg02738868,cg03032247,cg03111156,cg03299066,cg04155830,cg04525491,cg04815626,cg04873548,cg05255305,cg07825799,cg14603358,cg15500907,cg16273766,cg17128892,cg17279912,cg18614779,cg20264068,cg22511904,cg26184812,cg26886252	GSM493386	4.51e-01
