Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
-0.023	5.36e-01	HTR8svn	Blastula	DHS	wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	cg00256231,cg00281977,cg01052103,cg01065977,cg01354046,cg01516881,cg01864468,cg02147364,cg02299497,cg02746014,cg02773192,cg03395511,cg03582285,cg04241623,cg05141217,cg05406088,cg05505459,cg05729249,cg05841700,cg05919696,cg05926928,cg06176221,cg06522412,cg06758350,cg06821841,cg06939248,cg07168142,cg07310671,cg07482220,cg07532242,cg08291996,cg08408040,cg08422420,cg08551532,cg08802841,cg09039782,cg09092052,cg09144455,cg09592244,cg10187029,cg10239804,cg10576280,cg10619895,cg11102724,cg12258998,cg12658972,cg12717203,cg12794224,cg13498216,cg13935009,cg14614789,cg14752068,cg15022609,cg15154249,cg15443223,cg15618495,cg15919605,cg16340422,cg16681597,cg16914890,cg17220055,cg17509989,cg18165715,cg18397450,cg18428180,cg18505837,cg18797653,cg19097407,cg20004147,cg20064778,cg20130571,cg20596706,cg22055815,cg22905511,cg23577102,cg24334149,cg24675775,cg26000393,cg26114124,cg26579653,cg27010141,cg27312944	GSM816644	1.00e+00
3.132	1.81e-03	Adult_CD4+	Blood	DHS	Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig	cg00191853,cg00256231,cg00281977,cg00525828,cg00607058,cg00699601,cg00937982,cg01003448,cg01043153,cg01052103,cg01065977,cg01354046,cg01427108,cg01516881,cg01609658,cg01808030,cg01864468,cg01874867,cg01927686,cg02147364,cg02202923,cg02299497,cg02743650,cg02746014,cg02750262,cg02779288,cg03395511,cg03486986,cg03582285,cg03940650,cg04241623,cg04385144,cg05141217,cg05197062,cg05406088,cg05505459,cg05649108,cg05662444,cg05729249,cg05841700,cg05867245,cg05919696,cg05926928,cg06176221,cg06193597,cg06478886,cg06522412,cg06602086,cg06618935,cg06758350,cg07096305,cg07136909,cg07168142,cg07219506,cg07638320,cg08103988,cg08422420,cg08481075,cg08551532,cg08838158,cg09039782,cg09092052,cg09398816,cg09592244,cg10187029,cg10391129,cg10576280,cg10727654,cg10829391,cg11102724,cg11335335,cg11787167,cg11949518,cg12319143,cg12658972,cg12717203,cg12794224,cg13388618,cg13498216,cg13598480,cg13808032,cg13918754,cg13935009,cg14508358,cg14614789,cg15022609,cg15154249,cg15461618,cg15469871,cg15618495,cg15782153,cg15919605,cg16053902,cg16340422,cg16681597,cg17220055,cg17509989,cg17537073,cg17655970,cg17862288,cg17888390,cg18200150,cg18268631,cg18322025,cg18397450,cg18402987,cg18405330,cg18428180,cg18797653,cg19097407,cg19214707,cg19815010,cg20053110,cg20064778,cg20293942,cg20596706,cg20611109,cg21544437,cg22055815,cg22905511,cg23577102,cg23615741,cg24334149,cg24467349,cg24506221,cg24675775,cg25046953,cg26000393,cg26011014,cg26052728,cg26114124,cg26579653,cg26924392,cg27010141,cg27205904,cg27312944,cg27597505	Lookup	1.02e-01
3.766	4.40e-04	CD14+	Blood	DHS	CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig	cg00106564,cg00281977,cg00308130,cg00435273,cg00699601,cg01003448,cg01052103,cg01065977,cg01427108,cg01516881,cg01808030,cg01864468,cg02147364,cg02157155,cg02202923,cg02219147,cg02299497,cg02486009,cg02743650,cg02746014,cg02750262,cg03395511,cg03582285,cg03847932,cg03997626,cg04385144,cg04554929,cg05141217,cg05729249,cg05841700,cg05926928,cg06176221,cg06419732,cg06478886,cg06522412,cg06546677,cg06602086,cg06724776,cg06758350,cg07096305,cg07482220,cg07638320,cg08103988,cg08422420,cg08481075,cg08642068,cg08802841,cg08838158,cg09039782,cg09092052,cg09592244,cg10185505,cg10187029,cg10576280,cg10727654,cg11076954,cg11102724,cg11300570,cg11949518,cg12258998,cg12658972,cg12717203,cg12794224,cg13388618,cg13498216,cg13918754,cg14298807,cg14508358,cg14752068,cg15022609,cg15154249,cg15365744,cg15469871,cg16340422,cg16619994,cg16681597,cg17220055,cg17279147,cg17349054,cg17509989,cg17862288,cg17932096,cg18200150,cg18268631,cg18402987,cg18405330,cg18428180,cg18797653,cg19097407,cg19815010,cg19985056,cg20053110,cg20064778,cg20130571,cg20293942,cg20596706,cg20611109,cg21544437,cg22055815,cg22905511,cg23577102,cg25079981,cg26000393,cg26052728,cg26114124,cg26579653,cg26647808,cg27010141,cg27205904	Lookup	5.70e-02
2.873	5.55e-03	CD20+	Blood	DHS	CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig	cg00106564,cg00256231,cg00281977,cg00435273,cg00699601,cg00795791,cg01003448,cg01052103,cg01516881,cg01808030,cg01864468,cg01874867,cg02147364,cg02157155,cg02202923,cg02299497,cg02743650,cg02746014,cg02750262,cg03395511,cg03582285,cg03847932,cg03940650,cg04241623,cg04385144,cg04554929,cg05406088,cg05505459,cg05729249,cg05841700,cg05926928,cg06176221,cg06419732,cg06546677,cg06602086,cg06758350,cg07006249,cg07096305,cg07318204,cg07482220,cg08291996,cg08422420,cg08481075,cg08551532,cg08802841,cg09039782,cg09092052,cg09592244,cg10185505,cg10187029,cg10239804,cg10576280,cg10727654,cg11102724,cg11335335,cg11594731,cg12258998,cg12319143,cg12621411,cg12658972,cg12717203,cg13498216,cg13598480,cg13918754,cg13935009,cg14011486,cg14508358,cg14614789,cg14752068,cg15022609,cg15154249,cg15469871,cg15782153,cg15919605,cg16340422,cg16619994,cg16681597,cg17279147,cg17509989,cg18200150,cg18268631,cg18397450,cg18402987,cg18405330,cg18428180,cg18797653,cg19097407,cg19985056,cg20053110,cg20064778,cg20293942,cg20596706,cg20611109,cg21544437,cg22055815,cg22905511,cg23577102,cg23615741,cg24334149,cg24467349,cg24506221,cg24666046,cg26000393,cg26010015,cg26011014,cg26114124,cg26579653,cg26647808,cg27010141,cg27187704,cg27205904,cg27312944,cg27597505	Lookup	1.50e-01
6.465	4.90e-09	CD34+	Blood	DHS	CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig	cg00106564,cg00256231,cg00281977,cg00435273,cg00607058,cg00699601,cg00795791,cg01003448,cg01052103,cg01065977,cg01354046,cg01427108,cg01516881,cg01651570,cg01795955,cg01808030,cg01864468,cg01874867,cg01927686,cg02147364,cg02202923,cg02299497,cg02743650,cg02746014,cg02750262,cg03395511,cg03582285,cg03847932,cg03940650,cg03997626,cg04241623,cg04385144,cg04554929,cg05141217,cg05406088,cg05505459,cg05662444,cg05729249,cg05841700,cg05926928,cg06176221,cg06419732,cg06478886,cg06522412,cg06602086,cg06618935,cg06675417,cg06758350,cg06821841,cg07006249,cg07014308,cg07096305,cg07219506,cg07318204,cg07482220,cg07638320,cg07679219,cg08103988,cg08291996,cg08408040,cg08422420,cg08481075,cg08551532,cg08802841,cg08838158,cg09039782,cg09092052,cg09314196,cg09592244,cg10185505,cg10187029,cg10391129,cg10576280,cg10619895,cg10727654,cg11076954,cg11102724,cg11335335,cg11594731,cg11787167,cg11949518,cg12186997,cg12258998,cg12658972,cg12717203,cg12794224,cg13388618,cg13498216,cg13918754,cg13967339,cg14298807,cg14508358,cg14614789,cg14752068,cg14865678,cg15022609,cg15154249,cg15365744,cg15443223,cg15458017,cg15469871,cg15782153,cg15789211,cg15919605,cg16340422,cg16619994,cg16677969,cg16681597,cg17082037,cg17220055,cg17279147,cg17349054,cg17509989,cg17537073,cg17888390,cg17932096,cg18200150,cg18268631,cg18322025,cg18397450,cg18402987,cg18405330,cg18428180,cg18797653,cg19097407,cg19815010,cg19985056,cg20004147,cg20053110,cg20064778,cg20130571,cg20293942,cg20596706,cg20611109,cg21544437,cg22055815,cg22905511,cg23577102,cg23615741,cg24334149,cg24467349,cg24506221,cg24666046,cg24675775,cg26000393,cg26010015,cg26011014,cg26052728,cg26114124,cg26579653,cg26647808,cg26725559,cg27010141,cg27205904,cg27312944,cg27597505	Lookup	3.31e-06
1.742	5.81e-02	CLL	Blood	DHS	wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	cg00106564,cg00256231,cg00281977,cg00308130,cg01003448,cg01065977,cg01516881,cg01609658,cg01651570,cg01864468,cg01927686,cg02147364,cg02157155,cg02299497,cg02486009,cg02743650,cg03395511,cg03582285,cg03810616,cg03940650,cg04241623,cg04385144,cg04806653,cg05141217,cg05406088,cg05505459,cg05729249,cg05841700,cg05926928,cg06176221,cg06419732,cg06478886,cg06522412,cg06546677,cg06602086,cg07096305,cg07136909,cg07168142,cg08422420,cg08481075,cg08551532,cg08802841,cg09039782,cg09092052,cg09592244,cg10187029,cg10619895,cg10727654,cg11102724,cg11594731,cg12258998,cg12658972,cg12717203,cg12794224,cg12869254,cg13388618,cg13498216,cg13967339,cg14298807,cg14508358,cg14614789,cg15022609,cg15469871,cg15919605,cg16340422,cg16681597,cg17509989,cg18268631,cg18322025,cg18397450,cg18402987,cg18405330,cg18428180,cg18797653,cg19097407,cg19214707,cg20053110,cg20064778,cg20596706,cg20611109,cg21544437,cg22055815,cg22905511,cg23577102,cg24506221,cg25026992,cg25046953,cg26000393,cg26011014,cg26052728,cg26924392,cg27205904,cg27312944,cg27597505	GSM816664	5.78e-01
1.754	5.99e-02	CMK	Blood	DHS	CMK-DS12393.twopass.merge150.wgt10.zgt2.wig	cg00256231,cg00281977,cg00795791,cg01052103,cg01065977,cg01354046,cg01427108,cg01516881,cg01651570,cg01808030,cg01864468,cg02746014,cg03395511,cg03582285,cg03940650,cg04385144,cg04554929,cg05141217,cg05406088,cg05729249,cg05926928,cg06176221,cg06546677,cg06618935,cg06758350,cg07014308,cg07096305,cg07482220,cg07638320,cg08291996,cg08481075,cg09039782,cg09092052,cg09592244,cg10185505,cg10187029,cg10391129,cg10619895,cg10727654,cg11102724,cg12258998,cg12658972,cg12794224,cg13126076,cg13388618,cg13498216,cg14436939,cg14457074,cg14508358,cg14614789,cg14752068,cg14865678,cg15022609,cg15154249,cg15648058,cg15782153,cg16340422,cg16619994,cg16628641,cg16681597,cg17349054,cg17509989,cg18268631,cg18397450,cg18402987,cg18428180,cg19097407,cg20130571,cg20596706,cg20611109,cg22055815,cg22905511,cg24506221,cg24675775,cg26000393,cg26052728,cg26370237,cg26579653,cg26725559,cg27205904,cg27312944,cg27597505	GSM736607	5.87e-01
0.628	3.06e-01	GM06990	Blood	DHS	GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig	cg00256231,cg00281977,cg01003448,cg01052103,cg01516881,cg01808030,cg01864468,cg01874867,cg02147364,cg02219147,cg02299497,cg02743650,cg02746014,cg03395511,cg03582285,cg03783060,cg04385144,cg04554929,cg05141217,cg05197062,cg05505459,cg05729249,cg05841700,cg05926928,cg06478886,cg06522412,cg06546677,cg06758350,cg07096305,cg07168142,cg07310671,cg07482220,cg08103988,cg08291996,cg08422420,cg08551532,cg09039782,cg09092052,cg09592244,cg10187029,cg10727654,cg11102724,cg12258998,cg12658972,cg12717203,cg12794224,cg13388618,cg13498216,cg14508358,cg14752068,cg15022609,cg15154249,cg15469871,cg15782153,cg15919605,cg16340422,cg16619994,cg16681597,cg17349054,cg17509989,cg17862288,cg18268631,cg18322025,cg18402987,cg18428180,cg18797653,cg20064778,cg20596706,cg20611109,cg21544437,cg22055815,cg22444562,cg22905511,cg23475858,cg26000393,cg26579653,cg27010141,cg27187704,cg27205904	"GSM736558,GSM736635"	1.00e+00
1.718	6.25e-02	GM12864	Blood	DHS	GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig	cg00106564,cg00281977,cg00435273,cg00795791,cg01003448,cg01052103,cg01516881,cg01808030,cg01864468,cg01874867,cg01927686,cg02147364,cg02157155,cg02299497,cg02746014,cg03395511,cg03582285,cg04385144,cg04554929,cg04806653,cg05141217,cg05505459,cg05729249,cg05926928,cg06478886,cg06522412,cg06758350,cg07096305,cg07136909,cg07482220,cg07524214,cg07638320,cg08291996,cg08408040,cg08422420,cg08551532,cg09039782,cg09092052,cg09592244,cg10187029,cg10239804,cg10727654,cg11102724,cg11594731,cg12186997,cg12258998,cg12658972,cg12717203,cg12794224,cg13388618,cg14508358,cg14752068,cg15022609,cg15154249,cg15469871,cg15919605,cg16340422,cg16677969,cg16681597,cg17349054,cg17862288,cg18268631,cg18322025,cg18402987,cg18428180,cg18453576,cg18797653,cg19214707,cg19815010,cg19985056,cg20064778,cg20596706,cg22055815,cg22905511,cg24675775,cg25026992,cg26000393,cg26579653,cg27010141,cg27187704,cg27205904,cg27597505	GSM736525	5.92e-01
2.232	2.27e-02	GM12865	Blood	DHS	GM12865-DS12436.twopass.merge150.wgt10.zgt2.wig	cg00106564,cg00281977,cg00308130,cg00435273,cg00795791,cg01003448,cg01043153,cg01052103,cg01065977,cg01427108,cg01516881,cg01808030,cg01864468,cg01874867,cg01927686,cg02147364,cg02746014,cg02779288,cg03395511,cg03582285,cg03783060,cg03847932,cg04385144,cg04554929,cg04806653,cg05505459,cg05729249,cg05841700,cg05926928,cg06419732,cg06478886,cg06522412,cg06546677,cg06758350,cg07096305,cg07136909,cg07482220,cg07638320,cg08291996,cg08408040,cg08422420,cg09039782,cg09092052,cg09592244,cg10185505,cg10187029,cg10239804,cg10576280,cg10727654,cg11102724,cg12258998,cg12658972,cg12717203,cg13388618,cg13498216,cg14298807,cg14508358,cg14614789,cg14752068,cg15022609,cg15154249,cg15443223,cg15469871,cg15782153,cg15919605,cg16340422,cg16619994,cg16677969,cg16681597,cg17349054,cg17862288,cg18200150,cg18268631,cg18402987,cg18428180,cg18797653,cg19985056,cg20596706,cg22055815,cg22444562,cg22826409,cg22905511,cg24675775,cg26000393,cg26052728,cg26579653,cg27010141,cg27187704,cg27205904,cg27597505	"GSM736512,GSM736561"	3.49e-01
