Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
-0.447	6.98e-01	E029 Primary monocytes from peripheral blood	Blood	DHS	E029-DNase.hotspot.fdr0.01.broad.bed.gz	cg01281718,cg01765077,cg03051880,cg03227037,cg04016660,cg06541968,cg07349663,cg07890553,cg08035323,cg08481002,cg08801479,cg09981914,cg10417386,cg11699257,cg11953794,cg13980609,cg14030402,cg14371731,cg15020801,cg16145216,cg16260126,cg20979737,cg22635096,cg26804423,cg27118035	E029	1.00e+00
0.215	4.50e-01	E032 Primary B cells from peripheral blood	Blood	DHS	E032-DNase.hotspot.fdr0.01.broad.bed.gz	cg00281776,cg00290355,cg01765077,cg01824412,cg02003183,cg02156870,cg02158978,cg03051880,cg03227037,cg03877174,cg03906843,cg05168580,cg05570258,cg06405563,cg06635952,cg06648759,cg07349663,cg07890553,cg08481002,cg08801479,cg09109520,cg09762021,cg09906382,cg09981914,cg11902728,cg11953794,cg13782301,cg13980609,cg15688628,cg16145216,cg16260126,cg19327213,cg19719391,cg20979737,cg21356710,cg21758126,cg22490254,cg25200151	E032	1.00e+00
-0.130	5.82e-01	E033 Primary T cells from cord blood	Blood	DHS	E033-DNase.hotspot.fdr0.01.broad.bed.gz	cg01765077,cg02003183,cg03047995,cg03051880,cg03227037,cg03877174,cg03906843,cg05168580,cg05570258,cg06357748,cg06635952,cg06648759,cg07349663,cg07890553,cg08035323,cg08481002,cg08801479,cg09109520,cg09762021,cg09906382,cg11953794,cg15688628,cg16145216,cg16260126,cg17884674,cg19327213,cg19719391,cg20979737,cg21758126,cg22490254,cg27118035	E033	1.00e+00
0.581	3.23e-01	E034 Primary T cells from peripheral blood	Blood	DHS	E034-DNase.hotspot.fdr0.01.broad.bed.gz	cg00045114,cg00281776,cg01281718,cg01765077,cg02003183,cg02610360,cg02787737,cg03047995,cg03051880,cg03227037,cg03877174,cg03906843,cg05168580,cg05570258,cg06405563,cg06648759,cg07349663,cg07890553,cg08035323,cg08481002,cg08801479,cg09109520,cg09906382,cg10417386,cg13264840,cg13782301,cg14371731,cg15020801,cg15688628,cg16145216,cg16260126,cg17884674,cg19719391,cg19758448,cg20979737,cg22490254,cg24665265,cg25200151,cg27118035	E034	1.00e+00
0.831	2.47e-01	E046 Primary Natural Killer cells from peripheral 	Blood	DHS	E046-DNase.hotspot.fdr0.01.broad.bed.gz	cg00281776,cg01281718,cg01765077,cg01824412,cg02003183,cg02158978,cg02787737,cg03227037,cg03877174,cg05570258,cg05987787,cg06635952,cg07349663,cg07890553,cg08035323,cg08481002,cg08801479,cg09906382,cg09981914,cg10417386,cg11953794,cg13782301,cg14371731,cg15020801,cg15688628,cg16145216,cg16260126,cg17884674,cg19719391,cg20979737,cg22490254,cg24665265,cg25200151,cg25421530,cg26955383,cg27118035	E046	1.00e+00
7.607	1.27e-11	E050 Primary hematopoietic stem cells G-CSF-mobili	Blood	DHS	E050-DNase.hotspot.fdr0.01.broad.bed.gz	cg00210249,cg01560871,cg01765077,cg02003183,cg02158978,cg02610360,cg02787737,cg02793162,cg03047995,cg03227037,cg03877174,cg03906843,cg04514392,cg05168580,cg05194346,cg05304393,cg05570258,cg05969150,cg05987787,cg06357748,cg06405563,cg06541968,cg06635952,cg06648759,cg07028929,cg07349663,cg07890553,cg08035323,cg08473752,cg08481002,cg08801479,cg08972170,cg09109520,cg09696535,cg09762021,cg09906382,cg09981914,cg10417386,cg10811485,cg11699257,cg11827925,cg11902728,cg11953794,cg12587087,cg13641317,cg13782301,cg14269109,cg14371731,cg14977938,cg15417641,cg15688628,cg15963913,cg16145216,cg16200531,cg16260126,cg17485141,cg18394552,cg18954479,cg19325791,cg19327213,cg19406367,cg19696491,cg19719391,cg19758448,cg19816930,cg19925780,cg19956914,cg20751345,cg20979737,cg21356710,cg22490254,cg22495037,cg22539182,cg23661483,cg24134897,cg25197194,cg25200151,cg25809905,cg27118035,cg27332104	E050	2.10e-09
4.741	1.80e-05	E051 Primary hematopoietic stem cells G-CSF-mobili	Blood	DHS	E051-DNase.hotspot.fdr0.01.broad.bed.gz	cg01765077,cg02003183,cg02158978,cg02610360,cg02793162,cg03227037,cg03877174,cg03906843,cg04135110,cg04514392,cg04815334,cg05168580,cg05304393,cg05570258,cg05969150,cg05987787,cg06357748,cg06648759,cg07349663,cg07890553,cg08035323,cg08481002,cg08801479,cg08972170,cg09109520,cg09560590,cg09696535,cg09762021,cg09981914,cg10417386,cg11902728,cg13641317,cg13782301,cg14269109,cg15261712,cg15417641,cg15688628,cg16145216,cg16200531,cg16260126,cg16649298,cg17485141,cg18954479,cg19327213,cg19406367,cg19719391,cg19816930,cg19925780,cg20979737,cg21356710,cg22490254,cg22495037,cg22539182,cg23661483,cg25570328,cg25809905,cg27118035,cg27332104	E051	1.49e-03
-1.509	9.47e-01	E028 Breast variant Human Mammary Epithelial Cells	Breast	DHS	E028-DNase.hotspot.fdr0.01.broad.bed.gz	cg00210249,cg02186444,cg03047995,cg03227037,cg03801691,cg03906843,cg04445427,cg04514392,cg06635952,cg06648759,cg07890553,cg08035323,cg08481002,cg10811485,cg14371731,cg15143938,cg16200531,cg16260126,cg18954479,cg19325791,cg19719391,cg19925780,cg20979737,cg22635096,cg24134897,cg27118035,cg27312979,cg27332104	E028	1.00e+00
-0.981	8.53e-01	E003 H1 Cells	ES Cell	DHS	E003-DNase.hotspot.fdr0.01.broad.bed.gz	cg00210249,cg00281776,cg01012082,cg01050266,cg01765077,cg02156870,cg03227037,cg03877174,cg03906843,cg04180046,cg04445427,cg04514392,cg07028929,cg07178945,cg07349663,cg07723258,cg07890553,cg08481002,cg08801479,cg09109520,cg09906382,cg12458003,cg13264840,cg13782301,cg14269109,cg14371731,cg15261712,cg16145216,cg16260126,cg16379999,cg17485141,cg19406367,cg19696491,cg19719391,cg19758448,cg19816930,cg19956914,cg20979737,cg21758126,cg22490254,cg22891595,cg24134897,cg26955383	E003	1.00e+00
-0.236	6.20e-01	E004 H1 BMP4 Derived Mesendoderm Cultured Cells	ES Cell	DHS	E004-DNase.hotspot.fdr0.01.broad.bed.gz	cg00210249,cg01765077,cg03051880,cg03227037,cg03877174,cg04445427,cg04514392,cg05194346,cg05570258,cg05987787,cg06635952,cg07028929,cg07178945,cg07349663,cg07712198,cg07890553,cg08035323,cg08481002,cg08551027,cg08801479,cg08972170,cg09109520,cg09906382,cg11106264,cg12458003,cg13264840,cg14269109,cg14371731,cg15261712,cg15688628,cg16095551,cg16145216,cg16200531,cg16260126,cg16379999,cg17485141,cg18954479,cg19406367,cg19719391,cg19925780,cg19956914,cg20979737,cg22490254,cg22891595,cg26126879,cg26955383,cg27118035,cg27332104	E004	1.00e+00
