Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
0.607	2.94e-01	E029 Primary monocytes from peripheral blood	Blood	H3K27me3	E029-H3K27me3.broadPeak.gz	cg00310412,cg00527825,cg00687135,cg01208318,cg01899089,cg01940273,cg01971407,cg02032558,cg02716826,cg02910281,cg03038262,cg03140521,cg03208245,cg03329539,cg03636183,cg04535902,cg04551776,cg04552852,cg05575921,cg06012804,cg07339236,cg07402062,cg07954423,cg08149865,cg08324925,cg08709672,cg08822075,cg09419102,cg10255761,cg11436113,cg11554391,cg11660018,cg11902777,cg12298326,cg12873476,cg13218688,cg13342435,cg14209784,cg14624207,cg15159987,cg15474579,cg16329014,cg17265693,cg17467525,cg19254163,cg20184247,cg20244340,cg20295214,cg21140898,cg21161138,cg21322436,cg21747070,cg22911462,cg22950598,cg23034799,cg23161492,cg23925513,cg24090911,cg25481538,cg25949550,cg26337070,cg26703534,cg27241845	E029	1.00e+00
0.651	2.78e-01	E032 Primary B cells from peripheral blood	Blood	H3K27me3	E032-H3K27me3.broadPeak.gz	cg00527825,cg00548098,cg00602811,cg00687135,cg01015663,cg01419914,cg01744331,cg01899089,cg01901332,cg01940273,cg02032558,cg02336104,cg02716826,cg02734358,cg02743070,cg02910281,cg03140521,cg03149958,cg03208245,cg03329539,cg03345232,cg03547355,cg03719984,cg04535902,cg04551776,cg04552852,cg04682699,cg05232694,cg05300378,cg05503062,cg05575921,cg06338710,cg06433467,cg07339236,cg07402062,cg08149865,cg08666707,cg08709672,cg08822075,cg09419102,cg09701700,cg10520740,cg10965178,cg11436113,cg11554391,cg11660018,cg11902777,cg12873476,cg13218688,cg13342435,cg13385220,cg13661182,cg14209784,cg14580211,cg14624207,cg15344028,cg15892280,cg16329014,cg17265693,cg19001261,cg19254163,cg19372602,cg19940644,cg20184247,cg20244340,cg20295214,cg21140898,cg21161138,cg21322436,cg21325715,cg21747070,cg21913886,cg22805381,cg22911462,cg23034799,cg23079012,cg23161492,cg24090911,cg24139443,cg25112191,cg25481538,cg25949550,cg26337070,cg26703534,cg26788216,cg26844633,cg27054610,cg27241845	E032	1.00e+00
-1.180	9.02e-01	E033 Primary T cells from cord blood	Blood	H3K27me3	E033-H3K27me3.broadPeak.gz	cg00527825,cg00602811,cg00687135,cg01419914,cg01940273,cg02032558,cg02910281,cg03140521,cg03329539,cg03636183,cg04552852,cg07402062,cg08666707,cg08709672,cg09419102,cg10108250,cg11554391,cg11660018,cg12298326,cg13218688,cg13342435,cg13385220,cg13661182,cg14209784,cg15159987,cg16329014,cg17265693,cg19001261,cg20184247,cg20244340,cg21140898,cg21161138,cg21322436,cg23034799,cg23161492,cg24090911,cg25481538,cg25949550,cg27241845	E033	1.00e+00
2.428	5.25e-03	E034 Primary T cells from peripheral blood	Blood	H3K27me3	E034-H3K27me3.broadPeak.gz	cg00073090,cg00310412,cg00527825,cg00548098,cg00602811,cg00687135,cg00788170,cg01015663,cg01016119,cg01115857,cg01208318,cg01419914,cg01731783,cg01744331,cg01860693,cg01899089,cg01901332,cg01940273,cg01971407,cg02032558,cg02336104,cg02532700,cg02743070,cg02910281,cg02998240,cg03038262,cg03140521,cg03149958,cg03208245,cg03329539,cg03345232,cg03547355,cg03636183,cg03707168,cg03719984,cg04535902,cg04551776,cg04552852,cg04682699,cg05232694,cg05284742,cg05300378,cg05503062,cg05575921,cg05785554,cg05858860,cg06000144,cg06012804,cg06369322,cg07339236,cg07402062,cg07954423,cg08149865,cg08666707,cg08709672,cg08822075,cg08884752,cg09419102,cg09502149,cg09701700,cg09740554,cg10108250,cg10255761,cg10520740,cg10691866,cg10965178,cg11436113,cg11554391,cg11660018,cg11868595,cg11902777,cg12298326,cg12547807,cg12873476,cg13126206,cg13218688,cg13342435,cg13385220,cg13518625,cg13579752,cg13661182,cg13832201,cg14209784,cg14624207,cg14753356,cg15159987,cg16116321,cg16329014,cg17265693,cg17467525,cg17812664,cg18446336,cg19001261,cg19180602,cg19254163,cg19372602,cg19940644,cg20059928,cg20184247,cg20244340,cg20289911,cg20295214,cg20349598,cg20775254,cg21121843,cg21140898,cg21161138,cg21322436,cg21325715,cg21747070,cg21913886,cg21990700,cg22103219,cg22160883,cg22805381,cg22911462,cg23034799,cg23079012,cg23161492,cg23925513,cg24090911,cg24139443,cg24556382,cg25112191,cg25143652,cg25481538,cg25613478,cg25949550,cg26337070,cg26703534,cg26788216,cg26844633,cg26937798,cg27054610,cg27241845,cg27324619	E034	2.18e-01
-0.662	7.74e-01	E046 Primary Natural Killer cells from peripheral 	Blood	H3K27me3	E046-H3K27me3.broadPeak.gz	cg00527825,cg00602811,cg00687135,cg01208318,cg01419914,cg01860693,cg01899089,cg01940273,cg02032558,cg03140521,cg03149958,cg03208245,cg03329539,cg03719984,cg04552852,cg05300378,cg05503062,cg05575921,cg06012804,cg07402062,cg08149865,cg08666707,cg08709672,cg08822075,cg09419102,cg11436113,cg11554391,cg11660018,cg12873476,cg13126206,cg13218688,cg13342435,cg14209784,cg14624207,cg16329014,cg17265693,cg19001261,cg19372602,cg19940644,cg20184247,cg20244340,cg21140898,cg21161138,cg21322436,cg21747070,cg22911462,cg23034799,cg23161492,cg24090911,cg25112191,cg25481538,cg25949550,cg26337070,cg26703534,cg26788216,cg27241845	E046	1.00e+00
-3.177	1.00e+00	E050 Primary hematopoietic stem cells G-CSF-mobili	Blood	H3K27me3	E050-H3K27me3.broadPeak.gz	cg00310412,cg00687135,cg01860693,cg01899089,cg01940273,cg02032558,cg02716826,cg02910281,cg03038262,cg03140521,cg03149958,cg03329539,cg03345232,cg03719984,cg04535902,cg04682699,cg05503062,cg06012804,cg06369322,cg07402062,cg08324925,cg08666707,cg08709672,cg08822075,cg08884752,cg09419102,cg11436113,cg11554391,cg11660018,cg11902777,cg12298326,cg13218688,cg13342435,cg13385220,cg14209784,cg15474579,cg16329014,cg17265693,cg19001261,cg20244340,cg21140898,cg21322436,cg21747070,cg23034799,cg23161492,cg25112191,cg25481538,cg25949550,cg26337070,cg26937798,cg27054610	E050	1.00e+00
-3.086	1.00e+00	E051 Primary hematopoietic stem cells G-CSF-mobili	Blood	H3K27me3	E051-H3K27me3.broadPeak.gz	cg00310412,cg00687135,cg01860693,cg01899089,cg01940273,cg02032558,cg03140521,cg03329539,cg03719984,cg04535902,cg06012804,cg07402062,cg08149865,cg08324925,cg09419102,cg11554391,cg11660018,cg12298326,cg13218688,cg13342435,cg13385220,cg14209784,cg15474579,cg16329014,cg17265693,cg19001261,cg20244340,cg21140898,cg21747070,cg22911462,cg23034799,cg24090911,cg25481538,cg25949550	E051	1.00e+00
-0.274	6.48e-01	E028 Breast variant Human Mammary Epithelial Cells	Breast	H3K27me3	E028-H3K27me3.broadPeak.gz	cg00602811,cg00788170,cg01115857,cg01127300,cg01208318,cg01419914,cg01744331,cg01899089,cg01901332,cg01940273,cg01971407,cg02532700,cg02734358,cg03038262,cg03208245,cg03329539,cg03345232,cg03393996,cg03636183,cg03719984,cg03972838,cg04535902,cg04551776,cg04682699,cg05284742,cg05300378,cg05575921,cg05785554,cg05858860,cg06000144,cg06338710,cg06369322,cg07402062,cg08149865,cg08324925,cg08666707,cg08709672,cg09419102,cg09701700,cg09931909,cg10108250,cg10255761,cg10520740,cg10750182,cg10965178,cg10980495,cg11436113,cg11554391,cg11660018,cg11868595,cg11902777,cg12126344,cg12800803,cg12873476,cg13218688,cg13342435,cg13661182,cg14120703,cg14624207,cg15159987,cg15344028,cg16116321,cg16329014,cg16466652,cg17265693,cg17467525,cg19001261,cg20184247,cg20244340,cg20349598,cg20775254,cg21161138,cg21322436,cg21747070,cg22103219,cg22955595,cg23034799,cg23079012,cg23161492,cg23866916,cg24090911,cg24139443,cg25112191,cg25143652,cg25481538,cg25613478,cg25949550,cg26337070,cg26361535,cg26703534,cg27054610,cg27241845,cg27324619,cg27537125	E028	1.00e+00
2.052	2.17e-02	E003 H1 Cells	ES Cell	H3K27me3	E003-H3K27me3.broadPeak.gz	cg00073090,cg00310412,cg00501876,cg00527825,cg00548098,cg00602811,cg00788170,cg01015663,cg01016119,cg01419914,cg01744331,cg01940273,cg02032558,cg02716826,cg02734358,cg02910281,cg03038262,cg03140521,cg03208245,cg03329539,cg03345232,cg03358636,cg03393996,cg03547355,cg03636183,cg03719984,cg03972838,cg04232972,cg04517079,cg04535902,cg04682699,cg05284742,cg05300378,cg05503062,cg05575921,cg06000144,cg06012804,cg06338710,cg06369322,cg06433467,cg07402062,cg08149865,cg08709672,cg09419102,cg09701700,cg10520740,cg10919522,cg10980495,cg11436113,cg11554391,cg11660018,cg11868595,cg11902777,cg12126344,cg12298326,cg12873476,cg12992827,cg13126206,cg13218688,cg13342435,cg14209784,cg14580211,cg15159987,cg15474579,cg15892280,cg16071219,cg16389209,cg17265693,cg17467525,cg18446336,cg18826637,cg19001261,cg19254163,cg19572487,cg19940644,cg20059928,cg20184247,cg20244340,cg20289911,cg20295214,cg20775254,cg21140898,cg21161138,cg21322436,cg21325715,cg22103219,cg22787977,cg22911462,cg23034799,cg23079012,cg23161492,cg23925513,cg24023489,cg24090911,cg24139443,cg24556382,cg25481538,cg25613478,cg25949550,cg26337070,cg26477856,cg26937798,cg27241845,cg27537125	E003	5.15e-01
0.951	1.85e-01	E004 H1 BMP4 Derived Mesendoderm Cultured Cells	ES Cell	H3K27me3	E004-H3K27me3.broadPeak.gz	cg00310412,cg00602811,cg01016119,cg01419914,cg01744331,cg01899089,cg01940273,cg02032558,cg02716826,cg02734358,cg03140521,cg03149958,cg03329539,cg03345232,cg03393996,cg03972838,cg04232972,cg04535902,cg04551776,cg04885881,cg05300378,cg05575921,cg06000144,cg06012804,cg06338710,cg07402062,cg08149865,cg08709672,cg09419102,cg09701700,cg09740554,cg11436113,cg11554391,cg11588903,cg11660018,cg11868595,cg12054453,cg13127741,cg13218688,cg13342435,cg13518625,cg14580211,cg15474579,cg16329014,cg17467525,cg17812664,cg19001261,cg19180602,cg19254163,cg19268652,cg20059928,cg20184247,cg20244340,cg20289911,cg20295214,cg20349598,cg21140898,cg21161138,cg21325715,cg21393163,cg22103219,cg22911462,cg23079012,cg23161492,cg24023489,cg24090911,cg24139443,cg25949550,cg26337070,cg26788216,cg27054610,cg27241845	E004	1.00e+00
