Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
4.310	2.91e-05	CD3	Blood	DHS	UW.CD3_Primary_Cells.ChromatinAccessibility.CB1_1-3-2011.DS17702.twopass.merge150.wgt10.zgt2.wig.gz	cg00005461,cg00344572,cg00448525,cg00663686,cg00795535,cg00893849,cg00921350,cg01887834,cg02041484,cg02190078,cg02305757,cg02543556,cg02961280,cg03666966,cg04099543,cg04161328,cg04353863,cg04804748,cg04992150,cg05122026,cg05186879,cg05499338,cg05516004,cg05920921,cg06169291,cg06445384,cg07014573,cg07325407,cg07616376,cg07786412,cg07828833,cg08177041,cg08427005,cg09098714,cg09584899,cg09639771,cg10704177,cg11148876,cg11751434,cg11759930,cg11968273,cg12040931,cg12182708,cg12315900,cg12967579,cg12985905,cg12997777,cg13117318,cg13250178,cg13410614,cg13728275,cg14009632,cg14060758,cg14131038,cg14282386,cg14321269,cg14352263,cg14613901,cg15022400,cg15186355,cg16171189,cg16257804,cg16872030,cg17116500,cg17991808,cg18118893,cg18410271,cg18787963,cg19254378,cg19284277,cg19459094,cg19785826,cg19980260,cg20090759,cg20712856,cg20893838,cg20999663,cg21061310,cg21124310,cg21167563,cg21450154,cg21810778,cg21876760,cg22123711,cg22748479,cg23057699,cg23299484,cg23522962,cg23720822,cg24315421,cg24374476,cg24395217,cg24407546,cg26311703,cg26350671,cg26744554,cg26802802,cg27109461,cg27195131,cg27646484	GSM701525	3.44e-04
-0.395	6.79e-01	CD3	Blood	DHS	UW.CD3_Primary_Cells.ChromatinAccessibility.CB6_1-4-2011.DS17706.twopass.merge150.wgt10.zgt2.wig.gz	cg00005461,cg00127788,cg00663686,cg00795535,cg01248878,cg01887834,cg02024241,cg02305757,cg02543556,cg02961280,cg03666966,cg04353863,cg04497992,cg04804748,cg04954249,cg05186879,cg05567377,cg05820066,cg05853552,cg06445384,cg06569561,cg07479786,cg07616376,cg07638500,cg07786412,cg08091497,cg08177041,cg09194810,cg09584899,cg11751434,cg11807649,cg12967579,cg13054523,cg13117318,cg13254847,cg14009632,cg14084609,cg14131038,cg14306688,cg14612966,cg15022400,cg15737719,cg16257804,cg16572910,cg16775629,cg17430986,cg18410271,cg19284277,cg19785826,cg20893838,cg20999663,cg21166775,cg21450154,cg22066020,cg22503106,cg22748479,cg23057699,cg23299484,cg23511239,cg23720822,cg24238409,cg24315421,cg24374476,cg24407546,cg24936095,cg26069291,cg26311703,cg26472183,cg26802802,cg27109461	GSM701526	1.00e+00
0.584	3.08e-01	CD3	Blood	DHS	UW.CD3_Primary_Cells.ChromatinAccessibility.RO_01679.DS17198.twopass.merge150.wgt10.zgt2.wig.gz	cg00344572,cg00663686,cg00795535,cg00893849,cg00921350,cg01014987,cg01499988,cg02240622,cg02305757,cg02543556,cg03554335,cg03634089,cg04353863,cg04552418,cg04804748,cg04992150,cg05122026,cg05186879,cg06095753,cg06445384,cg07177867,cg07565042,cg07616376,cg07786412,cg08028384,cg08091497,cg08177041,cg08427005,cg08589455,cg09668022,cg09763039,cg10704177,cg11751434,cg12182708,cg12315900,cg12604858,cg12967579,cg13117318,cg13617202,cg14009632,cg14060758,cg14306688,cg14613901,cg15022400,cg15535138,cg16257804,cg16775629,cg17430986,cg18410271,cg18731680,cg19254378,cg19459094,cg19785826,cg19980260,cg20090759,cg20626587,cg20893838,cg20999663,cg21145387,cg21810778,cg22123711,cg22503106,cg23057699,cg23091723,cg23218859,cg23386939,cg23720822,cg24315421,cg24374476,cg24395217,cg24407546,cg26025224,cg26069291,cg26311703,cg26819611,cg27195131,cg27646484	GSM665837	1.00e+00
1.678	5.58e-02	CD3	Blood	DHS	UW.CD3_Primary_Cells.ChromatinAccessibility.RO_01701.DS17534.twopass.merge150.wgt10.zgt2.wig.gz	cg00136106,cg00344572,cg00663686,cg00795535,cg00921350,cg01014987,cg01248878,cg01555198,cg01611175,cg02006119,cg02240622,cg02305757,cg02543556,cg03554335,cg04804748,cg04992150,cg05122026,cg05186879,cg05820066,cg05873271,cg06169291,cg06308882,cg06445384,cg06734380,cg06850285,cg07177867,cg07519863,cg07532960,cg07616376,cg07786412,cg08028384,cg08177041,cg08408668,cg08470588,cg08621659,cg08794018,cg08884974,cg09098714,cg09584899,cg09639771,cg09668022,cg09763039,cg10704177,cg11148876,cg11751434,cg11968273,cg12182708,cg12315900,cg12967579,cg13117318,cg13792581,cg13947225,cg14009632,cg14131038,cg14306688,cg14352263,cg14613901,cg15022400,cg15123849,cg15338098,cg15535138,cg16257804,cg16572910,cg17116500,cg17430986,cg17577640,cg18042586,cg18197869,cg18410271,cg18787963,cg19254378,cg19284277,cg19579160,cg19785826,cg20090759,cg20133890,cg20626587,cg20893838,cg20999663,cg21124310,cg21166775,cg21167563,cg21450154,cg21810778,cg22123711,cg22503106,cg22748479,cg23057699,cg23215701,cg23218859,cg23299484,cg23386939,cg23499392,cg23635560,cg23720822,cg24211388,cg24315421,cg24374476,cg24395217,cg24407546,cg25493477,cg25567227,cg26025224,cg26069291,cg26311703,cg26350671,cg26472183,cg26529864,cg26819611,cg27109461,cg27195131,cg27646484	GSM701516	4.03e-01
6.691	5.03e-10	CD4_Mobilised;	Blood	DHS	UW.Mobilized_CD4_Primary_Cells.ChromatinAccessibility.RO_01679.DS16955.twopass.merge150.wgt10.zgt2.wig.gz	cg00005461,cg00280111,cg00336912,cg00448525,cg00663686,cg00780501,cg00795535,cg00893849,cg00921350,cg01014987,cg01247459,cg01248878,cg01418188,cg01611175,cg01614759,cg02024241,cg02190078,cg02240622,cg02305757,cg02432022,cg02543556,cg02974089,cg03116466,cg03340036,cg03392077,cg03554335,cg03666966,cg04046364,cg04084348,cg04161328,cg04353863,cg04497992,cg04701118,cg04804748,cg04992150,cg05186879,cg05516004,cg05567377,cg05724080,cg05820066,cg05918326,cg06169291,cg06445384,cg06734380,cg06850285,cg06984345,cg07014573,cg07177867,cg07611887,cg07616376,cg07786412,cg08091497,cg08177041,cg08408668,cg08653021,cg08794018,cg08884974,cg09098714,cg09584899,cg09639771,cg09668022,cg09763039,cg09849688,cg09912228,cg11199798,cg11751434,cg11759930,cg11902347,cg11968273,cg12182708,cg12315900,cg12967579,cg12997777,cg12998731,cg13117318,cg13250178,cg13254847,cg13410614,cg13617202,cg14009632,cg14060758,cg14084609,cg14131038,cg14260530,cg14282386,cg14306688,cg14352263,cg14613901,cg14769121,cg15022400,cg15157945,cg15186355,cg15338098,cg15535138,cg16171189,cg16257804,cg16263722,cg16572910,cg16660617,cg17430986,cg17936236,cg17991808,cg18042586,cg18118893,cg18401534,cg18410271,cg18498503,cg18650626,cg18787963,cg18976159,cg19114543,cg19254378,cg19284277,cg19296671,cg19459094,cg19579160,cg19785826,cg19967449,cg19980260,cg20133890,cg20337696,cg20626587,cg20833901,cg20893838,cg20999663,cg21124310,cg21166775,cg21167563,cg21211039,cg21450154,cg21876760,cg22123711,cg22503106,cg22748479,cg22940815,cg23057699,cg23091723,cg23215701,cg23299484,cg23386939,cg23499392,cg23511239,cg23522962,cg23575688,cg23720822,cg24211388,cg24315421,cg24374476,cg24395217,cg24407546,cg24936095,cg25887955,cg26069291,cg26311703,cg26529864,cg26744554,cg26802802,cg27109461,cg27195131	GSM701489	1.11e-08
8.801	4.37e-16	CD4_Mobilised;	Blood	DHS	UW.Mobilized_CD4_Primary_Cells.ChromatinAccessibility.RO_01701.DS17175.twopass.merge150.wgt10.zgt2.wig.gz	cg00005461,cg00127788,cg00344572,cg00448525,cg00663686,cg00780501,cg00795535,cg00849335,cg00893849,cg00921350,cg01014987,cg01247459,cg01541570,cg01555198,cg01887834,cg02190078,cg02240622,cg02305757,cg02432022,cg02480174,cg02543556,cg02575307,cg02961280,cg03116466,cg03666966,cg04046364,cg04099543,cg04353863,cg04662947,cg04804748,cg04954249,cg05122026,cg05186879,cg05567377,cg05853552,cg05920921,cg06095753,cg06169291,cg06308882,cg06445384,cg06569561,cg07014573,cg07177867,cg07616376,cg07786412,cg07828833,cg08091497,cg08177041,cg08470588,cg08589455,cg08794018,cg09098714,cg09194810,cg09277749,cg09584899,cg09668022,cg09763039,cg09849688,cg10704177,cg11199798,cg11751434,cg11759930,cg11807649,cg12165656,cg12182708,cg12315900,cg12967579,cg12985905,cg12997777,cg13117318,cg13197551,cg13250178,cg13254847,cg13410614,cg13638867,cg13728275,cg13905385,cg14009632,cg14060758,cg14282386,cg14306688,cg14321269,cg14352263,cg14613901,cg14919455,cg15022400,cg15157945,cg15186355,cg15357334,cg15535138,cg15737719,cg16171189,cg16257804,cg16660617,cg16775629,cg16863862,cg16872030,cg16948651,cg17120616,cg17430986,cg17477733,cg17936236,cg17991808,cg18118893,cg18401534,cg18410271,cg18498503,cg18787963,cg19254378,cg19284277,cg19459094,cg19785826,cg19980260,cg20090759,cg20133890,cg20350272,cg20626587,cg20833901,cg20875821,cg20893838,cg20999663,cg21124310,cg21130221,cg21166775,cg21211039,cg21450154,cg21664942,cg21810778,cg21876760,cg22748479,cg22788906,cg23057699,cg23091723,cg23215701,cg23299484,cg23386939,cg23499392,cg23511239,cg23575688,cg23720822,cg23771052,cg24211388,cg24279017,cg24315421,cg24374476,cg24395217,cg24407546,cg24699150,cg24936095,cg25887955,cg26025224,cg26069291,cg26311703,cg26350671,cg26529864,cg26744554,cg26819611,cg27109461,cg27195131,cg27543741	GSM701491	3.28e-14
4.639	7.72e-06	CD4	Blood	DHS	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01549.DS15947.twopass.merge150.wgt10.zgt2.wig.gz	cg00005461,cg00448525,cg00663686,cg00795535,cg00921350,cg01247459,cg01248878,cg01469583,cg01614759,cg01887834,cg02305757,cg02432022,cg02480174,cg02961280,cg03234093,cg04084348,cg04099543,cg04804748,cg04992150,cg05186879,cg05516004,cg05567377,cg05873271,cg05918326,cg06169291,cg06445384,cg06734380,cg06850285,cg07014573,cg07565042,cg07611887,cg07616376,cg07786412,cg07908654,cg08028384,cg08091497,cg08177041,cg08408668,cg08427005,cg09098714,cg09113950,cg09584899,cg09597192,cg09668022,cg10704177,cg11199798,cg11751434,cg11759930,cg11807649,cg11968273,cg12182708,cg12315900,cg12402318,cg12784307,cg12828656,cg12997777,cg13117318,cg13250178,cg13254847,cg13410614,cg13728275,cg14009632,cg14060758,cg14131038,cg14261336,cg14282386,cg14306688,cg14352263,cg14613901,cg15022400,cg15072057,cg15123849,cg15186355,cg15535138,cg16171189,cg16257804,cg16872030,cg17430986,cg17991808,cg18118893,cg18401534,cg18410271,cg18787963,cg19254378,cg19284277,cg19459094,cg19785826,cg19980260,cg20090759,cg20626587,cg20893838,cg21061310,cg21124310,cg21166775,cg21167563,cg21450154,cg22123711,cg22748479,cg22940815,cg23057699,cg23091723,cg23215701,cg23299484,cg23499392,cg23575688,cg23635560,cg23720822,cg24315421,cg24374476,cg24395217,cg24407546,cg24936095,cg25887955,cg26069291,cg26272008,cg26311703,cg26472183,cg26819611,cg27109461,cg27195131	GSM665812	9.86e-05
9.266	1.36e-17	CD4	Blood	DHS	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01679.DS17212.twopass.merge150.wgt10.zgt2.wig.gz	cg00005461,cg00344572,cg00663686,cg00780501,cg00795535,cg00893849,cg00921350,cg01247459,cg01248878,cg01541570,cg01887834,cg02024241,cg02041484,cg02190078,cg02432022,cg02441833,cg02543556,cg02835421,cg02961280,cg03116466,cg03340036,cg03554335,cg03634089,cg04084348,cg04099543,cg04161328,cg04353863,cg04804748,cg04814136,cg04992150,cg05516004,cg05567377,cg05920921,cg06095753,cg06169291,cg06445384,cg06569561,cg06734380,cg07014573,cg07177867,cg07616376,cg07786412,cg07828833,cg08091497,cg08177041,cg08408668,cg08427005,cg08470588,cg08794018,cg09098714,cg09584899,cg09589331,cg09763039,cg09849688,cg09912228,cg10426838,cg10704177,cg11098795,cg11199798,cg11751434,cg11759930,cg11807649,cg11902347,cg12165656,cg12182708,cg12315900,cg12828656,cg12967579,cg12985905,cg12997777,cg13117318,cg13250178,cg13254847,cg13410614,cg13728275,cg13953978,cg14009632,cg14060758,cg14131038,cg14260530,cg14261336,cg14282386,cg14352263,cg14613901,cg14919455,cg14934396,cg15022400,cg15186355,cg15357334,cg15535138,cg15931859,cg16171189,cg16257804,cg16572910,cg16775629,cg16872030,cg16948651,cg17120616,cg17430986,cg17477733,cg17753773,cg17991808,cg18118893,cg18401534,cg18410271,cg18498503,cg18731680,cg18787963,cg18976159,cg19114543,cg19254378,cg19284277,cg19296671,cg19459094,cg19785826,cg19980260,cg20090759,cg20133890,cg20626587,cg20712856,cg20833901,cg20893838,cg20999663,cg21124310,cg21167563,cg21211039,cg21279677,cg21450154,cg21810778,cg21876760,cg22123711,cg22748479,cg22940815,cg23057699,cg23091723,cg23215701,cg23299484,cg23428738,cg23499392,cg23511239,cg23575688,cg23720822,cg23771052,cg24211388,cg24315421,cg24374476,cg24395217,cg24407546,cg24699150,cg24936095,cg25322146,cg25465557,cg25466522,cg25887955,cg26025224,cg26069291,cg26311703,cg26744554,cg26819611,cg26996616,cg27195131	GSM665839	1.22e-15
3.385	7.02e-04	CD4	Blood	DHS	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01689.DS17329.twopass.merge150.wgt10.zgt2.wig.gz	cg00663686,cg00795535,cg00893849,cg00921350,cg02024241,cg02190078,cg02240622,cg02575307,cg03125875,cg03234093,cg04304036,cg04765471,cg04804748,cg04920032,cg04992150,cg05186879,cg05516004,cg05567377,cg05699320,cg05853552,cg05873271,cg06169291,cg06308882,cg06445384,cg06734380,cg06850285,cg07177867,cg07616376,cg07786412,cg07908654,cg08105265,cg08177041,cg08408668,cg08427005,cg09098714,cg09194810,cg09249800,cg09584899,cg09668022,cg09763039,cg10336036,cg10704177,cg11554295,cg11751434,cg11968273,cg12182708,cg12190341,cg12258670,cg12315900,cg12856590,cg12967579,cg13117318,cg13410614,cg13617202,cg13905385,cg14009632,cg14031473,cg14131038,cg14282386,cg14306688,cg14352263,cg14569513,cg14613901,cg15022400,cg15053869,cg15157945,cg15186355,cg15338098,cg15535138,cg16257804,cg16263722,cg16572910,cg16775629,cg17116500,cg17430986,cg17477733,cg17546493,cg17746899,cg17820448,cg18410271,cg18731680,cg18787963,cg19210893,cg19254378,cg19284277,cg19459094,cg19579160,cg19785826,cg19980260,cg20090759,cg20133890,cg20626587,cg20675152,cg20804243,cg20893838,cg20999663,cg21061310,cg21124310,cg21167563,cg21211039,cg21450154,cg22106221,cg22123711,cg22406869,cg22503106,cg23057699,cg23218859,cg23299484,cg23386939,cg23635560,cg23720822,cg24099727,cg24315421,cg24374476,cg24407546,cg25567227,cg26025224,cg26272008,cg26311703,cg26350671,cg26529864,cg26744554,cg26819611,cg27109461,cg27195131,cg27646484	GSM817166	6.69e-03
6.923	1.93e-11	CD4	Blood	DHS	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01701.DS17881.twopass.merge150.wgt10.zgt2.wig.gz	cg00005461,cg00448525,cg00663686,cg00780501,cg00795535,cg00921350,cg01247459,cg01248878,cg01469583,cg01887834,cg02240622,cg02305757,cg02432022,cg02543556,cg03116466,cg03666966,cg04084348,cg04099543,cg04161328,cg04395593,cg04497992,cg04804748,cg04920032,cg04992150,cg05186879,cg05516004,cg05567377,cg05918326,cg06445384,cg06569561,cg06734380,cg07014573,cg07532960,cg07611887,cg07616376,cg07638500,cg07786412,cg07908654,cg08091497,cg08177041,cg08408668,cg08427005,cg09098714,cg09194810,cg09249800,cg09584899,cg09668022,cg09763039,cg10336036,cg10704177,cg10966235,cg11098795,cg11199798,cg11554295,cg11625476,cg11715991,cg11751434,cg11759930,cg11807649,cg11968273,cg12165656,cg12190341,cg12315900,cg12985905,cg12997777,cg13117318,cg13250178,cg13254847,cg13410614,cg13728275,cg14009632,cg14060758,cg14131038,cg14282386,cg14287557,cg14306688,cg14352263,cg14613901,cg14919455,cg15022400,cg15157945,cg15186355,cg15338098,cg15357334,cg15535138,cg16171189,cg16257804,cg16572910,cg16617564,cg16775629,cg16872030,cg17141163,cg17430986,cg17991808,cg18118893,cg18401534,cg18410271,cg18498503,cg18731680,cg18787963,cg18852698,cg19254378,cg19284277,cg19296671,cg19459094,cg19785826,cg19967449,cg19980260,cg20090759,cg20337696,cg20626587,cg20833901,cg20999663,cg21124310,cg21279677,cg21450154,cg21810778,cg22123711,cg22406869,cg22748479,cg22940815,cg23215701,cg23299484,cg23386939,cg23511239,cg23575688,cg23635560,cg23720822,cg23771052,cg24315421,cg24374476,cg24407546,cg24699150,cg24936095,cg25465557,cg25567227,cg25887955,cg26025224,cg26311703,cg26472183,cg26667462,cg26744554,cg26996616,cg27195131,cg27543741,cg27646484	GSM701539	5.66e-10
