Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
3.996	1.03e-04	HTR8svn	Blastula	DHS	wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	cg00073090,cg00300637,cg00310412,cg00460916,cg00501876,cg00831247,cg01177100,cg01692968,cg01901332,cg01971407,cg03033176,cg03149958,cg03707168,cg03877174,cg04273763,cg04772644,cg04885881,cg05302489,cg05362168,cg05488681,cg05575921,cg05603985,cg05673882,cg05875421,cg06285727,cg06836480,cg07178945,cg07251887,cg07339236,cg08170787,cg08534147,cg08709672,cg08896387,cg09022230,cg09502149,cg10025200,cg10139742,cg10691866,cg10749994,cg11324953,cg11660018,cg11902777,cg12075928,cg12929983,cg13184736,cg13203394,cg13709639,cg14099685,cg14389122,cg14753356,cg15228441,cg16174106,cg16329896,cg17287155,cg17809595,cg18337963,cg19314352,cg19572487,cg20059012,cg20059928,cg20692268,cg21411490,cg23949925,cg24633390,cg24996979,cg25648203,cg26361535,cg26510500,cg26856289,cg27241845,cg27537125,cg27637521	GSM816644	1.40e-03
5.709	1.72e-08	Adult_CD4+	Blood	DHS	Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig	cg00073090,cg00300637,cg00310412,cg00460916,cg00474696,cg00501876,cg00831247,cg01177100,cg01937809,cg01940273,cg01971407,cg02104648,cg02657160,cg03033176,cg03329539,cg03611151,cg03707168,cg03877174,cg04340595,cg04545963,cg04772644,cg04885881,cg05284742,cg05362168,cg05460226,cg05488681,cg05546863,cg05575921,cg05603985,cg05616969,cg05673882,cg05875421,cg06285727,cg06545367,cg07007621,cg07037944,cg07178945,cg07599366,cg08118908,cg08170787,cg08271031,cg08534147,cg08709672,cg08840017,cg08956463,cg09502149,cg09662411,cg09935388,cg10025200,cg10139742,cg10691866,cg10720997,cg10749994,cg10750182,cg11390978,cg11554391,cg11630411,cg11660018,cg11800635,cg11902777,cg12075928,cg12333160,cg12639429,cg12929983,cg13184736,cg13203394,cg13543355,cg13579607,cg13709639,cg14099685,cg14389122,cg14454127,cg14480046,cg15159987,cg16174106,cg16329896,cg16331492,cg16794579,cg16880946,cg17287155,cg17809595,cg18337963,cg18625627,cg19137417,cg19314352,cg19572487,cg19614811,cg20059012,cg20295214,cg20692268,cg21393163,cg21411490,cg21443659,cg21604136,cg21674153,cg22801799,cg23161492,cg23615741,cg24480695,cg24610790,cg24637035,cg24996979,cg24999105,cg25500196,cg25748521,cg25749254,cg25949550,cg26361535,cg26856289,cg27537125,cg27637521	Lookup	7.33e-07
6.791	2.14e-10	CD14+	Blood	DHS	CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig	cg00073090,cg00310412,cg00474696,cg00501876,cg00831247,cg01936839,cg01937809,cg01971407,cg02583484,cg02679745,cg03033176,cg03358636,cg03630596,cg03707168,cg03877174,cg04545963,cg04772644,cg05284742,cg05488681,cg05603985,cg05616969,cg05673882,cg05875421,cg06258549,cg06285727,cg06836480,cg07007621,cg07339236,cg07483304,cg07986378,cg07996594,cg08170787,cg08271031,cg08396193,cg08534147,cg08896387,cg08956463,cg09502149,cg09935388,cg10025200,cg10720997,cg10749994,cg10750182,cg11147309,cg11630411,cg11800635,cg11902777,cg12075928,cg12333160,cg12929983,cg13038618,cg13579607,cg14099685,cg14316231,cg14580211,cg14624207,cg14753356,cg16329896,cg16535752,cg16794579,cg17287155,cg18337963,cg18625627,cg18826637,cg19314352,cg19572487,cg20059012,cg20059928,cg20295214,cg20692268,cg21393163,cg21411490,cg21586223,cg21611682,cg21674153,cg22801799,cg23161492,cg23949925,cg24480695,cg24610790,cg24633390,cg24996979,cg24999105,cg25500196,cg25512107,cg25648203,cg25748521,cg25749254,cg26856289,cg27537125,cg27637521	Lookup	3.62e-08
6.473	2.80e-09	CD20+	Blood	DHS	CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig	cg00073090,cg00300637,cg00310412,cg00474696,cg00501876,cg00762738,cg00831247,cg01936839,cg01937809,cg01971407,cg02679745,cg03033176,cg03149958,cg03611151,cg03630596,cg03636183,cg03707168,cg03877174,cg04340595,cg04545963,cg04716530,cg04772644,cg05362168,cg05460226,cg05546863,cg05603985,cg05616969,cg05673882,cg05875421,cg05898907,cg06188083,cg06285727,cg07007621,cg07162905,cg07483304,cg07599366,cg07996594,cg08170787,cg08271031,cg08396193,cg08534147,cg08709672,cg08840017,cg08956463,cg10025200,cg10139742,cg10720997,cg10749994,cg11324953,cg11390978,cg11554391,cg11630411,cg11902777,cg12075928,cg12333160,cg12929983,cg13038618,cg13203394,cg13579607,cg13709639,cg14099685,cg14316231,cg14454127,cg14480046,cg15159987,cg16329896,cg16794579,cg18337963,cg18625627,cg18826637,cg19137417,cg19314352,cg19572487,cg19614811,cg20059012,cg20059928,cg20692268,cg21393163,cg21411490,cg21604136,cg21611682,cg21674153,cg22801799,cg23161492,cg23615741,cg23949925,cg24480695,cg24633390,cg24637035,cg24807547,cg24999105,cg25500196,cg25748521,cg25749254,cg26510500,cg26856289,cg27537125,cg27637521	Lookup	1.89e-07
7.738	4.30e-13	CD34+	Blood	DHS	CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig	cg00073090,cg00300637,cg00501876,cg01899089,cg01936839,cg01937809,cg01940273,cg02679745,cg03033176,cg03358636,cg03611151,cg03630596,cg03636183,cg03707168,cg03877174,cg04273763,cg04545963,cg04772644,cg05284742,cg05460226,cg05478824,cg05488681,cg05546863,cg05575921,cg05603985,cg05616969,cg05673882,cg05875421,cg06188083,cg06285727,cg06672250,cg06836480,cg07007621,cg07037944,cg07251887,cg07339236,cg07483304,cg07986378,cg07996594,cg08170787,cg08271031,cg08534147,cg08956463,cg09502149,cg09935388,cg09996284,cg10025200,cg10139742,cg10720997,cg10749994,cg10750182,cg11147309,cg11324953,cg11390978,cg11554391,cg11630411,cg11660018,cg11800635,cg11902777,cg12075928,cg12333160,cg12929983,cg13038618,cg13184736,cg13203394,cg13579607,cg13709639,cg14099685,cg14316231,cg14389122,cg14454127,cg14580211,cg14712058,cg14753356,cg15159987,cg15228441,cg16174106,cg16329896,cg16535752,cg17287155,cg18337963,cg18625627,cg18826637,cg19314352,cg20059012,cg20059928,cg20295214,cg20692268,cg21322436,cg21393163,cg21411490,cg21586223,cg21604136,cg21611682,cg21674153,cg22801799,cg23079012,cg23161492,cg23615741,cg23949925,cg24480695,cg24633390,cg24637035,cg24807547,cg24996979,cg24999105,cg25500196,cg25512107,cg25648203,cg25748521,cg26361535,cg26856289,cg27241845,cg27537125,cg27637521	Lookup	2.91e-10
2.942	2.53e-03	CLL	Blood	DHS	wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	cg00300637,cg00310412,cg00501876,cg01177100,cg01845501,cg01901332,cg01936839,cg01937809,cg03033176,cg03707168,cg03877174,cg04772644,cg04885881,cg05575921,cg05603985,cg05616969,cg05673882,cg05875421,cg05898907,cg06285727,cg06672250,cg07599366,cg08170787,cg08271031,cg08396193,cg08534147,cg08840017,cg08956463,cg10025200,cg10139742,cg10749994,cg11902777,cg12075928,cg12929983,cg13203394,cg13579607,cg14099685,cg14480046,cg14753356,cg16329896,cg16535752,cg16880946,cg17287155,cg18337963,cg18625627,cg18826637,cg19137417,cg19188359,cg20059928,cg20692268,cg21393163,cg21411490,cg21604136,cg21611682,cg21674153,cg21733098,cg22801799,cg23161492,cg23351584,cg24480695,cg24637035,cg25500196,cg25748521,cg25749254,cg26856289,cg27537125,cg27637521	GSM816664	1.96e-02
4.013	1.26e-04	CMK	Blood	DHS	CMK-DS12393.twopass.merge150.wgt10.zgt2.wig	cg00073090,cg00300637,cg00501876,cg00831247,cg01692968,cg02583484,cg03033176,cg03358636,cg03450842,cg03636183,cg03707168,cg04545963,cg04772644,cg04934519,cg05460226,cg05488681,cg05575921,cg05603985,cg05673882,cg05875421,cg06285727,cg06672250,cg07007621,cg07037944,cg07483304,cg07986378,cg08170787,cg08956463,cg09996284,cg10025200,cg10720997,cg10749994,cg11390978,cg11630411,cg11660018,cg11800635,cg11902777,cg12929983,cg13709639,cg14389122,cg14454127,cg14624207,cg14712058,cg15159987,cg16174106,cg16329896,cg18337963,cg19137417,cg19314352,cg20059012,cg20059928,cg21411490,cg21443659,cg21604136,cg22801799,cg22851561,cg23079012,cg23110422,cg23161492,cg23949925,cg24996979,cg24999105,cg25500196,cg25648203,cg25748521,cg25749254,cg26856289	GSM736607	1.61e-03
6.178	4.26e-08	GM06990	Blood	DHS	GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig	cg00300637,cg00310412,cg00460916,cg00474696,cg00501876,cg00831247,cg01899089,cg01937809,cg01971407,cg02657160,cg02679745,cg03707168,cg03877174,cg04545963,cg04772644,cg04885881,cg05362168,cg05460226,cg05488681,cg05575921,cg05603985,cg05616969,cg05673882,cg05875421,cg06188083,cg06285727,cg07007621,cg07996594,cg08170787,cg08271031,cg08840017,cg08956463,cg09502149,cg09935388,cg10025200,cg10720997,cg10749994,cg11324953,cg11390978,cg11554391,cg11630411,cg11902777,cg12075928,cg12639429,cg12929983,cg13038618,cg13203394,cg14099685,cg14316231,cg14454127,cg14480046,cg15159987,cg16329896,cg17287155,cg18337963,cg18625627,cg18826637,cg19314352,cg19614811,cg20059012,cg20059928,cg20692268,cg21393163,cg21411490,cg21604136,cg21611682,cg24480695,cg24637035,cg24996979,cg24999105,cg25500196,cg25512107,cg25748521,cg25749254,cg26856289,cg27241845,cg27537125,cg27637521	"GSM736558,GSM736635"	1.60e-06
7.173	1.98e-10	GM12864	Blood	DHS	GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig	cg00073090,cg00310412,cg00474696,cg00501876,cg00831247,cg01899089,cg01971407,cg02583484,cg02679745,cg03033176,cg03149958,cg03358636,cg03707168,cg03877174,cg04273763,cg04545963,cg04772644,cg04885881,cg05460226,cg05488681,cg05603985,cg05616969,cg05673882,cg05875421,cg05898907,cg06188083,cg06285727,cg07037944,cg07986378,cg07996594,cg08118908,cg08170787,cg08271031,cg08840017,cg08956463,cg09502149,cg10025200,cg10691866,cg11324953,cg11554391,cg11800635,cg11902777,cg12075928,cg12333160,cg12929983,cg13038618,cg13184736,cg13203394,cg13579607,cg13709639,cg14099685,cg14454127,cg14480046,cg14712058,cg15159987,cg16329896,cg16535752,cg17287155,cg18337963,cg18625627,cg18826637,cg19572487,cg19614811,cg20059012,cg20059928,cg20692268,cg21393163,cg21411490,cg21604136,cg21611682,cg22851561,cg23949925,cg24637035,cg24996979,cg24999105,cg25500196,cg25512107,cg25749254,cg26510500,cg26856289,cg27537125	GSM736525	3.62e-08
6.779	1.04e-09	GM12865	Blood	DHS	GM12865-DS12436.twopass.merge150.wgt10.zgt2.wig	cg00300637,cg00474696,cg00501876,cg00831247,cg01899089,cg01937809,cg01971407,cg02679745,cg03033176,cg03149958,cg03358636,cg03707168,cg03877174,cg04273763,cg04545963,cg04772644,cg04885881,cg05460226,cg05488681,cg05575921,cg05603985,cg05616969,cg05673882,cg05875421,cg05898907,cg06188083,cg06285727,cg06972908,cg07007621,cg07037944,cg07599366,cg07996594,cg08170787,cg08840017,cg08956463,cg09502149,cg09935388,cg09996284,cg10025200,cg11324953,cg11390978,cg11554391,cg11800635,cg11902777,cg12075928,cg12639429,cg12929983,cg13038618,cg13543355,cg13579607,cg13709639,cg14099685,cg14316231,cg14389122,cg14454127,cg14480046,cg15159987,cg16329896,cg17287155,cg18337963,cg18625627,cg18826637,cg19572487,cg19614811,cg20059012,cg20059928,cg20692268,cg21393163,cg21411490,cg21611682,cg21674153,cg22851561,cg23949925,cg24610790,cg24637035,cg24996979,cg24999105,cg25748521,cg25749254,cg26856289,cg27537125,cg27637521	"GSM736512,GSM736561"	1.10e-07
