Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
4.152	1.02e-04	Acute_myeloid_leukemia	Bone Marrow	DHS	S005FH41.DNase.hotspot_v3.20130819.bed.gz	cg00073090,cg00210249,cg00501876,cg01207684,cg01970407,cg02013841,cg02532700,cg03227037,cg03636183,cg03707168,cg04535902,cg04885881,cg04956244,cg05221370,cg05284742,cg05460226,cg05673882,cg05875421,cg06394460,cg07251887,cg07339236,cg07986378,cg08035323,cg09006487,cg10717312,cg11902777,cg12075928,cg12547807,cg13184736,cg13985437,cg14254999,cg14316231,cg14712058,cg15159987,cg15410835,cg15542713,cg16296843,cg16417374,cg16547579,cg16983588,cg19325791,cg19719391,cg20059012,cg20543544,cg23079012,cg24134897,cg24540678,cg24556382,cg25305703,cg25809905,cg26337070,cg26889659,cg27537125,cg27646484	NA	1.22e-02
0.081	5.06e-01	DG-75_Sporadic_Burkitt_lymphoma	Cell Line	DHS	BP_DG-75_d01.DNase.hotspot_v3.20130819.bed.gz	cg00073090,cg01208318,cg01970407,cg02532700,cg03227037,cg03707168,cg04551776,cg05673882,cg05875421,cg10717312,cg11902777,cg12547807,cg16547579,cg16611234,cg16983588,cg19719391,cg20543544,cg23090529,cg27646484	NA	1.00e+00
-1.056	8.81e-01	KARPAS-422_Germinal_Center_B-Cell-Like_Diffuse_Large_B-Cell_Lymphoma	Cell Line	DHS	bp_KARPAS-422_d01.DNase.hotspot_v3.20131126.bed.gz	cg01208318,cg02532700,cg03707168,cg05824218,cg05875421,cg07285983,cg10717312,cg13038618,cg19719391,cg20543544,cg24540678,cg24556382	NA	1.00e+00
0.211	4.53e-01	SU-DHL-5_Germinal_Center_B-Cell-Like_Diffuse_Large_B-Cell_Lymphoma	Cell Line	DHS	bp_SU-DHL-5_d01.DNase.hotspot_v3.20131126.bed.gz	cg00310412,cg00501876,cg00903584,cg01208318,cg03707168,cg05673882,cg05875421,cg12547807,cg13985437,cg14210872,cg16296843,cg16547579,cg16611234,cg18826637,cg18900812,cg19719391,cg20543544,cg21393163,cg23090529,cg24540678,cg24556382,cg27537125	NA	1.00e+00
2.804	5.26e-03	U-266_Multiple_myeloma	Cell Line	DHS	BP_U-266_d01.DNase.hotspot_v3.20130819.bed.gz	cg00501876,cg00903584,cg01692968,cg02013841,cg02226079,cg03227037,cg03707168,cg04551776,cg04885881,cg05221370,cg05875421,cg06635952,cg07251887,cg07285983,cg08035323,cg11902777,cg12547807,cg14210872,cg14254999,cg14712058,cg15542713,cg15554421,cg16296843,cg16417374,cg16547579,cg16556677,cg16611234,cg16983588,cg18369990,cg18826637,cg18900812,cg19344626,cg19572487,cg19719391,cg20059012,cg20505728,cg20543544,cg21322436,cg24134897,cg24556382,cg25421530,cg26271591,cg26337070,cg26889659,cg27537125	NA	1.58e-01
1.160	1.44e-01	Z-138_Mantle_cell_lymphoma	Cell Line	DHS	BP_Z-138_d01.DNase.hotspot_v3.20130819.bed.gz	cg00073090,cg00210249,cg00871610,cg01208318,cg02013841,cg02532700,cg03227037,cg03707168,cg04551776,cg04956244,cg05221370,cg05673882,cg05875421,cg06635952,cg07285983,cg09109520,cg10717312,cg11902777,cg12075928,cg12547807,cg13039251,cg15159987,cg16296843,cg16417374,cg16547579,cg16556677,cg18826637,cg18900812,cg19719391,cg23090529,cg24134897,cg24540678,cg24556382,cg24735226,cg25421530,cg27537125	NA	1.00e+00
0.815	2.43e-01	CD14_positive_CD16_negative_classical_monocyte	Cord Blood	DHS	C005PS4E.DNase.hotspot_v3.20130819.bed.gz	cg00073090,cg00501876,cg01207684,cg02532700,cg03707168,cg05673882,cg05875421,cg08035323,cg11902777,cg14316231,cg15542713,cg16047567,cg16547579,cg18900812,cg19572487,cg20543544,cg21393163,cg24090911,cg24540678,cg24556382,cg27537125	NA	1.00e+00
3.115	2.72e-03	CD34-negative_CD41-positive_CD42-positive_megakaryocyte_cell	Cord Blood	DHS	C006NS47.DNase.hotspot_v3.20130819.bed.gz	cg00073090,cg00903584,cg01692968,cg03636183,cg03707168,cg05575921,cg05673882,cg05886626,cg07339236,cg07986378,cg11660018,cg11902777,cg13038618,cg14712058,cg14977938,cg15417641,cg16547579,cg16611234,cg17372101,cg20059012,cg20244340,cg21322436,cg21747070,cg23079012,cg24540678,cg24556382,cg25809905,cg26889659,cg27537125,cg27646484	NA	1.09e-01
2.549	1.05e-02	CD14-positive_CD16-negative_classical_monocyte	Venous Blood	DHS	C001UY46.DNase.hotspot_v3.20130415.bed.gz	cg00073090,cg00501876,cg01207684,cg02532700,cg03227037,cg03707168,cg04956244,cg05284742,cg05673882,cg05875421,cg05886626,cg06394460,cg07339236,cg07986378,cg08035323,cg11902777,cg12075928,cg14210872,cg14316231,cg14580211,cg14753356,cg15542713,cg15554421,cg16047567,cg16547579,cg16983588,cg18826637,cg18900812,cg19572487,cg19719391,cg20059012,cg20066188,cg20543544,cg21393163,cg24134897,cg24540678,cg24556382,cg25305703,cg25648203,cg27537125	NA	2.33e-01
0.780	2.50e-01	CD14-positive_CD16-negative_classical_monocyte	Venous Blood	DHS	C0010K46.DNase.hotspot_v3.20130415.bed.gz	cg00073090,cg00871610,cg02532700,cg03707168,cg04956244,cg05284742,cg05673882,cg05824218,cg05875421,cg05886626,cg07339236,cg07986378,cg08035323,cg11902777,cg14210872,cg14316231,cg14580211,cg14712058,cg14753356,cg15554421,cg16047567,cg16547579,cg18900812,cg20059012,cg20066188,cg20543544,cg21393163,cg24540678,cg27537125	NA	1.00e+00
