Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
3.924	1.79e-04	E029 Primary monocytes from peripheral blood	Blood	DHS	E029-DNase.hotspot.fdr0.01.broad.bed.gz	cg00073090,cg00501876,cg01937809,cg02679745,cg03358636,cg03707168,cg04545963,cg04772644,cg05284742,cg05488681,cg05673882,cg05875421,cg06285727,cg06836480,cg07339236,cg07986378,cg07996594,cg08170787,cg08271031,cg08956463,cg09502149,cg10025200,cg10749994,cg11902777,cg12075928,cg12929983,cg13038618,cg13579607,cg13709639,cg14454127,cg14753356,cg15228441,cg16329896,cg16535752,cg18337963,cg18826637,cg19188359,cg19572487,cg20059012,cg20059928,cg20692268,cg21393163,cg21586223,cg21611682,cg22801799,cg24996979,cg24999105,cg25648203,cg25748521,cg25749254,cg26856289,cg27537125	E029	2.97e-03
3.585	6.61e-04	E032 Primary B cells from peripheral blood	Blood	DHS	E032-DNase.hotspot.fdr0.01.broad.bed.gz	cg00073090,cg00310412,cg00474696,cg00501876,cg01936839,cg01937809,cg02679745,cg03149958,cg03707168,cg03877174,cg04273763,cg04545963,cg04772644,cg05460226,cg05603985,cg05616969,cg05673882,cg05875421,cg06188083,cg06285727,cg07007621,cg07483304,cg07599366,cg08170787,cg08271031,cg08956463,cg10025200,cg10139742,cg10749994,cg11390978,cg11630411,cg11902777,cg12075928,cg12929983,cg13038618,cg13203394,cg13579607,cg13709639,cg14099685,cg14316231,cg14454127,cg15159987,cg16535752,cg18337963,cg18625627,cg18826637,cg19314352,cg20059012,cg20059928,cg20692268,cg21393163,cg21411490,cg21604136,cg21611682,cg22801799,cg23949925,cg24480695,cg24637035,cg24999105,cg25500196,cg25749254,cg26740249,cg26856289,cg27537125,cg27637521	E032	7.75e-03
3.915	2.19e-04	E033 Primary T cells from cord blood	Blood	DHS	E033-DNase.hotspot.fdr0.01.broad.bed.gz	cg00073090,cg00501876,cg01936839,cg01937809,cg02583484,cg02679745,cg03707168,cg03877174,cg04273763,cg04340595,cg04545963,cg04772644,cg05460226,cg05603985,cg05616969,cg05673882,cg05875421,cg06188083,cg06285727,cg07996594,cg08170787,cg08956463,cg10025200,cg10749994,cg11390978,cg11630411,cg11902777,cg12075928,cg12639429,cg12929983,cg13579607,cg13709639,cg14099685,cg14316231,cg14480046,cg16329896,cg16535752,cg16794579,cg18337963,cg18625627,cg18826637,cg19572487,cg19614811,cg20059928,cg20692268,cg21393163,cg21411490,cg21604136,cg21611682,cg22801799,cg24480695,cg24637035,cg24996979,cg24999105,cg25500196,cg25749254,cg26856289,cg27537125,cg27637521	E033	3.31e-03
4.269	5.75e-05	E034 Primary T cells from peripheral blood	Blood	DHS	E034-DNase.hotspot.fdr0.01.broad.bed.gz	cg00073090,cg00310412,cg00460916,cg00501876,cg00831247,cg01937809,cg02583484,cg02657160,cg02679745,cg03707168,cg03877174,cg04340595,cg04545963,cg04772644,cg04885881,cg05460226,cg05546863,cg05603985,cg05616969,cg05673882,cg05875421,cg06188083,cg06285727,cg06545367,cg07007621,cg07483304,cg07996594,cg08170787,cg08534147,cg08956463,cg09502149,cg10025200,cg10139742,cg10749994,cg11630411,cg11902777,cg12075928,cg12639429,cg12929983,cg13579607,cg13709639,cg14099685,cg14264316,cg14316231,cg14480046,cg16174106,cg17287155,cg18337963,cg18625627,cg19314352,cg19572487,cg19614811,cg20059012,cg20692268,cg21393163,cg21411490,cg21586223,cg21604136,cg22801799,cg24480695,cg24637035,cg24996979,cg24999105,cg25500196,cg25749254,cg26856289,cg27537125,cg27637521	E034	1.91e-03
4.340	5.70e-05	E046 Primary Natural Killer cells from peripheral 	Blood	DHS	E046-DNase.hotspot.fdr0.01.broad.bed.gz	cg00073090,cg00460916,cg00474696,cg00501876,cg00831247,cg01937809,cg02679745,cg03033176,cg03707168,cg03877174,cg04273763,cg04340595,cg04545963,cg04772644,cg04885881,cg05616969,cg05673882,cg05875421,cg06188083,cg06285727,cg07339236,cg08170787,cg08956463,cg09502149,cg10025200,cg10139742,cg11390978,cg11660018,cg11800635,cg11902777,cg12075928,cg12639429,cg12929983,cg13579607,cg13709639,cg14264316,cg14316231,cg14712058,cg14753356,cg16329896,cg16794579,cg18337963,cg18625627,cg18826637,cg19314352,cg19572487,cg20059012,cg20692268,cg21393163,cg21411490,cg21611682,cg21674153,cg22801799,cg24480695,cg24637035,cg24996979,cg24999105,cg25500196,cg25748521,cg25749254,cg26856289,cg27537125	E046	1.91e-03
5.060	2.70e-06	E050 Primary hematopoietic stem cells G-CSF-mobili	Blood	DHS	E050-DNase.hotspot.fdr0.01.broad.bed.gz	cg00073090,cg00501876,cg02583484,cg02679745,cg03636183,cg03707168,cg03877174,cg04772644,cg04885881,cg05460226,cg05546863,cg05575921,cg05603985,cg05616969,cg05673882,cg05875421,cg06285727,cg07037944,cg07251887,cg07339236,cg07986378,cg07996594,cg08170787,cg08271031,cg08534147,cg08956463,cg10025200,cg10139742,cg10749994,cg11324953,cg11660018,cg11902777,cg12075928,cg12333160,cg12929983,cg13038618,cg13184736,cg13203394,cg13579607,cg13709639,cg14389122,cg14454127,cg14753356,cg15159987,cg16174106,cg16329896,cg18337963,cg18625627,cg18826637,cg19314352,cg20059928,cg20692268,cg21322436,cg21393163,cg21411490,cg21586223,cg21604136,cg21674153,cg22801799,cg23079012,cg23351584,cg23615741,cg23949925,cg24480695,cg24633390,cg24637035,cg24807547,cg24996979,cg24999105,cg25500196,cg25749254,cg26856289,cg27241845,cg27537125	E050	2.24e-04
4.567	2.46e-05	E051 Primary hematopoietic stem cells G-CSF-mobili	Blood	DHS	E051-DNase.hotspot.fdr0.01.broad.bed.gz	cg00073090,cg00501876,cg02679745,cg03636183,cg03707168,cg03877174,cg04545963,cg04772644,cg05284742,cg05460226,cg05575921,cg05616969,cg05673882,cg05875421,cg06285727,cg07251887,cg07339236,cg07483304,cg07599366,cg08170787,cg08271031,cg08956463,cg10025200,cg10139742,cg10749994,cg11390978,cg11660018,cg11902777,cg12075928,cg12333160,cg12929983,cg13038618,cg13184736,cg13203394,cg13579607,cg13709639,cg14454127,cg14753356,cg15159987,cg15787636,cg16174106,cg16329896,cg18337963,cg18625627,cg18826637,cg19314352,cg20059012,cg20059928,cg20692268,cg21322436,cg21586223,cg21604136,cg21674153,cg22801799,cg23949925,cg24480695,cg24633390,cg24637035,cg24996979,cg24999105,cg25500196,cg25749254,cg26856289,cg27241845,cg27537125	E051	1.36e-03
3.181	1.91e-03	E028 Breast variant Human Mammary Epithelial Cells	Breast	DHS	E028-DNase.hotspot.fdr0.01.broad.bed.gz	cg00073090,cg00310412,cg00474696,cg00501876,cg01692968,cg01936839,cg01937809,cg02583484,cg03707168,cg04273763,cg04545963,cg04772644,cg04885881,cg05603985,cg05673882,cg05875421,cg06285727,cg06533042,cg06836480,cg07007621,cg07251887,cg07339236,cg08534147,cg08896387,cg09502149,cg10025200,cg10691866,cg11324953,cg11630411,cg12075928,cg12333160,cg12639429,cg12929983,cg13184736,cg13203394,cg13579607,cg13709639,cg14099685,cg14316231,cg14389122,cg14580211,cg14712058,cg14753356,cg16174106,cg16329896,cg17809595,cg18826637,cg20059012,cg20059928,cg21411490,cg21674153,cg24633390,cg24996979,cg25748521,cg25749254,cg26856289,cg27241845,cg27537125,cg27637521	E028	1.76e-02
-0.738	7.92e-01	E003 H1 Cells	ES Cell	DHS	E003-DNase.hotspot.fdr0.01.broad.bed.gz	cg00073090,cg00310412,cg00501876,cg00831247,cg01692968,cg01940273,cg01971407,cg03358636,cg03877174,cg04772644,cg05460226,cg05488681,cg05603985,cg05616969,cg06285727,cg07178945,cg08170787,cg08534147,cg08709672,cg09662411,cg09935388,cg10025200,cg10139742,cg10227678,cg10691866,cg10749994,cg11554391,cg11630411,cg12929983,cg13184736,cg13709639,cg14099685,cg14454127,cg16329896,cg16794579,cg17809595,cg19137417,cg19314352,cg20059928,cg21322436,cg21411490,cg21604136,cg22851561,cg23098195,cg23615741,cg24807547,cg25500196,cg25749254,cg26856289,cg27241845	E003	1.00e+00
-0.101	5.71e-01	E004 H1 BMP4 Derived Mesendoderm Cultured Cells	ES Cell	DHS	E004-DNase.hotspot.fdr0.01.broad.bed.gz	cg00073090,cg00310412,cg00501876,cg01692968,cg01971407,cg03877174,cg04273763,cg04772644,cg05284742,cg05488681,cg05603985,cg05616969,cg05673882,cg06188083,cg06285727,cg07007621,cg07178945,cg07251887,cg07339236,cg08170787,cg08534147,cg09022230,cg09502149,cg09935388,cg10025200,cg10139742,cg10227678,cg10749994,cg11324953,cg11630411,cg11660018,cg12075928,cg12929983,cg13579607,cg14099685,cg14264316,cg16329896,cg16794579,cg17809595,cg18826637,cg19137417,cg19314352,cg20059928,cg21322436,cg21411490,cg21604136,cg21674153,cg22851561,cg24637035,cg24807547,cg25949550,cg26856289,cg27241845,cg27537125	E004	1.00e+00
