Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
1.922	1.51e-02	E029 Primary monocytes from peripheral blood	Blood	H3K4me1	E029-H3K4me1.broadPeak.gz	cg00108569,cg00243922,cg00342743,cg00477365,cg00514202,cg00741634,cg00900054,cg01073178,cg01180236,cg01181681,cg01244006,cg01348570,cg01872324,cg01903374,cg01932827,cg02006134,cg02027010,cg02064368,cg02211433,cg02250357,cg02262553,cg02283691,cg02341503,cg02412628,cg02505177,cg02548606,cg02898206,cg02920216,cg02930866,cg02951206,cg03044735,cg03098361,cg03173570,cg03173679,cg03294491,cg03354717,cg03433394,cg03640531,cg03727373,cg03768517,cg04035553,cg04088932,cg04166618,cg04190002,cg04203298,cg04227701,cg04334947,cg04400841,cg04440125,cg04455759,cg04822018,cg04989674,cg05161938,cg05295023,cg05314679,cg05328960,cg05340882,cg05364411,cg05406954,cg05439195,cg05651657,cg05764121,cg05916684,cg05954702,cg06032302,cg06112727,cg06114556,cg06125456,cg06479426,cg06587969,cg06650256,cg06740897,cg06745704,cg06762176,cg06763161,cg06776703,cg06902558,cg06939851,cg07091220,cg07168939,cg07285953,cg07298473,cg07321536,cg07546262,cg07556119,cg07690692,cg07736922,cg07740693,cg07782630,cg07837717,cg07845873,cg07961659,cg07962303,cg07989796,cg07999508,cg08092331,cg08167706,cg08436313,cg08492912,cg08502759,cg08605301,cg08605991,cg08608144,cg08656326,cg08797598,cg08797606,cg08837626,cg08855361,cg08861456,cg09033857,cg09065776,cg09108797,cg09220050,cg09258553,cg09308608,cg09366312,cg09578254,cg09647671,cg09745087,cg09769679,cg09801687,cg09897604,cg09898217,cg10050397,cg10069677,cg10160630,cg10277912,cg10335543,cg10338338,cg10508317,cg10539507,cg10706989,cg10786043,cg10919111,cg10920427,cg10985914,cg11035519,cg11239316,cg11249390,cg11286035,cg11337018,cg11409285,cg11465943,cg11508373,cg11525941,cg11697159,cg11809157,cg11826008,cg11856215,cg11942541,cg12040201,cg12213003,cg12478378,cg12508534,cg12564034,cg12576688,cg12664806,cg12850036,cg12881321,cg13041975,cg13050981,cg13127506,cg13236881,cg13428516,cg13519902,cg13563728,cg13671198,cg13771313,cg13848035,cg13863668,cg13900770,cg14000687,cg14028856,cg14131272,cg14230166,cg14260522,cg14442492,cg14525688,cg14733672,cg14868222,cg14878686,cg15042142,cg15048902,cg15054838,cg15137213,cg15139248,cg15179472,cg15269027,cg15377586,cg15433043,cg15446613,cg15501219,cg15617545,cg15692666,cg15766494,cg15822546,cg16114654,cg16127594,cg16157980,cg16246961,cg16284213,cg16315748,cg16359985,cg16479173,cg16563370,cg16573178,cg16631025,cg16693212,cg16857335,cg17009808,cg17024828,cg17166812,cg17215278,cg17412351,cg17491564,cg17636193,cg17809632,cg17866373,cg17974715,cg18086594,cg18134312,cg18191664,cg18196506,cg18260973,cg18261909,cg18271897,cg18393175,cg18474239,cg18609230,cg18729886,cg18755728,cg18807929,cg18821418,cg18846731,cg18878616,cg19074748,cg19089711,cg19226017,cg19280364,cg19285688,cg19374752,cg19432434,cg19948397,cg20291779,cg20455854,cg20488968,cg20543544,cg20635724,cg20682326,cg20696478,cg20753954,cg20793089,cg20818528,cg20837626,cg20926353,cg20967975,cg21639178,cg21656520,cg21845654,cg21908110,cg21917550,cg21934564,cg22045990,cg22235727,cg22472411,cg22500428,cg22501294,cg22670033,cg22723098,cg22778790,cg23033748,cg23241772,cg23263937,cg23412136,cg23648239,cg23701776,cg23715559,cg23843812,cg23846712,cg23930945,cg24087515,cg24178897,cg24324354,cg24451422,cg24494412,cg24599065,cg24699418,cg24900425,cg24965617,cg25119743,cg25195795,cg25211705,cg25632853,cg25728699,cg25817419,cg25910803,cg25914921,cg25998680,cg26047920,cg26061357,cg26180612,cg26338947,cg26358590,cg26397265,cg26456183,cg26610624,cg26671988,cg26697605,cg26702929,cg26784300,cg26853401,cg26879538,cg26892394,cg27249858,cg27325152,cg27408171,cg27492102,cg27576946,cg27583149	E029	1.00e+00
1.908	3.47e-02	E029 Primary monocytes from peripheral blood	Blood	H3K4me3	E029-H3K4me3.broadPeak.gz	cg00243922,cg00342743,cg00514202,cg00741634,cg00900054,cg01180236,cg01348570,cg01903374,cg01932827,cg02006134,cg02027010,cg02211433,cg02250357,cg02283691,cg02548606,cg02898206,cg02900516,cg02951206,cg03044735,cg03098361,cg03173679,cg03294491,cg03354717,cg03410722,cg03433394,cg03581421,cg03640531,cg03700308,cg03727373,cg03768517,cg04166618,cg04190002,cg04203298,cg04227701,cg04334947,cg04440125,cg04571742,cg04898443,cg04989674,cg05314679,cg05328960,cg05340882,cg05406954,cg05439195,cg05598539,cg05651657,cg05840750,cg05872513,cg05954702,cg06032302,cg06112727,cg06479426,cg06587969,cg06650256,cg06740897,cg06745704,cg06762176,cg06763161,cg06776703,cg06935184,cg06939851,cg06954540,cg07028951,cg07298473,cg07321536,cg07482199,cg07546262,cg07556119,cg07690692,cg07691180,cg07736922,cg07740693,cg07782630,cg07837717,cg07845873,cg07868885,cg07961659,cg07962303,cg07989796,cg08092331,cg08167706,cg08322528,cg08436313,cg08482978,cg08492912,cg08502759,cg08605991,cg08608144,cg08656326,cg08837626,cg08855361,cg09033857,cg09065776,cg09102835,cg09108797,cg09220050,cg09258553,cg09308608,cg09745087,cg09769679,cg09776830,cg09897604,cg10069677,cg10182531,cg10335543,cg10338338,cg10508317,cg10539507,cg10706989,cg10721450,cg10920427,cg11239316,cg11265952,cg11337018,cg11508373,cg11525941,cg11697159,cg11809157,cg11811621,cg11856215,cg11942541,cg12213003,cg12478378,cg12508534,cg12576688,cg12664806,cg12850036,cg12881321,cg13041975,cg13050981,cg13127506,cg13194899,cg13232021,cg13236881,cg13368918,cg13428516,cg13519902,cg13563728,cg13848035,cg13863668,cg13900770,cg14000687,cg14131272,cg14230166,cg14260522,cg14442492,cg14525688,cg14733672,cg14743055,cg14868222,cg14878686,cg14937492,cg15048902,cg15139248,cg15269027,cg15377586,cg15446613,cg15692666,cg15766494,cg15822546,cg16157980,cg16246961,cg16315748,cg16479173,cg16563370,cg16569430,cg16573178,cg16631025,cg16654851,cg16693212,cg16857335,cg16998718,cg17024828,cg17215278,cg17412351,cg17491564,cg17636193,cg17809632,cg18086594,cg18134312,cg18191664,cg18260973,cg18261909,cg18271897,cg18729886,cg18755728,cg18846731,cg19285688,cg19389852,cg19432434,cg19524810,cg19676328,cg19730801,cg19948397,cg20455854,cg20488968,cg20543544,cg20635724,cg20696478,cg20753954,cg20818528,cg20917083,cg20926353,cg20967975,cg21639178,cg21656520,cg21845654,cg21908110,cg21917550,cg21934564,cg21962603,cg22235727,cg22472411,cg22482746,cg22500428,cg22501294,cg22723098,cg22778790,cg23033748,cg23288298,cg23393291,cg23412136,cg23701776,cg23715559,cg23846712,cg24087515,cg24451422,cg24494412,cg24599065,cg24631450,cg24699418,cg24900425,cg24965617,cg25087553,cg25632853,cg25699121,cg25728699,cg25772341,cg25817419,cg25910803,cg25998680,cg26047920,cg26180612,cg26397265,cg26456183,cg26610624,cg26784300,cg26853401,cg26892394,cg27249858,cg27462418,cg27492102,cg27576946,cg27583149,cg27658640	E029	1.00e+00
-1.695	9.70e-01	E029 Primary monocytes from peripheral blood	Blood	H3K9me3	E029-H3K9me3.broadPeak.gz	cg00675940,cg00790835,cg00792849,cg01119777,cg01230207,cg01440570,cg01617018,cg01841312,cg01932827,cg01984858,cg02501779,cg03044735,cg03139228,cg03581421,cg03618918,cg04111577,cg04194947,cg04283330,cg04326023,cg04752042,cg05044843,cg05170671,cg05229340,cg06244947,cg06294856,cg06776703,cg07607354,cg07690882,cg07694754,cg07740693,cg07837717,cg07961659,cg08431893,cg08436313,cg08605991,cg08797606,cg08861456,cg08975197,cg09232103,cg09271279,cg09274253,cg09409539,cg09578254,cg09745087,cg10047755,cg10372770,cg10508317,cg10539507,cg11337018,cg11465943,cg11490805,cg11525941,cg11942541,cg11955727,cg12103628,cg12819144,cg12949927,cg13194899,cg13409439,cg13428516,cg13900770,cg14676592,cg15054838,cg15294150,cg15377586,cg15433043,cg15541040,cg15692666,cg16246961,cg16510127,cg16520796,cg16568131,cg16735190,cg16763443,cg16812893,cg16857335,cg16884295,cg17837894,cg17866373,cg17956819,cg17997641,cg18185596,cg18220786,cg18807929,cg18878616,cg19295251,cg19503249,cg19728051,cg20054786,cg20065449,cg20123298,cg20358313,cg20569034,cg20682326,cg20753954,cg20865535,cg20999102,cg21074260,cg21224251,cg21845654,cg22017654,cg22209624,cg22500428,cg22778790,cg23263937,cg23846712,cg23856090,cg23934633,cg24851906,cg24913794,cg24944117,cg24981283,cg25399352,cg25427625,cg25499769,cg25558531,cg25632853,cg26067569,cg26338947,cg26465474,cg26518327,cg26610624,cg26671988,cg26700447,cg26702929,cg26746255,cg26785025,cg26820636,cg26892394,cg27325152,cg27366617,cg27592868	E029	1.00e+00
-1.575	9.65e-01	E029 Primary monocytes from peripheral blood	Blood	H3K27me3	E029-H3K27me3.broadPeak.gz	cg00150560,cg00178661,cg00580497,cg00687686,cg00792849,cg01057656,cg01222719,cg01518790,cg01783650,cg01932827,cg01960885,cg01984858,cg02011981,cg02160807,cg02304930,cg02501779,cg02920216,cg02951206,cg03044735,cg03163184,cg03727373,cg04190002,cg04194947,cg04227701,cg04283330,cg04316941,cg04326023,cg04347477,cg04400841,cg04752042,cg04874239,cg05042492,cg05308309,cg05314679,cg05364411,cg05373161,cg05764121,cg06454771,cg06479426,cg06776703,cg07237397,cg07458712,cg07690882,cg07740693,cg07961659,cg07962303,cg08037440,cg08167706,cg08431893,cg08436313,cg08492912,cg08605301,cg08605991,cg08651124,cg08656326,cg08797606,cg08837626,cg08861456,cg09296611,cg09366312,cg09409539,cg09745087,cg09801687,cg10047755,cg10050397,cg10508317,cg10539507,cg11286035,cg11337018,cg11525941,cg11697159,cg11942541,cg12040201,cg12511310,cg12881321,cg13127506,cg13194899,cg13345318,cg13409439,cg13935548,cg14028856,cg14166788,cg14180479,cg14230803,cg14442492,cg14523706,cg14525688,cg14676592,cg14732815,cg14778264,cg15054838,cg15294150,cg15377586,cg15538753,cg15894129,cg15900034,cg16127594,cg16157980,cg16510127,cg16561487,cg16563370,cg16568131,cg16573178,cg16748524,cg16763443,cg16884295,cg17009808,cg17024828,cg17636193,cg17837894,cg17866373,cg18033756,cg18038625,cg18102575,cg18134312,cg18220786,cg18271897,cg18755728,cg18807929,cg18878616,cg19295251,cg19374752,cg19524810,cg19728051,cg20292636,cg20296532,cg20427865,cg20682326,cg20731878,cg20753954,cg20793089,cg20865535,cg20926353,cg20967975,cg21024835,cg21074260,cg21476494,cg21545952,cg21666857,cg21845654,cg21847118,cg22045990,cg22180298,cg22209624,cg22245980,cg22402769,cg22500428,cg22670033,cg22778790,cg22793832,cg22849543,cg22999864,cg23263937,cg23333072,cg23509896,cg23843812,cg23846712,cg23856090,cg23930945,cg24324354,cg24423329,cg24451422,cg24556441,cg25119743,cg25195795,cg25399352,cg25560215,cg25632853,cg25914921,cg25998680,cg26338947,cg26384697,cg26465474,cg26610624,cg26671988,cg26697605,cg26700447,cg26702929,cg26746255,cg26784300,cg26820636,cg26892394,cg27198485,cg27249858,cg27266824,cg27325152,cg27592868,cg27614534	E029	1.00e+00
0.607	2.99e-01	E029 Primary monocytes from peripheral blood	Blood	H3K36me3	E029-H3K36me3.broadPeak.gz	cg00095870,cg00121045,cg00122683,cg00159379,cg00331541,cg01118653,cg01161919,cg01282959,cg01617018,cg01872324,cg01911678,cg01977863,cg02341503,cg02399233,cg02505177,cg02556954,cg02930866,cg02981853,cg03067574,cg03109209,cg03139228,cg03335600,cg03413810,cg04148095,cg04347477,cg04368724,cg04455759,cg04723436,cg04724489,cg04831728,cg05022128,cg05295023,cg05308424,cg05651657,cg06114556,cg06217267,cg06763161,cg07054681,cg08316365,cg08608144,cg08713098,cg08730245,cg08798148,cg08926040,cg09814231,cg09893068,cg10160630,cg10172584,cg10277912,cg10453123,cg10830310,cg11249390,cg11643285,cg12419239,cg12564034,cg12636882,cg12664806,cg13152856,cg13469320,cg13701509,cg13771313,cg13828397,cg14071324,cg14483162,cg14549093,cg15004787,cg15042142,cg15120220,cg15137213,cg15324723,cg15378038,cg15541040,cg15542924,cg15629568,cg15973528,cg16026549,cg16114654,cg16359985,cg16540442,cg17259761,cg17491564,cg17737471,cg17974715,cg18156845,cg18298197,cg18821418,cg19089711,cg19389852,cg20054786,cg20490900,cg20569034,cg20641095,cg20849127,cg20929811,cg20999102,cg21385480,cg21827986,cg21932878,cg22352499,cg22723098,cg22760338,cg22977320,cg23288298,cg24315833,cg24693635,cg24906527,cg24975211,cg25432294,cg25777714,cg25945449,cg26358590,cg26832686,cg26862731,cg27346937,cg27436190	E029	1.00e+00
1.476	3.98e-02	E032 Primary B cells from peripheral blood	Blood	H3K4me1	E032-H3K4me1.broadPeak.gz	cg00108569,cg00147332,cg00243922,cg00331541,cg00342743,cg00477365,cg00514202,cg00580497,cg00687686,cg00741634,cg00790835,cg00792849,cg00900054,cg01057656,cg01073178,cg01118653,cg01180236,cg01181681,cg01222719,cg01244006,cg01348570,cg01816258,cg01872324,cg01903374,cg01932827,cg01984858,cg02006134,cg02027010,cg02064368,cg02211433,cg02250357,cg02262553,cg02283691,cg02304930,cg02341503,cg02412628,cg02505177,cg02898206,cg02930866,cg02951206,cg02981853,cg03044735,cg03098361,cg03163184,cg03173570,cg03294491,cg03354717,cg03410722,cg03433394,cg03438490,cg03581421,cg03640531,cg03700308,cg03727373,cg03740261,cg03768517,cg04088932,cg04104695,cg04166618,cg04190002,cg04203298,cg04227701,cg04347477,cg04368724,cg04400841,cg04440125,cg04455759,cg04618386,cg04822018,cg04874239,cg04983128,cg04989674,cg05022128,cg05295023,cg05308309,cg05314679,cg05328960,cg05340882,cg05364411,cg05406954,cg05439195,cg05598539,cg05651657,cg05916684,cg05954702,cg06032302,cg06112727,cg06125456,cg06454771,cg06587969,cg06650256,cg06740897,cg06745704,cg06762176,cg06763161,cg06776703,cg06939851,cg07028951,cg07091220,cg07168939,cg07321536,cg07430967,cg07458712,cg07546262,cg07567679,cg07690692,cg07690882,cg07691180,cg07736922,cg07740693,cg07782630,cg07837717,cg07845873,cg07961659,cg07962303,cg07989796,cg07999508,cg08037440,cg08092331,cg08167706,cg08322528,cg08431893,cg08436313,cg08492912,cg08502759,cg08605301,cg08605991,cg08608144,cg08713098,cg08730245,cg08797598,cg08797606,cg08837626,cg08855361,cg08861456,cg09033857,cg09065776,cg09108797,cg09220050,cg09258553,cg09263731,cg09296611,cg09366312,cg09578254,cg09647671,cg09745087,cg09769679,cg09776830,cg09801687,cg09814231,cg09897604,cg10069677,cg10277912,cg10338338,cg10390762,cg10508317,cg10539507,cg10706989,cg10717610,cg10786043,cg10919111,cg10985914,cg11035519,cg11249390,cg11286035,cg11337018,cg11409285,cg11465943,cg11508373,cg11525941,cg11643285,cg11697159,cg11809157,cg11826008,cg11856215,cg11942541,cg12040201,cg12213003,cg12393104,cg12478378,cg12508534,cg12664806,cg12850036,cg12881321,cg13041975,cg13050981,cg13127506,cg13194899,cg13231501,cg13232021,cg13236881,cg13345318,cg13368918,cg13428516,cg13519902,cg13548164,cg13563728,cg13671198,cg13771313,cg13848035,cg13863668,cg13900770,cg13935548,cg14000687,cg14028856,cg14131272,cg14230166,cg14260522,cg14442492,cg14483162,cg14525688,cg14676592,cg14733672,cg14743055,cg14868222,cg14878686,cg14937492,cg15048902,cg15054838,cg15137213,cg15139248,cg15179472,cg15269027,cg15294150,cg15377586,cg15446613,cg15692666,cg15766494,cg15822546,cg15894129,cg16026549,cg16114654,cg16127594,cg16157980,cg16246961,cg16284213,cg16479173,cg16510127,cg16563370,cg16568131,cg16654851,cg16693212,cg16803737,cg16857335,cg16998718,cg17009808,cg17024828,cg17215278,cg17412351,cg17491564,cg17636193,cg17809632,cg17866373,cg17974715,cg18086594,cg18191664,cg18196506,cg18246298,cg18260973,cg18261909,cg18271897,cg18393175,cg18609230,cg18729886,cg18755728,cg18807929,cg18846731,cg18878616,cg19074748,cg19078067,cg19089711,cg19226017,cg19280364,cg19285688,cg19324313,cg19374752,cg19432434,cg19524810,cg19811863,cg20291779,cg20292636,cg20455854,cg20488968,cg20490900,cg20543544,cg20574381,cg20635724,cg20641095,cg20682326,cg20696478,cg20753954,cg20793089,cg20837626,cg20967975,cg21177456,cg21639178,cg21656520,cg21845654,cg21908110,cg21917550,cg21934564,cg21962603,cg22017654,cg22045990,cg22209624,cg22235727,cg22352499,cg22500428,cg22501294,cg22670033,cg22723098,cg22778790,cg22849543,cg22977320,cg23033748,cg23241772,cg23263937,cg23333072,cg23412136,cg23509896,cg23648239,cg23701776,cg23843812,cg23846712,cg23930945,cg24087515,cg24178897,cg24324354,cg24451422,cg24494412,cg24556441,cg24599065,cg24699418,cg24900425,cg24965617,cg24975211,cg25087553,cg25119743,cg25195795,cg25211705,cg25632853,cg25728699,cg25772341,cg25817419,cg25910803,cg25914921,cg25998680,cg26047920,cg26061357,cg26180612,cg26397265,cg26456183,cg26610624,cg26671988,cg26700447,cg26702929,cg26784300,cg26892394,cg27249858,cg27325152,cg27346937,cg27408171,cg27462418,cg27492102,cg27576946,cg27583149,cg27614534,cg27647667,cg27658640	E032	1.00e+00
0.913	1.82e-01	E032 Primary B cells from peripheral blood	Blood	H3K4me3	E032-H3K4me3.broadPeak.gz	cg00108569,cg00243922,cg00342743,cg00514202,cg00580497,cg00687686,cg00741634,cg00900054,cg01073178,cg01180236,cg01181681,cg01348570,cg01359967,cg01617018,cg01903374,cg01932827,cg01984858,cg02006134,cg02027010,cg02211433,cg02250357,cg02262553,cg02283691,cg02341503,cg02399233,cg02505177,cg02548606,cg02898206,cg02900516,cg02951206,cg03044735,cg03098361,cg03173570,cg03173679,cg03294491,cg03354717,cg03410722,cg03433394,cg03581421,cg03640531,cg03700308,cg03727373,cg03768517,cg04088932,cg04166618,cg04190002,cg04203298,cg04227701,cg04316941,cg04334947,cg04440125,cg04571742,cg04822018,cg04898443,cg04989674,cg05314679,cg05328960,cg05340882,cg05373161,cg05406954,cg05439195,cg05598539,cg05651657,cg05840750,cg05872513,cg05954702,cg06112727,cg06114556,cg06454771,cg06479426,cg06587969,cg06650256,cg06730953,cg06740897,cg06745704,cg06762176,cg06776703,cg06935184,cg06939851,cg06954540,cg07028951,cg07321536,cg07458712,cg07482199,cg07546262,cg07556119,cg07690692,cg07691180,cg07736922,cg07740693,cg07782630,cg07837717,cg07845873,cg07868885,cg07961659,cg07989796,cg08092331,cg08167706,cg08322528,cg08436313,cg08482978,cg08492912,cg08502759,cg08608144,cg08656326,cg08713098,cg08797606,cg08855361,cg09033857,cg09065776,cg09102835,cg09108797,cg09220050,cg09258553,cg09296611,cg09308608,cg09578254,cg09745087,cg09769679,cg09776830,cg09801687,cg09897604,cg10069677,cg10182531,cg10277912,cg10335543,cg10338338,cg10508317,cg10706989,cg10717610,cg10721450,cg10738041,cg10920427,cg10985914,cg11035519,cg11239316,cg11265952,cg11286035,cg11337018,cg11508373,cg11525941,cg11697159,cg11809157,cg11811621,cg11856215,cg11942541,cg12040201,cg12213003,cg12478378,cg12508534,cg12576688,cg12664806,cg12850036,cg12881321,cg13041975,cg13050981,cg13127506,cg13232021,cg13236881,cg13368918,cg13428516,cg13563728,cg13771313,cg13848035,cg13863668,cg13900770,cg14000687,cg14131272,cg14230166,cg14260522,cg14380013,cg14442492,cg14525688,cg14733672,cg14743055,cg14789121,cg14868222,cg14878686,cg14937492,cg15048902,cg15054838,cg15139248,cg15269027,cg15377586,cg15446613,cg15692666,cg15766494,cg15822546,cg16127594,cg16157980,cg16246961,cg16315748,cg16479173,cg16563370,cg16569430,cg16573178,cg16631025,cg16654851,cg16693212,cg16857335,cg16998718,cg17024828,cg17215278,cg17412351,cg17491564,cg17636193,cg17809632,cg18086594,cg18134312,cg18191664,cg18196506,cg18246298,cg18260973,cg18261909,cg18271897,cg18393175,cg18495118,cg18729886,cg18755728,cg18807929,cg18846731,cg19285688,cg19389852,cg19432434,cg19503249,cg19524810,cg19676328,cg19730801,cg19948397,cg20455854,cg20488968,cg20543544,cg20635724,cg20696478,cg20753954,cg20793089,cg20917083,cg20926353,cg20967975,cg21563049,cg21639178,cg21656520,cg21845654,cg21908110,cg21917550,cg21934564,cg21962603,cg22045990,cg22235727,cg22472411,cg22482746,cg22500428,cg22501294,cg22723098,cg22778790,cg23033748,cg23288298,cg23393291,cg23412136,cg23648239,cg23701776,cg23715559,cg23846712,cg23930945,cg24451422,cg24494412,cg24556441,cg24631450,cg24699418,cg24906527,cg24965617,cg25087553,cg25119743,cg25699121,cg25772341,cg25817419,cg25998680,cg26047920,cg26061357,cg26180612,cg26384697,cg26397265,cg26456183,cg26610624,cg26853401,cg26879538,cg26892394,cg27249858,cg27462418,cg27492102,cg27576946,cg27583149,cg27658640	E032	1.00e+00
0.018	5.18e-01	E032 Primary B cells from peripheral blood	Blood	H3K9me3	E032-H3K9me3.broadPeak.gz	cg01518790,cg01841312,cg01984858,cg02412628,cg02501779,cg02701024,cg03294491,cg03618918,cg04111577,cg04194947,cg04874239,cg06244947,cg06294856,cg07448679,cg07694754,cg07711387,cg08797606,cg08861456,cg08975197,cg09232103,cg09578254,cg09893068,cg10372770,cg10539507,cg11490805,cg11525941,cg11955727,cg12081645,cg12103628,cg12949927,cg13428516,cg16520796,cg16748524,cg16763443,cg16812893,cg16857335,cg16884295,cg17956819,cg18102575,cg18878616,cg19503249,cg20054786,cg21224251,cg23263937,cg23856090,cg24324354,cg24556441,cg24951989,cg25499769,cg26338947,cg26398691,cg26518327,cg26746255,cg26785025,cg26820636,cg27266824,cg27366617	E032	1.00e+00
-1.826	9.89e-01	E032 Primary B cells from peripheral blood	Blood	H3K27me3	E032-H3K27me3.broadPeak.gz	cg00178661,cg00580497,cg00790835,cg00792849,cg01057656,cg01073178,cg01181681,cg01222719,cg01244006,cg01359967,cg01783650,cg01816258,cg01932827,cg01960885,cg01984858,cg02011981,cg02064368,cg02262553,cg02304930,cg02501779,cg02920216,cg02951206,cg03044735,cg03163184,cg03173570,cg03294491,cg03438490,cg03618918,cg03658604,cg04035553,cg04190002,cg04194947,cg04227701,cg04283330,cg04400841,cg04440125,cg04618386,cg04752042,cg04874239,cg05042492,cg05161938,cg05170671,cg05308309,cg05314679,cg05340882,cg05364411,cg05373161,cg05424510,cg05764121,cg05916684,cg05941924,cg05970577,cg06061257,cg06168875,cg06181187,cg06294856,cg06650256,cg06730953,cg06776703,cg07019009,cg07237397,cg07430967,cg07448679,cg07458712,cg07740693,cg07961659,cg07962303,cg07989796,cg08037440,cg08431893,cg08436313,cg08482978,cg08492912,cg08605301,cg08605991,cg08651124,cg08656326,cg08797606,cg08837626,cg09108314,cg09258553,cg09271279,cg09274253,cg09296611,cg09366312,cg09578254,cg09653371,cg09694300,cg09745087,cg09801687,cg09898217,cg10047755,cg10050397,cg10390762,cg10473059,cg10508317,cg10539507,cg10566660,cg10717610,cg10738041,cg10786043,cg10959664,cg11390741,cg11490805,cg11525941,cg11643285,cg11809157,cg11819621,cg11920453,cg12040201,cg12081291,cg12393104,cg12511310,cg12759166,cg12819144,cg12881321,cg13127506,cg13194899,cg13409439,cg13900770,cg14028856,cg14166788,cg14180479,cg14230803,cg14380013,cg14442492,cg14525688,cg14676592,cg14732815,cg14733672,cg14778264,cg15054838,cg15179472,cg15377586,cg15399122,cg15501219,cg15538753,cg15617545,cg15692666,cg15894129,cg15900034,cg16127594,cg16157980,cg16561487,cg16563370,cg16568131,cg16650026,cg16674257,cg16763443,cg16857335,cg16884295,cg17009808,cg17024828,cg17166812,cg17215278,cg17837894,cg17866373,cg18033756,cg18038625,cg18042072,cg18102575,cg18196506,cg18220786,cg18222590,cg18393175,cg18729886,cg18755728,cg18807929,cg18821418,cg18878616,cg19295251,cg19728051,cg20123298,cg20263045,cg20292636,cg20296532,cg20358313,cg20427865,cg20472891,cg20682326,cg20753954,cg20786706,cg20793089,cg20818528,cg20967975,cg20999167,cg21074260,cg21476494,cg21545952,cg21845654,cg21930968,cg22180298,cg22209624,cg22245980,cg22402769,cg22500428,cg22760338,cg22778790,cg22793832,cg22940961,cg22999864,cg23263937,cg23333072,cg23648239,cg23786812,cg23843812,cg23846712,cg23856090,cg23930945,cg24178897,cg24324354,cg24423329,cg24451422,cg24556441,cg24599065,cg24794992,cg24851906,cg24913794,cg24951989,cg25019961,cg25119743,cg25195795,cg25399352,cg25560215,cg25632853,cg25914921,cg25998680,cg26061357,cg26067569,cg26338947,cg26384697,cg26465474,cg26610624,cg26671988,cg26700447,cg26746255,cg26784300,cg26820636,cg26957560,cg27198485,cg27249858,cg27325152,cg27462418,cg27592868,cg27614534,cg27637738	E032	1.00e+00
1.789	4.29e-02	E032 Primary B cells from peripheral blood	Blood	H3K36me3	E032-H3K36me3.broadPeak.gz	cg00095870,cg00121045,cg00122683,cg00331541,cg00477365,cg00741634,cg01118653,cg01161919,cg01282959,cg01440570,cg01617018,cg01872324,cg01911678,cg01932827,cg01977863,cg02341503,cg02399233,cg02412628,cg02505177,cg02556954,cg02930866,cg02981853,cg03067574,cg03109209,cg03139228,cg03335600,cg03413810,cg03740261,cg04104695,cg04148095,cg04368724,cg04455759,cg04723436,cg04724489,cg04831728,cg04983128,cg05022128,cg05308424,cg05340882,cg05373161,cg05598539,cg05840750,cg05916700,cg05954702,cg05970577,cg06019050,cg06061257,cg06114556,cg06217267,cg06763161,cg06902558,cg07054681,cg07091220,cg07298473,cg07321536,cg07736922,cg08316365,cg08608144,cg08797598,cg08798148,cg08861456,cg08926040,cg08975197,cg09263731,cg09274253,cg09808985,cg09814231,cg09893068,cg09897604,cg10160630,cg10172584,cg10277912,cg10288921,cg10372770,cg10453123,cg10830310,cg11286035,cg11508373,cg11643285,cg11826008,cg12564034,cg12636882,cg12664806,cg13152856,cg13469320,cg13701509,cg13771313,cg13828397,cg13935548,cg14071324,cg14483162,cg14549093,cg14868222,cg15004787,cg15042142,cg15137213,cg15139248,cg15324723,cg15378038,cg15541040,cg15542924,cg15629568,cg15973528,cg16026549,cg16114654,cg16284213,cg16359985,cg16540442,cg16788962,cg16803737,cg17491564,cg17737471,cg17974715,cg17997641,cg18156845,cg18261909,cg18298197,cg18474239,cg18846731,cg19078067,cg19089711,cg19324313,cg19374752,cg19389852,cg20054786,cg20382344,cg20455854,cg20490900,cg20569034,cg20641095,cg20699492,cg20837626,cg20849127,cg20929811,cg20999102,cg21224251,cg21385480,cg21563049,cg21827986,cg21932878,cg22235727,cg22352499,cg22397365,cg22977320,cg23241772,cg23288298,cg24693635,cg24794992,cg24900425,cg24906527,cg24975211,cg24983716,cg25427625,cg25533211,cg25728699,cg25777714,cg25945449,cg26358590,cg26504421,cg26671988,cg26784300,cg26832686,cg26862731,cg27346937,cg27408171,cg27436190,cg27658640	E032	1.00e+00
