Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
5.550	3.73e-07	E029 Primary monocytes from peripheral blood	Blood	H3K4me1	E029-H3K4me1.broadPeak.gz	cg00052684,cg01680062,cg02534167,cg03489069,cg03574890,cg04175911,cg05639088,cg07475825,cg08552853,cg09432792,cg12896170,cg15002347,cg15135194,cg15848159,cg15920942,cg17555274,cg20292908,cg20361768,cg22885409,cg27167895,cg27459630	E029	6.19e-05
1.361	1.30e-01	E032 Primary B cells from peripheral blood	Blood	H3K4me1	E032-H3K4me1.broadPeak.gz	cg00052684,cg01680062,cg02534167,cg03361294,cg03574890,cg09432792,cg09541576,cg12896170,cg15135194,cg15920942,cg20292908,cg22885409,cg27459630	E032	1.00e+00
3.506	2.68e-03	E033 Primary T cells from cord blood	Blood	H3K4me1	E033-H3K4me1.broadPeak.gz	cg00052684,cg02534167,cg03361294,cg04175911,cg08552853,cg09432792,cg12896170,cg15002347,cg15920942,cg16222694,cg20292908,cg27167895,cg27459630	E033	1.48e-01
1.243	1.55e-01	E034 Primary T cells from peripheral blood	Blood	H3K4me1	E034-H3K4me1.broadPeak.gz	cg00052684,cg01680062,cg02534167,cg02936755,cg03361294,cg03574890,cg04175911,cg09432792,cg12896170,cg15002347,cg15135194,cg15920942,cg16222694,cg20292908,cg27167895	E034	1.00e+00
2.565	1.30e-02	E046 Primary Natural Killer cells from peripheral 	Blood	H3K4me1	E046-H3K4me1.broadPeak.gz	cg00052684,cg01680062,cg02534167,cg02936755,cg03574890,cg04175911,cg07475825,cg08552853,cg09432792,cg12896170,cg15002347,cg15135194,cg15920942,cg17555274,cg24346915,cg27167895	E046	3.07e-01
0.200	4.89e-01	E050 Primary hematopoietic stem cells G-CSF-mobili	Blood	H3K4me1	E050-H3K4me1.broadPeak.gz	cg00052684,cg03574890,cg04175911,cg09432792,cg12547959,cg12896170,cg15002347,cg15920942,cg20292908,cg22885409,cg27167895	E050	1.00e+00
0.797	2.68e-01	E051 Primary hematopoietic stem cells G-CSF-mobili	Blood	H3K4me1	E051-H3K4me1.broadPeak.gz	cg00052684,cg04175911,cg08552853,cg09432792,cg12896170,cg15002347,cg15135194,cg15920942,cg20292908,cg22885409,cg27167895	E051	1.00e+00
2.681	8.92e-03	E028 Breast variant Human Mammary Epithelial Cells	Breast	H3K4me1	E028-H3K4me1.broadPeak.gz	cg00052684,cg01680062,cg02534167,cg03361294,cg03574890,cg04175911,cg05639088,cg07475825,cg08552853,cg09412707,cg09432792,cg12896170,cg15002347,cg15848159,cg15920942,cg17555274,cg20292908,cg20361768,cg22885409,cg24346915,cg27167895,cg27459630	E028	3.07e-01
-1.240	9.26e-01	E003 H1 Cells	ES Cell	H3K4me1	E003-H3K4me1.broadPeak.gz	cg00052684,cg02534167,cg03574890,cg05639088,cg09432792,cg12896170,cg15848159,cg27167895	E003	1.00e+00
0.236	4.72e-01	E004 H1 BMP4 Derived Mesendoderm Cultured Cells	ES Cell	H3K4me1	E004-H3K4me1.broadPeak.gz	cg02534167,cg03574890,cg05639088,cg09412707,cg12547959,cg12896170,cg15848159,cg22885409,cg27167895	E004	1.00e+00
2.035	3.31e-02	E005 H1 BMP4 Derived Trophoblast Cultured Cells	ES Cell	H3K4me1	E005-H3K4me1.broadPeak.gz	cg00052684,cg01363387,cg01680062,cg02534167,cg02936755,cg03574890,cg04175911,cg05639088,cg09412707,cg09432792,cg12547959,cg12896170,cg13132442,cg15002347,cg15135194,cg15848159,cg15920942,cg20361768,cg22885409,cg24346915,cg27167895	E005	6.09e-01
0.850	2.60e-01	E006 H1 Derived Mesenchymal Stem Cells	ES Cell	H3K4me1	E006-H3K4me1.broadPeak.gz	cg00052684,cg01680062,cg02534167,cg02936755,cg03574890,cg04175911,cg05639088,cg05790772,cg07475825,cg09412707,cg09432792,cg12547959,cg12896170,cg13132442,cg15848159,cg15920942,cg22885409,cg24346915	E006	1.00e+00
