Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
-1.360	8.99e-01	E063 Adipose Nuclei	Adipose	TssA	erc2-chromatin15state-all-files/E063_1_TssA.bed	cg01516881,cg01864468,cg02197629,cg02746014,cg03395511,cg05841700,cg06758350,cg08838158,cg12717203,cg12794224,cg13498216,cg15022609,cg15469871,cg16681597,cg17509989,cg18268631,cg20064778,cg20596706,cg20611109,cg22905511,cg24506221,cg26000393,cg26114124,cg27205904,cg27312944	E063	1.00e+00
4.198	1.33e-04	E063 Adipose Nuclei	Adipose	TssAFlnk	erc2-chromatin15state-all-files/E063_2_TssAFlnk.bed	cg00281977,cg01052103,cg01808030,cg02147364,cg02743650,cg02750262,cg03847932,cg03940650,cg04241623,cg04554929,cg05406088,cg05729249,cg05919696,cg05926928,cg06419732,cg06478886,cg06522412,cg07096305,cg07310671,cg07318204,cg07482220,cg08291996,cg08422420,cg08481075,cg08802841,cg09039782,cg09092052,cg09314196,cg09592244,cg10185505,cg10576280,cg10619895,cg10727654,cg11787167,cg12258998,cg12658972,cg13967339,cg14508358,cg15782153,cg16628641,cg18200150,cg18322025,cg18402987,cg18428180,cg18505837,cg18797653,cg19097407,cg19985056,cg20293942,cg21544437,cg22055815,cg23577102,cg24334149,cg24467349,cg26579653,cg26647808	E063	1.37e-01
-2.010	1.00e+00	E063 Adipose Nuclei	Adipose	TxFlnk	erc2-chromatin15state-all-files/E063_3_TxFlnk.bed		E063	1.00e+00
-1.981	9.83e-01	E063 Adipose Nuclei	Adipose	Tx	erc2-chromatin15state-all-files/E063_4_Tx.bed	cg00525828,cg01651570,cg02219147,cg05867245,cg10391129,cg11300570,cg13126076,cg14865678,cg15251456,cg15461618,cg19504605,cg26033510	E063	1.00e+00
-0.372	6.72e-01	E063 Adipose Nuclei	Adipose	TxWk	erc2-chromatin15state-all-files/E063_5_TxWk.bed	cg00106564,cg00435273,cg00795791,cg01427108,cg02139308,cg02744428,cg06150148,cg06193597,cg06724776,cg06939248,cg07638320,cg08408040,cg10930703,cg11949518,cg13598480,cg14261943,cg14436939,cg15365744,cg15789211,cg16914890,cg17279147,cg18165715,cg18453576,cg20239921,cg25758034,cg25929204,cg26924392	E063	1.00e+00
0.402	3.89e-01	E063 Adipose Nuclei	Adipose	EnhG	erc2-chromatin15state-all-files/E063_6_EnhG.bed	cg00256231,cg01927686,cg06546677,cg12180551	E063	1.00e+00
0.222	4.48e-01	E063 Adipose Nuclei	Adipose	Enh	erc2-chromatin15state-all-files/E063_7_Enh.bed	cg01354046,cg01609658,cg02299497,cg03582285,cg06675417,cg07136909,cg07168142,cg07219506,cg10187029,cg10239804,cg11076954,cg12621411,cg13924715,cg14554423,cg15154249,cg16053902,cg16340422,cg16619994,cg16677969,cg18397450,cg20130571,cg23475858,cg24666046,cg25731395,cg26010015	E063	1.00e+00
-0.817	7.41e-01	E063 Adipose Nuclei	Adipose	ZNF-Rpts	erc2-chromatin15state-all-files/E063_8_ZNF-Rpts.bed	cg25026992	E063	1.00e+00
-1.514	9.79e-01	E063 Adipose Nuclei	Adipose	Het	erc2-chromatin15state-all-files/E063_9_Het.bed	cg22826409	E063	1.00e+00
-1.042	8.46e-01	E063 Adipose Nuclei	Adipose	TssBiv	erc2-chromatin15state-all-files/E063_10_TssBiv.bed	cg06602086	E063	1.00e+00
1.202	1.65e-01	E063 Adipose Nuclei	Adipose	BivFlnk	erc2-chromatin15state-all-files/E063_11_BivFlnk.bed	cg00607058,cg01003448,cg01795955,cg05197062,cg05505459,cg06176221,cg08103988,cg08551532,cg11335335,cg13918754,cg14298807,cg17655970,cg26011014	E063	1.00e+00
-0.484	7.31e-01	E063 Adipose Nuclei	Adipose	EnhBiv	erc2-chromatin15state-all-files/E063_12_EnhBiv.bed	cg00937982,cg01065977,cg03486986,cg04385144,cg17888390,cg26052728	E063	1.00e+00
-0.557	7.50e-01	E063 Adipose Nuclei	Adipose	ReprPC	erc2-chromatin15state-all-files/E063_13_ReprPC.bed	cg01874867,cg02202923,cg03810616,cg04806653,cg05649108,cg06618935,cg07524214,cg09398816,cg12319143,cg14011486,cg17932096,cg23615741,cg24608381,cg25046953	E063	1.00e+00
-0.613	7.60e-01	E063 Adipose Nuclei	Adipose	ReprPCWk	erc2-chromatin15state-all-files/E063_14_ReprPCWk.bed	cg00699601,cg00873648,cg00898880,cg01043153,cg01214573,cg02352685,cg02486009,cg03997626,cg04072301,cg05972642,cg06850787,cg07199764,cg08967584,cg10187902,cg10829391,cg11594731,cg13935009,cg14614789,cg14752068,cg15458017,cg15618495,cg17082037,cg17537073,cg17886420,cg19214707,cg19815010,cg20053110,cg22509179,cg23870316,cg24157836,cg25181043,cg26370237,cg27187704,cg27597505	E063	1.00e+00
0.106	4.88e-01	E063 Adipose Nuclei	Adipose	Quies	erc2-chromatin15state-all-files/E063_15_Quies.bed	cg00191853,cg00308130,cg02157155,cg02229781,cg02773192,cg02779288,cg03461641,cg03725686,cg03783060,cg04131969,cg04299067,cg04399443,cg04881961,cg05141217,cg05307214,cg05473258,cg05579559,cg05662444,cg05916264,cg06539921,cg06603680,cg06821841,cg07006249,cg07014308,cg07532242,cg07679219,cg07773740,cg08642068,cg08763617,cg08818829,cg09080788,cg09144455,cg09549987,cg09787690,cg11102724,cg11141652,cg11524184,cg12186997,cg12869254,cg13022687,cg13236475,cg13388618,cg13595143,cg13808032,cg14457074,cg14556701,cg15443223,cg15648058,cg15919605,cg17220055,cg17349054,cg17862288,cg18405330,cg20004147,cg20707527,cg21106508,cg21260332,cg22444562,cg23896850,cg23957735,cg24519533,cg24675775,cg25079981,cg25532776,cg26725559,cg27010141	E063	1.00e+00
-1.332	8.99e-01	E080 Fetal Adrenal Gland	Adrenal	TssA	erc2-chromatin15state-all-files/E080_1_TssA.bed	cg01516881,cg01864468,cg02746014,cg02750262,cg03395511,cg05919696,cg05926928,cg07482220,cg08422420,cg09039782,cg09092052,cg09314196,cg10576280,cg12258998,cg12717203,cg12794224,cg13498216,cg15022609,cg15469871,cg16681597,cg18268631,cg19815010,cg20596706,cg22905511,cg26114124,cg27205904,cg27312944	E080	1.00e+00
