Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
-3.156	1.00e+00	HTR8svn	Blastula	DHS	wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	cg00006459,cg00123090,cg00359030,cg00582671,cg00764582,cg00766820,cg00851361,cg00978517,cg01978458,cg02133716,cg02228403,cg02233915,cg02324015,cg02503303,cg02645272,cg02951831,cg03092343,cg03392077,cg03501393,cg04170495,cg04308301,cg04399631,cg04484304,cg04497992,cg04564998,cg04765589,cg04806741,cg04933530,cg04997452,cg05159759,cg05480350,cg05642098,cg05981968,cg05999592,cg06223015,cg06391412,cg06651549,cg07066120,cg07428892,cg07718085,cg07778428,cg07879720,cg07906050,cg07944332,cg08256839,cg08334830,cg08538069,cg08589455,cg08776942,cg08886771,cg08922698,cg09040200,cg09335712,cg09486450,cg10054763,cg10704177,cg10815420,cg10933988,cg11495942,cg11522179,cg11939550,cg12060026,cg12192145,cg12258670,cg12548730,cg12605076,cg12667152,cg13064897,cg13174688,cg13726456,cg13792581,cg14179258,cg14362073,cg14697045,cg14849880,cg14931486,cg15075897,cg15402265,cg15482717,cg15929700,cg16107105,cg16122287,cg16270995,cg16362140,cg16438366,cg16660617,cg16950658,cg17040893,cg17374802,cg17982734,cg18099556,cg18190876,cg18456722,cg19260922,cg19434937,cg20493175,cg20813763,cg20893283,cg21723861,cg22069559,cg22146772,cg22503106,cg23054654,cg23196129,cg23475294,cg23498922,cg23825347,cg23856600,cg23871276,cg23911543,cg23990557,cg24062598,cg24323626,cg24447018,cg24517604,cg24541864,cg24600621,cg25368824,cg25475273,cg25877465,cg26102082,cg26197665,cg26382374,cg26461944,cg26584983,cg27341747,cg27481141	GSM816644	1.00e+00
-4.634	1.00e+00	Adult_CD4+	Blood	DHS	Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig	cg00114012,cg00381516,cg00414077,cg00460843,cg00638845,cg00851361,cg00924612,cg01051200,cg01304182,cg01330991,cg01437709,cg01439230,cg01614759,cg01908419,cg01978458,cg02046836,cg02332678,cg02447557,cg02543556,cg02645272,cg02765363,cg02930951,cg03092343,cg03492094,cg03519593,cg03653158,cg03695871,cg03722757,cg04148640,cg04290133,cg04308301,cg04404773,cg04587103,cg04933530,cg05045380,cg05076510,cg05159759,cg05300717,cg05447875,cg05541460,cg06290138,cg06449385,cg06608224,cg06958964,cg07056602,cg07428892,cg07447194,cg07453055,cg07908654,cg08439122,cg08589455,cg08922698,cg09012511,cg09194810,cg09247945,cg09532994,cg09863265,cg10054763,cg11112605,cg11238327,cg11266582,cg11495942,cg11558387,cg11668148,cg11939550,cg11988722,cg12383160,cg12492850,cg12614529,cg13054523,cg13073332,cg13123771,cg13353793,cg13459606,cg13531735,cg13726456,cg13732043,cg13850063,cg14025883,cg14362073,cg14496081,cg15202169,cg15244874,cg15352551,cg15579574,cg15642638,cg15767361,cg15929700,cg16064932,cg16107105,cg16122287,cg16438366,cg16680864,cg17022365,cg17062760,cg17374802,cg17521120,cg17558817,cg17651926,cg17718238,cg17879351,cg17982734,cg18161208,cg18176312,cg18254848,cg18278420,cg19069027,cg19296400,cg19456763,cg19686029,cg19696679,cg19791262,cg19791780,cg19993461,cg19998289,cg20259557,cg20493175,cg20654602,cg20673965,cg20758387,cg20774312,cg20818756,cg20840540,cg20992317,cg21664942,cg21723861,cg21932513,cg22146772,cg22972893,cg23079735,cg23147443,cg23149707,cg23196129,cg23205629,cg23464586,cg23475294,cg23498922,cg23584308,cg23825347,cg23871276,cg24028828,cg24317972,cg24323626,cg24343524,cg24447018,cg24541864,cg24712122,cg24823679,cg24872571,cg25003924,cg25738218,cg25926955,cg26102082,cg26219449,cg26461944,cg26774971,cg26964704,cg27481141	Lookup	1.00e+00
-2.237	9.93e-01	CD14+	Blood	DHS	CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig	cg00114012,cg00286717,cg00336912,cg00359030,cg00381391,cg00634542,cg00638845,cg00714531,cg00758214,cg01330991,cg01976243,cg01978458,cg01979270,cg01998785,cg02170785,cg02212711,cg02402423,cg02420943,cg02436083,cg02930951,cg03092343,cg03210018,cg03492094,cg03651219,cg03695871,cg03722757,cg03757043,cg03812149,cg04100865,cg04385523,cg04459751,cg04765589,cg04933530,cg04997452,cg05056419,cg05194248,cg05300717,cg05316492,cg05447875,cg06592918,cg06608224,cg06794913,cg07056602,cg07453055,cg07718085,cg07730263,cg07879720,cg08061334,cg08481694,cg08778580,cg08884974,cg09194810,cg09247945,cg09339568,cg09532994,cg09778927,cg09863265,cg10194884,cg10433549,cg11215870,cg11238327,cg11939550,cg12075669,cg12402318,cg12667152,cg13054523,cg13197551,cg13205244,cg13726456,cg13732043,cg14012059,cg14025883,cg14131691,cg14140403,cg14190451,cg14209284,cg14362073,cg14415107,cg15123849,cg15929700,cg16064932,cg16270995,cg16330225,cg16438366,cg16660617,cg16714237,cg16950658,cg17040893,cg17338225,cg17354333,cg17374802,cg17384357,cg17519037,cg17718238,cg18455616,cg18783781,cg18830042,cg18991231,cg19198938,cg19582046,cg19787060,cg19791780,cg19998289,cg20259557,cg20493175,cg20560376,cg20818756,cg21067343,cg21142557,cg21237481,cg21640749,cg22027879,cg22069559,cg22418084,cg22503106,cg22883080,cg22994495,cg23149707,cg23871276,cg23911543,cg23990557,cg24014587,cg24254196,cg24380653,cg24447018,cg24541864,cg25003924,cg25466522,cg25475273,cg25852061,cg25877465,cg25960268,cg26461944,cg26529864,cg26774971,cg26817086,cg27094581,cg27131881,cg27143027,cg27481141	Lookup	1.00e+00
-4.870	1.00e+00	CD20+	Blood	DHS	CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig	cg00114012,cg00381516,cg00460843,cg00582671,cg00714531,cg00823480,cg01437709,cg01627992,cg01978458,cg01998785,cg02290349,cg02543556,cg02930951,cg03092343,cg03666966,cg03695871,cg03722757,cg03812149,cg04100865,cg04385523,cg04404773,cg04587103,cg04806741,cg04933530,cg05042038,cg05056419,cg05194248,cg05724080,cg05879394,cg06391412,cg06592918,cg06608224,cg06863152,cg07056602,cg07177867,cg07589211,cg08061334,cg08439122,cg08584457,cg08679013,cg08922698,cg09247945,cg09249800,cg09458420,cg10142874,cg10704177,cg11215870,cg11238327,cg11495942,cg11558387,cg11606229,cg11939550,cg11988722,cg12003079,cg12383160,cg13135255,cg13205244,cg13279458,cg13531735,cg13576859,cg13726456,cg13732043,cg14025883,cg14190451,cg15737719,cg15929700,cg15988632,cg15998596,cg16064932,cg16122287,cg16160637,cg16263722,cg16330225,cg16438366,cg16714237,cg17062760,cg17116500,cg17338225,cg17354333,cg17519037,cg17532497,cg17784922,cg17982734,cg18367488,cg18715410,cg18783781,cg19375767,cg20182202,cg21142557,cg21234134,cg21640749,cg21932513,cg22027879,cg22503106,cg23087931,cg23205629,cg23414568,cg23475294,cg23871276,cg23875532,cg24028828,cg24323626,cg24380653,cg24836822,cg25003924,cg25221180,cg25224369,cg25466522,cg25475273,cg26058544,cg26103369,cg26461944,cg26472183,cg26529864,cg26569937,cg26774971,cg27131881,cg27481141	Lookup	1.00e+00
1.868	2.87e-02	CD34+	Blood	DHS	CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig	cg00114012,cg00321711,cg00381391,cg00427854,cg00638845,cg00714531,cg00746666,cg00764582,cg00823480,cg00851361,cg00924612,cg00978517,cg01137366,cg01200145,cg01310029,cg01330991,cg01450133,cg01499988,cg01614759,cg01908419,cg01942646,cg01978458,cg01998785,cg02068052,cg02212711,cg02243624,cg02290349,cg02402423,cg02543556,cg02589986,cg02930951,cg02979987,cg03092343,cg03131767,cg03189469,cg03329755,cg03492094,cg03653158,cg03666966,cg03695871,cg03722757,cg03784596,cg03983220,cg04100865,cg04377912,cg04385523,cg04497992,cg04933530,cg04983687,cg04997452,cg05056419,cg05194248,cg05358754,cg05480350,cg05541460,cg05555563,cg05613273,cg05853552,cg06144471,cg06315149,cg06437892,cg06592575,cg06608224,cg06863152,cg06984345,cg07056602,cg07177867,cg07361747,cg07465458,cg07579327,cg07718085,cg07908654,cg08058756,cg08061334,cg08256839,cg08348441,cg08439122,cg08481694,cg08584457,cg08652605,cg08679013,cg08776942,cg08778580,cg08886771,cg08900098,cg08969102,cg09040200,cg09080248,cg09194810,cg09339568,cg09377531,cg09458420,cg09532994,cg10011040,cg10054763,cg10491532,cg10521603,cg10704177,cg11205545,cg11215870,cg11230866,cg11238327,cg11296110,cg11522179,cg11606229,cg11791710,cg11929042,cg12003079,cg12077754,cg12119581,cg12227660,cg12383160,cg12402318,cg12561552,cg12667152,cg13054523,cg13205244,cg13279458,cg13298043,cg13459606,cg13576217,cg13672080,cg13726456,cg13732043,cg14012059,cg14025883,cg14131691,cg14140268,cg14140403,cg14184646,cg14190451,cg14209284,cg14378743,cg14697045,cg14783123,cg14849880,cg14999724,cg15053244,cg15123849,cg15767361,cg15998596,cg16107105,cg16122287,cg16160637,cg16191278,cg16270995,cg16349667,cg16438366,cg16508714,cg16660617,cg16714237,cg16950658,cg16953142,cg17022365,cg17040893,cg17078207,cg17245251,cg17256681,cg17338225,cg17374802,cg17718238,cg17784922,cg17936236,cg17946525,cg17982734,cg18099556,cg18182820,cg18455616,cg18655410,cg18715410,cg18783781,cg19069027,cg19260922,cg19375767,cg19376906,cg19396390,cg19456763,cg19582046,cg20178107,cg20385913,cg20387860,cg20493175,cg20560376,cg20649656,cg20654602,cg20831584,cg20885063,cg21067343,cg21092930,cg21640749,cg21723861,cg22059413,cg22069559,cg22080845,cg22146772,cg22252112,cg22668931,cg22797971,cg22972893,cg23076894,cg23149707,cg23205629,cg23464586,cg23475294,cg23871276,cg24028828,cg24039962,cg24062598,cg24108508,cg24343524,cg24447018,cg24517604,cg24541864,cg25003924,cg25087851,cg25348163,cg25466522,cg25479097,cg25738218,cg25926955,cg25960268,cg26058544,cg26102082,cg26235490,cg26337091,cg26365969,cg26389822,cg26461944,cg26985528,cg27046434,cg27143027,cg27308490,cg27341747,cg27481141,cg27508623	Lookup	1.00e+00
-5.352	1.00e+00	CLL	Blood	DHS	wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	cg00114012,cg00286717,cg00793181,cg01291780,cg01437709,cg01439230,cg01627992,cg01955639,cg01978458,cg02332678,cg02447557,cg02645272,cg02856510,cg02951831,cg03278639,cg03329755,cg03475216,cg03651219,cg03653158,cg03695871,cg03812149,cg04420917,cg04497992,cg05056419,cg05159759,cg05473599,cg05480350,cg05879394,cg06516790,cg07056602,cg07456972,cg07465458,cg08439122,cg08922698,cg09012511,cg09194810,cg09377531,cg09565310,cg09908050,cg10224250,cg10521603,cg10704177,cg11112605,cg11558387,cg11619782,cg11939550,cg12074090,cg12383160,cg12561552,cg12629001,cg12734151,cg13064897,cg13118684,cg13123771,cg13197551,cg13279458,cg13726456,cg13732043,cg13764085,cg14655553,cg15929700,cg16064932,cg16191278,cg16263722,cg16349667,cg16362140,cg16899419,cg17040893,cg17374802,cg17804141,cg17844602,cg17982734,cg19456763,cg19998289,cg20216313,cg20259557,cg20758387,cg20774312,cg22146772,cg23054654,cg23205629,cg23498922,cg23584308,cg23911543,cg24447018,cg24712122,cg25003924,cg26382374,cg26461944,cg26985528,cg27481141	GSM816664	1.00e+00
11.110	1.44e-25	CMK	Blood	DHS	CMK-DS12393.twopass.merge150.wgt10.zgt2.wig	cg00158128,cg00170714,cg00321711,cg00329570,cg00381391,cg00390694,cg00414077,cg00427854,cg00477633,cg00634542,cg00638845,cg00746666,cg00764582,cg00823480,cg00924612,cg00978517,cg01000631,cg01047262,cg01191788,cg01437709,cg01450133,cg01499988,cg01908419,cg01942646,cg01978458,cg02046836,cg02068052,cg02133716,cg02212711,cg02243624,cg02290349,cg02402423,cg02543556,cg02589986,cg02645272,cg02930951,cg02951831,cg02985445,cg03092343,cg03119191,cg03278639,cg03666966,cg03722757,cg03757043,cg03784596,cg03812149,cg03837359,cg03983220,cg04031158,cg04100865,cg04148640,cg04290133,cg04377912,cg04385523,cg04404773,cg04497992,cg04806741,cg04847043,cg04979283,cg04983687,cg04997452,cg05056419,cg05072637,cg05076510,cg05184016,cg05300717,cg05480350,cg05541460,cg05613273,cg06019933,cg06127160,cg06144471,cg06223015,cg06418837,cg06475513,cg06516790,cg06592575,cg06612119,cg06794913,cg06863152,cg07361747,cg07459967,cg07465458,cg07579327,cg07636225,cg07733260,cg07778428,cg07908654,cg08058756,cg08348441,cg08423755,cg08439122,cg08481694,cg08584457,cg08679013,cg08761605,cg08900098,cg08940169,cg09194810,cg09247945,cg09249800,cg09339568,cg09532994,cg09778927,cg10054763,cg10113951,cg10650214,cg11115840,cg11205545,cg11215870,cg11230866,cg11522179,cg11606229,cg11791710,cg11844053,cg12003079,cg12060026,cg12077754,cg12119581,cg12383160,cg12450789,cg12483927,cg12667152,cg12773397,cg13135255,cg13197551,cg13298043,cg13299425,cg13353793,cg13458609,cg13672080,cg13726456,cg13732043,cg13774539,cg13792581,cg13863638,cg13947225,cg14012059,cg14025883,cg14118054,cg14131691,cg14140403,cg14263230,cg14378743,cg14511746,cg14697045,cg14783123,cg14849880,cg14879885,cg14999724,cg15053244,cg15106081,cg15123849,cg15634144,cg15737719,cg15767361,cg15952483,cg16064932,cg16107105,cg16122287,cg16147002,cg16160637,cg16191278,cg16263722,cg16270995,cg16438366,cg16606719,cg16660617,cg16899419,cg16950658,cg16953142,cg17022365,cg17078207,cg17218818,cg17245251,cg17256681,cg17338225,cg17354333,cg17521120,cg17772438,cg17784922,cg17936236,cg17946525,cg17982734,cg18176312,cg18190876,cg18278420,cg18337287,cg18455616,cg18456722,cg18783781,cg18805734,cg19002713,cg19069027,cg19260922,cg19375767,cg19376906,cg19396390,cg19434937,cg19475270,cg19998289,cg20259557,cg20267283,cg20387860,cg20493175,cg20649656,cg20831584,cg20885063,cg21045547,cg21067343,cg21142557,cg21568193,cg21672758,cg21723861,cg22027879,cg22146772,cg22503106,cg22797971,cg22972893,cg23054654,cg23076894,cg23079735,cg23516680,cg23856600,cg23871276,cg24028828,cg24039962,cg24108508,cg24343524,cg24358891,cg24447018,cg24541864,cg24600621,cg24836822,cg24869851,cg25466522,cg25475273,cg25479097,cg25665831,cg25738218,cg25877465,cg25926955,cg25960268,cg26102082,cg26103369,cg26235490,cg26245101,cg26337091,cg26365969,cg26382374,cg26389822,cg26425190,cg26529864,cg26584983,cg26592446,cg26633168,cg26749306,cg26817086,cg26985528,cg27046434,cg27131881,cg27143027,cg27308490,cg27335233,cg27481141,cg27508623	GSM736607	4.86e-23
-5.895	1.00e+00	GM06990	Blood	DHS	GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig	cg00158128,cg00414077,cg00460843,cg00823480,cg00851361,cg01051200,cg01437709,cg01978458,cg02068052,cg02402423,cg02543556,cg02765363,cg03278639,cg03329755,cg03695871,cg03722757,cg03935956,cg04765589,cg05300717,cg05879394,cg06223015,cg06608224,cg07056602,cg08439122,cg09339568,cg09684929,cg10590350,cg10815420,cg11939550,cg12077460,cg12383160,cg12734151,cg13205244,cg13726456,cg13732043,cg13806461,cg14012059,cg14362073,cg14415107,cg14654849,cg15998596,cg16064932,cg16160637,cg16191278,cg16270995,cg16829505,cg17062760,cg17532497,cg17542165,cg18783781,cg19375767,cg19696679,cg20182202,cg20758387,cg21045547,cg22027879,cg22503106,cg22668931,cg23825347,cg24323626,cg25475273,cg25960268,cg26461944,cg26472183,cg26569937,cg26584983,cg27094581,cg27481141	"GSM736558,GSM736635"	1.00e+00
-6.101	1.00e+00	GM12864	Blood	DHS	GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig	cg00381516,cg00414077,cg00460843,cg00766820,cg01200145,cg01627992,cg02124524,cg02402423,cg02420943,cg02543556,cg02765363,cg03092343,cg03131767,cg03329755,cg03666966,cg03695871,cg04148640,cg04170495,cg04259566,cg05879394,cg06223015,cg06394964,cg06608224,cg06839111,cg07056602,cg08014024,cg08288503,cg08302053,cg09080248,cg09458420,cg09980470,cg10650214,cg11238327,cg11422446,cg11495812,cg11558387,cg11939550,cg12003079,cg12213680,cg12614529,cg13118684,cg13205244,cg13726456,cg13732043,cg14415107,cg14654849,cg14879823,cg14963970,cg15998596,cg16160637,cg16270995,cg16856131,cg17526357,cg17532497,cg17542165,cg17558817,cg17718238,cg17982734,cg19375767,cg19434937,cg19993461,cg19998289,cg20673965,cg20992317,cg22069559,cg23434083,cg23475294,cg23875532,cg24028828,cg24541864,cg24836822,cg24872571,cg25475273,cg25960268,cg26382374,cg26529864,cg26964704,cg27481141	GSM736525	1.00e+00
-6.388	1.00e+00	GM12865	Blood	DHS	GM12865-DS12436.twopass.merge150.wgt10.zgt2.wig	cg00381516,cg00414077,cg00460843,cg00527937,cg00714531,cg00851361,cg01437709,cg01978458,cg02402423,cg02436083,cg02503303,cg02543556,cg03092343,cg03318414,cg03329755,cg03369382,cg03666966,cg04385523,cg04931493,cg05056419,cg05786348,cg05879394,cg06608224,cg06612119,cg07056602,cg07465458,cg08094347,cg08288503,cg08334830,cg08969102,cg09339568,cg09486450,cg10590350,cg10650214,cg11296110,cg11422446,cg11495812,cg11939550,cg12077460,cg12402318,cg12614529,cg13205244,cg13279458,cg13726456,cg13732043,cg14209284,cg14321269,cg14354244,cg14511746,cg14654849,cg14697045,cg14947564,cg16160637,cg16191278,cg16270995,cg16438366,cg16660617,cg17338225,cg17526357,cg17532497,cg17718238,cg17879351,cg18805734,cg19069027,cg19375767,cg19696679,cg22027879,cg23434083,cg23516680,cg23875532,cg24028828,cg24062598,cg25368824,cg25475273,cg25960268,cg26235490,cg26529864,cg26703587,cg26964704,cg26985528,cg27046434,cg27094581,cg27143027,cg27481141	"GSM736512,GSM736561"	1.00e+00
