Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
-4.819	1.00e+00	Acute_myeloid_leukemia	Bone Marrow	DHS	S005FH41.DNase.hotspot_v3.20130819.bed.gz	cg00035398,cg00232387,cg00292513,cg00599530,cg00628697,cg01807241,cg03137131,cg03292213,cg03591606,cg05719902,cg06100807,cg06102954,cg06313676,cg06424894,cg06671706,cg06955417,cg07655627,cg07838106,cg07889505,cg09636214,cg09652312,cg10317314,cg10965131,cg11225357,cg12467933,cg13170051,cg13578160,cg14003931,cg14530444,cg14977608,cg15231205,cg15236528,cg15864601,cg15977137,cg16842187,cg18912209,cg20954971,cg22194188,cg25924274	NA	1.00e+00
-5.971	1.00e+00	DG-75_Sporadic_Burkitt_lymphoma	Cell Line	DHS	BP_DG-75_d01.DNase.hotspot_v3.20130819.bed.gz	cg00599530,cg00628697,cg03292213,cg06424894,cg10317314,cg15236528,cg15977137,cg20954971,cg21891967	NA	1.00e+00
-5.688	1.00e+00	KARPAS-422_Germinal_Center_B-Cell-Like_Diffuse_Large_B-Cell_Lymphoma	Cell Line	DHS	bp_KARPAS-422_d01.DNase.hotspot_v3.20131126.bed.gz	cg00333255,cg00628697,cg01807241,cg06102954,cg13578160,cg15864601,cg15977137	NA	1.00e+00
-6.225	1.00e+00	SU-DHL-5_Germinal_Center_B-Cell-Like_Diffuse_Large_B-Cell_Lymphoma	Cell Line	DHS	bp_SU-DHL-5_d01.DNase.hotspot_v3.20131126.bed.gz	cg00333255,cg00628697,cg02407415,cg06313676,cg06549530,cg15864601,cg15977137,cg20954971,cg22194188	NA	1.00e+00
-5.457	1.00e+00	U-266_Multiple_myeloma	Cell Line	DHS	BP_U-266_d01.DNase.hotspot_v3.20130819.bed.gz	cg00035398,cg00219169,cg00333255,cg00413089,cg00599530,cg00628697,cg02170386,cg03292213,cg06102954,cg06424894,cg06549530,cg07430760,cg07889505,cg07903023,cg10317314,cg12390516,cg13557773,cg15231205,cg15236528,cg15489799,cg15864601,cg15977137,cg18956825,cg25924274,cg27132152	NA	1.00e+00
-5.334	1.00e+00	Z-138_Mantle_cell_lymphoma	Cell Line	DHS	BP_Z-138_d01.DNase.hotspot_v3.20130819.bed.gz	cg00219169,cg00333255,cg00413089,cg00599530,cg02170386,cg02407415,cg03292213,cg04388244,cg06102954,cg06313676,cg06424894,cg06549530,cg07430760,cg07635017,cg07903023,cg10317314,cg13170051,cg15236528,cg15864601,cg15977137,cg20954971,cg20994022,cg22194188,cg25924274,cg27636330	NA	1.00e+00
-4.908	1.00e+00	CD14_positive_CD16_negative_classical_monocyte	Cord Blood	DHS	C005PS4E.DNase.hotspot_v3.20130819.bed.gz	cg00628697,cg00716277,cg01207473,cg01807241,cg02407415,cg03292213,cg03591606,cg06313676,cg06671706,cg07889505,cg09666230,cg15236528,cg15864601,cg15977137	NA	1.00e+00
-4.779	1.00e+00	CD34-negative_CD41-positive_CD42-positive_megakaryocyte_cell	Cord Blood	DHS	C006NS47.DNase.hotspot_v3.20130819.bed.gz	cg00035398,cg00333255,cg00628697,cg01807241,cg03137131,cg03292213,cg03591606,cg13578160,cg15231205,cg15864601,cg15977137,cg20954971,cg21864304	NA	1.00e+00
-5.774	1.00e+00	CD14-positive_CD16-negative_classical_monocyte	Venous Blood	DHS	C001UY46.DNase.hotspot_v3.20130415.bed.gz	cg00333255,cg00599530,cg01207473,cg01807241,cg02407415,cg03137131,cg03591606,cg06100807,cg06102954,cg06424894,cg06549530,cg07838106,cg07889505,cg11225357,cg13578160,cg15231205,cg15864601,cg15977137,cg16766914,cg20954971,cg22194188	NA	1.00e+00
-5.277	1.00e+00	CD14-positive_CD16-negative_classical_monocyte	Venous Blood	DHS	C0010K46.DNase.hotspot_v3.20130415.bed.gz	cg00628697,cg01807241,cg02407415,cg03292213,cg03591606,cg06549530,cg06671706,cg07430760,cg07838106,cg07889505,cg09666230,cg11225357,cg13578160,cg14003931,cg15231205,cg15236528,cg15864601,cg15977137,cg18605031,cg20954971,cg25924274	NA	1.00e+00
