Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
4.010	5.54e-04	E029 Primary monocytes from peripheral blood	Blood	H3K4me1	E029-H3K4me1.broadPeak.gz	cg00574958,cg02711608,cg06690548,cg08035323,cg10601624,cg14476101,cg17061862,cg19693031,cg23999170	E029	4.94e-02
1.017	2.60e-01	E029 Primary monocytes from peripheral blood	Blood	H3K4me3	E029-H3K4me3.broadPeak.gz	cg00574958,cg02711608,cg19693031	E029	1.00e+00
-1.954	1.00e+00	E029 Primary monocytes from peripheral blood	Blood	H3K9me3	E029-H3K9me3.broadPeak.gz		E029	1.00e+00
-0.843	8.54e-01	E029 Primary monocytes from peripheral blood	Blood	H3K27me3	E029-H3K27me3.broadPeak.gz	cg14476101,cg18120259	E029	1.00e+00
0.279	4.98e-01	E029 Primary monocytes from peripheral blood	Blood	H3K36me3	E029-H3K36me3.broadPeak.gz	cg00533891,cg19693031,cg23999170	E029	1.00e+00
2.488	2.42e-02	E032 Primary B cells from peripheral blood	Blood	H3K4me1	E032-H3K4me1.broadPeak.gz	cg00574958,cg02711608,cg06690548,cg08035323,cg10601624,cg14476101,cg17061862,cg19693031	E032	6.28e-01
1.882	9.39e-02	E032 Primary B cells from peripheral blood	Blood	H3K4me3	E032-H3K4me3.broadPeak.gz	cg00574958,cg02711608,cg14476101,cg17061862,cg19693031	E032	1.00e+00
-1.971	1.00e+00	E032 Primary B cells from peripheral blood	Blood	H3K9me3	E032-H3K9me3.broadPeak.gz		E032	1.00e+00
1.172	2.17e-01	E032 Primary B cells from peripheral blood	Blood	H3K27me3	E032-H3K27me3.broadPeak.gz	cg06690548,cg08035323,cg10601624,cg14476101,cg18120259,cg23999170	E032	1.00e+00
-0.987	8.88e-01	E032 Primary B cells from peripheral blood	Blood	H3K36me3	E032-H3K36me3.broadPeak.gz	cg02711608,cg19693031	E032	1.00e+00
3.091	8.55e-03	E033 Primary T cells from cord blood	Blood	H3K4me1	E033-H3K4me1.broadPeak.gz	cg00574958,cg02711608,cg06690548,cg14476101,cg17061862,cg19693031,cg23999170	E033	3.36e-01
1.693	1.26e-01	E033 Primary T cells from cord blood	Blood	H3K4me3	E033-H3K4me3.broadPeak.gz	cg00574958,cg06690548,cg10601624,cg19693031,cg23999170	E033	1.00e+00
-2.865	1.00e+00	E033 Primary T cells from cord blood	Blood	H3K9me3	E033-H3K9me3.broadPeak.gz		E033	1.00e+00
