Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
0.597	5.53e-01	E063 Adipose Nuclei	Adipose	TssA	erc2-chromatin15state-all-files/E063_1_TssA.bed	cg00052932,cg00448895,cg00452199,cg00944502,cg01313622,cg01482313,cg01581037,cg01597480,cg02447462,cg02532700,cg03539765,cg03763873,cg03780701,cg03787837,cg04282206,cg05696877,cg06377543,cg06498468,cg06941159,cg06960562,cg06961122,cg06981309,cg07399417,cg08109568,cg08212685,cg08223534,cg08823359,cg08960815,cg08979515,cg09195098,cg09586646,cg09619347,cg10047753,cg10778971,cg10779718,cg11680055,cg11811621,cg11871910,cg11940495,cg12715979,cg13019553,cg13052034,cg13239483,cg13456106,cg13645300,cg13761724,cg14390143,cg14928764,cg15544633,cg15568074,cg16398628,cg16670573,cg17498841,cg17516160,cg18110333,cg18336825,cg18808777,cg20773800,cg20995835,cg21482265,cg22741595,cg22772235,cg23071186,cg23252815,cg23278060,cg23316161,cg23517279,cg23933602,cg24147838,cg24214260,cg24249248,cg25282410,cg25520068,cg25680145,cg25831233,cg25954441,cg26414841	E063	1.00e+00
8.736	2.30e-13	E063 Adipose Nuclei	Adipose	TssAFlnk	erc2-chromatin15state-all-files/E063_2_TssAFlnk.bed	cg00228984,cg00239353,cg00297950,cg00373499,cg00472277,cg00509616,cg00598235,cg00606841,cg00610021,cg00797651,cg00847857,cg00930707,cg00959259,cg00983520,cg01028142,cg01072786,cg01152025,cg01248878,cg01309328,cg01324343,cg01341801,cg01397325,cg01444578,cg01460202,cg01529207,cg01561092,cg02176678,cg02206980,cg02264943,cg02461011,cg02673002,cg02717117,cg02868254,cg02873098,cg03009030,cg03188948,cg03237218,cg03335624,cg03354707,cg03448915,cg03607951,cg03666441,cg03748243,cg03753191,cg03800939,cg03809021,cg03885664,cg04241075,cg04548483,cg04647790,cg04706597,cg04910228,cg04951822,cg05043794,cg05280698,cg05552874,cg05575058,cg05883128,cg06121808,cg06188083,cg06575572,cg06615940,cg06636551,cg06896770,cg06908474,cg06932256,cg06937882,cg07056138,cg07100532,cg07152925,cg07306190,cg07318398,cg07720865,cg07839457,cg07911663,cg08017634,cg08580836,cg08808571,cg08818207,cg08926253,cg09624923,cg09757109,cg09837977,cg09965939,cg09977703,cg10373607,cg10441789,cg10608948,cg10760299,cg10909506,cg10959651,cg11309454,cg11566244,cg11617938,cg11792786,cg12051762,cg12117660,cg12311346,cg12350822,cg12423493,cg12454169,cg12537337,cg12555086,cg12555334,cg12568669,cg12636435,cg12950816,cg13105904,cg13285319,cg13354988,cg13361023,cg13368983,cg13529314,cg13593090,cg13607226,cg13870990,cg13990351,cg13990947,cg14192029,cg14240646,cg14259717,cg14345882,cg14729962,cg14870271,cg14913610,cg15177604,cg15537850,cg15921436,cg16260126,cg16302655,cg16399664,cg16450200,cg16585132,cg17063962,cg17113008,cg17279458,cg17809365,cg18106582,cg18125510,cg18210365,cg18705301,cg18973101,cg18992848,cg19042435,cg19062174,cg19371652,cg19610905,cg19855227,cg19903196,cg20016023,cg20307496,cg20332503,cg20401567,cg20669049,cg20715218,cg21123417,cg21191810,cg21341645,cg21709803,cg21786191,cg21832243,cg21965980,cg22060735,cg22328208,cg22748452,cg23172480,cg23436779,cg23732024,cg23754390,cg23963071,cg23985995,cg24012925,cg24426391,cg24438145,cg24682551,cg24794857,cg24848973,cg25032094,cg25045942,cg25124966,cg25229172,cg25651505,cg25687894,cg25740925,cg25909396,cg26087117,cg26201213,cg26203879,cg26312951,cg26441372,cg26579653,cg26624097,cg26685557,cg26763362,cg27219399,cg27220934	E063	1.23e-10
0.909	2.87e-01	E063 Adipose Nuclei	Adipose	TxFlnk	erc2-chromatin15state-all-files/E063_3_TxFlnk.bed	cg01521131,cg07484727,cg15647617,cg22731440	E063	1.00e+00
-3.212	1.00e+00	E063 Adipose Nuclei	Adipose	Tx	erc2-chromatin15state-all-files/E063_4_Tx.bed	cg00006626,cg01061553,cg01577529,cg02042467,cg02082929,cg02212339,cg04033559,cg04062040,cg04548204,cg04592579,cg06961873,cg08479294,cg08912652,cg08926642,cg09070378,cg09371744,cg09535768,cg09800633,cg10003961,cg10196532,cg10401017,cg10625090,cg10795676,cg11008123,cg11030744,cg12594615,cg12986110,cg13275603,cg13661648,cg16533245,cg18702104,cg18872420,cg19539986,cg20218571,cg22687873,cg22732055,cg22956635,cg24254196,cg24407607,cg25365379,cg26427534,cg27042294,cg27640302	E063	1.00e+00
1.126	3.44e-01	E063 Adipose Nuclei	Adipose	TxWk	erc2-chromatin15state-all-files/E063_5_TxWk.bed	cg00750430,cg00863378,cg00934037,cg00994649,cg01646784,cg02108620,cg02333667,cg02712322,cg02722657,cg02774632,cg02779913,cg03040423,cg03887787,cg03968911,cg04119909,cg04244493,cg04506342,cg05060607,cg05129572,cg05795077,cg06112894,cg06146977,cg06484123,cg06605163,cg07253591,cg07356745,cg07467716,cg07569194,cg07570687,cg07680047,cg07980830,cg08033130,cg08175413,cg08393937,cg08949192,cg09104029,cg09516651,cg09816821,cg09913449,cg10182287,cg10692528,cg10750306,cg11466708,cg11467506,cg11924638,cg11947712,cg11956442,cg12011479,cg12379764,cg13184225,cg13469425,cg13953978,cg13989295,cg14228460,cg14780446,cg14930335,cg15557168,cg15947283,cg16101574,cg16303562,cg16553272,cg16699528,cg16739679,cg17107501,cg17479956,cg17700453,cg17765387,cg17984638,cg17991206,cg18618674,cg18685455,cg18757828,cg18815120,cg18945744,cg19564512,cg19574915,cg19797896,cg21942184,cg22513455,cg22654677,cg22687766,cg23024343,cg23174406,cg23533927,cg23815491,cg24579218,cg24672401,cg24686153,cg25420101,cg26097711,cg26864826,cg26908356,cg27048067,cg27107292,cg27574817	E063	1.00e+00
1.197	2.20e-01	E063 Adipose Nuclei	Adipose	EnhG	erc2-chromatin15state-all-files/E063_6_EnhG.bed	cg00532122,cg00812611,cg03419948,cg03611265,cg07876788,cg09539908,cg11268190,cg12655416,cg12694142,cg13630239,cg14429526,cg15732149,cg16733676,cg21427119,cg22517527,cg23691781,cg24112733	E063	1.00e+00
3.378	5.96e-03	E063 Adipose Nuclei	Adipose	Enh	erc2-chromatin15state-all-files/E063_7_Enh.bed	cg00572387,cg00829063,cg00923880,cg01264639,cg01400685,cg01797450,cg01932247,cg02253142,cg02295216,cg02355809,cg02493740,cg02609775,cg02826890,cg02945192,cg02988312,cg03368358,cg03979788,cg04146137,cg04206284,cg05082466,cg05104897,cg05914442,cg06500161,cg06540747,cg07151747,cg07542871,cg07698196,cg07813265,cg08008286,cg09080087,cg09133511,cg09387528,cg09468832,cg09597767,cg10407847,cg10738648,cg11250194,cg11261958,cg11278727,cg11358199,cg11469594,cg11589536,cg11784243,cg11805027,cg11938080,cg12147198,cg12894711,cg13133304,cg13286116,cg13318543,cg13435137,cg13500029,cg13523713,cg13939204,cg15309910,cg15368872,cg15591803,cg16625770,cg16805553,cg17508302,cg17913306,cg18493677,cg18960324,cg18995788,cg19204859,cg19384241,cg19805943,cg20406979,cg20519373,cg21507807,cg21596498,cg21645268,cg22337626,cg22708112,cg22809683,cg23375169,cg23486701,cg23752985,cg23907051,cg24169315,cg24188163,cg24310667,cg24469729,cg24875593,cg25592907,cg26014723,cg26105649,cg26944245,cg27226927	E063	4.05e-01
-0.428	7.58e-01	E063 Adipose Nuclei	Adipose	ZNF-Rpts	erc2-chromatin15state-all-files/E063_8_ZNF-Rpts.bed	cg21315874,cg22472290,cg24413068	E063	1.00e+00
1.113	2.19e-01	E063 Adipose Nuclei	Adipose	Het	erc2-chromatin15state-all-files/E063_9_Het.bed	cg00147627,cg00569896,cg00666641,cg04329870,cg04663556,cg05304729,cg09506600,cg13661350,cg20047055,cg25198316	E063	1.00e+00
-0.850	8.83e-01	E063 Adipose Nuclei	Adipose	TssBiv	erc2-chromatin15state-all-files/E063_10_TssBiv.bed	cg06951627,cg11375102,cg17066531	E063	1.00e+00
-1.044	9.26e-01	E063 Adipose Nuclei	Adipose	BivFlnk	erc2-chromatin15state-all-files/E063_11_BivFlnk.bed	cg01811187,cg02922035,cg03320827,cg05493094,cg05668853,cg06027949,cg07549924,cg09757087,cg16022279,cg16400320,cg17163760,cg17210938,cg21549285,cg23161492,cg27413430	E063	1.00e+00
-2.319	9.99e-01	E063 Adipose Nuclei	Adipose	EnhBiv	erc2-chromatin15state-all-files/E063_12_EnhBiv.bed	cg03051742,cg04738552,cg13011109,cg18879300,cg19388776,cg24343310	E063	1.00e+00
-3.996	1.00e+00	E063 Adipose Nuclei	Adipose	ReprPC	erc2-chromatin15state-all-files/E063_13_ReprPC.bed	cg00219921,cg00271210,cg00290607,cg01356752,cg02513556,cg02846316,cg03120147,cg03349819,cg07774765,cg13925686,cg22332722,cg22866937,cg24320673,cg25939861,cg26151999,cg27258561,cg27396824	E063	1.00e+00
-0.764	9.35e-01	E063 Adipose Nuclei	Adipose	ReprPCWk	erc2-chromatin15state-all-files/E063_14_ReprPCWk.bed	cg00299286,cg00490406,cg00955451,cg01018117,cg01500140,cg01833122,cg02220481,cg02469604,cg03062549,cg03179496,cg03575939,cg03625911,cg03669949,cg03697076,cg03849834,cg03938978,cg03998606,cg04451353,cg04904561,cg04925085,cg04970064,cg05481879,cg05714773,cg05740763,cg06293782,cg06499030,cg06746829,cg06767339,cg07307142,cg07319459,cg07564979,cg07874755,cg08400316,cg08479752,cg08614201,cg09729624,cg09749225,cg10067737,cg10611947,cg10775576,cg11893552,cg12061649,cg12087615,cg12824060,cg12929486,cg13183651,cg13762704,cg13765621,cg13962846,cg14378564,cg14724265,cg14957731,cg15244290,cg15665376,cg16490209,cg17134153,cg17465336,cg18440523,cg19002828,cg19689876,cg19760823,cg20370184,cg20727124,cg21821643,cg22001483,cg23234602,cg23492779,cg23532828,cg23665230,cg23704085,cg24476939,cg24687055,cg24929556,cg25083732,cg25096107,cg25125450,cg26435281,cg26850624,cg26955290,cg27288829,cg27362989,ch.7.102590751F	E063	1.00e+00
