Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
0.239	4.42e-01	HTR8svn	Blastula	DHS	wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	cg00057231,cg00091633,cg00213123,cg00675133,cg00755980,cg00994804,cg01101380,cg01876548,cg02019125,cg02343823,cg02463253,cg02564134,cg02763617,cg02938205,cg03338220,cg03362840,cg03449398,cg03662049,cg03906115,cg04177244,cg04358214,cg04561804,cg04979435,cg05065239,cg05065879,cg05575921,cg05697249,cg05755354,cg05927068,cg06391982,cg06472166,cg06511312,cg06813382,cg06981386,cg07250758,cg07720188,cg07964538,cg08026735,cg08067721,cg08311343,cg08464824,cg08764927,cg09648727,cg09760963,cg09837361,cg10068437,cg10078511,cg10187927,cg10234985,cg10387769,cg10765212,cg10830889,cg11025974,cg11303738,cg11902777,cg12125332,cg12630461,cg12680719,cg13496596,cg13626863,cg13838969,cg13989852,cg14086013,cg14157435,cg14179389,cg14485097,cg15271616,cg15325070,cg15439725,cg16071219,cg17140307,cg17403609,cg17745339,cg18592365,cg18680834,cg20059928,cg20441135,cg20708516,cg22488352,cg22703520,cg23450038,cg23790219,cg24435571,cg24449302,cg24500683,cg24626003,cg24657523,cg24915511,cg26262573,cg26889659	GSM816644	1.00e+00
-0.158	5.94e-01	Adult_CD4+	Blood	DHS	Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig	cg00057231,cg00123478,cg00213123,cg00253658,cg00320288,cg00536792,cg00675133,cg00994804,cg01001533,cg01101380,cg01571001,cg01856645,cg02019125,cg02196294,cg02463253,cg02491878,cg02532700,cg02611770,cg02763617,cg02938205,cg03125400,cg03278643,cg03287658,cg03338220,cg03662049,cg04177244,cg04180046,cg04358214,cg04396550,cg04561804,cg04905201,cg04979435,cg05005077,cg05065879,cg05575921,cg05697249,cg05927068,cg06179765,cg06391982,cg06411551,cg06511312,cg06686742,cg06813382,cg06981386,cg07250758,cg07964538,cg08026735,cg08067721,cg08265933,cg08463485,cg08464824,cg09457469,cg09721659,cg09760963,cg09837361,cg09860781,cg10234985,cg10312186,cg10329418,cg10387769,cg10704395,cg10830889,cg11642681,cg11731596,cg11758793,cg11898431,cg11902777,cg12125332,cg12630461,cg13496596,cg13626863,cg13838969,cg14086013,cg14157435,cg14179389,cg14207589,cg14382976,cg14485097,cg14565151,cg15016771,cg15091747,cg15271616,cg15439725,cg15809578,cg16071219,cg16548362,cg17140307,cg17165695,cg17403609,cg17858880,cg18592365,cg20065768,cg20441135,cg20708516,cg20714328,cg20785560,cg21120678,cg21144928,cg21209395,cg21574675,cg21700511,cg24435571,cg24449302,cg24500683,cg24612707,cg24626003,cg24657523,cg24915511,cg25257677,cg25311764,cg25602536,cg25949550,cg26262573,cg26416971,cg26876647,cg26889659,cg27454064	Lookup	1.00e+00
-1.656	9.51e-01	CD14+	Blood	DHS	CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig	cg00057231,cg00213123,cg00320288,cg00675133,cg00994804,cg01101380,cg02019125,cg02196294,cg02343823,cg02532700,cg02763617,cg02938205,cg03125400,cg03338220,cg03662049,cg04180046,cg04561804,cg04905201,cg04979435,cg05697249,cg05927068,cg06179765,cg06391982,cg06981386,cg07964538,cg08463485,cg08464824,cg08511651,cg08764927,cg09648727,cg09837361,cg10068437,cg10078511,cg10136560,cg10234985,cg10312186,cg10387769,cg10599571,cg10830889,cg11025974,cg11029191,cg11637005,cg11642681,cg11731596,cg11902777,cg12125332,cg12630461,cg13431464,cg13838969,cg14157435,cg14485097,cg15091747,cg15271616,cg15726169,cg15809578,cg16071219,cg16548362,cg17140307,cg20059928,cg20065768,cg20708516,cg21209395,cg21574675,cg22488352,cg23277376,cg23790219,cg24435571,cg24449302,cg24500683,cg24612707,cg24626003,cg24915511,cg25311764,cg25602536,cg25881170,cg26783428,cg26876647	Lookup	1.00e+00
-1.171	8.82e-01	CD20+	Blood	DHS	CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig	cg00091633,cg00123478,cg00213123,cg00320288,cg00479240,cg00675133,cg00994804,cg01101380,cg02019125,cg02185666,cg02196294,cg02343823,cg02532700,cg02611770,cg02763617,cg03287658,cg03338220,cg03662049,cg04358214,cg04561804,cg04907595,cg04979435,cg05927068,cg06391982,cg06686742,cg06981386,cg07211044,cg07250758,cg07720188,cg07964538,cg08026735,cg08067721,cg08265933,cg08463485,cg08464824,cg08511651,cg08764927,cg09457469,cg09721659,cg09760963,cg09837361,cg09860781,cg10136560,cg10234985,cg10312186,cg10387769,cg10599571,cg10704395,cg10830889,cg11637005,cg11642681,cg11898431,cg11902777,cg12630461,cg13431464,cg13838969,cg14157435,cg14179389,cg14207589,cg15091747,cg15271616,cg15726169,cg15809578,cg16548362,cg17140307,cg17165695,cg17403609,cg18449062,cg20059928,cg20065768,cg20441135,cg20708516,cg21120678,cg21209395,cg21574675,cg22488352,cg22703520,cg23790219,cg24435571,cg24449302,cg24500683,cg24626003,cg24657523,cg24915511,cg25257677,cg25311764,cg25602536,cg25881170,cg25955817,cg26783428,cg26876647,cg27383418	Lookup	1.00e+00
3.016	3.65e-03	CD34+	Blood	DHS	CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig	cg00057231,cg00091633,cg00123478,cg00213123,cg00320288,cg00479240,cg00675133,cg00994804,cg01001533,cg01101380,cg01571001,cg01856645,cg02019125,cg02185666,cg02196294,cg02343823,cg02463253,cg02491878,cg02532700,cg02564134,cg02763617,cg02938205,cg03125400,cg03274456,cg03287658,cg03338220,cg03449398,cg03662049,cg04177244,cg04180046,cg04358214,cg04396550,cg04561804,cg04907595,cg04979435,cg05065239,cg05065879,cg05575921,cg05927068,cg06194982,cg06391982,cg06411551,cg06686742,cg06732241,cg06813382,cg06981386,cg07211044,cg07250758,cg07350977,cg07720188,cg07964538,cg08026735,cg08067721,cg08265933,cg08311343,cg08463485,cg08464824,cg08511651,cg08764927,cg09368188,cg09457469,cg09648727,cg09837361,cg09860781,cg10068437,cg10136560,cg10234985,cg10312186,cg10387769,cg10599571,cg10704395,cg10830889,cg11025974,cg11029191,cg11303738,cg11591485,cg11642681,cg11758793,cg11898431,cg11902777,cg12125332,cg12630461,cg13431464,cg13496596,cg13626863,cg13838969,cg13989852,cg14157435,cg14179389,cg14213394,cg14485097,cg15016771,cg15091747,cg15271616,cg15325070,cg15439725,cg15726169,cg15809578,cg16071219,cg16548362,cg16832407,cg17140307,cg17165695,cg17403609,cg17599609,cg17745339,cg17858880,cg20059928,cg20065768,cg20708516,cg20785560,cg21120678,cg21144928,cg21209395,cg21574675,cg21700511,cg22488352,cg23277376,cg23790219,cg24435571,cg24449302,cg24500683,cg24626003,cg24657523,cg24915511,cg25257677,cg25311764,cg25602536,cg25881170,cg25955817,cg26416971,cg26783428,cg26876647,cg26889659,cg27383418,cg27454064	Lookup	1.76e-01
-1.729	9.60e-01	CLL	Blood	DHS	wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	cg00057231,cg00123478,cg00213123,cg00320288,cg00675133,cg00994804,cg01001533,cg01101380,cg01952185,cg02196294,cg02343823,cg02491878,cg02532700,cg02564134,cg02611770,cg02763617,cg03125400,cg03287658,cg03338220,cg03687532,cg04177244,cg04358214,cg04396550,cg04598670,cg05065879,cg05575921,cg05927068,cg06981386,cg07250758,cg07964538,cg08026735,cg08067721,cg08464824,cg09721659,cg09837361,cg09860781,cg10078511,cg10234985,cg10312186,cg10387769,cg10830889,cg11591485,cg11642681,cg11898431,cg11902777,cg12630461,cg13431464,cg13496596,cg13838969,cg14179389,cg15091747,cg15439725,cg15809578,cg17140307,cg17165695,cg17403609,cg17745339,cg17858880,cg18080509,cg20059928,cg20065768,cg20441135,cg20785560,cg21120678,cg21574675,cg22703520,cg23277376,cg24435571,cg24449302,cg24612707,cg24626003,cg25257677,cg25311764,cg25881170,cg26262573,cg27454064	GSM816664	1.00e+00
-2.756	9.96e-01	CMK	Blood	DHS	CMK-DS12393.twopass.merge150.wgt10.zgt2.wig	cg00123478,cg00213123,cg00675133,cg00994804,cg01571001,cg01952185,cg02196294,cg02532700,cg03338220,cg04358214,cg04905201,cg04979435,cg05065239,cg05575921,cg05621259,cg05927068,cg06179765,cg06686742,cg06832339,cg06981386,cg07250758,cg07720188,cg08067721,cg08311343,cg08464824,cg08698721,cg08764927,cg09457469,cg09837361,cg10234985,cg10387769,cg10599571,cg10830889,cg11205636,cg11902777,cg13431464,cg14157435,cg14485097,cg14565151,cg15945287,cg18449062,cg20059928,cg20708516,cg21574675,cg21700511,cg22488352,cg23450038,cg23790219,cg24435571,cg24449302,cg24612707,cg24626003,cg24657523,cg24915511,cg25311764,cg25881170,cg26783428,cg26876647,cg26889659	GSM736607	1.00e+00
-3.362	9.99e-01	GM06990	Blood	DHS	GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig	cg00123478,cg00320288,cg00675133,cg00994804,cg02196294,cg02227813,cg02343823,cg02532700,cg02763617,cg03278643,cg03338220,cg04180046,cg04358214,cg04561804,cg04905201,cg05065879,cg05575921,cg05927068,cg06179765,cg06391982,cg06686742,cg06981386,cg07250758,cg08463485,cg08464824,cg09837361,cg10312186,cg10599571,cg11025974,cg11591485,cg11642681,cg11898431,cg11902777,cg12125332,cg12630461,cg13431464,cg13838969,cg14157435,cg14179389,cg15091747,cg15809578,cg17140307,cg17165695,cg18449062,cg20059928,cg20065768,cg20708516,cg21120678,cg21209395,cg21574675,cg24435571,cg24449302,cg24500683,cg24626003,cg24657523,cg24915511,cg25602536,cg25881170,cg26416971,cg26876647,cg27454064	"GSM736558,GSM736635"	1.00e+00
-2.644	9.96e-01	GM12864	Blood	DHS	GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig	cg00253658,cg00306311,cg00320288,cg00675133,cg00994804,cg02196294,cg02227813,cg02463253,cg02532700,cg02763617,cg03338220,cg03449398,cg04561804,cg04979435,cg05927068,cg06391982,cg06981386,cg07211044,cg07720188,cg07964538,cg08026735,cg08464824,cg08764927,cg09837361,cg10312186,cg10387769,cg10599571,cg10830889,cg11591485,cg11637005,cg11758793,cg11898431,cg11902777,cg12125332,cg12630461,cg13431464,cg13989852,cg14179389,cg15439725,cg15809578,cg18493761,cg18703066,cg20059928,cg20065768,cg21120678,cg21209395,cg22703520,cg23790219,cg24435571,cg24449302,cg24500683,cg24626003,cg24657523,cg24915511,cg25311764,cg25881170	GSM736525	1.00e+00
-2.864	9.98e-01	GM12865	Blood	DHS	GM12865-DS12436.twopass.merge150.wgt10.zgt2.wig	cg00675133,cg00994804,cg02196294,cg02227813,cg02532700,cg02763617,cg03338220,cg03354508,cg04561804,cg04979435,cg05065879,cg05575921,cg05927068,cg06391982,cg06981386,cg07250758,cg07720188,cg07964538,cg08463485,cg08464824,cg09837361,cg10068437,cg10078511,cg10312186,cg10599571,cg10830889,cg11025974,cg11591485,cg11637005,cg11898431,cg11902777,cg12125332,cg12630461,cg13431464,cg13989852,cg14179389,cg14213394,cg14485097,cg15809578,cg15945287,cg17140307,cg18449062,cg20059928,cg20065768,cg20441135,cg21574675,cg22488352,cg23790219,cg24435571,cg24449302,cg24500683,cg24626003,cg24657523,cg24915511,cg25311764,cg25881170,cg25955817,cg26783428,cg26889659	"GSM736512,GSM736561"	1.00e+00
