Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
5.390	7.34e-06	CD3	Blood	DHS	UW.CD3_Primary_Cells.ChromatinAccessibility.CB1_1-3-2011.DS17702.twopass.merge150.wgt10.zgt2.wig.gz	cg00071950,cg00422488,cg00574958,cg01243823,cg01881899,cg02583484,cg02711608,cg03339609,cg03387723,cg03519879,cg03725309,cg03935116,cg05288253,cg05603985,cg05784862,cg06023661,cg06178669,cg07626482,cg08257009,cg11028923,cg11068337,cg11376147,cg12554573,cg13409704,cg13823169,cg14348967,cg17061862,cg18159646,cg18405341,cg18660898,cg19939077,cg20520115,cg20813374,cg22103219,cg22197830,cg22821355,cg24058132,cg24332710,cg26043149,cg26470501,cg26669717,cg26841068,cg27637303	GSM701525	1.34e-04
4.977	1.10e-05	CD3	Blood	DHS	UW.CD3_Primary_Cells.ChromatinAccessibility.CB6_1-4-2011.DS17706.twopass.merge150.wgt10.zgt2.wig.gz	cg00071950,cg00422488,cg00574412,cg00574958,cg01055562,cg01243823,cg01881899,cg03068497,cg03082813,cg03339609,cg03387723,cg03519879,cg03725309,cg03935116,cg05603985,cg05784862,cg06023661,cg06178669,cg06599169,cg06983052,cg07626482,cg08257009,cg10589813,cg11028923,cg11068337,cg11376147,cg12554573,cg13409704,cg13823169,cg17061862,cg18125510,cg18405341,cg18660898,cg19939077,cg20813374,cg22103219,cg22197830,cg22821355,cg23913963,cg24058132,cg24332710,cg24711224,cg26043149,cg26669717,cg26841068	GSM701526	1.90e-04
6.292	7.44e-08	CD3	Blood	DHS	UW.CD3_Primary_Cells.ChromatinAccessibility.RO_01679.DS17198.twopass.merge150.wgt10.zgt2.wig.gz	cg00071950,cg00422488,cg00574412,cg00574958,cg01243823,cg01881899,cg02583484,cg02711608,cg03068497,cg03082813,cg03339609,cg03387723,cg03519879,cg03725309,cg03935116,cg05288253,cg05784862,cg06023661,cg06178669,cg07626482,cg08257009,cg11028923,cg11068337,cg11376147,cg12340144,cg12554573,cg12825509,cg13409704,cg13823169,cg14348967,cg15396367,cg16541026,cg17061862,cg18302606,cg18405341,cg18660898,cg19939077,cg20520115,cg20813374,cg22103219,cg22197830,cg22821355,cg23913963,cg24058132,cg24332710,cg24711224,cg26043149,cg26470501,cg26669717,cg26841068	GSM665837	6.99e-06
6.832	6.97e-10	CD3	Blood	DHS	UW.CD3_Primary_Cells.ChromatinAccessibility.RO_01701.DS17534.twopass.merge150.wgt10.zgt2.wig.gz	cg00071950,cg00422488,cg00574412,cg00574958,cg00622166,cg01055562,cg01243823,cg01881899,cg02583484,cg02711608,cg03068497,cg03082813,cg03339609,cg03387723,cg03519879,cg03725309,cg03935116,cg04367503,cg04625615,cg05201185,cg05288253,cg05603985,cg05784862,cg06023661,cg06178669,cg06599169,cg07626482,cg08255475,cg08257009,cg11028923,cg11068337,cg11376147,cg12340144,cg12554573,cg13409704,cg13823169,cg14348967,cg14476101,cg16375541,cg16541026,cg17061862,cg18125510,cg18159646,cg18302606,cg18405341,cg18660898,cg19939077,cg20479063,cg20520115,cg20813374,cg22103219,cg22197830,cg22821355,cg23913963,cg24058132,cg24332710,cg24711224,cg26043149,cg26470501,cg26669717,cg26841068,cg27637303	GSM701516	1.31e-06
6.675	4.15e-09	CD4_Mobilised;	Blood	DHS	UW.Mobilized_CD4_Primary_Cells.ChromatinAccessibility.RO_01679.DS16955.twopass.merge150.wgt10.zgt2.wig.gz	cg00071950,cg00422488,cg00574412,cg00574958,cg01055562,cg01243823,cg01881899,cg02583484,cg02711608,cg03082813,cg03339609,cg03387723,cg03519879,cg03725309,cg03935116,cg04625615,cg05201185,cg05288253,cg05603985,cg05784862,cg06023661,cg06178669,cg06599169,cg06983052,cg07022048,cg07626482,cg08257009,cg10589813,cg11028923,cg11068337,cg11376147,cg12340144,cg12554573,cg12825509,cg13409704,cg13823169,cg14348967,cg16541026,cg17061862,cg18125510,cg18159646,cg18302606,cg18405341,cg18660898,cg19939077,cg20520115,cg20813374,cg22103219,cg22197830,cg22821355,cg23913963,cg24058132,cg24332710,cg24711224,cg24848615,cg26043149,cg26103104,cg26470501,cg26669717,cg26841068,cg27637303	GSM701489	1.56e-06
5.661	6.17e-07	CD4_Mobilised;	Blood	DHS	UW.Mobilized_CD4_Primary_Cells.ChromatinAccessibility.RO_01701.DS17175.twopass.merge150.wgt10.zgt2.wig.gz	cg00071950,cg00422488,cg00574412,cg00574958,cg00716257,cg01055562,cg01243823,cg02583484,cg03082813,cg03339609,cg03519879,cg03725309,cg03935116,cg04463638,cg05603985,cg05784862,cg06023661,cg06178669,cg06983052,cg07626482,cg08255475,cg08257009,cg11028923,cg11068337,cg11376147,cg12554573,cg12825509,cg13409704,cg13823169,cg16375541,cg17061862,cg18125510,cg18159646,cg18302606,cg18405341,cg18660898,cg19939077,cg20520115,cg20813374,cg21201109,cg22103219,cg22197830,cg22821355,cg23913963,cg24058132,cg24332710,cg24711224,cg26043149,cg26669717,cg26841068,cg27637303	GSM701491	2.23e-05
5.195	3.44e-06	CD4	Blood	DHS	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01549.DS15947.twopass.merge150.wgt10.zgt2.wig.gz	cg00071950,cg00422488,cg00574412,cg00574958,cg01055562,cg01243823,cg01881899,cg02583484,cg02711608,cg03082813,cg03339609,cg03519879,cg03725309,cg03935116,cg05201185,cg05603985,cg05784862,cg06023661,cg06178669,cg07626482,cg08255475,cg08257009,cg11028923,cg11068337,cg11376147,cg12340144,cg12554573,cg13409704,cg13823169,cg14348967,cg17061862,cg18125510,cg18302606,cg18405341,cg18660898,cg19939077,cg20520115,cg20813374,cg22103219,cg22197830,cg22821355,cg24058132,cg24332710,cg24711224,cg24848615,cg26043149,cg26470501,cg26669717,cg26841068	GSM665812	7.69e-05
6.517	1.64e-08	CD4	Blood	DHS	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01679.DS17212.twopass.merge150.wgt10.zgt2.wig.gz	cg00071950,cg00422488,cg00574412,cg00574958,cg01055562,cg01243823,cg01881899,cg02583484,cg02711608,cg03082813,cg03339609,cg03387723,cg03519879,cg03725309,cg03935116,cg05288253,cg05603985,cg05784862,cg06023661,cg06178669,cg07022048,cg07626482,cg08257009,cg11028923,cg11068337,cg11376147,cg12554573,cg12825509,cg13409704,cg13823169,cg14348967,cg16541026,cg17061862,cg18120259,cg18125510,cg18159646,cg18302606,cg18405341,cg18660898,cg19939077,cg20520115,cg20813374,cg22103219,cg22197830,cg22821355,cg24058132,cg24332710,cg24711224,cg24848615,cg26043149,cg26669717,cg26841068,cg27637303	GSM665839	2.37e-06
6.241	2.68e-08	CD4	Blood	DHS	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01689.DS17329.twopass.merge150.wgt10.zgt2.wig.gz	cg00071950,cg00422488,cg00574412,cg00574958,cg00622166,cg00711496,cg01055562,cg01243823,cg01881899,cg02583484,cg02711608,cg03068497,cg03082813,cg03339609,cg03387723,cg03519879,cg03725309,cg03935116,cg04367503,cg05288253,cg05603985,cg05784862,cg06023661,cg06178669,cg06599169,cg07626482,cg08255475,cg09646173,cg10589813,cg11028923,cg11068337,cg11376147,cg12554573,cg12825509,cg13409704,cg13823169,cg16375541,cg16541026,cg17061862,cg18159646,cg18302606,cg18405341,cg18660898,cg19939077,cg20520115,cg20813374,cg21201109,cg22103219,cg22197830,cg22821355,cg24058132,cg24332710,cg24711224,cg24848615,cg26043149,cg26470501,cg26669717,cg26841068,cg27637303	GSM817166	3.36e-06
5.259	1.95e-06	CD4	Blood	DHS	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01701.DS17881.twopass.merge150.wgt10.zgt2.wig.gz	cg00071950,cg00422488,cg00574412,cg00574958,cg00622166,cg01055562,cg01243823,cg01881899,cg02583484,cg02711608,cg03082813,cg03339609,cg03387723,cg03519879,cg03725309,cg03935116,cg04463638,cg04625615,cg05603985,cg05784862,cg06023661,cg06178669,cg07022048,cg07626482,cg08255475,cg08257009,cg11028923,cg11068337,cg11376147,cg12554573,cg13409704,cg13823169,cg16375541,cg17061862,cg18120259,cg18302606,cg18405341,cg18660898,cg19939077,cg20479063,cg20520115,cg20813374,cg22103219,cg22197830,cg22821355,cg23913963,cg24058132,cg24332710,cg24711224,cg26043149,cg26669717,cg26841068	GSM701539	4.83e-05
