Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
7.265	4.70e-11	HTR8svn	Blastula	DHS	wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	cg00073090,cg00310412,cg00501876,cg00527825,cg00548098,cg00741986,cg01015663,cg01016119,cg01115857,cg01127300,cg01901332,cg01971407,cg02716826,cg02998240,cg03140521,cg03149958,cg03208245,cg03547355,cg03707168,cg03957124,cg04046980,cg04232972,cg04517079,cg04551776,cg04552852,cg04682699,cg04885881,cg05232694,cg05575921,cg05673882,cg06433467,cg07251887,cg07339236,cg07402062,cg07954423,cg08324925,cg08549335,cg08666707,cg08709672,cg08884752,cg09502149,cg09740554,cg10108250,cg10691866,cg10919522,cg11152412,cg11588903,cg11660018,cg11902777,cg12075928,cg12147622,cg12303084,cg12547807,cg12800803,cg12873476,cg13127741,cg13385220,cg13518625,cg13787850,cg13832201,cg14209784,cg14753356,cg16047567,cg16071219,cg16329014,cg16389209,cg16466652,cg17265693,cg17812664,cg18125510,cg19572487,cg19940644,cg20059928,cg20289911,cg21325715,cg21747070,cg21913886,cg21990700,cg22160883,cg22787977,cg22950598,cg23034799,cg23925513,cg24556382,cg24996979,cg25481538,cg25613478,cg25953130,cg26337070,cg26361535,cg26477856,cg26788216,cg26844633,cg26937798,cg27023597,cg27241845,cg27324619,cg27537125	GSM816644	4.30e-10
7.503	2.31e-13	Adult_CD4+	Blood	DHS	Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig	cg00073090,cg00310412,cg00501876,cg00602811,cg00741986,cg01015663,cg01016119,cg01059398,cg01127300,cg01208318,cg01419914,cg01731783,cg01940273,cg01971407,cg02532700,cg02716826,cg02734358,cg02910281,cg03038262,cg03140521,cg03208245,cg03329539,cg03345232,cg03393996,cg03547355,cg03707168,cg03957124,cg04046980,cg04232972,cg04517079,cg04535902,cg04551776,cg04813697,cg04885881,cg05232694,cg05284742,cg05503062,cg05575921,cg05673882,cg05785554,cg06338710,cg06369322,cg06433467,cg07402062,cg07954423,cg07992484,cg08549335,cg08666707,cg08709672,cg08822075,cg08884752,cg09419102,cg09502149,cg09740554,cg10108250,cg10255761,cg10520740,cg10691866,cg10750182,cg10919522,cg10965178,cg10980495,cg11152412,cg11554391,cg11660018,cg11902777,cg12054453,cg12075928,cg12126344,cg12147622,cg12303084,cg12547807,cg12800803,cg12873476,cg13126206,cg13127741,cg13518625,cg13579752,cg13787850,cg13832201,cg15159987,cg15344028,cg15474579,cg16047567,cg16071219,cg16329014,cg16389209,cg16466652,cg17265693,cg17467525,cg17812664,cg18125510,cg19001261,cg19180602,cg19268652,cg19372602,cg19572487,cg19940644,cg20244340,cg20289911,cg20295214,cg20349598,cg21121843,cg21140898,cg21393163,cg21747070,cg21913886,cg21990700,cg22103219,cg22160883,cg22787977,cg22950598,cg22955595,cg23034799,cg23161492,cg23205886,cg24139443,cg24497361,cg24996979,cg25143652,cg25325512,cg25481538,cg25613478,cg25949550,cg26361535,cg26477856,cg26788216,cg26937798,cg27023597,cg27324619,cg27537125	Lookup	4.46e-12
8.024	3.10e-13	CD14+	Blood	DHS	CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig	cg00073090,cg00310412,cg00501876,cg00548098,cg00602811,cg00741986,cg01015663,cg01016119,cg01059398,cg01127300,cg01419914,cg01971407,cg02532700,cg02583484,cg02716826,cg02734358,cg03345232,cg03358636,cg03393996,cg03707168,cg03957124,cg04046980,cg04551776,cg04552852,cg04813697,cg05232694,cg05284742,cg05503062,cg05673882,cg06433467,cg07339236,cg07402062,cg07954423,cg07986378,cg08549335,cg08822075,cg08884752,cg09419102,cg09502149,cg09931909,cg10108250,cg10177197,cg10750182,cg10919522,cg11152412,cg11588903,cg11902777,cg12054453,cg12075928,cg12126344,cg12147622,cg12303084,cg12547807,cg12800803,cg13001289,cg13126206,cg13127741,cg13518625,cg13787850,cg13832201,cg14120703,cg14209784,cg14580211,cg14624207,cg14753356,cg15474579,cg15892280,cg16047567,cg16071219,cg16389209,cg16969872,cg17265693,cg17812664,cg18125510,cg18446336,cg18826637,cg19268652,cg19372602,cg19572487,cg19940644,cg20059928,cg20244340,cg20289911,cg20295214,cg21121843,cg21393163,cg21990700,cg22160883,cg22787977,cg22974837,cg23034799,cg23161492,cg23866916,cg24090911,cg24497361,cg24556382,cg24996979,cg25143652,cg25953130,cg26271591,cg26477856,cg26788216,cg26844633,cg26937798,cg27537125	Lookup	5.66e-12
3.197	1.50e-03	CD20+	Blood	DHS	CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig	cg00073090,cg00310412,cg00501876,cg00602811,cg00741986,cg00788170,cg01015663,cg01016119,cg01208318,cg01419914,cg01971407,cg02532700,cg02716826,cg02743070,cg03038262,cg03149958,cg03345232,cg03393996,cg03636183,cg03707168,cg03957124,cg03972838,cg04046980,cg04232972,cg04535902,cg04813697,cg05232694,cg05673882,cg06012804,cg06433467,cg07402062,cg07954423,cg07992484,cg08549335,cg08709672,cg08822075,cg09419102,cg09740554,cg10108250,cg10255761,cg10919522,cg11152412,cg11554391,cg11902777,cg12054453,cg12075928,cg12147622,cg12303084,cg12547807,cg12800803,cg12873476,cg13127741,cg13832201,cg14209784,cg15159987,cg15474579,cg16389209,cg16969872,cg17265693,cg17467525,cg18125510,cg18446336,cg18826637,cg19001261,cg19180602,cg19268652,cg19372602,cg19572487,cg20059928,cg21140898,cg21161138,cg21393163,cg21990700,cg22103219,cg22160883,cg22787977,cg22911462,cg22974837,cg23161492,cg24090911,cg24497361,cg25143652,cg25325512,cg26477856,cg26937798,cg27537125	Lookup	8.45e-03
9.267	5.31e-18	CD34+	Blood	DHS	CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig	cg00073090,cg00501876,cg00548098,cg00602811,cg00741986,cg01015663,cg01016119,cg01127300,cg01208318,cg01419914,cg01899089,cg01940273,cg02532700,cg02716826,cg02734358,cg02743070,cg03140521,cg03345232,cg03358636,cg03393996,cg03636183,cg03707168,cg03957124,cg04046980,cg04232972,cg04551776,cg04552852,cg04813697,cg05232694,cg05284742,cg05575921,cg05673882,cg06012804,cg06433467,cg07177756,cg07251887,cg07339236,cg07402062,cg07954423,cg07986378,cg08149865,cg08549335,cg08666707,cg08822075,cg09419102,cg09502149,cg09740554,cg09931909,cg10108250,cg10255761,cg10750182,cg10919522,cg10965178,cg10980495,cg11152412,cg11554391,cg11588903,cg11660018,cg11902777,cg12054453,cg12075928,cg12126344,cg12147622,cg12303084,cg12547807,cg12800803,cg12873476,cg12992827,cg13126206,cg13127741,cg13342435,cg13518625,cg13579752,cg13787850,cg14120703,cg14580211,cg14753356,cg15159987,cg15474579,cg15892280,cg16047567,cg16071219,cg16389209,cg16466652,cg16969872,cg17265693,cg17467525,cg17812664,cg18125510,cg18446336,cg18826637,cg19180602,cg19254163,cg19268652,cg19372602,cg19940644,cg20059928,cg20244340,cg20289911,cg20295214,cg21121843,cg21140898,cg21161138,cg21322436,cg21393163,cg21990700,cg22103219,cg22160883,cg22787977,cg22911462,cg22950598,cg22974837,cg23034799,cg23079012,cg23161492,cg23925513,cg24090911,cg24139443,cg24497361,cg24556382,cg24996979,cg25143652,cg25325512,cg25613478,cg25953130,cg26271591,cg26337070,cg26361535,cg26477856,cg26703534,cg26788216,cg26844633,cg26937798,cg27241845,cg27537125	Lookup	4.84e-16
3.699	3.19e-04	CLL	Blood	DHS	wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	cg00310412,cg00501876,cg00527825,cg00741986,cg01115857,cg01419914,cg01731783,cg01901332,cg02532700,cg02716826,cg03038262,cg03208245,cg03393996,cg03707168,cg03957124,cg04046980,cg04535902,cg04551776,cg04813697,cg04885881,cg05232694,cg05575921,cg05673882,cg06012804,cg06433467,cg07402062,cg07954423,cg07992484,cg08149865,cg08666707,cg09419102,cg09740554,cg10108250,cg10177197,cg10919522,cg11152412,cg11902777,cg12054453,cg12075928,cg12147622,cg12303084,cg12547807,cg12873476,cg13127741,cg13385220,cg13518625,cg13661182,cg13787850,cg13832201,cg14753356,cg16329014,cg16466652,cg16969872,cg17265693,cg17467525,cg18826637,cg19180602,cg19268652,cg19940644,cg20059928,cg20244340,cg20289911,cg21121843,cg21161138,cg21393163,cg22103219,cg22160883,cg22787977,cg22950598,cg23161492,cg23205886,cg25143652,cg25481538,cg26477856,cg26937798,cg27537125	GSM816664	1.83e-03
6.900	1.00e-09	CMK	Blood	DHS	CMK-DS12393.twopass.merge150.wgt10.zgt2.wig	cg00073090,cg00501876,cg00548098,cg00602811,cg01059398,cg01731783,cg01744331,cg02532700,cg02583484,cg02716826,cg03358636,cg03393996,cg03636183,cg03707168,cg03957124,cg04046980,cg04232972,cg04517079,cg04552852,cg05232694,cg05503062,cg05575921,cg05673882,cg06369322,cg06433467,cg07177756,cg07402062,cg07954423,cg07986378,cg08149865,cg08549335,cg08666707,cg08884752,cg09701700,cg09740554,cg09931909,cg10108250,cg10965178,cg10980495,cg11152412,cg11588903,cg11660018,cg11902777,cg12054453,cg12147622,cg12303084,cg12800803,cg12873476,cg12992827,cg13001289,cg13126206,cg13127741,cg13579752,cg13661182,cg14120703,cg14209784,cg14624207,cg15159987,cg15892280,cg16047567,cg16969872,cg17265693,cg17467525,cg17812664,cg18125510,cg19268652,cg19372602,cg20059928,cg20289911,cg21140898,cg21747070,cg21990700,cg22160883,cg22787977,cg22950598,cg22974837,cg23079012,cg23110422,cg23161492,cg23205886,cg24497361,cg24996979,cg25143652,cg25325512,cg25613478,cg26271591,cg26477856,cg26844633	GSM736607	7.61e-09
5.859	9.13e-08	GM06990	Blood	DHS	GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig	cg00310412,cg00501876,cg00548098,cg00741986,cg01016119,cg01127300,cg01208318,cg01744331,cg01899089,cg01971407,cg02532700,cg02716826,cg03038262,cg03707168,cg03957124,cg04232972,cg04551776,cg04885881,cg05232694,cg05503062,cg05575921,cg05673882,cg06000144,cg06012804,cg06369322,cg06433467,cg07177756,cg07954423,cg07992484,cg08549335,cg08666707,cg08822075,cg09502149,cg09740554,cg10108250,cg10919522,cg10965178,cg11152412,cg11554391,cg11902777,cg12054453,cg12075928,cg12147622,cg12303084,cg12547807,cg12873476,cg13127741,cg13518625,cg13787850,cg15159987,cg16389209,cg16969872,cg17265693,cg17467525,cg18125510,cg18826637,cg19254163,cg19268652,cg19940644,cg20059928,cg21121843,cg21140898,cg21161138,cg21393163,cg21747070,cg21990700,cg22103219,cg22160883,cg22787977,cg22950598,cg22974837,cg23034799,cg23205886,cg23925513,cg24090911,cg24139443,cg24497361,cg24556382,cg24996979,cg25143652,cg26477856,cg27241845,cg27537125	"GSM736558,GSM736635"	5.82e-07
8.816	4.23e-15	GM12864	Blood	DHS	GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig	cg00073090,cg00310412,cg00501876,cg00548098,cg00741986,cg01015663,cg01127300,cg01744331,cg01899089,cg01971407,cg02532700,cg02583484,cg02716826,cg03038262,cg03140521,cg03149958,cg03358636,cg03707168,cg03957124,cg04046980,cg04232972,cg04535902,cg04551776,cg04813697,cg04885881,cg05232694,cg05503062,cg05673882,cg06012804,cg06369322,cg06433467,cg07954423,cg07986378,cg07992484,cg08549335,cg08666707,cg08822075,cg09419102,cg09502149,cg09931909,cg10108250,cg10691866,cg10919522,cg11152412,cg11554391,cg11902777,cg12054453,cg12075928,cg12126344,cg12147622,cg12303084,cg12547807,cg12800803,cg12873476,cg13127741,cg13518625,cg13787850,cg13832201,cg15159987,cg15474579,cg16389209,cg16969872,cg17265693,cg17467525,cg17812664,cg18125510,cg18826637,cg19268652,cg19372602,cg19572487,cg19940644,cg20059928,cg20244340,cg21121843,cg21140898,cg21325715,cg21393163,cg21747070,cg21990700,cg22103219,cg22160883,cg22787977,cg22805381,cg22911462,cg22974837,cg23034799,cg23205886,cg24090911,cg24139443,cg24497361,cg24556382,cg24996979,cg25143652,cg26477856,cg26788216,cg26844633,cg27023597,cg27537125	GSM736525	1.51e-13
7.665	2.05e-11	GM12865	Blood	DHS	GM12865-DS12436.twopass.merge150.wgt10.zgt2.wig	cg00501876,cg00548098,cg00741986,cg01015663,cg01016119,cg01127300,cg01208318,cg01744331,cg01899089,cg01971407,cg02532700,cg02716826,cg03149958,cg03358636,cg03707168,cg03957124,cg04046980,cg04232972,cg04551776,cg04813697,cg04885881,cg05232694,cg05503062,cg05575921,cg05673882,cg06012804,cg06369322,cg06433467,cg07177756,cg07954423,cg07992484,cg08549335,cg08666707,cg08822075,cg09419102,cg09502149,cg09740554,cg10108250,cg10919522,cg11152412,cg11554391,cg11902777,cg12054453,cg12075928,cg12126344,cg12147622,cg12303084,cg12547807,cg12800803,cg12873476,cg13126206,cg13127741,cg13518625,cg13579752,cg13787850,cg15159987,cg15474579,cg16389209,cg16969872,cg17467525,cg18125510,cg18826637,cg19180602,cg19268652,cg19372602,cg19572487,cg19940644,cg20059928,cg20349598,cg21121843,cg21140898,cg21161138,cg21393163,cg21747070,cg21990700,cg22103219,cg22160883,cg22787977,cg22911462,cg22950598,cg22974837,cg23205886,cg24090911,cg24497361,cg24996979,cg25143652,cg26271591,cg26477856,cg26788216,cg26844633,cg26937798,cg27023597,cg27537125	"GSM736512,GSM736561"	2.04e-10
