Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
5.073	7.95e-06	E029 Primary monocytes from peripheral blood	Blood	H3K4me1	E029-H3K4me1.broadPeak.gz	cg00052684,cg02405193,cg02869300,cg03915055,cg06769150,cg07786220,cg13077031,cg13121392,cg13513622,cg16729631,cg17478979,cg18128887,cg20100745,cg20932630,cg21195450,cg22104744,cg22520791,cg25345365	E029	9.07e-03
3.159	1.33e-02	E029 Primary monocytes from peripheral blood	Blood	H3K4me3	E029-H3K4me3.broadPeak.gz	cg02405193,cg03915055,cg13060970,cg13513622,cg17478979,cg18128887,cg20100745,cg22104744	E029	5.23e-01
-2.326	1.00e+00	E029 Primary monocytes from peripheral blood	Blood	H3K9me3	E029-H3K9me3.broadPeak.gz		E029	1.00e+00
-2.069	9.97e-01	E029 Primary monocytes from peripheral blood	Blood	H3K27me3	E029-H3K27me3.broadPeak.gz	cg17478979	E029	1.00e+00
0.466	4.00e-01	E029 Primary monocytes from peripheral blood	Blood	H3K36me3	E029-H3K36me3.broadPeak.gz	cg01994208,cg07786220,cg13513622,cg16729631,cg18128887,cg23189692	E029	1.00e+00
3.289	2.92e-03	E032 Primary B cells from peripheral blood	Blood	H3K4me1	E032-H3K4me1.broadPeak.gz	cg00052684,cg01994208,cg02405193,cg03915055,cg06769150,cg07375358,cg12230203,cg13077031,cg13121392,cg13513622,cg16729631,cg17478979,cg18128887,cg20100745,cg22104744,cg25345365	E032	2.65e-01
2.065	5.88e-02	E032 Primary B cells from peripheral blood	Blood	H3K4me3	E032-H3K4me3.broadPeak.gz	cg03915055,cg06769150,cg13060970,cg13077031,cg13121392,cg13513622,cg18128887,cg22104744,cg25345365	E032	1.00e+00
-1.028	8.69e-01	E032 Primary B cells from peripheral blood	Blood	H3K9me3	E032-H3K9me3.broadPeak.gz	cg20071505	E032	1.00e+00
-1.390	9.51e-01	E032 Primary B cells from peripheral blood	Blood	H3K27me3	E032-H3K27me3.broadPeak.gz	cg00052684,cg06769150,cg12230203,cg20100745,cg21195450,cg22520791	E032	1.00e+00
3.557	1.68e-03	E032 Primary B cells from peripheral blood	Blood	H3K36me3	E032-H3K36me3.broadPeak.gz	cg00052684,cg02405193,cg07375358,cg07786220,cg13060970,cg13077031,cg13121392,cg13513622,cg16729631,cg18128887,cg20100745,cg20799095,cg22104744,cg23189692	E032	1.92e-01
4.295	2.21e-04	E033 Primary T cells from cord blood	Blood	H3K4me1	E033-H3K4me1.broadPeak.gz	cg00052684,cg02869300,cg03915055,cg07375358,cg07786220,cg13060970,cg13077031,cg13121392,cg13513622,cg17478979,cg18128887,cg20100745,cg23189692,cg25345365	E033	8.08e-02
0.560	3.93e-01	E033 Primary T cells from cord blood	Blood	H3K4me3	E033-H3K4me3.broadPeak.gz	cg03915055,cg13077031,cg13513622,cg17478979,cg18128887,cg20100745	E033	1.00e+00
-2.172	1.00e+00	E033 Primary T cells from cord blood	Blood	H3K9me3	E033-H3K9me3.broadPeak.gz		E033	1.00e+00
-1.212	9.36e-01	E033 Primary T cells from cord blood	Blood	H3K27me3	E033-H3K27me3.broadPeak.gz	cg17478979,cg21195450	E033	1.00e+00
0.177	5.11e-01	E033 Primary T cells from cord blood	Blood	H3K36me3	E033-H3K36me3.broadPeak.gz	cg02405193,cg07786220,cg16729631,cg20932630,cg22104744,cg23189692	E033	1.00e+00
3.179	3.89e-03	E034 Primary T cells from peripheral blood	Blood	H3K4me1	E034-H3K4me1.broadPeak.gz	cg00052684,cg01994208,cg03915055,cg07375358,cg07786220,cg12230203,cg13060970,cg13077031,cg13121392,cg13513622,cg16729631,cg17478979,cg18128887,cg20100745,cg21195450,cg22104744,cg23189692,cg25345365	E034	2.77e-01
2.029	6.56e-02	E034 Primary T cells from peripheral blood	Blood	H3K4me3	E034-H3K4me3.broadPeak.gz	cg03915055,cg07786220,cg13060970,cg13513622,cg18128887,cg20100745,cg20932630,cg22104744,cg25345365	E034	1.00e+00
-1.250	9.41e-01	E034 Primary T cells from peripheral blood	Blood	H3K9me3	E034-H3K9me3.broadPeak.gz	cg22520791,cg25345365	E034	1.00e+00
0.063	5.55e-01	E034 Primary T cells from peripheral blood	Blood	H3K27me3	E034-H3K27me3.broadPeak.gz	cg00052684,cg01994208,cg02405193,cg06769150,cg07786220,cg12230203,cg13513622,cg16729631,cg20100745,cg21195450,cg22104744,cg22520791	E034	1.00e+00
2.538	1.88e-02	E034 Primary T cells from peripheral blood	Blood	H3K36me3	E034-H3K36me3.broadPeak.gz	cg01994208,cg02405193,cg07786220,cg13077031,cg13121392,cg16729631,cg17478979,cg18128887,cg20100745,cg20932630,cg22104744,cg23189692	E034	6.32e-01
4.013	2.83e-04	E046 Primary Natural Killer cells from peripheral 	Blood	H3K4me1	E046-H3K4me1.broadPeak.gz	cg00052684,cg01994208,cg02405193,cg03915055,cg07375358,cg07786220,cg12230203,cg13060970,cg13077031,cg13121392,cg13513622,cg16729631,cg17478979,cg18128887,cg20100745,cg21195450,cg22104744,cg25345365	E046	8.08e-02
0.618	3.57e-01	E046 Primary Natural Killer cells from peripheral 	Blood	H3K4me3	E046-H3K4me3.broadPeak.gz	cg03915055,cg07786220,cg13060970,cg13513622,cg18128887,cg22104744	E046	1.00e+00
-2.196	9.98e-01	E046 Primary Natural Killer cells from peripheral 	Blood	H3K9me3	E046-H3K9me3.broadPeak.gz	cg22520791	E046	1.00e+00
-1.556	9.68e-01	E046 Primary Natural Killer cells from peripheral 	Blood	H3K27me3	E046-H3K27me3.broadPeak.gz	cg17478979,cg20799095,cg21195450	E046	1.00e+00
2.031	5.71e-02	E046 Primary Natural Killer cells from peripheral 	Blood	H3K36me3	E046-H3K36me3.broadPeak.gz	cg01994208,cg02405193,cg07786220,cg13077031,cg13121392,cg16729631,cg20932630,cg22104744,cg23189692	E046	1.00e+00
3.514	9.85e-04	E050 Primary hematopoietic stem cells G-CSF-mobili	Blood	H3K4me1	E050-H3K4me1.broadPeak.gz	cg00052684,cg01994208,cg02405193,cg02869300,cg03915055,cg07375358,cg12230203,cg13060970,cg13077031,cg13121392,cg13513622,cg17478979,cg18128887,cg20100745,cg21195450,cg22104744,cg23189692,cg25345365	E050	1.25e-01
0.470	4.08e-01	E050 Primary hematopoietic stem cells G-CSF-mobili	Blood	H3K4me3	E050-H3K4me3.broadPeak.gz	cg00052684,cg01994208,cg03915055,cg13060970,cg13077031,cg13513622,cg17478979,cg20100745	E050	1.00e+00
-0.031	5.87e-01	E050 Primary hematopoietic stem cells G-CSF-mobili	Blood	H3K9me3	E050-H3K9me3.broadPeak.gz	cg07786220,cg12230203,cg20071505,cg20932630	E050	1.00e+00
-0.723	8.27e-01	E050 Primary hematopoietic stem cells G-CSF-mobili	Blood	H3K27me3	E050-H3K27me3.broadPeak.gz	cg06769150,cg12230203,cg17478979,cg20100745,cg21195450,cg22520791	E050	1.00e+00
-0.451	7.32e-01	E050 Primary hematopoietic stem cells G-CSF-mobili	Blood	H3K36me3	E050-H3K36me3.broadPeak.gz	cg07786220,cg18128887,cg20100745,cg20932630,cg23189692	E050	1.00e+00
3.659	7.57e-04	E051 Primary hematopoietic stem cells G-CSF-mobili	Blood	H3K4me1	E051-H3K4me1.broadPeak.gz	cg00052684,cg01994208,cg02405193,cg02869300,cg03915055,cg07786220,cg12230203,cg13060970,cg13077031,cg13121392,cg13513622,cg17478979,cg18128887,cg20100745,cg21195450,cg22104744,cg25345365	E051	1.08e-01
3.397	4.13e-03	E051 Primary hematopoietic stem cells G-CSF-mobili	Blood	H3K4me3	E051-H3K4me3.broadPeak.gz	cg00052684,cg01994208,cg02405193,cg02869300,cg03915055,cg13060970,cg13077031,cg13513622,cg17478979,cg18128887,cg20100745,cg22104744,cg25345365	E051	2.77e-01
-1.340	9.50e-01	E051 Primary hematopoietic stem cells G-CSF-mobili	Blood	H3K9me3	E051-H3K9me3.broadPeak.gz	cg20071505	E051	1.00e+00
-0.600	7.87e-01	E051 Primary hematopoietic stem cells G-CSF-mobili	Blood	H3K27me3	E051-H3K27me3.broadPeak.gz	cg02405193,cg17478979,cg20100745,cg21195450	E051	1.00e+00
0.668	3.43e-01	E051 Primary hematopoietic stem cells G-CSF-mobili	Blood	H3K36me3	E051-H3K36me3.broadPeak.gz	cg07375358,cg07786220,cg12230203,cg16729631,cg18128887,cg20932630,cg23189692	E051	1.00e+00
2.239	2.02e-02	E028 Breast variant Human Mammary Epithelial Cells	Breast	H3K4me1	E028-H3K4me1.broadPeak.gz	cg00052684,cg01994208,cg02869300,cg06769150,cg12230203,cg13077031,cg13121392,cg13513622,cg16729631,cg17478979,cg20100745,cg20799095,cg20932630,cg21195450,cg22104744,cg23189692,cg25345365	E028	6.60e-01
1.258	1.67e-01	E028 Breast variant Human Mammary Epithelial Cells	Breast	H3K4me3	E028-H3K4me3.broadPeak.gz	cg00052684,cg01994208,cg02405193,cg06769150,cg13121392,cg13513622,cg17478979,cg20100745,cg20799095,cg21195450,cg22104744	E028	1.00e+00
-1.326	9.53e-01	E028 Breast variant Human Mammary Epithelial Cells	Breast	H3K9me3	E028-H3K9me3.broadPeak.gz	cg22520791	E028	1.00e+00
0.577	3.60e-01	E028 Breast variant Human Mammary Epithelial Cells	Breast	H3K27me3	E028-H3K27me3.broadPeak.gz	cg02405193,cg03915055,cg06769150,cg07375358,cg12230203,cg13060970,cg13513622,cg17478979,cg21195450,cg22520791,cg25345365	E028	1.00e+00
0.455	4.07e-01	E028 Breast variant Human Mammary Epithelial Cells	Breast	H3K36me3	E028-H3K36me3.broadPeak.gz	cg07786220,cg13077031,cg13121392,cg18128887,cg20932630,cg23189692	E028	1.00e+00
1.889	4.58e-02	E003 H1 Cells	ES Cell	H3K4me1	E003-H3K4me1.broadPeak.gz	cg00052684,cg02405193,cg06769150,cg07786220,cg12230203,cg13077031,cg13121392,cg13513622,cg16729631,cg17478979,cg18128887,cg20100745,cg20932630,cg22104744	E003	1.00e+00
0.769	3.22e-01	E003 H1 Cells	ES Cell	H3K4me3	E003-H3K4me3.broadPeak.gz	cg00052684,cg06769150,cg13077031,cg13513622,cg17478979,cg18128887,cg20932630	E003	1.00e+00
