Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
4.039	1.68e-04	E029 Primary monocytes from peripheral blood	Blood	H3K4me1	E029-H3K4me1.broadPeak.gz	cg01127300,cg01899089,cg03364381,cg03450842,cg03991871,cg05284742,cg05575921,cg06126421,cg06635952,cg07251887,cg07986378,cg09935388,cg11660018,cg14580211,cg14817490,cg15474579,cg16611234,cg19254163,cg19572487,cg20059012,cg20303561,cg21161138,cg21197336,cg21322436,cg23161492,cg24090911,cg24838345,cg25189904,cg26271591	E029	2.40e-02
0.287	4.57e-01	E029 Primary monocytes from peripheral blood	Blood	H3K4me3	E029-H3K4me3.broadPeak.gz	cg10293293,cg11660018,cg16611234,cg19572487,cg20059012,cg20303561,cg21322436,cg23161492,cg24090911,cg24838345	E029	1.00e+00
0.477	3.79e-01	E029 Primary monocytes from peripheral blood	Blood	H3K9me3	E029-H3K9me3.broadPeak.gz	cg01940273,cg03329539,cg03636183,cg03873392,cg04172771,cg05575921,cg18804920,cg25189904,cg25602603,cg25648203,cg27252467	E029	1.00e+00
2.634	1.02e-02	E029 Primary monocytes from peripheral blood	Blood	H3K27me3	E029-H3K27me3.broadPeak.gz	cg01899089,cg01940273,cg03329539,cg03636183,cg03991871,cg04492193,cg05575921,cg09935388,cg11660018,cg14462402,cg15474579,cg19254163,cg21161138,cg21197336,cg21322436,cg23161492,cg24090911,cg24838345,cg25189904,cg25648203,cg26703534	E029	3.54e-01
-0.661	7.82e-01	E029 Primary monocytes from peripheral blood	Blood	H3K36me3	E029-H3K36me3.broadPeak.gz	cg04885881,cg06635952,cg07251887,cg14580211,cg19572487,cg20303561,cg24838345,cg26271591,cg26361535	E029	1.00e+00
4.057	1.14e-04	E032 Primary B cells from peripheral blood	Blood	H3K4me1	E032-H3K4me1.broadPeak.gz	cg01127300,cg01899089,cg01940273,cg03329539,cg03450842,cg03636183,cg03991871,cg04492193,cg04885881,cg05284742,cg05575921,cg06126421,cg06635952,cg07251887,cg07986378,cg09935388,cg10293293,cg11660018,cg12075928,cg14817490,cg15474579,cg16611234,cg19254163,cg19572487,cg20059012,cg20303561,cg21161138,cg21197336,cg21322436,cg23161492,cg24090911,cg24838345,cg25189904,cg26271591	E032	2.17e-02
-1.420	9.37e-01	E032 Primary B cells from peripheral blood	Blood	H3K4me3	E032-H3K4me3.broadPeak.gz	cg03991871,cg06635952,cg10293293,cg16611234,cg19572487,cg20059012,cg20303561,cg21197336,cg24090911	E032	1.00e+00
-0.491	7.47e-01	E032 Primary B cells from peripheral blood	Blood	H3K9me3	E032-H3K9me3.broadPeak.gz	cg18804920,cg25602603,cg27252467	E032	1.00e+00
1.810	5.57e-02	E032 Primary B cells from peripheral blood	Blood	H3K27me3	E032-H3K27me3.broadPeak.gz	cg01899089,cg01940273,cg03329539,cg03364381,cg03450842,cg03873392,cg03991871,cg04492193,cg05575921,cg09935388,cg11660018,cg14462402,cg14580211,cg14817490,cg16611234,cg19254163,cg21161138,cg21322436,cg23161492,cg24090911,cg24838345,cg25189904,cg25648203,cg26703534	E032	1.00e+00
-0.627	7.69e-01	E032 Primary B cells from peripheral blood	Blood	H3K36me3	E032-H3K36me3.broadPeak.gz	cg04885881,cg05284742,cg06635952,cg07251887,cg07986378,cg10691866,cg12075928,cg20303561,cg23161492,cg24838345,cg26271591,cg26361535	E032	1.00e+00
2.784	7.88e-03	E033 Primary T cells from cord blood	Blood	H3K4me1	E033-H3K4me1.broadPeak.gz	cg01127300,cg01899089,cg01940273,cg03991871,cg05284742,cg05575921,cg06635952,cg07986378,cg10293293,cg12075928,cg14580211,cg14817490,cg15474579,cg16611234,cg19254163,cg19572487,cg20303561,cg21197336,cg23161492,cg24090911,cg26271591,cg26361535	E033	2.90e-01
0.721	3.18e-01	E033 Primary T cells from cord blood	Blood	H3K4me3	E033-H3K4me3.broadPeak.gz	cg01940273,cg03873392,cg06635952,cg09935388,cg10293293,cg11660018,cg14817490,cg16611234,cg19572487,cg20059012,cg20303561,cg21197336,cg21322436,cg23161492,cg25189904,cg26271591	E033	1.00e+00
-0.758	6.72e-01	E033 Primary T cells from cord blood	Blood	H3K9me3	E033-H3K9me3.broadPeak.gz	cg18804920	E033	1.00e+00
0.627	3.22e-01	E033 Primary T cells from cord blood	Blood	H3K27me3	E033-H3K27me3.broadPeak.gz	cg01940273,cg03329539,cg03636183,cg03873392,cg04492193,cg11660018,cg16611234,cg21161138,cg21322436,cg23161492,cg24090911,cg25189904	E033	1.00e+00
-2.798	9.99e-01	E033 Primary T cells from cord blood	Blood	H3K36me3	E033-H3K36me3.broadPeak.gz	cg04885881,cg07251887,cg20303561,cg26271591	E033	1.00e+00
1.664	7.28e-02	E034 Primary T cells from peripheral blood	Blood	H3K4me1	E034-H3K4me1.broadPeak.gz	cg01127300,cg01899089,cg01940273,cg03329539,cg03450842,cg03991871,cg04492193,cg04885881,cg05284742,cg05575921,cg06126421,cg06635952,cg09935388,cg10293293,cg11660018,cg12075928,cg14580211,cg14817490,cg15474579,cg16611234,cg19254163,cg19572487,cg20059012,cg20303561,cg21161138,cg21197336,cg21322436,cg23161492,cg25189904,cg25648203,cg26271591,cg26361535	E034	1.00e+00
-0.347	6.78e-01	E034 Primary T cells from peripheral blood	Blood	H3K4me3	E034-H3K4me3.broadPeak.gz	cg01127300,cg09935388,cg10293293,cg12075928,cg14817490,cg15474579,cg16611234,cg19572487,cg20059012,cg20303561,cg24838345,cg26271591,cg27252467	E034	1.00e+00
0.082	5.28e-01	E034 Primary T cells from peripheral blood	Blood	H3K9me3	E034-H3K9me3.broadPeak.gz	cg04172771,cg04885881,cg11207515,cg21161138,cg21322436,cg23161492,cg24838345,cg25602603,cg27252467	E034	1.00e+00
1.502	9.30e-02	E034 Primary T cells from peripheral blood	Blood	H3K27me3	E034-H3K27me3.broadPeak.gz	cg01899089,cg01940273,cg03329539,cg03364381,cg03450842,cg03636183,cg03873392,cg03991871,cg04172771,cg04492193,cg05284742,cg05575921,cg06126421,cg09935388,cg10293293,cg10691866,cg11660018,cg14462402,cg14817490,cg16611234,cg19254163,cg21161138,cg21197336,cg21322436,cg23161492,cg24090911,cg24838345,cg25189904,cg25648203,cg26703534,cg27252467	E034	1.00e+00
-0.386	6.99e-01	E034 Primary T cells from peripheral blood	Blood	H3K36me3	E034-H3K36me3.broadPeak.gz	cg03450842,cg03991871,cg04885881,cg05284742,cg07251887,cg07986378,cg09935388,cg14580211,cg19572487,cg20059012,cg20303561,cg26271591,cg26361535	E034	1.00e+00
