Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
-0.253	6.72e-01	E029 Primary monocytes from peripheral blood	Blood	H3K4me1	E029-H3K4me1.broadPeak.gz	cg01952989,cg02376269,cg03734035,cg05064665,cg07147063,cg08130668,cg10038542,cg11078433,cg11149743,cg13190531,cg16661579,cg19714762,cg19715081,cg21490179,cg22548088,cg22830707,cg23065793,cg24737639	E029	1.00e+00
2.161	5.12e-02	E029 Primary monocytes from peripheral blood	Blood	H3K4me3	E029-H3K4me3.broadPeak.gz	cg02376269,cg02672368,cg03432641,cg03734035,cg04484842,cg04777683,cg04879876,cg06459916,cg07147063,cg08130668,cg10038542,cg10835423,cg11078433,cg11149743,cg13190531,cg16661579,cg19714762,cg19715081,cg21490179,cg23065793,cg23808931,cg23890800,cg24737639,cg25585364,cg25861327,cg26687565	E029	1.00e+00
-0.888	8.62e-01	E029 Primary monocytes from peripheral blood	Blood	H3K9me3	E029-H3K9me3.broadPeak.gz	cg01952989,cg08130668,cg11149743,cg22830707,cg25928819	E029	1.00e+00
-1.729	9.73e-01	E029 Primary monocytes from peripheral blood	Blood	H3K27me3	E029-H3K27me3.broadPeak.gz	cg05064665,cg08130668,cg09062638,cg11149743,cg22830707,cg25928819	E029	1.00e+00
-0.983	8.38e-01	E029 Primary monocytes from peripheral blood	Blood	H3K36me3	E029-H3K36me3.broadPeak.gz	cg01952989	E029	1.00e+00
-0.001	5.82e-01	E032 Primary B cells from peripheral blood	Blood	H3K4me1	E032-H3K4me1.broadPeak.gz	cg02376269,cg02672368,cg03734035,cg05064665,cg06459916,cg07147063,cg08130668,cg11078433,cg11149743,cg13190531,cg16661579,cg19714762,cg19715081,cg21490179,cg22830707,cg23065793,cg23808931,cg24737639,cg25585364,cg25861327,cg26687565	E032	1.00e+00
1.924	7.07e-02	E032 Primary B cells from peripheral blood	Blood	H3K4me3	E032-H3K4me3.broadPeak.gz	cg02376269,cg02672368,cg03432641,cg03734035,cg04484842,cg04777683,cg04879876,cg05064665,cg06459916,cg07147063,cg08130668,cg10038542,cg10835423,cg11078433,cg11149743,cg13190531,cg16661579,cg19714762,cg19715081,cg21490179,cg23065793,cg23808931,cg23890800,cg24737639,cg25585364,cg25861327,cg26687565	E032	1.00e+00
-0.212	5.97e-01	E032 Primary B cells from peripheral blood	Blood	H3K9me3	E032-H3K9me3.broadPeak.gz	cg22830707,cg25928819	E032	1.00e+00
-1.661	9.65e-01	E032 Primary B cells from peripheral blood	Blood	H3K27me3	E032-H3K27me3.broadPeak.gz	cg05064665,cg08130668,cg09062638,cg11149743,cg22830707,cg25928819,cg26687565	E032	1.00e+00
-0.745	8.18e-01	E032 Primary B cells from peripheral blood	Blood	H3K36me3	E032-H3K36me3.broadPeak.gz	cg01952989,cg22548088	E032	1.00e+00
