Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
11.491	5.25e-20	E063 Adipose Nuclei	Adipose	TssA	erc2-chromatin15state-all-files/E063_1_TssA.bed	cg00035453,cg00040380,cg00128530,cg00143868,cg00235260,cg00375964,cg00400632,cg00470934,cg00532890,cg00611535,cg00688900,cg00754027,cg00763094,cg00876191,cg00885506,cg01033160,cg01052743,cg01088528,cg01171898,cg01175736,cg01302712,cg01353524,cg01368133,cg01372694,cg01449321,cg01523474,cg01618304,cg01683044,cg01758450,cg01785449,cg01833675,cg01928902,cg01970638,cg02042997,cg02247898,cg02398998,cg02494664,cg02501186,cg02537587,cg02537960,cg02576610,cg02584969,cg02633838,cg02659117,cg02722456,cg02953029,cg02973017,cg03037366,cg03420356,cg03426451,cg03925135,cg04112012,cg04284137,cg04332545,cg04387418,cg04512050,cg04685003,cg04855141,cg04867406,cg05152629,cg05164185,cg05341425,cg05364508,cg05399707,cg05431042,cg05605135,cg05797418,cg05912584,cg05931345,cg06060335,cg06085137,cg06257227,cg06281719,cg06286028,cg06414854,cg06416760,cg06815056,cg06890909,cg06956646,cg07044032,cg07264777,cg07325562,cg07338983,cg07388801,cg07504079,cg07506744,cg07530363,cg07774222,cg07845895,cg08048656,cg08136813,cg08294750,cg08593668,cg09484638,cg09571369,cg09664550,cg09679897,cg09715682,cg09781437,cg09992653,cg10040196,cg10250651,cg10263335,cg10291648,cg10362865,cg10549156,cg10585161,cg10706034,cg10847032,cg10878944,cg10894102,cg11075029,cg11177955,cg11217865,cg11499431,cg11510269,cg11564042,cg11581362,cg11669387,cg11683764,cg11696475,cg11737403,cg11798043,cg11971478,cg12034229,cg12286194,cg12311930,cg12458866,cg12482835,cg12710567,cg12730702,cg12802356,cg12805580,cg12848220,cg13108328,cg13124788,cg13124842,cg13183282,cg13497506,cg13503067,cg13580710,cg13677279,cg13755070,cg13840194,cg13859541,cg13955512,cg14004673,cg14241138,cg14522055,cg14747322,cg14906565,cg14938514,cg15104702,cg15371509,cg15376949,cg15482861,cg15621322,cg15693573,cg15695626,cg15701622,cg15775457,cg15923042,cg16010370,cg16061928,cg16078836,cg16083082,cg16121444,cg16242708,cg16328540,cg16442226,cg16449840,cg16535999,cg16542424,cg16601515,cg16664233,cg16705073,cg16880597,cg16974257,cg17026642,cg17100207,cg17127587,cg17152658,cg17226584,cg17372745,cg17484629,cg17689206,cg17850538,cg17949255,cg18136311,cg18144065,cg18184075,cg18323922,cg18327107,cg18803655,cg18843373,cg18887680,cg18978193,cg18997990,cg19045733,cg19108785,cg19131049,cg19157140,cg19160520,cg19187521,cg19239018,cg19305111,cg19320816,cg19383689,cg19517135,cg19597776,cg19871564,cg20482364,cg20656261,cg20742234,cg20781234,cg20856436,cg20858341,cg21109013,cg21209911,cg21510789,cg21595526,cg21703068,cg21703138,cg21703538,cg21877580,cg21919448,cg22025816,cg22084428,cg22251298,cg22296762,cg22314314,cg22334880,cg22443490,cg22521096,cg22618240,cg22736444,cg23053825,cg23098012,cg23359048,cg23546274,cg23729050,cg23730575,cg23752198,cg23805780,cg24136586,cg24176037,cg24241429,cg24337497,cg24406116,cg24540913,cg24666276,cg24806195,cg24828988,cg25100604,cg25209674,cg25234159,cg25291941,cg25309212,cg25432392,cg25433490,cg25514947,cg25577598,cg25645657,cg25646046,cg25905459,cg25965290,cg26088244,cg26306882,cg26491697,cg26530701,cg26569395,cg26670245,cg26683005,cg26776742,cg26812760,cg26815471,cg26829318,cg26884973,cg26910651,cg27031506,cg27077250,cg27249422,cg27565365,cg27619149,cg27656486	E063	6.66e-18
7.713	6.78e-11	E063 Adipose Nuclei	Adipose	TssAFlnk	erc2-chromatin15state-all-files/E063_2_TssAFlnk.bed	cg00011122,cg00045275,cg00125306,cg00129481,cg00171725,cg00172408,cg00174466,cg00194207,cg00333364,cg00355802,cg00376625,cg00453679,cg00462311,cg00705142,cg00720764,cg00756251,cg00763679,cg00798428,cg00876449,cg01207623,cg01521250,cg01775044,cg01778114,cg01838287,cg01848594,cg01900965,cg01997089,cg02259743,cg02393156,cg02393525,cg02456791,cg02628374,cg02632792,cg02636596,cg02689023,cg02697423,cg02705374,cg02848777,cg02956148,cg02993340,cg03386480,cg03397724,cg03496289,cg03526905,cg03528353,cg03547086,cg03638677,cg03639557,cg03744522,cg03975948,cg03976567,cg04076682,cg04102600,cg04114267,cg04199911,cg04229238,cg04246999,cg04306817,cg04352139,cg04465078,cg04473621,cg04581377,cg04733302,cg04759335,cg04783210,cg05039065,cg05097455,cg05165025,cg05400613,cg05569280,cg05598969,cg05759269,cg05778709,cg05795596,cg05906871,cg06085713,cg06121323,cg06131526,cg06203471,cg06272678,cg06368812,cg06536619,cg06541188,cg06610641,cg06685968,cg06742891,cg06746360,cg06760277,cg06853505,cg06856188,cg06900938,cg07220152,cg07226140,cg07335156,cg07390647,cg07466085,cg07488073,cg07636095,cg07663789,cg07689487,cg07914629,cg07933076,cg07980518,cg08104462,cg08201690,cg08209388,cg08269986,cg08386886,cg08400814,cg08412188,cg08528778,cg08540602,cg08678930,cg08711724,cg08769781,cg08940001,cg09008753,cg09074817,cg09668344,cg09869791,cg09936895,cg10137155,cg10319600,cg10382139,cg10538654,cg10558228,cg10636745,cg10851071,cg10875261,cg10883375,cg11000707,cg11032810,cg11042866,cg11332441,cg11441693,cg11462509,cg11743795,cg11754402,cg11758943,cg11768886,cg11794728,cg12002882,cg12583095,cg12984356,cg13031679,cg13063357,cg13380204,cg13396858,cg13598865,cg13643814,cg13670057,cg13716638,cg13755023,cg13813623,cg13834896,cg13855408,cg14148609,cg14214685,cg14257814,cg14418942,cg14529146,cg14582298,cg14631703,cg14817143,cg14964658,cg15068083,cg15264303,cg15418155,cg15526406,cg15538418,cg15600398,cg15686800,cg15755406,cg15880846,cg16296902,cg16505687,cg16517523,cg16699382,cg16744438,cg16928878,cg17155907,cg17357161,cg17454263,cg17921310,cg17955575,cg18082014,cg18445047,cg18866599,cg18872778,cg18924222,cg18945601,cg19102858,cg19120064,cg19303434,cg19631845,cg19722814,cg19750882,cg19799744,cg19803081,cg19877371,cg19921947,cg20160281,cg20248356,cg20270932,cg20565980,cg20639658,cg20648108,cg20716058,cg20734268,cg20967818,cg20973878,cg21093033,cg21194918,cg21254083,cg21571466,cg21740204,cg21908110,cg21972382,cg22031736,cg22322663,cg22444720,cg22509054,cg22593633,cg22650867,cg22712329,cg22730042,cg22818556,cg22871559,cg22958480,cg23097277,cg23156348,cg23179181,cg23241045,cg23251254,cg23276187,cg23581866,cg23667232,cg23743627,cg23768680,cg23881482,cg23881971,cg23982237,cg24432432,cg24482286,cg24507921,cg24792272,cg24823751,cg25128194,cg25588725,cg25683101,cg25741192,cg25836271,cg25952997,cg26076412,cg26083836,cg26127679,cg26373411,cg26531737,cg26594331,cg26633751,cg26788107,cg26821498,cg27019245,cg27215765,cg27247731,cg27449651,cg27561567	E063	7.51e-09
0.941	2.64e-01	E063 Adipose Nuclei	Adipose	TxFlnk	erc2-chromatin15state-all-files/E063_3_TxFlnk.bed	cg01814191,cg13657659,cg16153267,cg18949786	E063	1.00e+00
-2.039	9.95e-01	E063 Adipose Nuclei	Adipose	Tx	erc2-chromatin15state-all-files/E063_4_Tx.bed	cg00563768,cg01653419,cg01973725,cg02402141,cg02497584,cg02705752,cg04559485,cg05008570,cg06021189,cg06861200,cg07146103,cg07353306,cg09602753,cg09740815,cg10904028,cg11449735,cg12019814,cg12691427,cg16710124,cg18091465,cg18272377,cg18906283,cg19102404,cg19837214,cg20161996,cg21889078,cg21898343,cg23738424,cg25005279,cg27172808,ch.12.2105166R,ch.17.30079097F,ch.2.48386772R,ch.3.693217R,ch.4.111469F	E063	1.00e+00
-0.853	9.37e-01	E063 Adipose Nuclei	Adipose	TxWk	erc2-chromatin15state-all-files/E063_5_TxWk.bed	cg00163365,cg00470768,cg01303385,cg01460694,cg01802545,cg01942226,cg01963573,cg02738677,cg02795700,cg03492495,cg03771282,cg03801871,cg03871162,cg04400940,cg04715245,cg04806237,cg04932465,cg05469734,cg05596756,cg06338016,cg07245980,cg07575344,cg07733918,cg08018809,cg08066417,cg10318313,cg10328259,cg10483475,cg10493270,cg10700459,cg10967735,cg12277888,cg12683880,cg13690785,cg14079545,cg14270989,cg15334380,cg15512534,cg16492043,cg16900255,cg17076443,cg17633300,cg18803079,cg19188370,cg19510699,cg19734937,cg22087953,cg22247041,cg23260877,cg23488578,cg24141991,cg24908197,cg25402112,cg25652742,cg25827102,cg26690956,cg26807095,cg27378890,cg27536151,ch.20.44558307R,ch.22.436090R,ch.6.2771202R,ch.8.2842146R	E063	1.00e+00
-1.369	9.66e-01	E063 Adipose Nuclei	Adipose	EnhG	erc2-chromatin15state-all-files/E063_6_EnhG.bed	cg02951766,cg05157492,cg07097933,cg07471052,cg10126372	E063	1.00e+00
-3.465	1.00e+00	E063 Adipose Nuclei	Adipose	Enh	erc2-chromatin15state-all-files/E063_7_Enh.bed	cg01123186,cg01306662,cg01419499,cg02245119,cg02449727,cg02786368,cg06012730,cg06134410,cg07549162,cg08080660,cg08270099,cg08435936,cg08763584,cg11225090,cg11859594,cg12303341,cg14373727,cg16051651,cg16151362,cg16282160,cg16662489,cg19255053,cg19621460,cg19751754,cg21399021,cg21434807,cg22898082,cg23490077,cg24073074,cg25096745,cg26226555,ch.11.61132480F,ch.2.8227858R	E063	1.00e+00
-1.063	9.28e-01	E063 Adipose Nuclei	Adipose	ZNF-Rpts	erc2-chromatin15state-all-files/E063_8_ZNF-Rpts.bed	cg00873974,ch.12.1531371R	E063	1.00e+00
-0.832	8.89e-01	E063 Adipose Nuclei	Adipose	Het	erc2-chromatin15state-all-files/E063_9_Het.bed	cg07922204,cg15039510,cg22537343,cg24108215,ch.1.4414893F	E063	1.00e+00
-1.121	9.38e-01	E063 Adipose Nuclei	Adipose	TssBiv	erc2-chromatin15state-all-files/E063_10_TssBiv.bed	cg02250263,cg04304932,cg04718428,cg05414338,cg27556193	E063	1.00e+00
