Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
0.482	3.98e-01	E029 Primary monocytes from peripheral blood	Blood	H3K36me3	E029-H3K36me3.broadPeak.gz	cg01994208,cg07786220,cg13513622,cg16729631,cg18128887,cg23189692	E029	1.00e+00
3.484	1.87e-03	E032 Primary B cells from peripheral blood	Blood	H3K36me3	E032-H3K36me3.broadPeak.gz	cg00052684,cg02405193,cg07375358,cg07786220,cg13060970,cg13077031,cg13121392,cg13513622,cg16729631,cg18128887,cg20100745,cg20799095,cg22104744,cg23189692	E032	3.11e-01
0.161	5.19e-01	E033 Primary T cells from cord blood	Blood	H3K36me3	E033-H3K36me3.broadPeak.gz	cg02405193,cg07786220,cg16729631,cg20932630,cg22104744,cg23189692	E033	1.00e+00
2.544	1.82e-02	E034 Primary T cells from peripheral blood	Blood	H3K36me3	E034-H3K36me3.broadPeak.gz	cg01994208,cg02405193,cg07786220,cg13077031,cg13121392,cg16729631,cg17478979,cg18128887,cg20100745,cg20932630,cg22104744,cg23189692	E034	4.90e-01
1.941	6.08e-02	E046 Primary Natural Killer cells from peripheral 	Blood	H3K36me3	E046-H3K36me3.broadPeak.gz	cg01994208,cg02405193,cg07786220,cg13077031,cg13121392,cg16729631,cg20932630,cg22104744,cg23189692	E046	9.84e-01
-0.452	7.35e-01	E050 Primary hematopoietic stem cells G-CSF-mobili	Blood	H3K36me3	E050-H3K36me3.broadPeak.gz	cg07786220,cg18128887,cg20100745,cg20932630,cg23189692	E050	1.00e+00
0.603	3.53e-01	E051 Primary hematopoietic stem cells G-CSF-mobili	Blood	H3K36me3	E051-H3K36me3.broadPeak.gz	cg07375358,cg07786220,cg12230203,cg16729631,cg18128887,cg20932630,cg23189692	E051	1.00e+00
0.427	4.22e-01	E028 Breast variant Human Mammary Epithelial Cells	Breast	H3K36me3	E028-H3K36me3.broadPeak.gz	cg07786220,cg13077031,cg13121392,cg18128887,cg20932630,cg23189692	E028	1.00e+00
0.268	4.68e-01	E003 H1 Cells	ES Cell	H3K36me3	E003-H3K36me3.broadPeak.gz	cg02405193,cg06769150,cg13077031,cg13121392,cg17478979,cg20071505,cg20932630,cg23189692	E003	1.00e+00
-0.535	7.48e-01	E004 H1 BMP4 Derived Mesendoderm Cultured Cells	ES Cell	H3K36me3	E004-H3K36me3.broadPeak.gz	cg12230203,cg23189692	E004	1.00e+00
1.721	7.12e-02	E005 H1 BMP4 Derived Trophoblast Cultured Cells	ES Cell	H3K36me3	E005-H3K36me3.broadPeak.gz	cg01994208,cg02405193,cg07375358,cg07786220,cg13077031,cg13121392,cg13513622,cg16729631,cg17478979,cg18128887,cg20799095,cg22104744,cg23189692	E005	9.84e-01
0.590	3.50e-01	E006 H1 Derived Mesenchymal Stem Cells	ES Cell	H3K36me3	E006-H3K36me3.broadPeak.gz	cg00052684,cg02405193,cg07786220,cg13121392,cg13513622,cg16729631,cg18128887,cg20100745,cg20932630,cg21195450,cg22104744,cg23189692	E006	1.00e+00
-0.153	6.35e-01	E007 H1 Derived Neuronal Progenitor Cultured Cells	ES Cell	H3K36me3	E007-H3K36me3.broadPeak.gz	cg01994208,cg02405193,cg07375358,cg07786220,cg13121392,cg13513622,cg20932630,cg23189692,cg25345365	E007	1.00e+00
0.544	3.67e-01	E008 H9 Cells	ES Cell	H3K36me3	E008-H3K36me3.broadPeak.gz	cg00052684,cg02405193,cg07375358,cg07786220,cg13121392,cg13513622,cg17478979,cg18128887,cg20799095,cg20932630,cg21195450,cg22104744,cg23189692	E008	1.00e+00
2.369	2.00e-02	E085 Fetal Intestine Small	Feta Intestine Small	H3K36me3	E085-H3K36me3.broadPeak.gz	cg01994208,cg02405193,cg03915055,cg07375358,cg07786220,cg13077031,cg13121392,cg13513622,cg16729631,cg18128887,cg20100745,cg20799095,cg20932630,cg21195450,cg22104744,cg23189692	E085	4.90e-01
1.231	1.72e-01	E080 Fetal Adrenal Gland	Fetal Adrenal Gland	H3K36me3	E080-H3K36me3.broadPeak.gz	cg02405193,cg07375358,cg07786220,cg12230203,cg13121392,cg13513622,cg16729631,cg20100745,cg20932630,cg23189692	E080	1.00e+00
-0.682	8.14e-01	E081 Fetal Brain Male	Fetal Brain	H3K36me3	E081-H3K36me3.broadPeak.gz	cg20932630,cg23189692,cg25345365	E081	1.00e+00
0.387	4.32e-01	E082 Fetal Brain Female	Fetal Brain	H3K36me3	E082-H3K36me3.broadPeak.gz	cg01994208,cg02405193,cg07786220,cg13121392,cg13513622,cg20932630,cg23189692	E082	1.00e+00
