Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
8.221	6.93e-12	E063 Adipose Nuclei	Adipose	TssA	erc2-chromatin15state-all-files/E063_1_TssA.bed	cg00021237,cg00026974,cg00077299,cg00097536,cg00147578,cg00167275,cg00226754,cg00231920,cg00252696,cg00260647,cg00271154,cg00280548,cg00292435,cg00306421,cg00319567,cg00393376,cg00402069,cg00419759,cg00455883,cg00459447,cg00476986,cg00529946,cg00538370,cg00544734,cg00547077,cg00574907,cg00598261,cg00608467,cg00639286,cg00649827,cg00687252,cg00704909,cg00718440,cg00742472,cg00751288,cg00777537,cg00777895,cg00823995,cg00829944,cg00843623,cg00873521,cg00903375,cg00906435,cg00909976,cg00922781,cg00935924,cg00949554,cg00960509,cg00987699,cg00994411,cg01025599,cg01117833,cg01145709,cg01149132,cg01149896,cg01153979,cg01179631,cg01185138,cg01202751,cg01216607,cg01239717,cg01244944,cg01249180,cg01338834,cg01353569,cg01365762,cg01373292,cg01373691,cg01458686,cg01460557,cg01519164,cg01524091,cg01546046,cg01554453,cg01582807,cg01588546,cg01645753,cg01663225,cg01719123,cg01755728,cg01779076,cg01796104,cg01807919,cg01814186,cg01823956,cg01861096,cg01909487,cg01923740,cg01936090,cg01939479,cg01939664,cg01945391,cg01959412,cg01999086,cg02051077,cg02096656,cg02157667,cg02199589,cg02201215,cg02239805,cg02257675,cg02261604,cg02268424,cg02269221,cg02269272,cg02283485,cg02323694,cg02337499,cg02374837,cg02386183,cg02396143,cg02399652,cg02405530,cg02426912,cg02429398,cg02446681,cg02453779,cg02493614,cg02510736,cg02537106,cg02558424,cg02590295,cg02596190,cg02620228,cg02621020,cg02631680,cg02661258,cg02661426,cg02668708,cg02671671,cg02697074,cg02736602,cg02763798,cg02773019,cg02788401,cg02862354,cg02870950,cg02938524,cg02976543,cg02994645,cg02996314,cg03044510,cg03061024,cg03067068,cg03069383,cg03118206,cg03174294,cg03175653,cg03183872,cg03184439,cg03186339,cg03239591,cg03262242,cg03276167,cg03309721,cg03352657,cg03373091,cg03383661,cg03426840,cg03433712,cg03462171,cg03576787,cg03592197,cg03599547,cg03609269,cg03614734,cg03628186,cg03634887,cg03646922,cg03668558,cg03674076,cg03689054,cg03720887,cg03747177,cg03765692,cg03771185,cg03809994,cg03820205,cg03891330,cg03919779,cg03973167,cg03982544,cg04015759,cg04020984,cg04027074,cg04033706,cg04053862,cg04061197,cg04071446,cg04072768,cg04100724,cg04111177,cg04121495,cg04128307,cg04131734,cg04215179,cg04232674,cg04240267,cg04265407,cg04266779,cg04298626,cg04311227,cg04333213,cg04337412,cg04358923,cg04364540,cg04421424,cg04431387,cg04434568,cg04470905,cg04498032,cg04534813,cg04565464,cg04627240,cg04677326,cg04686114,cg04691540,cg04750593,cg04780909,cg04825775,cg04869206,cg04876451,cg04900785,cg04913443,cg04914305,cg04925824,cg04939294,cg04971418,cg05002041,cg05020775,cg05024413,cg05100916,cg05122605,cg05128992,cg05157171,cg05257479,cg05270119,cg05315865,cg05350358,cg05360402,cg05406635,cg05422897,cg05468351,cg05484920,cg05592363,cg05616754,cg05622441,cg05637536,cg05637795,cg05663122,cg05702448,cg05704155,cg05712403,cg05727959,cg05782078,cg05787931,cg05913197,cg05920090,cg05930162,cg05931684,cg05952120,cg05959525,cg06007320,cg06137672,cg06138422,cg06380355,cg06385874,cg06419771,cg06443863,cg06456512,cg06468476,cg06476093,cg06496078,cg06500355,cg06534285,cg06550102,cg06604058,cg06634950,cg06639788,cg06652850,cg06679003,cg06690633,cg06700871,cg06717492,cg06723301,cg06728098,cg06728674,cg06731730,cg06736685,cg06745235,cg06748231,cg06753227,cg06777853,cg06793581,cg06794263,cg06800444,cg06836181,cg06896619,cg06901526,cg06911519,cg06919790,cg06927324,cg06928838,cg06973234,cg07000551,cg07021777,cg07023327,cg07051329,cg07061579,cg07087156,cg07093111,cg07146119,cg07181902,cg07197864,cg07220085,cg07255356,cg07269724,cg07277818,cg07318453,cg07333905,cg07344583,cg07352798,cg07375367,cg07387199,cg07436753,cg07439409,cg07458698,cg07458712,cg07461160,cg07466433,cg07519721,cg07520141,cg07535605,cg07558287,cg07562458,cg07571970,cg07580707,cg07589166,cg07645461,cg07697662,cg07702548,cg07742134,cg07753245,cg07940793,cg07956936,cg07958926,cg07963361,cg08005943,cg08009993,cg08039701,cg08097417,cg08125682,cg08158076,cg08158524,cg08169394,cg08209163,cg08326301,cg08354699,cg08370718,cg08387285,cg08427928,cg08444731,cg08464824,cg08510077,cg08577517,cg08599294,cg08610201,cg08612601,cg08659621,cg08667777,cg08701515,cg08755283,cg08763433,cg08866402,cg08876479,cg08883955	E063	9.84e-10
3.060	2.32e-02	E063 Adipose Nuclei	Adipose	TssAFlnk	erc2-chromatin15state-all-files/E063_2_TssAFlnk.bed	cg00024722,cg00026230,cg00040423,cg00102920,cg00355633,cg00399650,cg00441754,cg00498603,cg00502932,cg00572487,cg00704288,cg00713294,cg00734800,cg00761755,cg00790928,cg00830767,cg00916439,cg00923803,cg01026613,cg01035689,cg01093329,cg01135780,cg01297808,cg01306985,cg01314194,cg01335042,cg01358551,cg01393327,cg01482912,cg01527159,cg01531665,cg01613965,cg01660676,cg01726103,cg01768179,cg01773951,cg01777630,cg02015876,cg02047359,cg02048674,cg02056921,cg02121330,cg02172824,cg02181963,cg02243437,cg02248325,cg02308112,cg02339297,cg02445447,cg02473395,cg02484047,cg02569759,cg02578312,cg02602480,cg02642298,cg02683363,cg02707669,cg02709717,cg02717570,cg02792602,cg02859866,cg02878439,cg02896705,cg02925229,cg02936451,cg02964396,cg03004280,cg03031933,cg03053597,cg03108496,cg03121168,cg03144560,cg03214080,cg03230579,cg03301282,cg03394401,cg03415695,cg03420286,cg03468541,cg03489495,cg03533382,cg03591798,cg03598754,cg03623155,cg03648679,cg03650154,cg03700121,cg03705947,cg03729853,cg03750606,cg03921416,cg03968699,cg04004830,cg04104609,cg04125208,cg04132452,cg04173992,cg04188862,cg04202802,cg04237075,cg04260924,cg04266864,cg04314525,cg04317977,cg04328477,cg04366385,cg04426007,cg04428535,cg04484579,cg04515913,cg04531254,cg04539241,cg04559178,cg04568613,cg04584833,cg04738309,cg04791747,cg04810377,cg04856096,cg04947578,cg04948627,cg04959815,cg05000748,cg05001908,cg05020822,cg05040544,cg05095774,cg05231098,cg05241025,cg05281338,cg05449217,cg05461259,cg05534678,cg05736236,cg05756109,cg05783854,cg05808815,cg05874478,cg05923184,cg05924191,cg05931265,cg05954989,cg05955675,cg06006623,cg06025835,cg06045225,cg06056004,cg06058923,cg06073094,cg06110578,cg06112779,cg06169648,cg06200777,cg06310844,cg06391107,cg06427502,cg06542686,cg06577251,cg06598631,cg06621373,cg06665941,cg06686029,cg06710900,cg06745957,cg06807989,cg06815976,cg06848185,cg06852575,cg06966660,cg06979550,cg06983551,cg07010359,cg07113322,cg07156929,cg07160044,cg07226679,cg07306881,cg07354253,cg07355551,cg07399355,cg07472772,cg07489134,cg07538946,cg07598522,cg07630649,cg07865517,cg07882382,cg07913310,cg07923459,cg07926482,cg07927839,cg07972541,cg08274589,cg08334153,cg08348387,cg08399230,cg08411512,cg08440521,cg08653403,cg08763126,cg08857201,cg08876591	E063	1.00e+00
2.111	6.43e-02	E063 Adipose Nuclei	Adipose	TxFlnk	erc2-chromatin15state-all-files/E063_3_TxFlnk.bed	cg00960580,cg04324758,cg06496222,cg07483523,cg07882184	E063	1.00e+00
-2.443	9.98e-01	E063 Adipose Nuclei	Adipose	Tx	erc2-chromatin15state-all-files/E063_4_Tx.bed	cg00161515,cg00350607,cg01747036,cg02051553,cg02603784,cg02619495,cg02675466,cg02778551,cg02846228,cg03071924,cg03181118,cg03716738,cg03829216,cg04013089,cg04635154,cg04781587,cg04864062,cg04902542,cg05538632,cg06420058,cg07066067,cg07274204,cg07892879,cg08073527,cg08351017	E063	1.00e+00
-2.216	9.99e-01	E063 Adipose Nuclei	Adipose	TxWk	erc2-chromatin15state-all-files/E063_5_TxWk.bed	cg00539325,cg00994389,cg01279426,cg01793617,cg01819787,cg02411582,cg02505596,cg03555487,cg03808043,cg03837726,cg03891268,cg03985484,cg04349117,cg04665204,cg04970839,cg05337998,cg05609414,cg05699123,cg05740793,cg05752819,cg06160841,cg06654498,cg06660652,cg06732976,cg06830415,cg06903151,cg07104116,cg07297567,cg07713849,cg08666333	E063	1.00e+00
-1.818	9.93e-01	E063 Adipose Nuclei	Adipose	EnhG	erc2-chromatin15state-all-files/E063_6_EnhG.bed	cg00671225,cg08035872	E063	1.00e+00
-2.343	9.99e-01	E063 Adipose Nuclei	Adipose	Enh	erc2-chromatin15state-all-files/E063_7_Enh.bed	cg00179576,cg00395140,cg01262133,cg01816191,cg02210038,cg02297747,cg02916409,cg03128332,cg04547205,cg04657325,cg04731120,cg04764907,cg05414442,cg06138195,cg06421526,cg06789048,cg06790019,cg06864005,cg07324633,cg07393674,cg07504545,cg07793537,cg08324115	E063	1.00e+00
0.338	4.81e-01	E063 Adipose Nuclei	Adipose	ZNF-Rpts	erc2-chromatin15state-all-files/E063_8_ZNF-Rpts.bed	cg01638235,cg02632809,cg03353863,cg08472559	E063	1.00e+00
0.406	4.74e-01	E063 Adipose Nuclei	Adipose	Het	erc2-chromatin15state-all-files/E063_9_Het.bed	cg01158415,cg04278444,cg05209192,cg06128043,cg06290265,cg07750813,cg08663007	E063	1.00e+00
0.955	2.94e-01	E063 Adipose Nuclei	Adipose	TssBiv	erc2-chromatin15state-all-files/E063_10_TssBiv.bed	cg00637687,cg01906015,cg03967192,cg04373587,cg04386144,cg05479582,cg05592035,cg05878337,cg05940231,cg06957130,cg07122172,cg07423602,cg07982935,cg08817168	E063	1.00e+00
-0.522	8.80e-01	E063 Adipose Nuclei	Adipose	BivFlnk	erc2-chromatin15state-all-files/E063_11_BivFlnk.bed	cg00123055,cg00437985,cg00472801,cg00748373,cg00794178,cg00814733,cg01083340,cg01131038,cg01462829,cg01566127,cg02151625,cg02327123,cg02334926,cg02542103,cg02646394,cg02723904,cg02836487,cg03015433,cg03222971,cg03259243,cg03575764,cg03746482,cg03983647,cg04063589,cg04285493,cg04413644,cg04617570,cg04652621,cg04803843,cg04920270,cg05621343,cg05796321,cg05849857,cg06226283,cg06524479,cg06542865,cg06585708,cg06636685,cg06652315,cg06858186,cg07370646,cg07417284,cg07519873,cg08185661,cg08272731,cg08532834,cg08555460,cg08577743	E063	1.00e+00
0.105	6.52e-01	E063 Adipose Nuclei	Adipose	EnhBiv	erc2-chromatin15state-all-files/E063_12_EnhBiv.bed	cg00448143,cg00503302,cg00668227,cg00786747,cg01467266,cg01487433,cg02120584,cg03220945,cg03442378,cg03637815,cg04047221,cg04344565,cg04656042,cg04759767,cg05011232,cg05262436,cg05349062,cg05577902,cg05786840,cg06626599,cg06631310,cg06826278,cg07094915,cg07355693,cg07570055,cg08555653,cg08577341,cg08751265	E063	1.00e+00
-2.045	9.98e-01	E063 Adipose Nuclei	Adipose	ReprPC	erc2-chromatin15state-all-files/E063_13_ReprPC.bed	cg00280814,cg00371453,cg00599702,cg00629514,cg01789478,cg02137583,cg02187712,cg02385840,cg02561482,cg02768390,cg02863073,cg03072621,cg03638905,cg03696599,cg03858673,cg03876032,cg03940157,cg04004632,cg04714638,cg04721302,cg05214685,cg05336115,cg05377998,cg05915794,cg07101354,cg07167946,cg07967679,cg08450752,cg08787268	E063	1.00e+00
-2.417	9.99e-01	E063 Adipose Nuclei	Adipose	ReprPCWk	erc2-chromatin15state-all-files/E063_14_ReprPCWk.bed	cg00205436,cg00320345,cg00422995,cg00511674,cg00525044,cg00599266,cg00786390,cg01116134,cg01356981,cg01363714,cg01600222,cg01981108,cg02265379,cg02351018,cg02390278,cg02475998,cg02507657,cg02639619,cg02650266,cg02952317,cg03289801,cg03325014,cg04454285,cg04533214,cg04585390,cg05260236,cg05564608,cg05595753,cg05849499,cg06082228,cg06638874,cg06644634,cg07131604,cg07207484,cg07266126,cg07368877,cg07665115,cg07737810,cg07785225,cg08180624,cg08285429	E063	1.00e+00
-2.032	9.96e-01	E063 Adipose Nuclei	Adipose	Quies	erc2-chromatin15state-all-files/E063_15_Quies.bed	cg00226085,cg00333870,cg00420847,cg00514514,cg00669746,cg00737992,cg00889778,cg00913521,cg01047040,cg01140149,cg01165560,cg01505312,cg01542423,cg01684233,cg01769354,cg01933421,cg02065970,cg02136723,cg02269636,cg02350644,cg02432101,cg02646665,cg02727104,cg02877856,cg03052431,cg03361633,cg03410772,cg03730280,cg04184107,cg04351185,cg04463911,cg04576847,cg04891165,cg04983459,cg05036183,cg05408886,cg05575220,cg05738750,cg05831907,cg05843966,cg05978071,cg05992412,cg06059332,cg06435604,cg06606548,cg06677120,cg06977935,cg07063914,cg07213548,cg07339229,cg07599579,cg07971827,cg08023476,cg08071595,cg08117436	E063	1.00e+00
