Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
3.003	6.18e-03	Acute_myeloid_leukemia	Bone Marrow	DHS	S005FH41.DNase.hotspot_v3.20130819.bed.gz	cg00159243,cg00490406,cg01409343,cg01598596,cg02538248,cg03660096,cg03819286,cg04848343,cg06164260,cg06383241,cg07398517,cg07558761,cg07573872,cg09349128,cg09849319,cg10926330,cg13745870,cg15551881,cg15901722,cg16292768,cg17501210,cg17588094,cg17602444,cg18513344,cg18995788,cg19821297,cg24002003,cg24129923,cg24954967,cg25739715,cg26340740,cg27310092,cg27661394	NA	4.36e-02
-0.083	5.76e-01	DG-75_Sporadic_Burkitt_lymphoma	Cell Line	DHS	BP_DG-75_d01.DNase.hotspot_v3.20130819.bed.gz	cg00490406,cg01409343,cg02249390,cg05166473,cg06383241,cg07558761,cg10460946,cg15551881,cg15809077,cg17588094,cg24002003,cg26340740	NA	1.00e+00
-0.542	7.39e-01	KARPAS-422_Germinal_Center_B-Cell-Like_Diffuse_Large_B-Cell_Lymphoma	Cell Line	DHS	bp_KARPAS-422_d01.DNase.hotspot_v3.20131126.bed.gz	cg01598596,cg04523589,cg06383241,cg07558761,cg07719512,cg09849319,cg15551881,cg17588094,cg26340740	NA	1.00e+00
0.172	4.80e-01	SU-DHL-5_Germinal_Center_B-Cell-Like_Diffuse_Large_B-Cell_Lymphoma	Cell Line	DHS	bp_SU-DHL-5_d01.DNase.hotspot_v3.20131126.bed.gz	cg00490406,cg01409343,cg01598596,cg02464912,cg02538248,cg06383241,cg07558761,cg10460946,cg10926330,cg12635790,cg15809077,cg24002003,cg24954967,cg26340740	NA	1.00e+00
1.006	2.01e-01	U-266_Multiple_myeloma	Cell Line	DHS	BP_U-266_d01.DNase.hotspot_v3.20130819.bed.gz	cg00490406,cg02464912,cg05166473,cg05272827,cg06164260,cg06383241,cg07558761,cg10460946,cg10926330,cg12170787,cg12635790,cg15809077,cg17588094,cg17901584,cg18482303,cg18513344,cg21727145,cg23114435,cg24002003,cg26340740,cg26804423,cg27023597,cg27307975,cg27310092	NA	1.00e+00
1.446	1.16e-01	Z-138_Mantle_cell_lymphoma	Cell Line	DHS	BP_Z-138_d01.DNase.hotspot_v3.20130819.bed.gz	cg00159243,cg00490406,cg01409343,cg02249390,cg02464912,cg02538248,cg03819286,cg03860038,cg05166473,cg06383241,cg07558761,cg07719512,cg09349128,cg10460946,cg10926330,cg10967866,cg12170787,cg12635790,cg15809077,cg17588094,cg23761815,cg24002003,cg24954967,cg26340740,cg27023597	NA	6.07e-01
2.750	1.41e-02	CD14_positive_CD16_negative_classical_monocyte	Cord Blood	DHS	C005PS4E.DNase.hotspot_v3.20130819.bed.gz	cg00159243,cg00490406,cg02538248,cg03860038,cg06164260,cg06383241,cg07719512,cg09349128,cg09849319,cg10045881,cg10926330,cg13745870,cg13781414,cg15551881,cg15901722,cg18995788,cg20510033,cg24954967,cg26340740,cg27310092	NA	8.59e-02
0.338	4.24e-01	CD34-negative_CD41-positive_CD42-positive_megakaryocyte_cell	Cord Blood	DHS	C006NS47.DNase.hotspot_v3.20130819.bed.gz	cg00159243,cg00506299,cg01026383,cg02464912,cg02538248,cg06164260,cg06383241,cg07372520,cg09349128,cg16536330,cg18513344,cg26804423,cg27310092	NA	1.00e+00
5.392	5.93e-06	CD14-positive_CD16-negative_classical_monocyte	Venous Blood	DHS	C001UY46.DNase.hotspot_v3.20130415.bed.gz	cg00159243,cg00490406,cg00506299,cg00705600,cg01026383,cg01409343,cg02650017,cg03819286,cg03860038,cg03940776,cg04523589,cg06164260,cg06383241,cg07558761,cg07719512,cg08289839,cg08352115,cg09349128,cg09849319,cg10045881,cg10926330,cg12635790,cg13745870,cg14237301,cg15551881,cg15809077,cg15901722,cg16267322,cg17588094,cg17602444,cg18995788,cg19821297,cg20995564,cg24954967,cg25739715,cg26340740,cg27310092,cg27661394	NA	7.90e-05
4.015	4.06e-04	CD14-positive_CD16-negative_classical_monocyte	Venous Blood	DHS	C0010K46.DNase.hotspot_v3.20130415.bed.gz	cg00159243,cg00490406,cg00506299,cg01026383,cg01409343,cg02538248,cg03860038,cg04321224,cg04523589,cg06164260,cg06383241,cg07558761,cg07698196,cg07719512,cg08289839,cg09349128,cg09849319,cg10926330,cg12635790,cg13354241,cg13745870,cg15551881,cg15809077,cg15901722,cg17602444,cg18995788,cg21727145,cg24954967,cg25739715,cg26340740,cg27310092	NA	3.74e-03
4.401	1.35e-04	CD14-positive_CD16-negative_classical_monocyte	Venous Blood	DHS	C0011I43.DNase.hotspot_v3.20130415.bed.gz	cg00159243,cg00490406,cg00705600,cg01026383,cg01409343,cg02538248,cg03819286,cg03860038,cg04523589,cg06164260,cg06383241,cg07558761,cg07719512,cg08363114,cg09349128,cg09849319,cg10045881,cg10460946,cg10926330,cg10967866,cg12635790,cg13745870,cg14237301,cg15551881,cg15809077,cg15901722,cg17588094,cg18995788,cg20995564,cg24954967,cg25739715,cg26340740,cg27310092	NA	1.47e-03
4.361	2.29e-04	CD14-positive_CD16-negative_classical_monocyte	Venous Blood	DHS	C004084E.DNase.hotspot_v3.20130415.bed.gz	cg00159243,cg00490406,cg01026383,cg01409343,cg03819286,cg03860038,cg06383241,cg07558761,cg07683636,cg07719512,cg08363114,cg09349128,cg09849319,cg10045881,cg10926330,cg12582317,cg12635790,cg13354241,cg15551881,cg15901722,cg20995564,cg23761815,cg24954967,cg25739715,cg26340740,cg26804423,cg27310092	NA	2.28e-03
9.738	3.44e-16	inflammatory_macrophage	Venous Blood	DHS	S001MJ4A.DNase.hotspot_v3.20130819.bed.gz	cg00159243,cg00490406,cg00506299,cg00705600,cg01026383,cg01409343,cg02464912,cg02538248,cg03819286,cg03860038,cg04321224,cg04389058,cg04523589,cg04848343,cg05279866,cg06164260,cg06383241,cg07398517,cg07558761,cg07573872,cg07683636,cg07698196,cg07719512,cg08289839,cg08352115,cg08363114,cg09018739,cg09349128,cg09849319,cg10045881,cg10460946,cg10926330,cg12170787,cg12582317,cg12635790,cg13745870,cg14237301,cg14849578,cg15551881,cg15809077,cg15901722,cg16267322,cg16292768,cg16536330,cg17588094,cg17602444,cg17901584,cg18518074,cg18860310,cg18995788,cg19821297,cg20995564,cg21340821,cg21727145,cg22877129,cg22959742,cg23761815,cg24002003,cg24129923,cg24954967,cg25621991,cg25739715,cg26340740,cg26804423,cg27023597,cg27310092,cg27469606,cg27661394	NA	4.12e-14
9.751	1.89e-15	inflammatory_macrophage	Venous Blood	DHS	S001MJ48.DNase.hotspot_v3.20130819.bed.gz	cg00159243,cg00490406,cg00506299,cg00705600,cg01026383,cg01409343,cg01598596,cg02464912,cg02538248,cg03819286,cg03860038,cg04321224,cg04523589,cg05279866,cg06164260,cg06383241,cg07398517,cg07558761,cg07573872,cg07683636,cg07698196,cg07719512,cg08289839,cg08352115,cg08363114,cg09018739,cg09349128,cg09849319,cg10045881,cg10926330,cg12170787,cg12635790,cg13745870,cg14237301,cg14849578,cg15551881,cg15809077,cg15901722,cg16267322,cg16292768,cg16536330,cg17501210,cg17588094,cg17602444,cg17901584,cg18518074,cg18860310,cg18995788,cg19821297,cg20995564,cg21340821,cg22488164,cg22877129,cg22959742,cg23761815,cg24129923,cg24954967,cg25621991,cg25739715,cg26340740,cg26804423,cg27023597,cg27310092,cg27661394	NA	1.13e-13
5.454	3.89e-06	macrophage_-_T_6days_B-glucan	Venous Blood	DHS	S00CTZ41.DNase.hotspot_v3.20141014.bed.gz	cg00159243,cg00490406,cg00506299,cg00705600,cg01026383,cg01409343,cg01598596,cg02538248,cg03819286,cg03860038,cg04523589,cg05279866,cg06164260,cg06383241,cg07558761,cg07683636,cg07719512,cg08352115,cg09349128,cg09849319,cg10045881,cg10460946,cg10926330,cg12635790,cg13745870,cg14237301,cg15551881,cg15809077,cg16267322,cg16536330,cg17602444,cg17901584,cg18995788,cg20995564,cg22959742,cg23761815,cg24002003,cg24954967,cg26340740,cg27310092,cg27661394	NA	5.83e-05
8.028	2.49e-11	macrophage_-_T_6days_B-glucan	Venous Blood	DHS	S00C0J41.DNase.hotspot_v3.20141014.bed.gz	cg00159243,cg00490406,cg00506299,cg00705600,cg01026383,cg01409343,cg01598596,cg02538248,cg03819286,cg03860038,cg04321224,cg04523589,cg05279866,cg06164260,cg06383241,cg07398517,cg07558761,cg07683636,cg07698196,cg07719512,cg08289839,cg08352115,cg08363114,cg09018739,cg09349128,cg09849319,cg10045881,cg10460946,cg10926330,cg12582317,cg12635790,cg13745870,cg14237301,cg15551881,cg15809077,cg15901722,cg16267322,cg16536330,cg17501210,cg17588094,cg17602444,cg18995788,cg19821297,cg20995564,cg21340821,cg22959742,cg23761815,cg24002003,cg24954967,cg25739715,cg26340740,cg26804423,cg27023597,cg27310092,cg27661394	NA	7.45e-10
3.989	7.52e-04	macrophage_-_T_6days_B-glucan	Venous Blood	DHS	S00HTF41.DNase.hotspot_v3.20141014.bed.gz	cg00490406,cg01026383,cg01409343,cg03819286,cg06164260,cg06383241,cg07398517,cg07558761,cg07719512,cg08352115,cg09849319,cg10045881,cg10926330,cg13745870,cg15551881,cg16267322,cg18995788,cg20995564,cg22959742,cg24954967,cg25739715,cg26340740,cg27023597	NA	6.44e-03
6.933	1.40e-08	macrophage_-_T_6days_B-glucan	Venous Blood	DHS	S00JS941.DNase.hotspot_v3.20141014.bed.gz	cg00490406,cg00506299,cg00705600,cg01026383,cg01409343,cg01598596,cg02538248,cg03819286,cg04523589,cg04848343,cg06164260,cg06383241,cg07398517,cg07683636,cg07719512,cg08289839,cg08352115,cg09349128,cg09849319,cg10926330,cg12635790,cg14237301,cg15809077,cg16267322,cg16536330,cg17602444,cg17901584,cg18518074,cg18995788,cg20995564,cg22959742,cg23761815,cg24954967,cg25739715,cg26340740,cg27023597,cg27310092	NA	3.34e-07
3.039	7.37e-03	macrophage_-_T_6days_LPS	Venous Blood	DHS	S00BYT41.DNase.hotspot_v3.20141014.bed.gz	cg00490406,cg01026383,cg01409343,cg01598596,cg03819286,cg04523589,cg06164260,cg06383241,cg07719512,cg08352115,cg08363114,cg09849319,cg10045881,cg13745870,cg14237301,cg15551881,cg16536330,cg20995564,cg22959742,cg24954967,cg25739715,cg26340740,cg27023597,cg27310092	NA	4.90e-02
5.622	3.82e-06	macrophage_-_T_6days_LPS	Venous Blood	DHS	S00CS041.DNase.hotspot_v3.20141014.bed.gz	cg00093829,cg00159243,cg00490406,cg00506299,cg00705600,cg01409343,cg01598596,cg03819286,cg04523589,cg06164260,cg06383241,cg07558761,cg07683636,cg07698196,cg07719512,cg08352115,cg09349128,cg09849319,cg10045881,cg10460946,cg10926330,cg12635790,cg13745870,cg14237301,cg15551881,cg15809077,cg16267322,cg16536330,cg17602444,cg17901584,cg18518074,cg18995788,cg20995564,cg24954967,cg25739715,cg26340740,cg27023597,cg27310092	NA	5.83e-05
