Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
-0.975	9.11e-01	E063 Adipose Nuclei	Adipose	TssA	erc2-chromatin15state-all-files/E063_1_TssA.bed	cg01409343,cg01598596,cg14237301,cg26340740	E063	1.00e+00
0.225	5.56e-01	E063 Adipose Nuclei	Adipose	TssAFlnk	erc2-chromatin15state-all-files/E063_2_TssAFlnk.bed	cg00093829,cg02464912,cg02991558,cg03612357,cg03819286,cg06092244,cg06383241,cg09349128,cg12170787,cg16536330,cg17901584,cg21727145	E063	1.00e+00
3.657	4.74e-03	E063 Adipose Nuclei	Adipose	TxFlnk	erc2-chromatin15state-all-files/E063_3_TxFlnk.bed	cg09994445,cg18518074,cg27023597	E063	5.86e-01
0.720	3.64e-01	E063 Adipose Nuclei	Adipose	Tx	erc2-chromatin15state-all-files/E063_4_Tx.bed	cg02213678,cg05166473,cg05399785,cg07573872,cg07683636,cg08289839,cg09481056,cg09849319,cg16743273,cg19283354,cg20671910,cg21421984,cg23761815,cg24129923	E063	1.00e+00
1.712	1.14e-01	E063 Adipose Nuclei	Adipose	TxWk	erc2-chromatin15state-all-files/E063_5_TxWk.bed	cg00094412,cg01026383,cg03940776,cg04638265,cg04848343,cg07372520,cg07558761,cg08450017,cg10967866,cg15082870,cg15551881,cg16305292,cg18482303,cg20937934,cg20995564,cg22488164,cg23729283,cg26426564,cg26804423,cg27310092	E063	1.00e+00
1.294	1.68e-01	E063 Adipose Nuclei	Adipose	EnhG	erc2-chromatin15state-all-files/E063_6_EnhG.bed	cg08363114,cg09018739,cg14849578,cg18860310	E063	1.00e+00
6.478	2.20e-07	E063 Adipose Nuclei	Adipose	Enh	erc2-chromatin15state-all-files/E063_7_Enh.bed	cg00159243,cg00506299,cg00705600,cg02097604,cg02538248,cg03860038,cg04389058,cg05272827,cg05279866,cg07698196,cg08176258,cg10045881,cg10460946,cg12635790,cg12992827,cg13316148,cg13781414,cg16267322,cg16292768,cg17501210,cg17588094,cg17602444,cg18995788,cg19821297,cg21340821,cg22877129,cg22959742,cg23689615,cg24002003,cg24954967,cg25739715,cg27469606	E063	2.28e-04
-2.627	1.00e+00	E063 Adipose Nuclei	Adipose	ZNF-Rpts	erc2-chromatin15state-all-files/E063_8_ZNF-Rpts.bed		E063	1.00e+00
-1.944	1.00e+00	E063 Adipose Nuclei	Adipose	Het	erc2-chromatin15state-all-files/E063_9_Het.bed		E063	1.00e+00
-2.204	1.00e+00	E063 Adipose Nuclei	Adipose	TssBiv	erc2-chromatin15state-all-files/E063_10_TssBiv.bed		E063	1.00e+00
-1.895	1.00e+00	E063 Adipose Nuclei	Adipose	BivFlnk	erc2-chromatin15state-all-files/E063_11_BivFlnk.bed		E063	1.00e+00
0.573	3.69e-01	E063 Adipose Nuclei	Adipose	EnhBiv	erc2-chromatin15state-all-files/E063_12_EnhBiv.bed	cg02650017,cg04321224,cg18513344	E063	1.00e+00
-1.806	9.90e-01	E063 Adipose Nuclei	Adipose	ReprPC	erc2-chromatin15state-all-files/E063_13_ReprPC.bed	cg10180440,cg10926330	E063	1.00e+00
-2.338	9.99e-01	E063 Adipose Nuclei	Adipose	ReprPCWk	erc2-chromatin15state-all-files/E063_14_ReprPCWk.bed	cg00490406,cg03660096,cg11393173,cg12582317,cg15901722,cg23114435,cg24430034	E063	1.00e+00
-1.832	9.91e-01	E063 Adipose Nuclei	Adipose	Quies	erc2-chromatin15state-all-files/E063_15_Quies.bed	cg01101459,cg01145119,cg01153613,cg04086394,cg04523589,cg07719512,cg08352115,cg13139542,cg13354241,cg15809077,cg19281794,cg20510033,cg23556574,cg23902264,cg25621991,cg25790365,cg27307975,cg27661394	E063	1.00e+00
-2.863	1.00e+00	E080 Fetal Adrenal Gland	Adrenal	TssA	erc2-chromatin15state-all-files/E080_1_TssA.bed		E080	1.00e+00
-0.943	9.07e-01	E080 Fetal Adrenal Gland	Adrenal	TssAFlnk	erc2-chromatin15state-all-files/E080_2_TssAFlnk.bed	cg01409343,cg02464912,cg17901584	E080	1.00e+00
-2.714	1.00e+00	E080 Fetal Adrenal Gland	Adrenal	TxFlnk	erc2-chromatin15state-all-files/E080_3_TxFlnk.bed		E080	1.00e+00
0.527	4.41e-01	E080 Fetal Adrenal Gland	Adrenal	Tx	erc2-chromatin15state-all-files/E080_4_Tx.bed	cg02097604,cg02213678,cg05166473,cg05399785,cg07558761,cg07573872,cg07683636,cg08289839,cg08450017,cg09849319,cg19283354,cg20671910,cg21421984,cg24129923	E080	1.00e+00
1.681	1.16e-01	E080 Fetal Adrenal Gland	Adrenal	TxWk	erc2-chromatin15state-all-files/E080_5_TxWk.bed	cg01026383,cg03819286,cg04086394,cg04848343,cg06092244,cg08176258,cg08352115,cg10967866,cg12635790,cg12992827,cg15551881,cg18482303,cg25621991,cg26426564,cg27310092	E080	1.00e+00
2.420	4.14e-02	E080 Fetal Adrenal Gland	Adrenal	EnhG	erc2-chromatin15state-all-files/E080_6_EnhG.bed	cg08363114,cg09018739,cg14849578,cg16292768,cg18518074,cg20995564,cg27023597,cg27469606	E080	1.00e+00
6.148	9.62e-07	E080 Fetal Adrenal Gland	Adrenal	Enh	erc2-chromatin15state-all-files/E080_7_Enh.bed	cg00093829,cg00159243,cg00506299,cg01598596,cg02538248,cg03612357,cg03660096,cg03860038,cg04389058,cg04523589,cg06383241,cg07372520,cg07698196,cg09349128,cg10460946,cg12170787,cg13354241,cg16536330,cg17588094,cg18860310,cg18995788,cg19821297,cg20510033,cg23556574,cg23689615,cg23729283,cg23761815,cg23902264,cg24002003,cg24954967	E080	7.09e-04
-0.639	5.80e-01	E080 Fetal Adrenal Gland	Adrenal	ZNF-Rpts	erc2-chromatin15state-all-files/E080_8_ZNF-Rpts.bed	cg16743273	E080	1.00e+00
-1.902	1.00e+00	E080 Fetal Adrenal Gland	Adrenal	Het	erc2-chromatin15state-all-files/E080_9_Het.bed		E080	1.00e+00
0.443	3.29e-01	E080 Fetal Adrenal Gland	Adrenal	TssBiv	erc2-chromatin15state-all-files/E080_10_TssBiv.bed	cg14237301,cg26340740	E080	1.00e+00
-1.568	9.79e-01	E080 Fetal Adrenal Gland	Adrenal	BivFlnk	erc2-chromatin15state-all-files/E080_11_BivFlnk.bed	cg02650017	E080	1.00e+00
1.371	1.69e-01	E080 Fetal Adrenal Gland	Adrenal	EnhBiv	erc2-chromatin15state-all-files/E080_12_EnhBiv.bed	cg02991558,cg05272827,cg09994445,cg10926330,cg13781414,cg17602444,cg21727145,cg22959742,cg25739715	E080	1.00e+00
-1.421	9.75e-01	E080 Fetal Adrenal Gland	Adrenal	ReprPC	erc2-chromatin15state-all-files/E080_13_ReprPC.bed	cg00094412,cg01145119,cg03940776,cg04321224,cg05279866,cg10180440,cg13316148,cg16267322,cg16305292,cg18513344,cg20937934,cg27307975	E080	1.00e+00
-0.418	7.90e-01	E080 Fetal Adrenal Gland	Adrenal	ReprPCWk	erc2-chromatin15state-all-files/E080_14_ReprPCWk.bed	cg00705600,cg07719512,cg09481056,cg11393173,cg12582317,cg15082870,cg15809077,cg15901722,cg21340821,cg22877129,cg23114435,cg25790365,cg27661394	E080	1.00e+00
-1.407	9.68e-01	E080 Fetal Adrenal Gland	Adrenal	Quies	erc2-chromatin15state-all-files/E080_15_Quies.bed	cg00490406,cg01101459,cg01153613,cg04638265,cg10045881,cg13139542,cg17501210,cg19281794,cg22488164,cg24430034,cg26804423	E080	1.00e+00
-1.060	9.19e-01	E029 Primary monocytes from peripheral blood	Blood	TssA	erc2-chromatin15state-all-files/E029_1_TssA.bed	cg00093829,cg01409343,cg14237301	E029	1.00e+00
-0.123	6.73e-01	E029 Primary monocytes from peripheral blood	Blood	TssAFlnk	erc2-chromatin15state-all-files/E029_2_TssAFlnk.bed	cg04321224,cg06383241,cg09349128,cg09849319,cg25739715,cg26340740	E029	1.00e+00
