Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
6.565	3.64e-09	CD3	Blood	DHS	UW.CD3_Primary_Cells.ChromatinAccessibility.CB1_1-3-2011.DS17702.twopass.merge150.wgt10.zgt2.wig.gz	cg00218406,cg00221794,cg00340855,cg00490406,cg00741986,cg01127300,cg01243823,cg01309328,cg01357892,cg01517384,cg01595951,cg01649611,cg02010481,cg02716826,cg03124318,cg03290827,cg04993082,cg05439368,cg05554494,cg06362313,cg07839457,cg08683263,cg08818207,cg08850169,cg08904394,cg08913523,cg09912552,cg11354682,cg12054453,cg12170787,cg12269535,cg12394289,cg12483947,cg13031097,cg13823169,cg13984040,cg16306654,cg17803993,cg17972213,cg20316440,cg20408175,cg20408505,cg22953759,cg23172671,cg23599026,cg23648810,cg23691006,cg24691964,cg24704287,cg26392102,cg26470501,cg27023597	GSM701525	5.25e-07
5.190	3.85e-06	CD3	Blood	DHS	UW.CD3_Primary_Cells.ChromatinAccessibility.CB6_1-4-2011.DS17706.twopass.merge150.wgt10.zgt2.wig.gz	cg00218406,cg00221794,cg00340855,cg00490406,cg00741986,cg00959259,cg01127300,cg01243823,cg01309328,cg01357892,cg01517384,cg01595951,cg01904393,cg02010481,cg03124318,cg04993082,cg05400196,cg05439368,cg06362313,cg07839457,cg08683263,cg08904394,cg08913523,cg11354682,cg12170787,cg12269535,cg12394289,cg12419318,cg12483947,cg12728588,cg13028635,cg13031097,cg13823169,cg13984040,cg14140379,cg16306654,cg16448702,cg17803993,cg17972213,cg18181703,cg20316440,cg20408175,cg20408505,cg20595453,cg22953759,cg23387863,cg23691006,cg24704287	GSM701526	3.01e-04
5.358	1.50e-06	CD3	Blood	DHS	UW.CD3_Primary_Cells.ChromatinAccessibility.RO_01679.DS17198.twopass.merge150.wgt10.zgt2.wig.gz	cg00218406,cg00221794,cg00340855,cg00490406,cg00741986,cg01127300,cg01243823,cg01309328,cg01498832,cg01517384,cg01595951,cg02716826,cg03124318,cg04993082,cg05439368,cg05554494,cg06362313,cg07839457,cg08683263,cg08818207,cg08850169,cg11354682,cg12054453,cg12170787,cg12269535,cg12394289,cg12483947,cg12728588,cg13028635,cg13031097,cg13823169,cg13984040,cg16306654,cg17803993,cg17972213,cg20408175,cg20408505,cg20595453,cg22953759,cg23172671,cg23599026,cg23648810,cg23691006,cg23876292,cg24691964,cg24704287,cg26392102,cg26470501,cg27023597	GSM665837	1.23e-04
6.666	1.46e-09	CD3	Blood	DHS	UW.CD3_Primary_Cells.ChromatinAccessibility.RO_01701.DS17534.twopass.merge150.wgt10.zgt2.wig.gz	cg00218406,cg00221794,cg00340855,cg00490406,cg00741986,cg01127300,cg01243823,cg01252219,cg01309328,cg01357892,cg01498832,cg01517384,cg01595951,cg01616956,cg01904393,cg02010481,cg02297838,cg02716826,cg03124318,cg03290827,cg04993082,cg05439368,cg06362313,cg07333021,cg07839457,cg08507178,cg08683263,cg08818207,cg08850169,cg08894588,cg08913523,cg11354682,cg12054453,cg12170787,cg12269535,cg12394289,cg12483947,cg12728588,cg12949141,cg13028635,cg13031097,cg13823169,cg13984040,cg16306654,cg17394978,cg17803993,cg17972213,cg18181703,cg19604369,cg20098015,cg20316440,cg20408175,cg20408505,cg20595453,cg22953759,cg23172671,cg23599026,cg23648810,cg23876292,cg24691964,cg24704287,cg24707200,cg25353281,cg25533551,cg26392102,cg26470501,cg27023597	GSM701516	2.74e-07
6.657	1.42e-09	CD4_Mobilised;	Blood	DHS	UW.Mobilized_CD4_Primary_Cells.ChromatinAccessibility.RO_01679.DS16955.twopass.merge150.wgt10.zgt2.wig.gz	cg00218406,cg00221794,cg00340855,cg00490406,cg00741986,cg00959259,cg01127300,cg01243823,cg01309328,cg01357892,cg01517384,cg01595951,cg01649611,cg01904393,cg02010481,cg02088996,cg02297838,cg02656560,cg02716826,cg03124318,cg04993082,cg05400196,cg05439368,cg06362313,cg07839457,cg08683263,cg08850169,cg08904394,cg08913523,cg09586924,cg10601943,cg11354682,cg12054453,cg12170787,cg12269535,cg12394289,cg12419318,cg12483947,cg12728588,cg12949141,cg13028635,cg13031097,cg13823169,cg13984040,cg14016418,cg16306654,cg17803993,cg17972213,cg18181703,cg18650626,cg20316440,cg20408175,cg20408505,cg22129276,cg22953759,cg23172671,cg23547429,cg23599026,cg23691006,cg23876292,cg24691964,cg24704287,cg24707200,cg25353281,cg25533551,cg26392102,cg26470501,cg27023597	GSM701489	2.74e-07
7.357	2.40e-10	CD4_Mobilised;	Blood	DHS	UW.Mobilized_CD4_Primary_Cells.ChromatinAccessibility.RO_01701.DS17175.twopass.merge150.wgt10.zgt2.wig.gz	cg00218406,cg00221794,cg00340855,cg00490406,cg00741986,cg01127300,cg01243823,cg01309328,cg01357892,cg01517384,cg01595951,cg01649611,cg01904393,cg02010481,cg02088996,cg02656560,cg02716826,cg03124318,cg04993082,cg05439368,cg05554494,cg06362313,cg07839457,cg08683263,cg08850169,cg08904394,cg08913523,cg09586924,cg11354682,cg12054453,cg12170787,cg12269535,cg12394289,cg12419318,cg12483947,cg12728588,cg12949141,cg13028635,cg13031097,cg13823169,cg13984040,cg16306654,cg17803993,cg17972213,cg18181703,cg20316440,cg20408175,cg20408505,cg20595453,cg22129276,cg22953759,cg23172671,cg23387863,cg23480341,cg23599026,cg23691006,cg24691964,cg24704287,cg25353281,cg25533551,cg26392102,cg27023597	GSM701491	6.44e-08
7.348	6.82e-11	CD4	Blood	DHS	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01549.DS15947.twopass.merge150.wgt10.zgt2.wig.gz	cg00218406,cg00221794,cg00340855,cg00490406,cg00741986,cg00959259,cg01127300,cg01243823,cg01309328,cg01357892,cg01517384,cg01595951,cg01616956,cg01649611,cg01904393,cg02088996,cg02656560,cg02716826,cg03124318,cg04993082,cg05439368,cg05554494,cg06362313,cg07839457,cg08683263,cg08818207,cg08850169,cg08913523,cg10601943,cg11354682,cg12054453,cg12170787,cg12269535,cg12394289,cg12483947,cg12728588,cg12949141,cg13028635,cg13031097,cg13823169,cg13984040,cg16306654,cg17803993,cg17972213,cg18181703,cg20316440,cg20408175,cg20408505,cg22129276,cg22953759,cg23172671,cg23480341,cg23547429,cg23599026,cg23691006,cg23876292,cg24691964,cg24704287,cg25533551,cg26470501,cg26508465,cg27023597	GSM665812	2.14e-08
8.102	8.29e-13	CD4	Blood	DHS	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01679.DS17212.twopass.merge150.wgt10.zgt2.wig.gz	cg00218406,cg00221794,cg00340855,cg00490406,cg00741986,cg01127300,cg01243823,cg01309328,cg01357892,cg01498832,cg01517384,cg01595951,cg01649611,cg01904393,cg02088996,cg02656560,cg02716826,cg03124318,cg04993082,cg05439368,cg05554494,cg06362313,cg08683263,cg08818207,cg08850169,cg08913523,cg09586924,cg10601943,cg11354682,cg12054453,cg12170787,cg12269535,cg12394289,cg12419318,cg12483947,cg12728588,cg12949141,cg13028635,cg13031097,cg13359998,cg13823169,cg13984040,cg14140379,cg16306654,cg17394978,cg17803993,cg17972213,cg18181703,cg20316440,cg20408175,cg20408505,cg22129276,cg22953759,cg23172671,cg23480341,cg23547429,cg23599026,cg23691006,cg23876292,cg24691964,cg24704287,cg25353281,cg26392102,cg26607897,cg27023597	GSM665839	7.78e-10
4.164	9.88e-05	CD4	Blood	DHS	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01689.DS17329.twopass.merge150.wgt10.zgt2.wig.gz	cg00218406,cg00221794,cg00340855,cg00490406,cg00741986,cg01127300,cg01243823,cg01309328,cg01357892,cg01517384,cg01616956,cg01904393,cg02010481,cg02716826,cg03124318,cg04993082,cg05439368,cg05554494,cg06362313,cg07839457,cg08850169,cg08894588,cg08904394,cg08913523,cg12054453,cg12170787,cg12269535,cg12394289,cg12419318,cg12483947,cg12728588,cg12949141,cg13031097,cg13823169,cg13984040,cg16306654,cg16909914,cg17803993,cg17972213,cg18181703,cg19805160,cg20316440,cg20408175,cg20408505,cg20898283,cg22953759,cg23172671,cg23387863,cg23599026,cg24691964,cg24704287,cg25353281,cg25533551,cg26470501,cg27023597	GSM817166	4.42e-03
5.405	8.75e-07	CD4	Blood	DHS	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01701.DS17881.twopass.merge150.wgt10.zgt2.wig.gz	cg00218406,cg00221794,cg00340855,cg00490406,cg00741986,cg01127300,cg01243823,cg01309328,cg01357892,cg01517384,cg01616956,cg01649611,cg01904393,cg02088996,cg02656560,cg02716826,cg04993082,cg05439368,cg05554494,cg06362313,cg07839457,cg08683263,cg08850169,cg08904394,cg08913523,cg09610644,cg10601943,cg12054453,cg12170787,cg12269535,cg12394289,cg12483947,cg12949141,cg13031097,cg13359998,cg13823169,cg13984040,cg16306654,cg17803993,cg17972213,cg18181703,cg20316440,cg20408175,cg20408505,cg20595453,cg22129276,cg22953759,cg23172671,cg23547429,cg23599026,cg23691006,cg24691964,cg24704287,cg25533551,cg26392102,cg27023597,cg27660627	GSM701539	7.82e-05
