Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
9.150	1.06e-10	E029 Primary monocytes from peripheral blood	Blood	DHS	E029-DNase.hotspot.fdr0.01.broad.bed.gz	cg00052684,cg01680062,cg03574890,cg04175911,cg05639088,cg07475825,cg08552853,cg09412707,cg09432792,cg12896170,cg15002347,cg15135194,cg15920942,cg17555274,cg20292908,cg20361768,cg22885409,cg27459630	E029	1.77e-08
-0.295	6.69e-01	E032 Primary B cells from peripheral blood	Blood	DHS	E032-DNase.hotspot.fdr0.01.broad.bed.gz	cg07475825,cg09432792,cg15920942	E032	1.00e+00
1.838	7.74e-02	E033 Primary T cells from cord blood	Blood	DHS	E033-DNase.hotspot.fdr0.01.broad.bed.gz	cg00052684,cg03574890,cg07475825,cg09432792,cg12896170,cg15920942	E033	6.42e-01
1.041	2.19e-01	E034 Primary T cells from peripheral blood	Blood	DHS	E034-DNase.hotspot.fdr0.01.broad.bed.gz	cg00052684,cg03574890,cg08552853,cg09432792,cg12896170	E034	1.00e+00
5.381	3.49e-05	E046 Primary Natural Killer cells from peripheral 	Blood	DHS	E046-DNase.hotspot.fdr0.01.broad.bed.gz	cg00052684,cg03574890,cg05639088,cg07475825,cg08552853,cg09432792,cg12896170,cg15002347,cg15135194,cg15920942,cg17555274,cg27459630	E046	9.65e-04
3.229	4.76e-03	E050 Primary hematopoietic stem cells G-CSF-mobili	Blood	DHS	E050-DNase.hotspot.fdr0.01.broad.bed.gz	cg00052684,cg03574890,cg04175911,cg05639088,cg07475825,cg09432792,cg12896170,cg15002347,cg15920942,cg27459630	E050	6.33e-02
1.021	2.29e-01	E051 Primary hematopoietic stem cells G-CSF-mobili	Blood	DHS	E051-DNase.hotspot.fdr0.01.broad.bed.gz	cg00052684,cg03574890,cg07475825,cg09432792,cg15002347	E051	1.00e+00
5.533	4.75e-06	E028 Breast variant Human Mammary Epithelial Cells	Breast	DHS	E028-DNase.hotspot.fdr0.01.broad.bed.gz	cg00052684,cg01680062,cg03574890,cg04175911,cg05639088,cg07475825,cg08552853,cg09412707,cg09432792,cg12896170,cg15002347,cg15848159,cg15920942,cg17555274,cg22885409,cg27459630	E028	1.97e-04
-0.203	6.48e-01	E003 H1 Cells	ES Cell	DHS	E003-DNase.hotspot.fdr0.01.broad.bed.gz	cg02936755,cg07475825,cg09432792,cg15848159	E003	1.00e+00
2.195	3.37e-02	E004 H1 BMP4 Derived Mesendoderm Cultured Cells	ES Cell	DHS	E004-DNase.hotspot.fdr0.01.broad.bed.gz	cg02534167,cg03574890,cg05639088,cg07475825,cg09412707,cg09432792,cg12896170,cg15848159,cg22885409,cg27167895	E004	3.11e-01
3.162	4.96e-03	E005 H1 BMP4 Derived Trophoblast Cultured Cells	ES Cell	DHS	E005-DNase.hotspot.fdr0.01.broad.bed.gz	cg03574890,cg04175911,cg05639088,cg07475825,cg09412707,cg09432792,cg12896170,cg15848159,cg22885409	E005	6.33e-02
4.395	1.45e-04	E006 H1 Derived Mesenchymal Stem Cells	ES Cell	DHS	E006-DNase.hotspot.fdr0.01.broad.bed.gz	cg00052684,cg01680062,cg03574890,cg05639088,cg07475825,cg08552853,cg09412707,cg09432792,cg12896170,cg15002347,cg15848159,cg17555274,cg22885409,cg27459630	E006	3.01e-03
0.326	4.45e-01	E007 H1 Derived Neuronal Progenitor Cultured Cells	ES Cell	DHS	E007-DNase.hotspot.fdr0.01.broad.bed.gz	cg00052684,cg02936755,cg07475825,cg09432792	E007	1.00e+00
0.119	5.25e-01	E008 H9 Cells	ES Cell	DHS	E008-DNase.hotspot.fdr0.01.broad.bed.gz	cg02936755,cg05639088,cg07475825,cg09432792,cg15848159	E008	1.00e+00
1.615	9.14e-02	E085 Fetal Intestine Small	Feta Intestine Small	DHS	E085-DNase.hotspot.fdr0.01.broad.bed.gz	cg00052684,cg03574890,cg05639088,cg09412707,cg12896170,cg20292908,cg22885409	E085	7.22e-01
3.997	4.78e-04	E080 Fetal Adrenal Gland	Fetal Adrenal Gland	DHS	E080-DNase.hotspot.fdr0.01.broad.bed.gz	cg00052684,cg03574890,cg04175911,cg05639088,cg07475825,cg09412707,cg09432792,cg12896170,cg15848159,cg15920942,cg17555274,cg22885409,cg27459630	E080	7.93e-03
0.314	4.40e-01	E081 Fetal Brain Male	Fetal Brain	DHS	E081-DNase.hotspot.fdr0.01.broad.bed.gz	cg02534167,cg03489069,cg05639088,cg09432792	E081	1.00e+00
-0.215	6.47e-01	E082 Fetal Brain Female	Fetal Brain	DHS	E082-DNase.hotspot.fdr0.01.broad.bed.gz	cg02534167,cg03489069,cg09432792	E082	1.00e+00
1.517	1.03e-01	E083 Fetal Heart	Fetal Heart	DHS	E083-DNase.hotspot.fdr0.01.broad.bed.gz	cg00052684,cg02936755,cg03574890,cg05639088,cg09432792,cg12547959,cg12896170,cg15848159,cg20361768	E083	7.79e-01
2.659	1.76e-02	E084 Fetal Intestine Large	Fetal Intestine Large	DHS	E084-DNase.hotspot.fdr0.01.broad.bed.gz	cg00052684,cg03361294,cg03574890,cg05639088,cg07475825,cg09412707,cg09432792,cg12896170,cg22885409	E084	1.83e-01
-1.231	9.39e-01	E086 Fetal Kidney	Fetal Kidney	DHS	E086-DNase.hotspot.fdr0.01.broad.bed.gz	cg00052684,cg09432792	E086	1.00e+00
0.073	5.41e-01	E088 Fetal Lung	Fetal Lung	DHS	E088-DNase.hotspot.fdr0.01.broad.bed.gz	cg00052684,cg02534167,cg05639088,cg09432792,cg09541576,cg20292908	E088	1.00e+00
-1.140	9.33e-01	E090 Fetal Muscle Leg	Fetal Muscle Leg	DHS	E090-DNase.hotspot.fdr0.01.broad.bed.gz	cg05639088,cg09412707,cg09432792	E090	1.00e+00
