Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
3.680	8.40e-04	HTR8svn	Blastula	DHS	wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	cg00574412,cg00574958,cg00716257,cg01055562,cg02711608,cg03068497,cg03339609,cg03519879,cg03725309,cg05603985,cg05784862,cg06599169,cg07022048,cg07626482,cg08255475,cg09646173,cg10589813,cg11028923,cg11068337,cg11376147,cg12554573,cg13409704,cg13823169,cg16541026,cg18120259,cg18125510,cg18302606,cg18824549,cg19939077,cg20479063,cg20520115,cg20813374,cg21626848,cg22197830,cg22821355,cg24058132,cg24332710,cg24848615,cg26043149,cg26103104,cg26841068,cg27637303	GSM816644	6.76e-03
5.137	3.76e-07	Adult_CD4+	Blood	DHS	Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig	cg00071950,cg00422488,cg00574412,cg00574958,cg00711496,cg00716257,cg01243823,cg01881899,cg02711608,cg03068497,cg03082813,cg03339609,cg03387723,cg03519879,cg03725309,cg03935116,cg04367503,cg04463638,cg04625615,cg05201185,cg05603985,cg05784862,cg06023661,cg06178669,cg06983052,cg07022048,cg07626482,cg08255475,cg09929238,cg10589813,cg11028923,cg11068337,cg11376147,cg12340144,cg12554573,cg12729894,cg13409704,cg13823169,cg14476101,cg16541026,cg18033416,cg18120259,cg18125510,cg18302606,cg18660898,cg19939077,cg20479063,cg21201109,cg21626848,cg21795255,cg22103219,cg22197830,cg22821355,cg23913963,cg24058132,cg24332710,cg24848615,cg26043149,cg26103104,cg26470501,cg26669717,cg26841068,cg27637303	Lookup	1.06e-05
6.031	2.28e-07	CD14+	Blood	DHS	CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig	cg00071950,cg00422488,cg00574412,cg00574958,cg00622166,cg00711496,cg00716257,cg01055562,cg01243823,cg01881899,cg02583484,cg02711608,cg03068497,cg03339609,cg03519879,cg03725309,cg03935116,cg05201185,cg05603985,cg06023661,cg06178669,cg06690548,cg06983052,cg07022048,cg07626482,cg08255475,cg08257009,cg10589813,cg11028923,cg11068337,cg11376147,cg12554573,cg13409704,cg13823169,cg17061862,cg18033416,cg18120259,cg18125510,cg18302606,cg18660898,cg19939077,cg20520115,cg20813374,cg22197830,cg22821355,cg23913963,cg24058132,cg24332710,cg24711224,cg26043149,cg26669717,cg26841068	Lookup	7.01e-06
6.365	1.01e-08	CD20+	Blood	DHS	CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig	cg00071950,cg00422488,cg00574412,cg00574958,cg00622166,cg00716257,cg01055562,cg01243823,cg01881899,cg02711608,cg03082813,cg03339609,cg03387723,cg03519879,cg03725309,cg03935116,cg04367503,cg04625615,cg05288253,cg05603985,cg05784862,cg06023661,cg06178669,cg06599169,cg06983052,cg07626482,cg08255475,cg08257009,cg10589813,cg11028923,cg11068337,cg11376147,cg12554573,cg12825509,cg13409704,cg13823169,cg14476101,cg15396367,cg16375541,cg16541026,cg17061862,cg18033416,cg18125510,cg18302606,cg18660898,cg19939077,cg20479063,cg20520115,cg20813374,cg21201109,cg22103219,cg22197830,cg22821355,cg23913963,cg24058132,cg24332710,cg24711224,cg26043149,cg26470501,cg26669717,cg26841068	Lookup	7.60e-07
5.782	1.28e-07	CD34+	Blood	DHS	CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig	cg00071950,cg00422488,cg00574958,cg00622166,cg00716257,cg01055562,cg01243823,cg02711608,cg03068497,cg03082813,cg03339609,cg03387723,cg03519879,cg03725309,cg03935116,cg04367503,cg04625615,cg05603985,cg05784862,cg06023661,cg06178669,cg06690548,cg06983052,cg07022048,cg07626482,cg08255475,cg08257009,cg09684846,cg11028923,cg11068337,cg11376147,cg12340144,cg12554573,cg12729894,cg13409704,cg13823169,cg14348967,cg15396367,cg16541026,cg17061862,cg18033416,cg18120259,cg18125510,cg18302606,cg18660898,cg18824549,cg19939077,cg20479063,cg20520115,cg20813374,cg21626848,cg22103219,cg22197830,cg22821355,cg23913963,cg24058132,cg24332710,cg24711224,cg24848615,cg26043149,cg26669717,cg26841068	Lookup	4.55e-06
3.726	6.70e-04	CLL	Blood	DHS	wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	cg00071950,cg00574412,cg00574958,cg00711496,cg01055562,cg01243823,cg01881899,cg02711608,cg03068497,cg03082813,cg03339609,cg03519879,cg03725309,cg03935116,cg04367503,cg04463638,cg05603985,cg06023661,cg06178669,cg06599169,cg07022048,cg07626482,cg10589813,cg11028923,cg11376147,cg13409704,cg13823169,cg16541026,cg18660898,cg19939077,cg20813374,cg21795255,cg22103219,cg22197830,cg22821355,cg23913963,cg24332710,cg26043149,cg26470501,cg26669717,cg26841068,cg27637303	GSM816664	5.66e-03
7.649	1.93e-11	CMK	Blood	DHS	CMK-DS12393.twopass.merge150.wgt10.zgt2.wig	cg00071950,cg00422488,cg00574958,cg00622166,cg00711496,cg00716257,cg01055562,cg01243823,cg02583484,cg02711608,cg03068497,cg03082813,cg03339609,cg03725309,cg03935116,cg05288253,cg05603985,cg06023661,cg06178669,cg06599169,cg06690548,cg06983052,cg07626482,cg08255475,cg10589813,cg11028923,cg11068337,cg11376147,cg12340144,cg12554573,cg12825509,cg13409704,cg14476101,cg15396367,cg16375541,cg16541026,cg18120259,cg18125510,cg18159646,cg18302606,cg18405341,cg18660898,cg18824549,cg19693031,cg19939077,cg20479063,cg20520115,cg20813374,cg21626848,cg22197830,cg22821355,cg23913963,cg24058132,cg24332710,cg26043149,cg26841068	GSM736607	6.54e-09
5.553	7.01e-07	GM06990	Blood	DHS	GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig	cg00071950,cg00422488,cg00574958,cg01055562,cg01243823,cg01881899,cg02711608,cg03082813,cg03339609,cg03387723,cg03725309,cg03935116,cg05288253,cg05603985,cg05784862,cg06023661,cg06178669,cg06690548,cg06983052,cg07626482,cg08255475,cg08257009,cg11028923,cg11068337,cg11376147,cg12340144,cg12554573,cg13409704,cg13823169,cg16541026,cg17061862,cg18033416,cg18125510,cg18302606,cg18660898,cg19939077,cg20479063,cg20813374,cg21795255,cg22103219,cg22197830,cg22821355,cg24058132,cg24332710,cg24711224,cg26043149,cg26669717,cg26841068	"GSM736558,GSM736635"	1.56e-05
7.173	4.94e-10	GM12864	Blood	DHS	GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig	cg00071950,cg00422488,cg00574958,cg00622166,cg00716257,cg01055562,cg01243823,cg01881899,cg02583484,cg02711608,cg03068497,cg03082813,cg03339609,cg03387723,cg03519879,cg03725309,cg03935116,cg04463638,cg05288253,cg05603985,cg05784862,cg06023661,cg06178669,cg06599169,cg06690548,cg07626482,cg08257009,cg11028923,cg11376147,cg12340144,cg12554573,cg12825509,cg13409704,cg13841979,cg14476101,cg16541026,cg17061862,cg18125510,cg18302606,cg18660898,cg19939077,cg20520115,cg20813374,cg22103219,cg22197830,cg22821355,cg23913963,cg24058132,cg24332710,cg24711224,cg26043149,cg26841068	GSM736525	5.57e-08
6.210	5.22e-08	GM12865	Blood	DHS	GM12865-DS12436.twopass.merge150.wgt10.zgt2.wig	cg00071950,cg00422488,cg00574958,cg01243823,cg01881899,cg02711608,cg03068497,cg03082813,cg03339609,cg03387723,cg03519879,cg03725309,cg03935116,cg05288253,cg05603985,cg05784862,cg06023661,cg06178669,cg06690548,cg06983052,cg07626482,cg08255475,cg08257009,cg11028923,cg11068337,cg11376147,cg12340144,cg12554573,cg13409704,cg13823169,cg16541026,cg17061862,cg18125510,cg18302606,cg18660898,cg19939077,cg20479063,cg20520115,cg20813374,cg21795255,cg22103219,cg22197830,cg22821355,cg24058132,cg24332710,cg24711224,cg26043149,cg26669717,cg26841068,cg27637303	"GSM736512,GSM736561"	2.52e-06
