Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
2.829	6.05e-03	Acute_myeloid_leukemia	Bone Marrow	DHS	S005FH41.DNase.hotspot_v3.20130819.bed.gz	cg00221794,cg00490406,cg00934987,cg01127300,cg01243823,cg01357892,cg01649611,cg02088996,cg02656560,cg02716826,cg03124318,cg04983687,cg05439368,cg05554494,cg07573872,cg08850169,cg09586924,cg12054453,cg12269535,cg12394289,cg12483947,cg13028635,cg13359998,cg14016418,cg17803993,cg17972213,cg20316440,cg20408175,cg22953759,cg23172671,cg23480341,cg23547429,cg23648810,cg23691006,cg24704287	NA	2.90e-02
1.194	1.55e-01	DG-75_Sporadic_Burkitt_lymphoma	Cell Line	DHS	BP_DG-75_d01.DNase.hotspot_v3.20130819.bed.gz	cg00221794,cg00490406,cg01357892,cg02297838,cg03124318,cg06362313,cg08913523,cg09586924,cg11354682,cg12054453,cg12269535,cg12483947,cg12949141,cg13031097,cg16306654,cg20408175,cg23599026	NA	6.90e-01
-0.612	7.70e-01	KARPAS-422_Germinal_Center_B-Cell-Like_Diffuse_Large_B-Cell_Lymphoma	Cell Line	DHS	bp_KARPAS-422_d01.DNase.hotspot_v3.20131126.bed.gz	cg00741986,cg00959259,cg06362313,cg07839457,cg11354682,cg12269535,cg12483947,cg16306654,cg20408175	NA	1.00e+00
0.699	2.91e-01	SU-DHL-5_Germinal_Center_B-Cell-Like_Diffuse_Large_B-Cell_Lymphoma	Cell Line	DHS	bp_SU-DHL-5_d01.DNase.hotspot_v3.20131126.bed.gz	cg00490406,cg00741986,cg00959259,cg01309328,cg01649611,cg03124318,cg09586924,cg11354682,cg12054453,cg12269535,cg17803993,cg20408175,cg22953759,cg24691964,cg24704287,cg25353281,cg25368824	NA	1.00e+00
3.249	1.88e-03	U-266_Multiple_myeloma	Cell Line	DHS	BP_U-266_d01.DNase.hotspot_v3.20130819.bed.gz	cg00221794,cg00490406,cg00741986,cg01243823,cg01309328,cg01357892,cg01595951,cg01649611,cg02297838,cg03124318,cg04162032,cg04993082,cg06362313,cg08683263,cg08818207,cg08913523,cg09245302,cg09586924,cg11354682,cg12170787,cg12269535,cg12394289,cg12483947,cg13984040,cg16306654,cg16824319,cg17803993,cg20316440,cg20408175,cg20408505,cg22953759,cg23480341,cg23547429,cg24691964,cg24707200,cg27023597	NA	9.81e-03
2.424	1.38e-02	Z-138_Mantle_cell_lymphoma	Cell Line	DHS	BP_Z-138_d01.DNase.hotspot_v3.20130819.bed.gz	cg00221794,cg00490406,cg00741986,cg01243823,cg01252219,cg01309328,cg01595951,cg01649611,cg01904393,cg02010481,cg03124318,cg06362313,cg08913523,cg09586924,cg11354682,cg12054453,cg12170787,cg12269535,cg12483947,cg12728588,cg13984040,cg16306654,cg17972213,cg20408175,cg22953759,cg23387863,cg23547429,cg23599026,cg24691964,cg26172016,cg26607897,cg27023597	NA	6.36e-02
3.748	1.07e-03	CD14_positive_CD16_negative_classical_monocyte	Cord Blood	DHS	C005PS4E.DNase.hotspot_v3.20130819.bed.gz	cg00490406,cg00741986,cg01357892,cg01649611,cg02088996,cg02656560,cg05439368,cg05554494,cg08669096,cg08850169,cg08913523,cg09586924,cg13028635,cg13359998,cg13984040,cg14016418,cg14140379,cg20408175,cg22129276,cg22953759,cg23172671,cg23480341,cg23547429,cg27128761	NA	6.12e-03
0.783	2.72e-01	CD34-negative_CD41-positive_CD42-positive_megakaryocyte_cell	Cord Blood	DHS	C006NS47.DNase.hotspot_v3.20130819.bed.gz	cg00221794,cg00934987,cg01649611,cg01904393,cg02088996,cg04120520,cg04983687,cg12269535,cg12483947,cg12949141,cg17803993,cg22953759,cg23599026,cg24704287,cg24707200	NA	1.00e+00
6.262	1.19e-07	CD14-positive_CD16-negative_classical_monocyte	Venous Blood	DHS	C001UY46.DNase.hotspot_v3.20130415.bed.gz	cg00218406,cg00221794,cg00490406,cg00741986,cg01127300,cg01243823,cg01252219,cg01309328,cg01357892,cg01649611,cg01904393,cg02010481,cg02088996,cg02656560,cg05439368,cg05554494,cg08669096,cg08683263,cg08818207,cg08850169,cg08913523,cg09586924,cg11354682,cg12054453,cg12269535,cg12394289,cg12483947,cg13028635,cg13031097,cg13359998,cg13984040,cg14016418,cg14140379,cg16448702,cg17803993,cg20316440,cg20408175,cg22129276,cg22953759,cg23172671,cg23480341,cg23547429,cg23691006,cg24704287	NA	2.86e-06
5.284	8.49e-06	CD14-positive_CD16-negative_classical_monocyte	Venous Blood	DHS	C0010K46.DNase.hotspot_v3.20130415.bed.gz	cg00218406,cg00221794,cg00490406,cg00741986,cg01127300,cg01243823,cg01252219,cg01595951,cg01649611,cg02010481,cg02088996,cg02656560,cg02716826,cg05439368,cg05554494,cg08913523,cg09586924,cg11354682,cg12054453,cg12394289,cg12419318,cg12483947,cg13028635,cg13359998,cg13984040,cg14140379,cg20408175,cg22129276,cg22953759,cg23172671,cg23387863,cg23480341,cg23547429,cg23691006,cg24691964,cg24704287,cg26508465	NA	7.27e-05
4.795	3.41e-05	CD14-positive_CD16-negative_classical_monocyte	Venous Blood	DHS	C0011I43.DNase.hotspot_v3.20130415.bed.gz	cg00218406,cg00221794,cg00490406,cg01127300,cg01243823,cg01357892,cg01649611,cg01904393,cg02010481,cg02088996,cg02656560,cg02716826,cg05439368,cg05554494,cg08669096,cg08850169,cg08913523,cg09586924,cg11354682,cg12054453,cg12269535,cg12394289,cg12483947,cg13028635,cg13031097,cg13359998,cg13984040,cg14140379,cg20408175,cg22129276,cg22953759,cg23172671,cg23480341,cg23547429,cg23691006,cg24704287	NA	2.40e-04
6.207	3.10e-07	CD14-positive_CD16-negative_classical_monocyte	Venous Blood	DHS	C004084E.DNase.hotspot_v3.20130415.bed.gz	cg00221794,cg00490406,cg01127300,cg01252219,cg01357892,cg01649611,cg02088996,cg02656560,cg03124318,cg05439368,cg05554494,cg08669096,cg08913523,cg09586924,cg11354682,cg12054453,cg12394289,cg12483947,cg13028635,cg13031097,cg13359998,cg13984040,cg14140379,cg20098015,cg20316440,cg20408175,cg22129276,cg22953759,cg23172671,cg23480341,cg23547429,cg23691006,cg24704287,cg27128761	NA	6.19e-06
9.330	8.47e-16	inflammatory_macrophage	Venous Blood	DHS	S001MJ4A.DNase.hotspot_v3.20130819.bed.gz	cg00218406,cg00221794,cg00340855,cg00490406,cg00741986,cg00934987,cg01127300,cg01243823,cg01309328,cg01357892,cg01517384,cg01595951,cg01649611,cg01904393,cg02010481,cg02088996,cg02297838,cg02346442,cg02656560,cg02716826,cg02750743,cg03055021,cg03124318,cg03370752,cg05439368,cg05554494,cg06362313,cg07573872,cg07839457,cg08669096,cg08818207,cg08850169,cg08913523,cg09018739,cg09912552,cg11354682,cg12054453,cg12170787,cg12269535,cg12394289,cg12483947,cg12680205,cg13028635,cg13031097,cg13359998,cg13458609,cg13823169,cg13984040,cg16306654,cg19604369,cg20098015,cg20316440,cg20408175,cg20408505,cg22129276,cg22953759,cg22959742,cg23172671,cg23387863,cg23480341,cg23547429,cg23599026,cg23691006,cg24691964,cg24704287,cg25353281,cg25364972,cg26470501,cg26508465,cg26607897,cg27023597,cg27067618,cg27128761	NA	5.08e-14
9.919	5.37e-17	inflammatory_macrophage	Venous Blood	DHS	S001MJ48.DNase.hotspot_v3.20130819.bed.gz	cg00218406,cg00221794,cg00340855,cg00490406,cg00741986,cg00934987,cg01127300,cg01243823,cg01309328,cg01357892,cg01517384,cg01649611,cg01904393,cg02010481,cg02088996,cg02346442,cg02656560,cg02716826,cg02750743,cg03124318,cg03370752,cg05400196,cg05439368,cg05554494,cg06362313,cg07573872,cg08669096,cg08818207,cg08850169,cg08913523,cg09018739,cg09586924,cg09912552,cg10454864,cg11354682,cg12054453,cg12170787,cg12269535,cg12394289,cg12483947,cg12680205,cg13028635,cg13031097,cg13359998,cg13823169,cg13984040,cg14016418,cg16306654,cg16448702,cg19604369,cg20098015,cg20316440,cg20408175,cg20408505,cg20595453,cg22129276,cg22953759,cg22959742,cg23172671,cg23387863,cg23480341,cg23547429,cg23599026,cg23691006,cg24704287,cg25364972,cg26392102,cg26508465,cg27023597,cg27128761,cg27660627	NA	6.43e-15
4.536	6.08e-05	macrophage_-_T_6days_B-glucan	Venous Blood	DHS	S00CTZ41.DNase.hotspot_v3.20141014.bed.gz	cg00221794,cg00490406,cg00741986,cg01127300,cg01309328,cg01357892,cg01649611,cg02088996,cg02656560,cg02716826,cg03370752,cg05439368,cg05554494,cg07839457,cg08850169,cg08913523,cg09586924,cg11354682,cg12054453,cg12269535,cg13359998,cg13823169,cg13984040,cg14016418,cg16448702,cg20316440,cg20408175,cg22129276,cg22953759,cg22959742,cg23172671,cg23387863,cg23480341,cg23547429,cg23599026,cg23691006,cg24704287,cg26607897,cg27067618,cg27128761	NA	4.05e-04
7.421	1.94e-10	macrophage_-_T_6days_B-glucan	Venous Blood	DHS	S00C0J41.DNase.hotspot_v3.20141014.bed.gz	cg00221794,cg00340855,cg00490406,cg00741986,cg01127300,cg01243823,cg01309328,cg01357892,cg01649611,cg01904393,cg02010481,cg02088996,cg02656560,cg02716826,cg02750743,cg03124318,cg03370752,cg05439368,cg05554494,cg06362313,cg08683263,cg08818207,cg08850169,cg08913523,cg09018739,cg09586924,cg09912552,cg10454864,cg11354682,cg12054453,cg12269535,cg12394289,cg12483947,cg13028635,cg13359998,cg13984040,cg14016418,cg14140379,cg16306654,cg20098015,cg20316440,cg20408175,cg22129276,cg22953759,cg22959742,cg23172671,cg23387863,cg23480341,cg23547429,cg23599026,cg23691006,cg24704287,cg25353281,cg25364972,cg26607897,cg27023597,cg27128761	NA	5.81e-09
5.028	2.22e-05	macrophage_-_T_6days_B-glucan	Venous Blood	DHS	S00HTF41.DNase.hotspot_v3.20141014.bed.gz	cg00490406,cg01127300,cg01357892,cg01649611,cg02088996,cg02656560,cg05439368,cg05554494,cg08913523,cg09586924,cg12054453,cg12483947,cg13028635,cg13359998,cg13984040,cg14016418,cg16306654,cg20098015,cg20316440,cg20408175,cg22129276,cg22953759,cg22959742,cg23480341,cg23691006,cg24704287,cg27023597	NA	1.78e-04
6.179	4.65e-07	macrophage_-_T_6days_B-glucan	Venous Blood	DHS	S00JS941.DNase.hotspot_v3.20141014.bed.gz	cg00221794,cg00490406,cg00741986,cg01127300,cg01243823,cg01357892,cg01649611,cg02088996,cg02656560,cg02716826,cg03370752,cg05439368,cg05554494,cg06362313,cg08683263,cg08850169,cg08913523,cg09586924,cg12054453,cg13028635,cg13359998,cg13984040,cg14016418,cg16306654,cg20098015,cg20316440,cg20408175,cg22129276,cg22953759,cg22959742,cg23387863,cg23480341,cg23691006,cg24704287,cg27023597	NA	6.20e-06
5.318	6.34e-06	macrophage_-_T_6days_LPS	Venous Blood	DHS	S00BYT41.DNase.hotspot_v3.20141014.bed.gz	cg00490406,cg00741986,cg01127300,cg01357892,cg01649611,cg02088996,cg02656560,cg02716826,cg03370752,cg05439368,cg05554494,cg08669096,cg08850169,cg08913523,cg09586924,cg11354682,cg12054453,cg12269535,cg12394289,cg12483947,cg13028635,cg13984040,cg16306654,cg20098015,cg20408175,cg22129276,cg22953759,cg22959742,cg23387863,cg23480341,cg23547429,cg23691006,cg27023597	NA	5.84e-05
5.894	4.18e-07	macrophage_-_T_6days_LPS	Venous Blood	DHS	S00CS041.DNase.hotspot_v3.20141014.bed.gz	cg00221794,cg00490406,cg00741986,cg01127300,cg01309328,cg01357892,cg01649611,cg02010481,cg02088996,cg02656560,cg02716826,cg03370752,cg05439368,cg05554494,cg08669096,cg08683263,cg08850169,cg08913523,cg09586924,cg10454864,cg11354682,cg12054453,cg12269535,cg12483947,cg13028635,cg13359998,cg13984040,cg14016418,cg20098015,cg20316440,cg20408175,cg22129276,cg22953759,cg23172671,cg23387863,cg23480341,cg23547429,cg23691006,cg24704287,cg25353281,cg27023597,cg27128761	NA	6.20e-06
3.765	7.56e-04	macrophage_-_T_6days_LPS	Venous Blood	DHS	S00HSH41.DNase.hotspot_v3.20141014.bed.gz	cg00490406,cg00741986,cg01127300,cg01357892,cg01649611,cg02088996,cg02656560,cg05554494,cg08850169,cg08913523,cg09586924,cg11354682,cg12054453,cg12483947,cg13359998,cg20098015,cg20408175,cg22129276,cg22953759,cg23480341,cg23691006,cg24704287,cg27023597	NA	4.77e-03
3.407	1.72e-03	macrophage_-_T_6days_LPS	Venous Blood	DHS	S00JRB41.DNase.hotspot_v3.20141014.bed.gz	cg01127300,cg01357892,cg01649611,cg02088996,cg02656560,cg05439368,cg05554494,cg08913523,cg12054453,cg12269535,cg13028635,cg13984040,cg20098015,cg20408175,cg22129276,cg22953759,cg23480341,cg23691006,cg24704287,cg27023597,cg27128761	NA	9.38e-03
5.235	5.38e-06	macrophage_-_T_6days_untreated	Venous Blood	DHS	S00BXV41.DNase.hotspot_v3.20141014.bed.gz	cg00221794,cg00490406,cg01127300,cg01243823,cg01357892,cg01649611,cg02088996,cg02656560,cg02716826,cg03370752,cg05439368,cg05554494,cg07839457,cg08850169,cg08913523,cg09586924,cg11354682,cg12054453,cg12269535,cg12483947,cg13028635,cg13984040,cg16306654,cg17803993,cg20098015,cg20316440,cg20408175,cg22129276,cg22953759,cg22959742,cg23172671,cg23387863,cg23480341,cg23547429,cg23691006,cg24704287,cg27023597	NA	5.37e-05
5.274	3.09e-06	macrophage_-_T_6days_untreated	Venous Blood	DHS	S00CR241.DNase.hotspot_v3.20141014.bed.gz	cg00490406,cg00741986,cg01127300,cg01243823,cg01309328,cg01357892,cg01649611,cg02088996,cg02656560,cg03370752,cg05439368,cg05554494,cg06362313,cg08669096,cg08683263,cg08913523,cg09586924,cg09912552,cg10454864,cg11354682,cg12054453,cg12269535,cg12419318,cg12483947,cg13028635,cg13359998,cg13984040,cg20098015,cg20316440,cg20408175,cg22129276,cg22953759,cg22959742,cg23172671,cg23387863,cg23480341,cg23547429,cg23691006,cg24704287,cg26508465,cg27023597,cg27128761	NA	3.37e-05
3.228	5.48e-03	macrophage_-_T_6days_untreated	Venous Blood	DHS	S00HRJ41.DNase.hotspot_v3.20141014.bed.gz	cg00490406,cg01357892,cg01649611,cg02656560,cg05439368,cg05554494,cg08913523,cg09586924,cg12054453,cg13984040,cg20316440,cg20408175,cg22129276,cg22953759,cg23480341,cg23691006	NA	2.74e-02
5.069	2.52e-05	macrophage_-_T_6days_untreated	Venous Blood	DHS	S00JQD41.DNase.hotspot_v3.20141014.bed.gz	cg00490406,cg00741986,cg01127300,cg01357892,cg01649611,cg02088996,cg02656560,cg05439368,cg05554494,cg08850169,cg08913523,cg09586924,cg12054453,cg12483947,cg13028635,cg13984040,cg16306654,cg20316440,cg20408175,cg22129276,cg22953759,cg23387863,cg23480341,cg23691006,cg24704287	NA	1.89e-04
6.231	6.80e-07	macrophage	Venous Blood	DHS	C005VG45.DNase.hotspot_v3.20130819.bed.gz	cg00490406,cg00741986,cg01127300,cg01243823,cg01357892,cg01649611,cg02088996,cg02656560,cg05439368,cg05554494,cg08669096,cg08913523,cg13028635,cg13359998,cg13984040,cg14016418,cg20316440,cg20408175,cg22129276,cg22953759,cg23480341,cg23691006,cg25364972	NA	8.15e-06
7.672	6.44e-11	macrophage	Venous Blood	DHS	C006UE47.DNase.hotspot_v3.20130819.bed.gz	cg00218406,cg00340855,cg00490406,cg01127300,cg01243823,cg01252219,cg01309328,cg01357892,cg01649611,cg01904393,cg02010481,cg02088996,cg02656560,cg02716826,cg02750743,cg03055021,cg03370752,cg05439368,cg05554494,cg06362313,cg07573872,cg07839457,cg08669096,cg08683263,cg08818207,cg08850169,cg08913523,cg09018739,cg09586924,cg09912552,cg10454864,cg11354682,cg11849692,cg12054453,cg12269535,cg12483947,cg12680205,cg13028635,cg13359998,cg13823169,cg13984040,cg14016418,cg14140379,cg16306654,cg20098015,cg20316440,cg20408175,cg20408505,cg22129276,cg22953759,cg22959742,cg23172671,cg23387863,cg23480341,cg23547429,cg23691006,cg24704287,cg25364972,cg26607897,cg27023597,cg27067618	NA	2.57e-09
