Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
7.038	7.65e-12	Acute_myeloid_leukemia	Bone Marrow	DHS	S005FH41.DNase.hotspot_v3.20130819.bed.gz	cg00058449,cg00091302,cg00093433,cg00504599,cg00539174,cg00709979,cg00910893,cg00957580,cg01108112,cg01264729,cg01329756,cg01569083,cg01719223,cg02003183,cg02074956,cg02084118,cg02237342,cg02488934,cg02508743,cg02666020,cg02688118,cg02787737,cg02837301,cg02904344,cg03466198,cg03652336,cg03794617,cg03802185,cg03887528,cg03894068,cg04102510,cg04147642,cg04195774,cg04225775,cg04403049,cg04515608,cg04813697,cg04848343,cg04890607,cg04956471,cg04956949,cg04970434,cg05076730,cg05148180,cg05438378,cg05598678,cg05870586,cg05889266,cg05915362,cg06015525,cg06338697,cg06398474,cg06721411,cg06832898,cg06892907,cg07081759,cg07092805,cg07157107,cg07173823,cg07248223,cg07539709,cg07551060,cg07800907,cg07915516,cg08036172,cg08168141,cg08400424,cg08425678,cg08458745,cg08500112,cg08698943,cg08756594,cg08759026,cg09009788,cg09043456,cg09138892,cg09220326,cg09317371,cg09502149,cg09561830,cg09667606,cg09756109,cg09763644,cg09788082,cg09929238,cg10284440,cg10944833,cg11118962,cg11145772,cg11303839,cg11399409,cg11465404,cg11555067,cg11597902,cg11977716,cg12048965,cg12116137,cg12284769,cg12332239,cg12336290,cg12498580,cg12520319,cg12573002,cg12599598,cg12875534,cg13241645,cg13408344,cg13583535,cg13586051,cg13810673,cg13931640,cg13984928,cg14064762,cg14088282,cg14096415,cg14184907,cg14364797,cg14480116,cg14484844,cg14486857,cg14611767,cg14643399,cg14710984,cg14792180,cg14836555,cg14852276,cg14868222,cg14893576,cg15420926,cg15426006,cg15751131,cg15901722,cg16045731,cg16206504,cg16302310,cg16361705,cg16384774,cg16481791,cg16871561,cg17173896,cg17178175,cg17706411,cg17831694,cg17907003,cg17952468,cg18045102,cg18098839,cg18132262,cg18245976,cg18352516,cg18397975,cg18426142,cg18442362,cg18599081,cg18944752,cg18995788,cg19233405,cg19325791,cg19382191,cg19733736,cg19900821,cg20025658,cg20256153,cg20306694,cg20472746,cg20591120,cg20732787,cg20799917,cg20888995,cg20975835,cg21192091,cg21221767,cg21249754,cg21375204,cg21400802,cg21465176,cg21554670,cg21581845,cg21669326,cg22100563,cg22137236,cg22166739,cg22171758,cg22262140,cg22563987,cg22900266,cg23018448,cg23509869,cg23542902,cg23633330,cg23648810,cg23680451,cg23756272,cg23839180,cg23975840,cg24011073,cg24499627,cg24718015,cg24718773,cg24803517,cg24830898,cg24906420,cg25020666,cg25221092,cg25329734,cg25761791,cg26021714,cg26080567,cg26136772,cg26682407,cg26712428,cg26750893,cg26775538,cg26870438,cg26894079,cg26899651,cg27164770,cg27217148,cg27270962,cg27449864,cg27524460	NA	5.09e-11
3.272	1.08e-03	DG-75_Sporadic_Burkitt_lymphoma	Cell Line	DHS	BP_DG-75_d01.DNase.hotspot_v3.20130819.bed.gz	cg00709979,cg00780426,cg00910893,cg01569083,cg01719223,cg01905489,cg02003183,cg02237342,cg02508743,cg02666020,cg02863179,cg03440799,cg03802185,cg03887528,cg04102510,cg04173586,cg05076730,cg05139061,cg05438378,cg05549575,cg05915362,cg05921138,cg06303168,cg06398474,cg06806711,cg06824394,cg06980932,cg07078732,cg07157107,cg07248223,cg07711192,cg07869232,cg08045301,cg08280936,cg08425678,cg08458745,cg08500112,cg08574423,cg08703857,cg08844313,cg09763644,cg10441424,cg10585621,cg10671066,cg10922232,cg11145772,cg11303839,cg11420667,cg11465404,cg11468085,cg11555067,cg11589287,cg11681597,cg11775828,cg11887996,cg11972534,cg12048965,cg12103569,cg12284769,cg12332239,cg12498580,cg12520319,cg13311440,cg13525276,cg13583535,cg13586051,cg13603599,cg13947735,cg14064762,cg14219900,cg14480116,cg14710984,cg14836555,cg14852276,cg15068842,cg16206504,cg17830204,cg18245976,cg18352516,cg18442362,cg18865207,cg19233405,cg19400926,cg20975835,cg21192091,cg21221767,cg21465176,cg21486834,cg22166739,cg22262140,cg22562591,cg22563987,cg23198623,cg23281529,cg23462242,cg23598089,cg23633330,cg23985447,cg24126698,cg24425149,cg25221092,cg25329734,cg25574849,cg26689077,cg26787199,cg26899651,cg27133780,cg27217148,cg27449864	NA	5.41e-03
1.321	1.15e-01	KARPAS-422_Germinal_Center_B-Cell-Like_Diffuse_Large_B-Cell_Lymphoma	Cell Line	DHS	bp_KARPAS-422_d01.DNase.hotspot_v3.20131126.bed.gz	cg00032756,cg00091302,cg00709979,cg00782811,cg00910893,cg00934037,cg01264729,cg01569083,cg01905489,cg01986630,cg02003183,cg02237342,cg02508743,cg02720566,cg03440799,cg03652336,cg03887528,cg04102510,cg04195774,cg04515608,cg04977528,cg05076730,cg05921138,cg06398474,cg06806711,cg06824394,cg06980932,cg07711192,cg07719512,cg08425678,cg08458745,cg08574423,cg09387152,cg10441424,cg10671066,cg11468085,cg11775828,cg12284769,cg12520319,cg13157980,cg13525276,cg13549638,cg13583535,cg13940534,cg14064762,cg14175330,cg14184907,cg14219900,cg14710984,cg14868222,cg16158027,cg16302310,cg16871561,cg17201227,cg17830204,cg18426142,cg18865207,cg20173011,cg20351875,cg20386404,cg21221767,cg21249754,cg21465176,cg21486834,cg22166739,cg22562591,cg22678092,cg23018448,cg23509869,cg23985447,cg24960799,cg25221092,cg25329734,cg25574849,cg26689077,cg26712428,cg26899651,cg27449864	NA	4.73e-01
2.701	4.36e-03	SU-DHL-5_Germinal_Center_B-Cell-Like_Diffuse_Large_B-Cell_Lymphoma	Cell Line	DHS	bp_SU-DHL-5_d01.DNase.hotspot_v3.20131126.bed.gz	cg00032756,cg00091302,cg00709979,cg00780426,cg00910893,cg01133215,cg01511901,cg01569083,cg02016178,cg02237342,cg02489202,cg02508743,cg02720566,cg02904344,cg03427849,cg03652336,cg03669394,cg03802185,cg04102510,cg04173586,cg04195774,cg05915362,cg05921138,cg05955036,cg06015525,cg06303168,cg06539391,cg06612130,cg06806711,cg06824394,cg06980932,cg07157107,cg07248223,cg07438246,cg07711192,cg07869232,cg08045301,cg08168141,cg08425678,cg08425796,cg08458745,cg08574423,cg08752433,cg08759026,cg08949143,cg09387152,cg10284440,cg10441424,cg10671066,cg11468085,cg11775828,cg11887996,cg11906021,cg11977716,cg12048965,cg12284769,cg12498580,cg12520319,cg12537003,cg13157980,cg13311440,cg13525276,cg13583535,cg13940534,cg14004921,cg14219900,cg14480116,cg14710984,cg14792180,cg15420926,cg15871766,cg16302310,cg17830204,cg18426142,cg18454133,cg19106968,cg20025658,cg20351875,cg20472746,cg20959965,cg20975835,cg21221767,cg21249754,cg21393163,cg21486834,cg21840434,cg22166739,cg22262140,cg22562591,cg22563987,cg22678092,cg22900266,cg23018448,cg23198623,cg23214435,cg23462242,cg23509869,cg23598089,cg23839180,cg23985447,cg24425149,cg24499627,cg24957609,cg25003924,cg25075684,cg25221092,cg25329734,cg25574849,cg26689077,cg26712428,cg26899651,cg27217148,cg27449864,cg27544405	NA	2.01e-02
1.997	2.64e-02	U-266_Multiple_myeloma	Cell Line	DHS	BP_U-266_d01.DNase.hotspot_v3.20130819.bed.gz	cg00093433,cg00700039,cg00709979,cg00910893,cg01264729,cg01905489,cg02003183,cg02016178,cg02083676,cg02084118,cg02237342,cg02306995,cg02508743,cg02666020,cg02687026,cg02707799,cg02720566,cg02766482,cg02837301,cg03378645,cg03427849,cg03541887,cg03802185,cg03887528,cg03894068,cg04094640,cg04102510,cg04147642,cg04195774,cg04225775,cg04299808,cg04515608,cg04926244,cg04956471,cg05438378,cg05915362,cg05921138,cg06303168,cg06539391,cg06612130,cg06784824,cg06792126,cg06806711,cg06824394,cg06980932,cg07152894,cg07157107,cg07248223,cg07551060,cg07869232,cg08045301,cg08280936,cg08355863,cg08425678,cg08574423,cg08703857,cg08759026,cg08798349,cg08844313,cg09043456,cg09340403,cg09802688,cg10118435,cg10408731,cg10441424,cg10671066,cg10819350,cg10922232,cg10944833,cg11145772,cg11303839,cg11465404,cg11468085,cg11555067,cg11589287,cg11887996,cg11972534,cg12048965,cg12103569,cg12284769,cg12498580,cg12520319,cg13157980,cg13273540,cg13311440,cg13314965,cg13353550,cg13525276,cg13583535,cg13586051,cg13603599,cg13863007,cg14004921,cg14066773,cg14219900,cg14364797,cg14484844,cg14611767,cg14710984,cg14836555,cg14852276,cg15068842,cg15315773,cg15320998,cg15601361,cg15751131,cg16871561,cg17830204,cg18098839,cg18442362,cg18865207,cg19106968,cg19233405,cg19382191,cg19400926,cg19900821,cg20173011,cg20306694,cg20386404,cg20472746,cg20799917,cg20888995,cg21192091,cg21221767,cg21465176,cg21486834,cg21652803,cg22166739,cg22562591,cg22563987,cg22900266,cg23018448,cg23198623,cg23509869,cg23598089,cg23633330,cg23680451,cg24499627,cg24531955,cg25003924,cg25027367,cg25075684,cg25221092,cg25329734,cg25345722,cg25574849,cg25955126,cg26689077,cg26712428,cg26787199,cg26894079,cg26963146,cg27133780,cg27217148,cg27449864	NA	1.13e-01
3.819	1.04e-04	Z-138_Mantle_cell_lymphoma	Cell Line	DHS	BP_Z-138_d01.DNase.hotspot_v3.20130819.bed.gz	cg00091302,cg00442646,cg00452835,cg00504599,cg00709979,cg00780426,cg00908292,cg00910893,cg01264729,cg01483139,cg01719223,cg01827012,cg01881899,cg01905489,cg02003183,cg02083676,cg02237342,cg02306995,cg02508743,cg02687026,cg02720566,cg03378645,cg03493211,cg03507641,cg03541887,cg03887528,cg04102510,cg04195774,cg04515608,cg04956471,cg04977528,cg05129597,cg05376738,cg05438378,cg05549575,cg05915362,cg05921138,cg05955036,cg06015525,cg06303168,cg06398474,cg06612130,cg06639053,cg06721411,cg06784824,cg06792126,cg06806711,cg06824394,cg06892907,cg06980932,cg07157107,cg07248223,cg07551060,cg07719512,cg07812957,cg07869232,cg08036172,cg08045301,cg08280936,cg08355863,cg08425678,cg08425796,cg08458745,cg08574423,cg08691235,cg08703857,cg08756594,cg08759026,cg08798349,cg09043456,cg09287328,cg09340403,cg09387152,cg09802688,cg10118435,cg10183965,cg10441424,cg10671066,cg10967866,cg11303839,cg11334709,cg11468085,cg11555067,cg11692409,cg12048965,cg12103569,cg12284769,cg12336290,cg12520319,cg12573002,cg13273540,cg13311440,cg13408344,cg13525276,cg13583535,cg13586051,cg13603599,cg13810673,cg13940534,cg14004921,cg14184907,cg14219900,cg14343513,cg14353001,cg14484844,cg14522298,cg14710984,cg14852276,cg15068842,cg15320998,cg15751131,cg15871766,cg16045731,cg16302310,cg17092523,cg17173896,cg17201227,cg17520654,cg17830204,cg18426142,cg18442362,cg18642369,cg18865207,cg19233405,cg19382191,cg19400926,cg19695507,cg19900821,cg20025658,cg20173011,cg20306694,cg20351875,cg20472746,cg20476159,cg20959965,cg21192091,cg21221767,cg21249754,cg21373806,cg21465176,cg21486834,cg21669326,cg22166739,cg22262140,cg22277567,cg22562591,cg22563987,cg22678092,cg23018448,cg23198623,cg23509869,cg23598089,cg23633330,cg23985447,cg24499627,cg24957609,cg25003924,cg25027367,cg25075684,cg25221092,cg25326319,cg25345722,cg25574849,cg25949447,cg26501007,cg26689077,cg26712428,cg26787199,cg26849931,cg26899651,cg27133780,cg27217148,cg27449864	NA	5.66e-04
10.593	1.07e-20	CD14_positive_CD16_negative_classical_monocyte	Cord Blood	DHS	C005PS4E.DNase.hotspot_v3.20130819.bed.gz	cg00504599,cg00524561,cg00539174,cg00619207,cg00876196,cg00997251,cg01511901,cg01569083,cg01596292,cg01905489,cg02083676,cg02084118,cg02237342,cg02508743,cg02904344,cg03351487,cg03408904,cg03466198,cg03652336,cg03802185,cg04102510,cg04834204,cg04890607,cg04911669,cg04926244,cg05076730,cg05376738,cg05438378,cg05598678,cg05870586,cg05889266,cg05915362,cg06043201,cg06398474,cg06419268,cg06489569,cg06639053,cg06721411,cg06784824,cg06792126,cg06802985,cg07081759,cg07243202,cg07248223,cg07551060,cg07631309,cg07711192,cg07719512,cg07729527,cg07769015,cg07915516,cg08036172,cg08168141,cg08271907,cg08400424,cg08425678,cg08425796,cg08458745,cg08500112,cg08684477,cg08698943,cg08752433,cg08837884,cg09043456,cg09220326,cg09287328,cg09318283,cg09387152,cg09502149,cg09667606,cg09797463,cg10284440,cg11046602,cg11118962,cg11153071,cg11231069,cg11399409,cg11465404,cg11597277,cg11597902,cg11681597,cg11906021,cg12284769,cg12498580,cg12520319,cg12570716,cg13157980,cg13314965,cg13408344,cg13586051,cg13618516,cg13785123,cg13810673,cg13931640,cg13935558,cg14064762,cg14088282,cg14178895,cg14184907,cg14480116,cg14643399,cg14792180,cg14855124,cg14893576,cg15068842,cg15901722,cg16596317,cg16734795,cg16871561,cg17092523,cg17173896,cg17178175,cg17572056,cg17706411,cg17907003,cg18245976,cg18442362,cg18599081,cg18865207,cg18995788,cg19733736,cg19769147,cg20025658,cg20351875,cg20386404,cg20450689,cg20472746,cg20959965,cg21121843,cg21221767,cg21249754,cg21271945,cg21393163,cg21465176,cg21554670,cg22023664,cg22100563,cg22137236,cg22166739,cg22262140,cg22563987,cg22941573,cg23018448,cg23261319,cg23542902,cg23633330,cg23680451,cg23756272,cg23975840,cg24067911,cg24425149,cg24499627,cg25003924,cg25221092,cg25329734,cg25392060,cg25761791,cg25949447,cg26501007,cg26689077,cg26689780,cg26894079,cg27185978,cg27270962,cg27449864,cg27524460	NA	1.17e-19
-1.565	9.54e-01	CD34-negative_CD41-positive_CD42-positive_megakaryocyte_cell	Cord Blood	DHS	C006NS47.DNase.hotspot_v3.20130819.bed.gz	cg00058449,cg00910893,cg01264729,cg01569083,cg02083676,cg02688118,cg03378645,cg03507641,cg03652336,cg04102510,cg04813697,cg04858335,cg05076730,cg05438378,cg05598678,cg06784824,cg06802985,cg06824394,cg07466463,cg07539709,cg07800907,cg07915516,cg08168141,cg08759026,cg09220326,cg09372999,cg11303839,cg11465404,cg11555067,cg12336290,cg12498580,cg12520319,cg12573002,cg13940534,cg14004921,cg14643399,cg15059548,cg16734795,cg16847760,cg16871561,cg17122311,cg17327171,cg18062064,cg18098839,cg19733736,cg20256153,cg20283107,cg20386404,cg20472746,cg20594765,cg20730966,cg20799917,cg21249754,cg21465176,cg22137236,cg22166739,cg22262140,cg22563987,cg23198623,cg25221092,cg25329734,cg25345722,cg25955126,cg27190398,cg27449864	NA	1.00e+00
15.960	3.37e-45	CD14-positive_CD16-negative_classical_monocyte	Venous Blood	DHS	C001UY46.DNase.hotspot_v3.20130415.bed.gz	cg00259742,cg00502254,cg00504599,cg00524561,cg00539174,cg00619207,cg00908292,cg00910893,cg00997251,cg01040749,cg01056135,cg01264729,cg01418351,cg01511901,cg01543603,cg01569083,cg01596292,cg01833890,cg01867764,cg01905489,cg02003183,cg02074956,cg02083676,cg02084118,cg02237342,cg02508743,cg02666020,cg02687026,cg02688118,cg02840585,cg02904344,cg03378645,cg03408904,cg03466198,cg03652336,cg03802185,cg03867607,cg03887528,cg03894068,cg04088945,cg04102510,cg04173586,cg04245131,cg04515608,cg04890607,cg04911669,cg04926244,cg05076730,cg05376738,cg05422796,cg05438378,cg05598678,cg05644602,cg05870586,cg05889266,cg05915362,cg06015525,cg06043201,cg06142108,cg06398474,cg06419268,cg06489569,cg06612130,cg06639053,cg06721411,cg06784824,cg06792126,cg06802985,cg06892907,cg06980932,cg07081759,cg07157107,cg07243202,cg07248223,cg07248377,cg07539709,cg07551060,cg07711192,cg07719512,cg07729527,cg07800907,cg07812957,cg07814567,cg07915516,cg08036172,cg08066875,cg08168141,cg08271907,cg08289839,cg08355863,cg08400424,cg08425678,cg08425796,cg08427067,cg08458745,cg08500112,cg08574423,cg08684477,cg08684511,cg08691235,cg08698943,cg08752433,cg08759026,cg08798349,cg08837884,cg09043456,cg09174555,cg09220326,cg09287328,cg09318283,cg09322555,cg09340403,cg09387152,cg09471887,cg09502149,cg09561830,cg09667606,cg09763644,cg09797463,cg09802688,cg09885622,cg10239163,cg10284440,cg10499974,cg10512886,cg10881749,cg10922232,cg10944833,cg11046602,cg11118962,cg11153071,cg11231069,cg11311053,cg11399409,cg11460110,cg11465404,cg11509907,cg11597277,cg11597902,cg11669284,cg11681597,cg11906021,cg12048965,cg12222277,cg12252865,cg12284769,cg12336290,cg12498580,cg12520319,cg12537003,cg12570716,cg12573002,cg13157980,cg13311440,cg13314965,cg13408344,cg13525276,cg13549638,cg13583535,cg13586051,cg13618516,cg13629388,cg13785123,cg13931640,cg13935558,cg13947735,cg14064762,cg14178895,cg14184907,cg14267671,cg14353001,cg14480116,cg14522298,cg14643399,cg14792180,cg14836555,cg14852276,cg14855124,cg14868222,cg14893576,cg15068842,cg15320998,cg15420926,cg15601361,cg15871766,cg15901722,cg16158027,cg16206504,cg16322565,cg16384774,cg16448702,cg16596317,cg16660547,cg16734795,cg16871561,cg17092523,cg17173896,cg17178175,cg17327171,cg17706411,cg17830204,cg17907003,cg18098839,cg18132262,cg18397975,cg18442362,cg18599081,cg18642369,cg18865207,cg18944752,cg18995788,cg19382191,cg19733736,cg19769147,cg19900821,cg20025658,cg20351875,cg20386404,cg20450689,cg20472746,cg20594765,cg20730966,cg20875821,cg20888995,cg20959965,cg21121843,cg21192091,cg21249754,cg21271945,cg21393163,cg21465176,cg21554670,cg21669326,cg22023664,cg22100563,cg22137236,cg22166739,cg22185977,cg22262140,cg22534374,cg22562591,cg22615330,cg22900266,cg22941573,cg23092775,cg23261319,cg23281529,cg23509869,cg23542902,cg23598089,cg23633330,cg23680451,cg23756272,cg23975840,cg24067911,cg24328944,cg24425149,cg24531955,cg24718015,cg24718773,cg24894783,cg24960799,cg25003924,cg25221092,cg25329734,cg25392060,cg25397054,cg25750408,cg25761791,cg25949447,cg26501007,cg26578983,cg26656658,cg26686361,cg26689077,cg26689780,cg26712428,cg26756782,cg26787199,cg26797722,cg26849931,cg26894079,cg27217148,cg27229484,cg27449864,cg27524460,cg27544405	NA	1.35e-43
12.036	2.25e-28	CD14-positive_CD16-negative_classical_monocyte	Venous Blood	DHS	C0010K46.DNase.hotspot_v3.20130415.bed.gz	cg00116699,cg00259742,cg00504599,cg00524561,cg00539174,cg00619207,cg00700039,cg01040749,cg01418351,cg01569083,cg01596292,cg01833890,cg01905489,cg02083676,cg02084118,cg02185182,cg02237342,cg02341571,cg02488934,cg02508743,cg02713162,cg02904344,cg03351487,cg03408904,cg03466198,cg03590328,cg03652336,cg03802185,cg03887528,cg03894068,cg04102510,cg04173586,cg04195774,cg04321224,cg04515608,cg04813697,cg04890607,cg04911669,cg05076730,cg05376738,cg05422796,cg05438378,cg05598678,cg05870586,cg05914150,cg05915362,cg05955036,cg06015525,cg06043201,cg06398474,cg06419268,cg06489569,cg06639053,cg06721411,cg06784824,cg06792126,cg06802985,cg06836480,cg07054804,cg07157107,cg07243202,cg07248223,cg07248377,cg07551060,cg07711192,cg07719512,cg07729527,cg07800907,cg07812957,cg07915516,cg08036172,cg08111960,cg08168141,cg08271907,cg08289839,cg08400424,cg08425796,cg08458745,cg08500112,cg08684477,cg08684511,cg08691235,cg08698943,cg08729908,cg08752433,cg09043456,cg09174555,cg09220326,cg09287328,cg09322555,cg09340403,cg09387152,cg09667606,cg09763644,cg09797463,cg09885622,cg10284440,cg10671066,cg11046602,cg11118962,cg11153071,cg11231069,cg11465404,cg11509907,cg11555067,cg11597277,cg11597902,cg11681597,cg12222277,cg12284769,cg12332239,cg12498580,cg12520319,cg12570716,cg12573002,cg13311440,cg13314965,cg13408344,cg13525276,cg13567986,cg13583535,cg13586051,cg13618516,cg13629388,cg13772414,cg13785123,cg13810673,cg13931640,cg13935558,cg14064762,cg14184907,cg14480116,cg14522298,cg14643399,cg14792180,cg14827056,cg14836555,cg14852276,cg14855124,cg14868222,cg14893576,cg15068842,cg15320998,cg15601361,cg15751131,cg15901722,cg16045731,cg16158027,cg16206504,cg16352321,cg16596317,cg16660547,cg16734795,cg16871561,cg17092523,cg17122311,cg17178175,cg17706411,cg17907003,cg18045102,cg18442362,cg18599081,cg18865207,cg18995788,cg19233405,cg19382191,cg19733736,cg19769147,cg20025658,cg20306694,cg20351875,cg20450689,cg20472746,cg20594765,cg20799917,cg20959965,cg21097090,cg21192091,cg21221767,cg21249754,cg21393163,cg21465176,cg21554670,cg21840434,cg22137236,cg22166739,cg22185977,cg22262140,cg22534374,cg22563987,cg22900266,cg22941573,cg23261319,cg23462242,cg23509869,cg23633330,cg23680451,cg23839180,cg23975840,cg24067911,cg24425149,cg24718773,cg24830898,cg24960799,cg25003924,cg25221092,cg25318579,cg25329734,cg25392060,cg25422678,cg25761791,cg25949447,cg25955126,cg26021714,cg26080567,cg26136772,cg26501007,cg26578983,cg26656658,cg26686361,cg26689077,cg26756782,cg26787199,cg26894079,cg26899651,cg27123392,cg27133780,cg27185978,cg27217148,cg27449864,cg27524460,cg27544405	NA	3.38e-27
