Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
-2.311	9.97e-01	E063 Adipose Nuclei	Adipose	TssA	erc2-chromatin15state-all-files/E063_1_TssA.bed	cg03725309,cg21626848,cg26043149	E063	1.00e+00
7.448	5.24e-09	E063 Adipose Nuclei	Adipose	TssAFlnk	erc2-chromatin15state-all-files/E063_2_TssAFlnk.bed	cg00071950,cg00422488,cg00574412,cg00574958,cg00622166,cg00716257,cg01055562,cg01243823,cg02711608,cg03068497,cg03082813,cg03339609,cg03387723,cg03519879,cg03935116,cg05603985,cg06023661,cg06983052,cg07626482,cg11028923,cg11068337,cg12340144,cg12554573,cg14476101,cg15396367,cg16541026,cg18125510,cg18302606,cg18660898,cg19939077,cg20520115,cg20813374,cg21201109,cg22197830,cg22821355,cg23913963,cg24058132,cg24332710,cg24711224,cg24848615,cg26470501,cg26841068	E063	1.40e-06
7.103	1.14e-04	E063 Adipose Nuclei	Adipose	TxFlnk	erc2-chromatin15state-all-files/E063_3_TxFlnk.bed	cg02583484,cg05201185,cg10589813,cg18405341,cg19693031	E063	9.53e-03
-2.788	1.00e+00	E063 Adipose Nuclei	Adipose	Tx	erc2-chromatin15state-all-files/E063_4_Tx.bed	cg06599169	E063	1.00e+00
-2.257	9.99e-01	E063 Adipose Nuclei	Adipose	TxWk	erc2-chromatin15state-all-files/E063_5_TxWk.bed	cg09929238,cg11376147,cg13841979	E063	1.00e+00
2.816	2.94e-02	E063 Adipose Nuclei	Adipose	EnhG	erc2-chromatin15state-all-files/E063_6_EnhG.bed	cg00711496,cg12729894,cg12825509,cg16375541,cg18159646	E063	1.00e+00
2.878	1.13e-02	E063 Adipose Nuclei	Adipose	Enh	erc2-chromatin15state-all-files/E063_7_Enh.bed	cg01881899,cg04367503,cg05288253,cg05784862,cg06178669,cg06690548,cg07022048,cg17061862,cg18824549,cg21239317,cg21795255,cg26103104,cg26669717,cg27637303	E063	5.61e-01
-2.489	1.00e+00	E063 Adipose Nuclei	Adipose	ZNF-Rpts	erc2-chromatin15state-all-files/E063_8_ZNF-Rpts.bed		E063	1.00e+00
-2.311	1.00e+00	E063 Adipose Nuclei	Adipose	Het	erc2-chromatin15state-all-files/E063_9_Het.bed		E063	1.00e+00
-0.550	4.95e-01	E063 Adipose Nuclei	Adipose	TssBiv	erc2-chromatin15state-all-files/E063_10_TssBiv.bed	cg04463638	E063	1.00e+00
-0.040	6.07e-01	E063 Adipose Nuclei	Adipose	BivFlnk	erc2-chromatin15state-all-files/E063_11_BivFlnk.bed	cg04625615,cg13823169,cg18033416	E063	1.00e+00
-1.023	8.94e-01	E063 Adipose Nuclei	Adipose	EnhBiv	erc2-chromatin15state-all-files/E063_12_EnhBiv.bed	cg08255475	E063	1.00e+00
-2.010	9.98e-01	E063 Adipose Nuclei	Adipose	ReprPC	erc2-chromatin15state-all-files/E063_13_ReprPC.bed	cg13409704	E063	1.00e+00
-1.011	9.19e-01	E063 Adipose Nuclei	Adipose	ReprPCWk	erc2-chromatin15state-all-files/E063_14_ReprPCWk.bed	cg03725404,cg08257009,cg09684846,cg14348967,cg20479063,cg22103219	E063	1.00e+00
-2.193	9.98e-01	E063 Adipose Nuclei	Adipose	Quies	erc2-chromatin15state-all-files/E063_15_Quies.bed	cg02387843,cg09646173,cg18120259	E063	1.00e+00
-2.903	1.00e+00	E080 Fetal Adrenal Gland	Adrenal	TssA	erc2-chromatin15state-all-files/E080_1_TssA.bed	cg03725309,cg26043149,cg26841068	E080	1.00e+00
9.598	9.72e-13	E080 Fetal Adrenal Gland	Adrenal	TssAFlnk	erc2-chromatin15state-all-files/E080_2_TssAFlnk.bed	cg00071950,cg00422488,cg00574958,cg00622166,cg01055562,cg01243823,cg03068497,cg03082813,cg03339609,cg03387723,cg03519879,cg03935116,cg05603985,cg06023661,cg06690548,cg08255475,cg11028923,cg11068337,cg12340144,cg12554573,cg16541026,cg18125510,cg18302606,cg18660898,cg19939077,cg20813374,cg21201109,cg21626848,cg22197830,cg22821355,cg24058132,cg24332710,cg24711224,cg26470501	E080	1.47e-09
8.026	2.72e-05	E080 Fetal Adrenal Gland	Adrenal	TxFlnk	erc2-chromatin15state-all-files/E080_3_TxFlnk.bed	cg00711496,cg02583484,cg05201185,cg10589813,cg18405341,cg19693031	E080	2.54e-03
-3.302	1.00e+00	E080 Fetal Adrenal Gland	Adrenal	Tx	erc2-chromatin15state-all-files/E080_4_Tx.bed		E080	1.00e+00
-1.434	9.73e-01	E080 Fetal Adrenal Gland	Adrenal	TxWk	erc2-chromatin15state-all-files/E080_5_TxWk.bed	cg11376147,cg20479063,cg21239317	E080	1.00e+00
-0.817	8.66e-01	E080 Fetal Adrenal Gland	Adrenal	EnhG	erc2-chromatin15state-all-files/E080_6_EnhG.bed	cg06599169,cg18159646	E080	1.00e+00
3.635	2.17e-03	E080 Fetal Adrenal Gland	Adrenal	Enh	erc2-chromatin15state-all-files/E080_7_Enh.bed	cg00716257,cg01881899,cg03725404,cg05288253,cg05784862,cg06178669,cg06983052,cg09646173,cg09929238,cg12825509,cg17061862,cg18824549,cg20520115,cg21795255,cg27637303	E080	1.28e-01
-0.583	4.69e-01	E080 Fetal Adrenal Gland	Adrenal	ZNF-Rpts	erc2-chromatin15state-all-files/E080_8_ZNF-Rpts.bed	cg12729894	E080	1.00e+00
-2.047	1.00e+00	E080 Fetal Adrenal Gland	Adrenal	Het	erc2-chromatin15state-all-files/E080_9_Het.bed		E080	1.00e+00
-1.885	1.00e+00	E080 Fetal Adrenal Gland	Adrenal	TssBiv	erc2-chromatin15state-all-files/E080_10_TssBiv.bed		E080	1.00e+00
0.850	3.17e-01	E080 Fetal Adrenal Gland	Adrenal	BivFlnk	erc2-chromatin15state-all-files/E080_11_BivFlnk.bed	cg00574412,cg04463638,cg04625615,cg07626482,cg09684846,cg13409704,cg15396367	E080	1.00e+00
1.834	8.32e-02	E080 Fetal Adrenal Gland	Adrenal	EnhBiv	erc2-chromatin15state-all-files/E080_12_EnhBiv.bed	cg02711608,cg04367503,cg13823169,cg14476101,cg16375541,cg18033416,cg23913963,cg24848615,cg26669717	E080	1.00e+00
-3.055	1.00e+00	E080 Fetal Adrenal Gland	Adrenal	ReprPC	erc2-chromatin15state-all-files/E080_13_ReprPC.bed	cg02387843,cg22103219,cg26103104	E080	1.00e+00
-0.712	8.60e-01	E080 Fetal Adrenal Gland	Adrenal	ReprPCWk	erc2-chromatin15state-all-files/E080_14_ReprPCWk.bed	cg07022048,cg08257009,cg13841979,cg14348967,cg18120259	E080	1.00e+00
-2.419	1.00e+00	E080 Fetal Adrenal Gland	Adrenal	Quies	erc2-chromatin15state-all-files/E080_15_Quies.bed		E080	1.00e+00
-2.482	9.99e-01	E029 Primary monocytes from peripheral blood	Blood	TssA	erc2-chromatin15state-all-files/E029_1_TssA.bed	cg18660898,cg26043149	E029	1.00e+00
9.454	1.08e-12	E029 Primary monocytes from peripheral blood	Blood	TssAFlnk	erc2-chromatin15state-all-files/E029_2_TssAFlnk.bed	cg00071950,cg00422488,cg00574412,cg00574958,cg00622166,cg01055562,cg02711608,cg03082813,cg03339609,cg03387723,cg03725309,cg03935116,cg05603985,cg06023661,cg06983052,cg07626482,cg11028923,cg11068337,cg12340144,cg12554573,cg13409704,cg13823169,cg15396367,cg16541026,cg18125510,cg18302606,cg19939077,cg20520115,cg22197830,cg22821355,cg24058132,cg24332710,cg24711224,cg24848615,cg26470501,cg26669717,cg26841068	E029	1.47e-09
5.456	2.39e-03	E029 Primary monocytes from peripheral blood	Blood	TxFlnk	erc2-chromatin15state-all-files/E029_3_TxFlnk.bed	cg05201185,cg10589813,cg19693031	E029	1.39e-01
-1.212	9.42e-01	E029 Primary monocytes from peripheral blood	Blood	Tx	erc2-chromatin15state-all-files/E029_4_Tx.bed	cg02387843,cg03725404,cg06599169,cg18824549,cg20479063	E029	1.00e+00
-1.268	9.55e-01	E029 Primary monocytes from peripheral blood	Blood	TxWk	erc2-chromatin15state-all-files/E029_5_TxWk.bed	cg11376147,cg18120259,cg21239317,cg22103219	E029	1.00e+00
4.612	2.76e-03	E029 Primary monocytes from peripheral blood	Blood	EnhG	erc2-chromatin15state-all-files/E029_6_EnhG.bed	cg02583484,cg12729894,cg12825509,cg13841979,cg18159646,cg18405341	E029	1.59e-01
3.978	1.06e-03	E029 Primary monocytes from peripheral blood	Blood	Enh	erc2-chromatin15state-all-files/E029_7_Enh.bed	cg00711496,cg00716257,cg01243823,cg01881899,cg03068497,cg03519879,cg05288253,cg05784862,cg06178669,cg06690548,cg07022048,cg08255475,cg09646173,cg16375541,cg20813374,cg21795255,cg27637303	E029	6.89e-02
-2.272	1.00e+00	E029 Primary monocytes from peripheral blood	Blood	ZNF-Rpts	erc2-chromatin15state-all-files/E029_8_ZNF-Rpts.bed		E029	1.00e+00
-1.892	1.00e+00	E029 Primary monocytes from peripheral blood	Blood	Het	erc2-chromatin15state-all-files/E029_9_Het.bed		E029	1.00e+00
-2.970	1.00e+00	E029 Primary monocytes from peripheral blood	Blood	TssBiv	erc2-chromatin15state-all-files/E029_10_TssBiv.bed		E029	1.00e+00
-1.882	1.00e+00	E029 Primary monocytes from peripheral blood	Blood	BivFlnk	erc2-chromatin15state-all-files/E029_11_BivFlnk.bed		E029	1.00e+00
-0.092	6.46e-01	E029 Primary monocytes from peripheral blood	Blood	EnhBiv	erc2-chromatin15state-all-files/E029_12_EnhBiv.bed	cg04625615,cg14476101,cg21201109,cg23913963	E029	1.00e+00
-1.610	9.82e-01	E029 Primary monocytes from peripheral blood	Blood	ReprPC	erc2-chromatin15state-all-files/E029_13_ReprPC.bed	cg04367503,cg04463638,cg09684846,cg18033416,cg21626848,cg26103104	E029	1.00e+00
-2.005	9.98e-01	E029 Primary monocytes from peripheral blood	Blood	ReprPCWk	erc2-chromatin15state-all-files/E029_14_ReprPCWk.bed	cg08257009	E029	1.00e+00
-3.426	1.00e+00	E029 Primary monocytes from peripheral blood	Blood	Quies	erc2-chromatin15state-all-files/E029_15_Quies.bed	cg09929238,cg14348967,cg17061862	E029	1.00e+00
-1.768	9.88e-01	E030 Primary neutrophils from peripheral blood	Blood	TssA	erc2-chromatin15state-all-files/E030_1_TssA.bed	cg00071950,cg26043149	E030	1.00e+00
