Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
2.136	3.05e-02	HTR8svn	Blastula	DHS	wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	cg00005390,cg00218914,cg00932104,cg01152073,cg01475577,cg01686739,cg01704698,cg02025573,cg02069619,cg02268192,cg02371119,cg04045089,cg04099543,cg04127455,cg04347477,cg04730665,cg05685023,cg05958206,cg06365898,cg06432655,cg06611426,cg06627532,cg07052231,cg07126783,cg07258167,cg07565956,cg07824422,cg07905054,cg08053935,cg08361238,cg08598221,cg09281154,cg09802818,cg11226328,cg11479156,cg11670060,cg11884933,cg11925488,cg12049875,cg13346655,cg13630493,cg13652008,cg14131038,cg14207539,cg14414903,cg14480116,cg14724918,cg16223079,cg16558770,cg16730908,cg16823105,cg17187521,cg17232357,cg17315426,cg18313182,cg19060895,cg19069360,cg21875274,cg22139500,cg22396850,cg22659356,cg22821930,cg23085846,cg24062389,cg24534743,cg24585377,cg25664034,cg25851425,cg26104196,cg26331625,cg26688911	GSM816644	3.56e-01
0.834	2.39e-01	Adult_CD4+	Blood	DHS	Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig	cg00005390,cg00620733,cg00927495,cg00932104,cg01152073,cg01295399,cg01542693,cg01626885,cg01686739,cg01910727,cg02025573,cg02069619,cg02268192,cg03399239,cg03607951,cg04045089,cg04099543,cg04127455,cg04347477,cg04686354,cg04730665,cg05142272,cg05645677,cg05685023,cg05904013,cg06365898,cg06611426,cg06627532,cg07052231,cg07126783,cg07258167,cg07565956,cg07824422,cg07905054,cg08053935,cg08098128,cg08135234,cg08361238,cg08598221,cg09171638,cg09281154,cg09868035,cg10206933,cg10317164,cg11226328,cg11670060,cg11925488,cg12485428,cg12978800,cg13630493,cg13752093,cg13912027,cg14020320,cg14131038,cg14304515,cg14518948,cg14648237,cg14724918,cg15401642,cg16223079,cg16558770,cg16703762,cg16823105,cg17232357,cg17315426,cg17330838,cg17925829,cg19069360,cg19389293,cg19509988,cg20418394,cg21875274,cg22396850,cg22821930,cg23004174,cg23085846,cg24312520,cg24376214,cg24585377,cg24628744,cg24815792,cg24866363,cg25664034,cg25851425,cg26331625,cg26684776,cg26688911,cg26862175	Lookup	1.00e+00
6.856	3.83e-10	CD14+	Blood	DHS	CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig	cg00005390,cg00218914,cg00483030,cg00620733,cg00841141,cg00927495,cg00932104,cg01142676,cg01152073,cg01626885,cg01662869,cg01704698,cg01910727,cg02025573,cg02069619,cg02268192,cg02371119,cg02394698,cg02802072,cg03120555,cg03450829,cg04045089,cg04099543,cg04127455,cg04478251,cg04686354,cg05057534,cg05142272,cg05599723,cg05685023,cg05904013,cg06005892,cg06219660,cg06365898,cg06611426,cg06627532,cg07126783,cg07564563,cg07565956,cg07824422,cg07905054,cg08053935,cg08098128,cg08135234,cg08282812,cg08368934,cg08598221,cg08961793,cg09447811,cg09802818,cg09868035,cg10118167,cg10317164,cg10568066,cg11226328,cg11884933,cg11925488,cg12049875,cg12485428,cg13396713,cg13630493,cg13912027,cg14020320,cg14131038,cg14304515,cg14402591,cg14414903,cg14421700,cg14480116,cg14648237,cg14724918,cg15892280,cg16223079,cg16558770,cg16823105,cg17080697,cg17187521,cg17315426,cg17330838,cg17925829,cg18313182,cg18854765,cg19060895,cg19069360,cg19389293,cg20418394,cg21019522,cg21875274,cg22821930,cg23004174,cg23202722,cg23599820,cg23687466,cg24312520,cg24534743,cg24585377,cg24628744,cg25664034,cg25851425,cg26331625,cg26684776,cg26688911,cg26776551	Lookup	2.59e-07
2.489	1.43e-02	CD20+	Blood	DHS	CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig	cg00005390,cg00219816,cg00483030,cg00927495,cg00932104,cg01152073,cg01295399,cg01475577,cg01542693,cg02025573,cg02069619,cg02268192,cg02394698,cg03607951,cg04045089,cg04099543,cg04127455,cg05685023,cg05904013,cg05936516,cg06365898,cg06611426,cg07126783,cg07258167,cg07565956,cg07824422,cg07905054,cg08053935,cg08098128,cg08135234,cg08352575,cg08598221,cg09281154,cg10118167,cg10317164,cg10568066,cg11036936,cg11226328,cg11884933,cg11925488,cg12049875,cg12485428,cg13630493,cg13912027,cg14020320,cg14131038,cg14304515,cg14518948,cg14724918,cg16223079,cg16703762,cg16823105,cg17080697,cg17187521,cg17315426,cg17330838,cg17925829,cg18313182,cg18854765,cg18924324,cg19069360,cg20418394,cg21320567,cg21875274,cg22139500,cg22381196,cg22659356,cg22821930,cg23085846,cg23599820,cg23677272,cg23687466,cg24312520,cg24376214,cg24534743,cg24585377,cg24628744,cg24815792,cg24866363,cg25664034,cg25851425,cg26104196,cg26331625,cg26612727,cg26684776,cg26688911	Lookup	2.31e-01
5.925	3.65e-08	CD34+	Blood	DHS	CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig	cg00005390,cg00218914,cg00483030,cg00620733,cg00841141,cg00927495,cg00932104,cg01142676,cg01152073,cg01295399,cg01542693,cg01662869,cg01686739,cg02025573,cg02069619,cg02268192,cg02371119,cg03120555,cg03308839,cg03378003,cg03399239,cg03450829,cg03607951,cg04045089,cg04099543,cg04127455,cg04347477,cg04656424,cg04686354,cg04730665,cg05142272,cg05573550,cg05599723,cg05645677,cg05685023,cg05904013,cg05936516,cg06365898,cg06432655,cg06611426,cg06627532,cg07126783,cg07258167,cg07564563,cg07565956,cg07824422,cg07905054,cg08053935,cg08098128,cg08135234,cg08368934,cg08598221,cg09281154,cg09447811,cg09868035,cg10568066,cg11226328,cg11670060,cg11884933,cg11925488,cg12485428,cg12978800,cg13335567,cg13346655,cg13396713,cg13630493,cg13912027,cg14020320,cg14131038,cg14304515,cg14402591,cg14421700,cg14480116,cg14518948,cg14724918,cg15892280,cg16223079,cg16558770,cg16703762,cg16730908,cg16823105,cg17232357,cg17315426,cg17330838,cg17925829,cg18854765,cg18924324,cg19060895,cg19069360,cg19389293,cg20073686,cg20418394,cg21019522,cg21875274,cg22396850,cg22659356,cg22821930,cg23004174,cg23085846,cg23677272,cg23687466,cg24312520,cg24376214,cg24534743,cg24585377,cg24628744,cg24815792,cg24866363,cg25664034,cg25851425,cg26104196,cg26331625,cg26612727,cg26684776,cg26688911,cg26862175	Lookup	8.22e-06
-0.191	6.01e-01	CLL	Blood	DHS	wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	cg00927495,cg00932104,cg01152073,cg01542693,cg02025573,cg02069619,cg02268192,cg02371119,cg03450829,cg04045089,cg04099543,cg04686354,cg05685023,cg05904013,cg06365898,cg06432655,cg06627532,cg07905054,cg08098128,cg08352575,cg08939373,cg09281154,cg09802818,cg10118167,cg11226328,cg11479156,cg11884933,cg11925488,cg13912027,cg14020320,cg14304515,cg14402591,cg14518948,cg14724918,cg16223079,cg16558770,cg16823105,cg16967583,cg17232357,cg17315426,cg17330838,cg17925829,cg20418394,cg22218322,cg22821930,cg23004174,cg23599820,cg23687466,cg24376214,cg24585377,cg24815792,cg25664034,cg26104196,cg26269677,cg26331625,cg26684776,cg26688911	GSM816664	1.00e+00
2.165	2.43e-02	CMK	Blood	DHS	CMK-DS12393.twopass.merge150.wgt10.zgt2.wig	cg00005390,cg00219816,cg00483030,cg00932104,cg01152073,cg01662869,cg01692842,cg01704698,cg01910727,cg02025573,cg02069619,cg02371119,cg02394698,cg03450829,cg04045089,cg04099543,cg04127455,cg04656424,cg04686354,cg04730665,cg05142272,cg05573550,cg06365898,cg06611426,cg07565956,cg08098128,cg08135234,cg08368934,cg08865208,cg09868035,cg11226328,cg11670060,cg11884933,cg12485428,cg13396713,cg13630493,cg13912027,cg14020320,cg14421700,cg14724918,cg15892280,cg16223079,cg16730908,cg16823105,cg17315426,cg17330838,cg17925829,cg18854765,cg19069360,cg21019522,cg21320567,cg21875274,cg22821930,cg23004174,cg23085846,cg23599820,cg23687466,cg23990942,cg24376214,cg24534743,cg24585377,cg24628744,cg25664034,cg25851425,cg26331625,cg26684776,cg26688911,cg26862175	GSM736607	3.11e-01
-0.692	7.65e-01	GM06990	Blood	DHS	GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig	cg00005390,cg00219816,cg00483030,cg00927495,cg01152073,cg01475577,cg02025573,cg02069619,cg02371119,cg02802072,cg03450829,cg03607951,cg04045089,cg04099543,cg04127455,cg04730665,cg05057534,cg05904013,cg08053935,cg08135234,cg08864944,cg09281154,cg10317164,cg11226328,cg11925488,cg13912027,cg14480116,cg14724918,cg16223079,cg16558770,cg16730908,cg16823105,cg17315426,cg17330838,cg18924324,cg20418394,cg21320567,cg21875274,cg22659356,cg22821930,cg23599820,cg23687466,cg24312520,cg24376214,cg24585377,cg24628744,cg24866363,cg25851425,cg26331625,cg26612727,cg26684776	"GSM736558,GSM736635"	1.00e+00
0.291	4.21e-01	GM12864	Blood	DHS	GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig	cg00219816,cg00483030,cg01152073,cg01462353,cg01662869,cg01679682,cg02025573,cg02069619,cg02371119,cg03607951,cg04045089,cg04127455,cg05057534,cg05904013,cg07905054,cg08053935,cg08135234,cg08864944,cg08939373,cg09281154,cg10118167,cg10317164,cg11226328,cg11670060,cg11925488,cg12044689,cg13346655,cg13630493,cg13912027,cg14724918,cg16223079,cg16558770,cg16730908,cg16823105,cg17080697,cg17315426,cg17330838,cg18854765,cg19069360,cg20418394,cg21320567,cg22821930,cg23085846,cg23599820,cg23687466,cg24062389,cg24312520,cg24376214,cg24866363,cg25422992,cg26331625,cg26612727,cg26684776	GSM736525	1.00e+00
0.430	3.73e-01	GM12865	Blood	DHS	GM12865-DS12436.twopass.merge150.wgt10.zgt2.wig	cg00005390,cg00932104,cg01152073,cg01462353,cg01662869,cg02025573,cg02371119,cg03607951,cg04045089,cg04099543,cg04127455,cg04656424,cg05057534,cg05904013,cg07126783,cg07258167,cg07564563,cg07905054,cg08053935,cg08098128,cg08135234,cg08368934,cg08864944,cg08939373,cg09281154,cg10118167,cg10317164,cg11226328,cg13346655,cg13630493,cg13912027,cg14131038,cg14724918,cg16223079,cg16558770,cg16823105,cg17315426,cg19069360,cg20418394,cg21320567,cg22381196,cg22659356,cg22821930,cg23599820,cg23687466,cg24312520,cg24376214,cg24534743,cg24585377,cg24738611,cg24866363,cg25422992,cg25851425,cg26331625,cg26612727,cg26684776,cg26688911	"GSM736512,GSM736561"	1.00e+00
