Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
-2.110	9.92e-01	E063 Adipose Nuclei	Adipose	TssA	erc2-chromatin15state-all-files/E063_1_TssA.bed	cg02349578,cg04292359,cg08767044,cg10581754,cg10670310,cg14519664,cg15523958,cg15953602,cg17053845,cg17870792,cg19075787,cg19399220,cg19755108,cg20784591,cg21085462,cg21411075	E063	1.00e+00
1.082	2.95e-01	E063 Adipose Nuclei	Adipose	TssAFlnk	erc2-chromatin15state-all-files/E063_2_TssAFlnk.bed	cg00008629,cg01501009,cg01656168,cg02317313,cg03526142,cg04751761,cg04845871,cg05257275,cg05392764,cg05567236,cg06297145,cg06635952,cg08948841,cg11617147,cg12076102,cg13039251,cg13189097,cg14049470,cg14450238,cg15283950,cg15485700,cg16145216,cg16560711,cg17873919,cg18022012,cg20051772,cg20100049,cg20309640,cg21497218,cg21618017,cg21686890,cg22010052,cg23983449,cg26189283,cg26693467,cg27613174	E063	1.00e+00
0.819	2.31e-01	E063 Adipose Nuclei	Adipose	TxFlnk	erc2-chromatin15state-all-files/E063_3_TxFlnk.bed	cg03744763,cg20472746	E063	1.00e+00
-0.041	6.80e-01	E063 Adipose Nuclei	Adipose	Tx	erc2-chromatin15state-all-files/E063_4_Tx.bed	cg00867472,cg02468154,cg02597894,cg04537738,cg05253759,cg06943835,cg07660627,cg08262464,cg08289839,cg08766770,cg10295552,cg10832476,cg11095027,cg12104982,cg13876222,cg15540623,cg19295068,cg20507228,cg22533317,cg25580656,cg25940513	E063	1.00e+00
-0.098	7.10e-01	E063 Adipose Nuclei	Adipose	TxWk	erc2-chromatin15state-all-files/E063_5_TxWk.bed	cg00902153,cg02610360,cg03502812,cg05135521,cg05376219,cg05708512,cg06653796,cg06670742,cg07357081,cg07518532,cg07551060,cg09294084,cg09704401,cg10099827,cg12520319,cg12837524,cg15150970,cg15251319,cg17224754,cg17540765,cg22761205,cg25966599,cg27192248,cg27509347	E063	1.00e+00
2.577	2.89e-02	E063 Adipose Nuclei	Adipose	EnhG	erc2-chromatin15state-all-files/E063_6_EnhG.bed	cg00988037,cg03732020,cg07970948,cg08447934,cg08881614,cg08937102,cg14020176,cg23661483,cg25921609	E063	1.00e+00
8.510	7.42e-12	E063 Adipose Nuclei	Adipose	Enh	erc2-chromatin15state-all-files/E063_7_Enh.bed	cg01015663,cg01329690,cg01542019,cg02194129,cg02810967,cg03131366,cg03750061,cg04242728,cg04304450,cg04657325,cg05673882,cg07029024,cg07056299,cg08307171,cg08335767,cg08549335,cg08726900,cg08843623,cg08899895,cg08972170,cg09109520,cg09435170,cg10692140,cg10713715,cg10980948,cg11547696,cg12126344,cg13167816,cg13253439,cg13458609,cg13526915,cg13836518,cg14377791,cg14469684,cg15029631,cg15068180,cg16479633,cg16734795,cg16834726,cg16887422,cg17042996,cg17907003,cg18187029,cg18202127,cg18597188,cg18797823,cg21443659,cg22402398,cg22500518,cg23205886,cg23690893,cg23965590,cg25799109,cg25953130,cg26618703	E063	3.83e-08
-1.866	1.00e+00	E063 Adipose Nuclei	Adipose	ZNF-Rpts	erc2-chromatin15state-all-files/E063_8_ZNF-Rpts.bed		E063	1.00e+00
-1.064	8.95e-01	E063 Adipose Nuclei	Adipose	Het	erc2-chromatin15state-all-files/E063_9_Het.bed	cg16282618	E063	1.00e+00
1.020	2.25e-01	E063 Adipose Nuclei	Adipose	TssBiv	erc2-chromatin15state-all-files/E063_10_TssBiv.bed	cg00962903,cg08940169,cg13405783	E063	1.00e+00
1.989	6.61e-02	E063 Adipose Nuclei	Adipose	BivFlnk	erc2-chromatin15state-all-files/E063_11_BivFlnk.bed	cg00687135,cg01100175,cg01939453,cg02816816,cg06991974,cg08383315,cg09235539,cg11965976,cg22389950,cg22639011,cg24988625,cg27315333	E063	1.00e+00
0.352	4.89e-01	E063 Adipose Nuclei	Adipose	EnhBiv	erc2-chromatin15state-all-files/E063_12_EnhBiv.bed	cg08059112,cg08922729,cg10186366,cg17934871,cg21566642,cg22122862	E063	1.00e+00
0.469	4.61e-01	E063 Adipose Nuclei	Adipose	ReprPC	erc2-chromatin15state-all-files/E063_13_ReprPC.bed	cg01101873,cg03057083,cg04768697,cg05575921,cg07186154,cg08109625,cg08654655,cg10194884,cg10493186,cg13566648,cg16348158,cg20950646,cg24843346,cg26094004	E063	1.00e+00
-2.045	9.96e-01	E063 Adipose Nuclei	Adipose	ReprPCWk	erc2-chromatin15state-all-files/E063_14_ReprPCWk.bed	cg01126699,cg05033439,cg07157107,cg08288703,cg08802607,cg10017105,cg10422233,cg14395060,cg15090440,cg17971600,cg18991417,cg19623054,cg23258188,cg23505644,cg26076119,cg26163153	E063	1.00e+00
-3.595	1.00e+00	E063 Adipose Nuclei	Adipose	Quies	erc2-chromatin15state-all-files/E063_15_Quies.bed	cg03211864,cg04983687,cg05508862,cg06946543,cg07363676,cg07891911,cg09410512,cg10322443,cg11780096,cg14145338,cg15338967,cg16545743,cg17486314,cg18419358,cg19925780,cg21393163,cg24536818,cg26728709,cg26811385	E063	1.00e+00
-3.126	1.00e+00	E080 Fetal Adrenal Gland	Adrenal	TssA	erc2-chromatin15state-all-files/E080_1_TssA.bed	cg02349578,cg02810967,cg05392764,cg06297145,cg11617147,cg13189097,cg14049470,cg15953602,cg16560711,cg17053845,cg17870792,cg17873919,cg21085462,cg21411075,cg21497218	E080	1.00e+00
1.450	1.66e-01	E080 Fetal Adrenal Gland	Adrenal	TssAFlnk	erc2-chromatin15state-all-files/E080_2_TssAFlnk.bed	cg01501009,cg02317313,cg02610360,cg04292359,cg04845871,cg05567236,cg06635952,cg09235539,cg13253439,cg13526915,cg14450238,cg14519664,cg15283950,cg15485700,cg19755108,cg20051772,cg20100049,cg26189283	E080	1.00e+00
2.931	2.46e-02	E080 Fetal Adrenal Gland	Adrenal	TxFlnk	erc2-chromatin15state-all-files/E080_3_TxFlnk.bed	cg04751761,cg15150970,cg21618017,cg23983449	E080	1.00e+00
-0.358	7.84e-01	E080 Fetal Adrenal Gland	Adrenal	Tx	erc2-chromatin15state-all-files/E080_4_Tx.bed	cg02468154,cg03502812,cg03732020,cg05253759,cg05376219,cg06653796,cg07660627,cg07970948,cg08289839,cg08766770,cg08881614,cg08937102,cg11095027,cg12104982,cg14020176,cg15540623,cg16834726,cg17224754,cg19295068,cg20507228,cg22761205	E080	1.00e+00
-2.236	9.98e-01	E080 Fetal Adrenal Gland	Adrenal	TxWk	erc2-chromatin15state-all-files/E080_5_TxWk.bed	cg00008629,cg07029024,cg07357081,cg08307171,cg15068180,cg17540765,cg19925780,cg20784591	E080	1.00e+00
5.107	4.85e-05	E080 Fetal Adrenal Gland	Adrenal	EnhG	erc2-chromatin15state-all-files/E080_6_EnhG.bed	cg00867472,cg00988037,cg02194129,cg02597894,cg03750061,cg06670742,cg06943835,cg08262464,cg08447934,cg10295552,cg10980948,cg16479633,cg16887422,cg17907003,cg18597188,cg20472746,cg23661483,cg25580656,cg25921609,cg25940513,cg25966599	E080	1.00e-02
3.809	1.25e-03	E080 Fetal Adrenal Gland	Adrenal	Enh	erc2-chromatin15state-all-files/E080_7_Enh.bed	cg00902153,cg01015663,cg01329690,cg01542019,cg04657325,cg05135521,cg05508862,cg05673882,cg07518532,cg07551060,cg07891911,cg08726900,cg08922729,cg10713715,cg12520319,cg13039251,cg13167816,cg13458609,cg15251319,cg15338967,cg16145216,cg18187029,cg18797823,cg20309640,cg21686890,cg22500518,cg23205886,cg23690893,cg23965590,cg25799109,cg25953130,cg26618703,cg27192248	E080	1.37e-01
0.845	2.65e-01	E080 Fetal Adrenal Gland	Adrenal	ZNF-Rpts	erc2-chromatin15state-all-files/E080_8_ZNF-Rpts.bed	cg08948841,cg13876222,cg22533317	E080	1.00e+00
-1.452	9.80e-01	E080 Fetal Adrenal Gland	Adrenal	Het	erc2-chromatin15state-all-files/E080_9_Het.bed	cg14145338	E080	1.00e+00
0.648	3.67e-01	E080 Fetal Adrenal Gland	Adrenal	TssBiv	erc2-chromatin15state-all-files/E080_10_TssBiv.bed	cg08335767,cg08383315,cg08654655,cg13566648,cg15523958	E080	1.00e+00
1.778	1.03e-01	E080 Fetal Adrenal Gland	Adrenal	BivFlnk	erc2-chromatin15state-all-files/E080_11_BivFlnk.bed	cg00687135,cg01100175,cg01939453,cg02816816,cg03744763,cg04537738,cg05257275,cg07186154,cg10670310,cg11965976,cg17934871,cg18022012,cg19399220,cg22010052,cg22389950,cg22639011,cg24988625,cg27613174	E080	1.00e+00
2.385	3.73e-02	E080 Fetal Adrenal Gland	Adrenal	EnhBiv	erc2-chromatin15state-all-files/E080_12_EnhBiv.bed	cg01101873,cg01126699,cg01656168,cg04242728,cg05575921,cg08059112,cg08109625,cg08288703,cg08802607,cg08899895,cg08940169,cg09109520,cg10099827,cg10422233,cg12076102,cg12126344,cg14469684,cg21566642,cg22122862,cg26693467,cg27315333	E080	1.00e+00
-1.874	9.94e-01	E080 Fetal Adrenal Gland	Adrenal	ReprPC	erc2-chromatin15state-all-files/E080_13_ReprPC.bed	cg03057083,cg04304450,cg04768697,cg04983687,cg05033439,cg06991974,cg07056299,cg08843623,cg09294084,cg10186366,cg10493186,cg11547696,cg13405783,cg13836518,cg15090440,cg16348158,cg19075787,cg19623054,cg20950646,cg23258188,cg23505644,cg24843346	E080	1.00e+00
1.476	1.68e-01	E080 Fetal Adrenal Gland	Adrenal	ReprPCWk	erc2-chromatin15state-all-files/E080_14_ReprPCWk.bed	cg03131366,cg03211864,cg03526142,cg07157107,cg08767044,cg08972170,cg09435170,cg10194884,cg10581754,cg10692140,cg10832476,cg12837524,cg14377791,cg14395060,cg16282618,cg16545743,cg16734795,cg17042996,cg17486314,cg17971600,cg18202127,cg18991417,cg21393163,cg21443659,cg22402398,cg24536818,cg26076119,cg26094004,cg26163153	E080	1.00e+00
-1.784	9.90e-01	E080 Fetal Adrenal Gland	Adrenal	Quies	erc2-chromatin15state-all-files/E080_15_Quies.bed	cg00962903,cg05708512,cg06946543,cg07363676,cg08549335,cg09410512,cg09704401,cg10017105,cg10322443,cg11780096,cg15029631,cg18419358,cg26728709,cg26811385,cg27509347	E080	1.00e+00
-3.301	1.00e+00	E029 Primary monocytes from peripheral blood	Blood	TssA	erc2-chromatin15state-all-files/E029_1_TssA.bed	cg04292359,cg11965976,cg14049470,cg15953602,cg16560711,cg17053845,cg17873919,cg21085462,cg21411075,cg27613174	E029	1.00e+00
-0.166	7.11e-01	E029 Primary monocytes from peripheral blood	Blood	TssAFlnk	erc2-chromatin15state-all-files/E029_2_TssAFlnk.bed	cg00008629,cg04845871,cg06297145,cg08767044,cg08948841,cg11547696,cg14450238,cg18022012,cg19075787,cg19755108,cg20051772,cg20784591,cg21497218,cg21686890,cg23983449,cg26189283	E029	1.00e+00
-0.447	4.05e-01	E029 Primary monocytes from peripheral blood	Blood	TxFlnk	erc2-chromatin15state-all-files/E029_3_TxFlnk.bed	cg05257275	E029	1.00e+00
0.452	4.98e-01	E029 Primary monocytes from peripheral blood	Blood	Tx	erc2-chromatin15state-all-files/E029_4_Tx.bed	cg00867472,cg05135521,cg05253759,cg06670742,cg08059112,cg08262464,cg08881614,cg08937102,cg10832476,cg10980948,cg11095027,cg12104982,cg13876222,cg14020176,cg15540623,cg16887422,cg17971600,cg19295068,cg22533317,cg23661483,cg25580656,cg25921609,cg25940513	E029	1.00e+00
4.069	7.38e-04	E029 Primary monocytes from peripheral blood	Blood	TxWk	erc2-chromatin15state-all-files/E029_5_TxWk.bed	cg00988037,cg01542019,cg02597894,cg03131366,cg03526142,cg03732020,cg05376219,cg06635952,cg06943835,cg07357081,cg08307171,cg08447934,cg08843623,cg08899895,cg08972170,cg10295552,cg10713715,cg13167816,cg13458609,cg15150970,cg16834726,cg17042996,cg17540765,cg18187029,cg18597188,cg22500518,cg22761205,cg23205886,cg23690893,cg25966599,cg26163153,cg26618703,cg27192248,cg27509347	E029	8.91e-02
2.018	7.57e-02	E029 Primary monocytes from peripheral blood	Blood	EnhG	erc2-chromatin15state-all-files/E029_6_EnhG.bed	cg02317313,cg08766770,cg12076102,cg16479633,cg20507228,cg22402398	E029	1.00e+00
5.807	2.36e-06	E029 Primary monocytes from peripheral blood	Blood	Enh	erc2-chromatin15state-all-files/E029_7_Enh.bed	cg00902153,cg01015663,cg01329690,cg02194129,cg02810967,cg03750061,cg04242728,cg04304450,cg04657325,cg05567236,cg05673882,cg07029024,cg07056299,cg07157107,cg07551060,cg07660627,cg07970948,cg08289839,cg08335767,cg08549335,cg08726900,cg10017105,cg10194884,cg10692140,cg12126344,cg12520319,cg13189097,cg13253439,cg13526915,cg13836518,cg15029631,cg16734795,cg17907003,cg18419358,cg18991417,cg20100049,cg20472746,cg21393163,cg23965590,cg25799109,cg25953130	E029	8.49e-04
0.205	3.99e-01	E029 Primary monocytes from peripheral blood	Blood	ZNF-Rpts	erc2-chromatin15state-all-files/E029_8_ZNF-Rpts.bed	cg01501009,cg02468154	E029	1.00e+00
-2.602	1.00e+00	E029 Primary monocytes from peripheral blood	Blood	Het	erc2-chromatin15state-all-files/E029_9_Het.bed	cg14145338,cg16282618	E029	1.00e+00
-1.879	1.00e+00	E029 Primary monocytes from peripheral blood	Blood	TssBiv	erc2-chromatin15state-all-files/E029_10_TssBiv.bed		E029	1.00e+00
-0.063	6.44e-01	E029 Primary monocytes from peripheral blood	Blood	BivFlnk	erc2-chromatin15state-all-files/E029_11_BivFlnk.bed	cg02349578,cg05392764,cg11617147,cg16145216,cg24988625	E029	1.00e+00
1.719	1.04e-01	E029 Primary monocytes from peripheral blood	Blood	EnhBiv	erc2-chromatin15state-all-files/E029_12_EnhBiv.bed	cg01100175,cg01656168,cg04751761,cg05575921,cg08383315,cg09235539,cg10186366,cg10581754,cg14469684,cg15485700,cg15523958,cg19399220,cg21618017,cg27315333	E029	1.00e+00
1.633	1.43e-01	E029 Primary monocytes from peripheral blood	Blood	ReprPC	erc2-chromatin15state-all-files/E029_13_ReprPC.bed	cg00687135,cg00962903,cg01939453,cg02610360,cg02816816,cg03057083,cg03744763,cg04768697,cg06653796,cg06991974,cg07186154,cg07518532,cg08654655,cg09109520,cg10670310,cg13405783,cg13566648,cg14395060,cg15090440,cg17870792,cg17934871,cg19623054,cg21566642,cg22010052,cg22122862,cg22389950,cg22639011,cg26094004,cg26693467	E029	1.00e+00
-1.583	9.82e-01	E029 Primary monocytes from peripheral blood	Blood	ReprPCWk	erc2-chromatin15state-all-files/E029_14_ReprPCWk.bed	cg03211864,cg08288703,cg10422233,cg10493186,cg14377791,cg15068180,cg15283950,cg23258188,cg24843346	E029	1.00e+00
-2.091	9.97e-01	E029 Primary monocytes from peripheral blood	Blood	Quies	erc2-chromatin15state-all-files/E029_15_Quies.bed	cg01101873,cg01126699,cg03502812,cg04537738,cg04983687,cg05033439,cg05508862,cg05708512,cg06946543,cg07363676,cg07891911,cg08109625,cg08802607,cg08922729,cg08940169,cg09294084,cg09410512,cg09435170,cg09704401,cg10099827,cg10322443,cg11780096,cg12837524,cg13039251,cg14519664,cg15251319,cg15338967,cg16348158,cg16545743,cg17224754,cg17486314,cg18202127,cg18797823,cg19925780,cg20309640,cg20950646,cg21443659,cg23505644,cg24536818,cg26076119,cg26728709,cg26811385	E029	1.00e+00
-3.864	1.00e+00	E030 Primary neutrophils from peripheral blood	Blood	TssA	erc2-chromatin15state-all-files/E030_1_TssA.bed	cg14049470,cg19755108,cg21085462,cg21411075	E030	1.00e+00
-0.120	7.16e-01	E030 Primary neutrophils from peripheral blood	Blood	TssAFlnk	erc2-chromatin15state-all-files/E030_2_TssAFlnk.bed	cg01501009,cg03750061,cg05567236,cg06297145,cg08289839,cg08767044,cg08948841,cg11547696,cg11965976,cg14450238,cg16560711,cg16734795,cg17053845,cg17873919,cg20051772,cg20100049,cg21393163,cg21497218,cg21618017,cg21686890,cg22010052,cg22402398,cg23983449,cg26189283	E030	1.00e+00
4.117	9.68e-03	E030 Primary neutrophils from peripheral blood	Blood	TxFlnk	erc2-chromatin15state-all-files/E030_3_TxFlnk.bed	cg05257275,cg08059112,cg20507228,cg20784591	E030	6.81e-01
2.291	4.96e-02	E030 Primary neutrophils from peripheral blood	Blood	Tx	erc2-chromatin15state-all-files/E030_4_Tx.bed	cg02194129,cg02468154,cg05253759,cg05376219,cg05508862,cg06653796,cg06670742,cg06943835,cg08262464,cg08881614,cg08899895,cg10832476,cg10980948,cg11095027,cg12104982,cg13876222,cg14020176,cg16479633,cg16834726,cg16887422,cg17042996,cg17971600,cg19295068,cg22533317,cg23661483,cg25580656,cg25921609,cg25940513	E030	1.00e+00
1.615	1.38e-01	E030 Primary neutrophils from peripheral blood	Blood	TxWk	erc2-chromatin15state-all-files/E030_5_TxWk.bed	cg00988037,cg01542019,cg02597894,cg04845871,cg05673882,cg06635952,cg07357081,cg07970948,cg08307171,cg10295552,cg10713715,cg12837524,cg13167816,cg17224754,cg17540765,cg18187029,cg18597188,cg18991417,cg22500518,cg22761205,cg23690893,cg26618703,cg27509347	E030	1.00e+00
1.182	2.07e-01	E030 Primary neutrophils from peripheral blood	Blood	EnhG	erc2-chromatin15state-all-files/E030_6_EnhG.bed	cg02317313,cg08766770,cg08937102,cg15540623	E030	1.00e+00
5.201	3.53e-05	E030 Primary neutrophils from peripheral blood	Blood	Enh	erc2-chromatin15state-all-files/E030_7_Enh.bed	cg00008629,cg00867472,cg00902153,cg01329690,cg02810967,cg04304450,cg04657325,cg07029024,cg07891911,cg08335767,cg08549335,cg08726900,cg08922729,cg10099827,cg10692140,cg12126344,cg12520319,cg13253439,cg13836518,cg15029631,cg17907003,cg18202127,cg20472746,cg23965590,cg25799109,cg25953130,cg26163153	E030	8.04e-03
