Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
-7.107	1.00e+00	E029 Primary monocytes from peripheral blood	Blood	H3K9me3	E029-H3K9me3.broadPeak.gz	cg03554335,cg04099543,cg04349839,cg07828833,cg09698506,cg14118059,cg15159044,cg16299559,cg16617564,cg18650626,cg22150440,cg23689722,cg23771052,cg24598141,cg26964704	E029	1.00e+00
-4.754	1.00e+00	E032 Primary B cells from peripheral blood	Blood	H3K9me3	E032-H3K9me3.broadPeak.gz	cg05820066,cg06646410,cg06850285,cg08794018,cg13638867,cg16617564,cg21130221,cg22106221,cg22150440,cg23522962,cg25117333	E032	1.00e+00
-2.603	1.00e+00	E033 Primary T cells from cord blood	Blood	H3K9me3	E033-H3K9me3.broadPeak.gz	cg01611175,cg22150440,cg25117333,cg25372176	E033	1.00e+00
-3.631	1.00e+00	E034 Primary T cells from peripheral blood	Blood	H3K9me3	E034-H3K9me3.broadPeak.gz	cg00780501,cg01901579,cg02147126,cg02240622,cg02844688,cg03337482,cg04161328,cg04316096,cg04395593,cg04497992,cg04924375,cg05219896,cg05499338,cg06646410,cg07432111,cg07519863,cg07532960,cg10741887,cg11715991,cg11751434,cg11966720,cg13117318,cg13254847,cg13638867,cg14242936,cg14919455,cg14997111,cg15030712,cg15338098,cg15532312,cg16032884,cg16545105,cg16945415,cg16948651,cg17555715,cg20090759,cg20833901,cg21130221,cg21156580,cg22150440,cg22503106,cg22788906,cg24238409,cg24372191,cg24517604,cg25117333,cg25642315,cg26472183,cg26819611,cg26996616	E034	1.00e+00
-7.003	1.00e+00	E046 Primary Natural Killer cells from peripheral 	Blood	H3K9me3	E046-H3K9me3.broadPeak.gz	cg00477633,cg00921350,cg01955639,cg02147126,cg02844688,cg03554335,cg04161328,cg04920032,cg06646410,cg07432111,cg08105265,cg08470588,cg09241885,cg09763039,cg11112605,cg12227660,cg12784307,cg12828656,cg12856590,cg12997777,cg13254847,cg13638867,cg15159044,cg16171189,cg17746899,cg17991808,cg18481322,cg18852698,cg19296671,cg20845336,cg22150440,cg23635560,cg23720822,cg23933458,cg24598141,cg25117333,cg26311703,cg26569937,cg27646484	E046	1.00e+00
-5.592	1.00e+00	E050 Primary hematopoietic stem cells G-CSF-mobili	Blood	H3K9me3	E050-H3K9me3.broadPeak.gz	cg00127788,cg00390941,cg01923915,cg02274033,cg02305757,cg02480174,cg02961280,cg03116466,cg05920921,cg07137115,cg09313442,cg10011040,cg13638867,cg14282386,cg15159044,cg16617564,cg17991808,cg17998403,cg18481322,cg19032328,cg20090759,cg20845336,cg21130221,cg21156580,cg22150440,cg22331200,cg23338316,cg23522962,cg23720822,cg24395217,cg25008015,cg26667462,cg27316598	E050	1.00e+00
-5.391	1.00e+00	E051 Primary hematopoietic stem cells G-CSF-mobili	Blood	H3K9me3	E051-H3K9me3.broadPeak.gz	cg00127788,cg03392077,cg04353863,cg06646410,cg08427005,cg09313442,cg13638867,cg14118059,cg14282386,cg14997111,cg16617564,cg16872030,cg17991808,cg22150440,cg22940815,cg23522962,cg24058805,cg26802802	E051	1.00e+00
-5.410	1.00e+00	E028 Breast variant Human Mammary Epithelial Cells	Breast	H3K9me3	E028-H3K9me3.broadPeak.gz	cg00448525,cg02006119,cg02274033,cg02589986,cg06646410,cg08589455,cg11759930,cg12997777,cg14118059,cg15357334,cg15672644,cg15737719,cg20378408,cg22150440,cg22954819,cg23689722,cg24372191,cg25117333,cg26272008	E028	1.00e+00
-2.705	9.99e-01	E003 H1 Cells	ES Cell	H3K9me3	E003-H3K9me3.broadPeak.gz	cg00127788,cg00390941,cg00448525,cg01014987,cg01418188,cg01499988,cg01745810,cg01901579,cg02006119,cg02147126,cg02961280,cg03381616,cg03634089,cg03666966,cg04316096,cg04353863,cg04701118,cg04920032,cg05026674,cg05150185,cg05642098,cg05853552,cg06181069,cg06646410,cg07014573,cg07177867,cg07325407,cg07532960,cg07636225,cg07638500,cg07970948,cg08621659,cg08653021,cg09098714,cg09313442,cg09468422,cg10180919,cg10220988,cg10966235,cg11271052,cg11554295,cg11715991,cg11810303,cg12040931,cg12077754,cg12998731,cg13047724,cg13054523,cg13117318,cg13638867,cg13789639,cg13792581,cg13905385,cg14060758,cg14977769,cg15030712,cg15074047,cg15123849,cg15159044,cg15357334,cg15535138,cg15698538,cg15737719,cg15931859,cg16032884,cg16171189,cg16660617,cg16945415,cg17141163,cg17464069,cg17546493,cg17555715,cg17753773,cg17946525,cg19210893,cg19254378,cg20090759,cg20133890,cg20350272,cg20833901,cg21045547,cg21156580,cg21211039,cg22503106,cg22940815,cg23091723,cg23511239,cg23579490,cg24058805,cg24372191,cg24395217,cg25008015,cg25136646,cg27347104	E003	1.00e+00
-0.643	7.69e-01	E004 H1 BMP4 Derived Mesendoderm Cultured Cells	ES Cell	H3K9me3	E004-H3K9me3.broadPeak.gz	cg00127788,cg00390941,cg01555198,cg02441833,cg03326609,cg03914277,cg04353863,cg04976987,cg05026674,cg05122026,cg06181069,cg06449385,cg06984345,cg07908654,cg08653021,cg08794018,cg10487714,cg12040931,cg12828656,cg13789639,cg14997111,cg15030712,cg15123849,cg15357334,cg16464329,cg16863862,cg17141163,cg17194668,cg17753773,cg17998403,cg18118893,cg19114543,cg23499392,cg24171689,cg24684972,cg25228737,cg25348163,cg25372176	E004	1.00e+00
