Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
5.298	1.09e-06	Acute_myeloid_leukemia	Bone Marrow	DHS	S005FH41.DNase.hotspot_v3.20130819.bed.gz	cg00008629,cg00902153,cg01015663,cg01101873,cg01329690,cg01501009,cg01556552,cg01656168,cg02349578,cg02597894,cg02810967,cg02816816,cg03131366,cg03211864,cg03526142,cg04304450,cg04657325,cg04751761,cg04983687,cg05392764,cg05508862,cg05673882,cg05708512,cg06297145,cg06653796,cg06991974,cg07029024,cg07056299,cg07094298,cg07157107,cg07357081,cg07518532,cg07551060,cg08109625,cg08549335,cg08726900,cg08767044,cg08802607,cg08922729,cg08937102,cg09235539,cg09410512,cg09904264,cg10295552,cg10581754,cg11547696,cg11617147,cg12076102,cg12520319,cg13836518,cg14049470,cg14145338,cg14450238,cg14469684,cg14519664,cg15068180,cg15338967,cg15953602,cg16145216,cg16348158,cg16479633,cg16560711,cg17042996,cg17053845,cg17870792,cg17873919,cg17907003,cg17934871,cg18022012,cg18176887,cg18419358,cg18797823,cg19075787,cg19295068,cg19399220,cg19755108,cg20051772,cg20472746,cg21085462,cg21327581,cg21411075,cg21443659,cg21497218,cg21566642,cg21618017,cg21686890,cg22122862,cg22761205,cg23258188,cg23965590,cg25580656,cg25799109,cg25953130,cg26189283,cg26728709,cg27315333	NA	1.30e-04
-0.453	6.97e-01	DG-75_Sporadic_Burkitt_lymphoma	Cell Line	DHS	BP_DG-75_d01.DNase.hotspot_v3.20130819.bed.gz	cg01329690,cg03057083,cg03211864,cg04304450,cg04845871,cg05392764,cg05673882,cg06297145,cg06653796,cg06670742,cg07094298,cg07157107,cg08549335,cg08899895,cg08937102,cg09235539,cg09904264,cg10670310,cg12520319,cg14519664,cg17042996,cg17053845,cg17873919,cg18176887,cg19399220,cg19755108,cg20051772,cg21085462,cg21327581,cg21411075,cg21497218,cg21686890,cg23205886,cg23665802,cg25799109,cg26163153	NA	1.00e+00
-2.439	9.94e-01	KARPAS-422_Germinal_Center_B-Cell-Like_Diffuse_Large_B-Cell_Lymphoma	Cell Line	DHS	bp_KARPAS-422_d01.DNase.hotspot_v3.20131126.bed.gz	cg04292359,cg04845871,cg06297145,cg07094298,cg08549335,cg09704401,cg12520319,cg14377791,cg17042996,cg17053845,cg17873919,cg18176887,cg19399220,cg19755108,cg20051772,cg21327581,cg21411075,cg21497218,cg21686890,cg25799109,cg26163153,cg26189283	NA	1.00e+00
-0.899	8.27e-01	SU-DHL-5_Germinal_Center_B-Cell-Like_Diffuse_Large_B-Cell_Lymphoma	Cell Line	DHS	bp_SU-DHL-5_d01.DNase.hotspot_v3.20131126.bed.gz	cg04304450,cg04657325,cg04845871,cg05673882,cg06297145,cg06653796,cg06670742,cg07094298,cg07157107,cg07891911,cg08549335,cg09235539,cg10581754,cg10692140,cg12520319,cg13253439,cg14450238,cg14519664,cg16560711,cg17042996,cg17053845,cg17873919,cg18176887,cg19399220,cg19755108,cg20051772,cg20472746,cg21085462,cg21393163,cg21411075,cg21497218,cg21686890,cg23205886,cg23983449,cg25799109,cg26163153,cg26189283	NA	1.00e+00
0.362	3.91e-01	U-266_Multiple_myeloma	Cell Line	DHS	BP_U-266_d01.DNase.hotspot_v3.20130819.bed.gz	cg00008629,cg01329690,cg01501009,cg02610360,cg02810967,cg03057083,cg03526142,cg04304450,cg04657325,cg05392764,cg05567236,cg06297145,cg06635952,cg06653796,cg06946543,cg07094298,cg07157107,cg07551060,cg08335767,cg08549335,cg08767044,cg08899895,cg08922729,cg08948841,cg09904264,cg10322443,cg10581754,cg10692140,cg11617147,cg12520319,cg13253439,cg13836518,cg14377791,cg14450238,cg14519664,cg15953602,cg16145216,cg16560711,cg17042996,cg17053845,cg17873919,cg18022012,cg18176887,cg18419358,cg19399220,cg19755108,cg20051772,cg20472746,cg21085462,cg21411075,cg21497218,cg21618017,cg21686890,cg23205886,cg23665802,cg25799109,cg26163153,cg26189283,cg26728709	NA	1.00e+00
0.254	4.34e-01	Z-138_Mantle_cell_lymphoma	Cell Line	DHS	BP_Z-138_d01.DNase.hotspot_v3.20130819.bed.gz	cg00008629,cg01542019,cg02317313,cg02610360,cg02810967,cg03131366,cg04292359,cg04304450,cg04537738,cg04845871,cg05392764,cg05567236,cg05673882,cg06297145,cg06635952,cg06653796,cg06670742,cg07094298,cg07157107,cg07551060,cg08335767,cg08549335,cg08767044,cg08899895,cg08937102,cg09109520,cg10581754,cg10670310,cg12520319,cg13039251,cg14020176,cg14377791,cg14450238,cg14519664,cg16145216,cg16560711,cg17042996,cg17053845,cg17873919,cg18176887,cg19399220,cg19755108,cg20051772,cg20472746,cg20784591,cg21085462,cg21327581,cg21411075,cg21497218,cg21618017,cg21686890,cg23205886,cg23983449,cg25799109,cg26163153,cg26189283,cg27613174	NA	1.00e+00
0.516	3.45e-01	CD14_positive_CD16_negative_classical_monocyte	Cord Blood	DHS	C005PS4E.DNase.hotspot_v3.20130819.bed.gz	cg00902153,cg01015663,cg01501009,cg02317313,cg04657325,cg05392764,cg05673882,cg06297145,cg07094298,cg07551060,cg08549335,cg08726900,cg08767044,cg09410512,cg09904264,cg10692140,cg11965976,cg12520319,cg14049470,cg16145216,cg16560711,cg16734795,cg17042996,cg17053845,cg17873919,cg17907003,cg18176887,cg19399220,cg19755108,cg20472746,cg21085462,cg21327581,cg21393163,cg21411075,cg21497218,cg21618017,cg21686890,cg23983449,cg25799109,cg25953130	NA	1.00e+00
2.067	3.56e-02	CD34-negative_CD41-positive_CD42-positive_megakaryocyte_cell	Cord Blood	DHS	C006NS47.DNase.hotspot_v3.20130819.bed.gz	cg00008629,cg00867472,cg01015663,cg01501009,cg02349578,cg04983687,cg05575921,cg05673882,cg05708512,cg06297145,cg07094298,cg08549335,cg08802607,cg08922729,cg08972170,cg09235539,cg10099827,cg10422233,cg10692140,cg12076102,cg12520319,cg14049470,cg14519664,cg15338967,cg15953602,cg16560711,cg16734795,cg17042996,cg17053845,cg17540765,cg17870792,cg17873919,cg18176887,cg18797823,cg19399220,cg19755108,cg20309640,cg20472746,cg21085462,cg21327581,cg21411075,cg21497218,cg21618017,cg21686890,cg23690893,cg23965590,cg24536818,cg25580656	NA	1.00e+00
0.771	2.51e-01	CD14-positive_CD16-negative_classical_monocyte	Venous Blood	DHS	C001UY46.DNase.hotspot_v3.20130415.bed.gz	cg00902153,cg01015663,cg01100175,cg01329690,cg01501009,cg02317313,cg02349578,cg04657325,cg04845871,cg05392764,cg05508862,cg05673882,cg06297145,cg06653796,cg06670742,cg07094298,cg07157107,cg07551060,cg08289839,cg08549335,cg08726900,cg09235539,cg09410512,cg09904264,cg10581754,cg10692140,cg11547696,cg11965976,cg12520319,cg13836518,cg14049470,cg14450238,cg15540623,cg16145216,cg16560711,cg16734795,cg17042996,cg17053845,cg17873919,cg17907003,cg18176887,cg19075787,cg19399220,cg19755108,cg20472746,cg21085462,cg21327581,cg21393163,cg21411075,cg21497218,cg21618017,cg21686890,cg23965590,cg25799109,cg25953130,cg26189283,cg27613174	NA	1.00e+00
0.219	4.46e-01	CD14-positive_CD16-negative_classical_monocyte	Venous Blood	DHS	C0010K46.DNase.hotspot_v3.20130415.bed.gz	cg00008629,cg00902153,cg01015663,cg01501009,cg02349578,cg02810967,cg04657325,cg04845871,cg05673882,cg06297145,cg06670742,cg07094298,cg07157107,cg07551060,cg08289839,cg08549335,cg08726900,cg08767044,cg09235539,cg10581754,cg10692140,cg11547696,cg11617147,cg12520319,cg14049470,cg14450238,cg14519664,cg15485700,cg16560711,cg16734795,cg17042996,cg17053845,cg17873919,cg17907003,cg18176887,cg19399220,cg19755108,cg20051772,cg20472746,cg21085462,cg21327581,cg21393163,cg21411075,cg21497218,cg21618017,cg21686890,cg23983449,cg25799109,cg25953130,cg27315333	NA	1.00e+00
