Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
-5.961	1.00e+00	E029 Primary monocytes from peripheral blood	Blood	H3K9me3	E029-H3K9me3.broadPeak.gz	cg00277397,cg00310412,cg00538247,cg00646185,cg00980649,cg01169021,cg01414882,cg01464985,cg01651915,cg01936839,cg01940273,cg02088996,cg02988775,cg03143849,cg03241816,cg03329539,cg03689146,cg04184836,cg05559445,cg05575921,cg05657427,cg06630241,cg06644428,cg06936155,cg07862235,cg07943780,cg08110950,cg08116915,cg08958931,cg08970020,cg10092518,cg10453777,cg11344744,cg11370064,cg11661281,cg12133952,cg12364074,cg12674975,cg12876356,cg13092108,cg13505393,cg14127947,cg14145338,cg14363114,cg14447710,cg14914442,cg16292768,cg16463460,cg17439093,cg17443080,cg17467525,cg17602444,cg17849569,cg17877220,cg18668382,cg20560182,cg20660989,cg20945853,cg21335761,cg22141389,cg22459204,cg22858308,cg23510415,cg23703633,cg24752692,cg25138854,cg25648203,cg26581729,cg27494897	E029	1.00e+00
-4.484	1.00e+00	E032 Primary B cells from peripheral blood	Blood	H3K9me3	E032-H3K9me3.broadPeak.gz	cg01169021,cg01414882,cg01464985,cg03183540,cg03198203,cg03536289,cg06936155,cg07209977,cg08110950,cg08320122,cg08970020,cg10453777,cg11370064,cg11661281,cg13413819,cg14447710,cg14771889,cg17032689,cg17602444,cg17849569,cg20560182,cg23761815,cg25491122,cg26267259,cg26315985,cg27494897	E032	1.00e+00
-3.076	1.00e+00	E033 Primary T cells from cord blood	Blood	H3K9me3	E033-H3K9me3.broadPeak.gz	cg03198203,cg03536289,cg08970020,cg13372658,cg14732054,cg16658460,cg17960141	E033	1.00e+00
-4.065	1.00e+00	E034 Primary T cells from peripheral blood	Blood	H3K9me3	E034-H3K9me3.broadPeak.gz	cg00210249,cg00244001,cg00611192,cg00646185,cg01020987,cg01169021,cg01414882,cg02088996,cg02240622,cg02249930,cg02345399,cg02560388,cg02905900,cg03143849,cg03345232,cg03536289,cg03689146,cg03945538,cg04285956,cg04456029,cg04509542,cg04608933,cg05151185,cg05246110,cg05845319,cg06088069,cg06442723,cg06630241,cg06690548,cg06936155,cg07134632,cg08280341,cg08876103,cg08958931,cg09031473,cg10453777,cg10468373,cg10967434,cg11360230,cg11368628,cg11370064,cg11468085,cg11649376,cg13134916,cg13428066,cg13823169,cg14097568,cg14145338,cg14262884,cg14334350,cg14363114,cg14447710,cg14476101,cg14970975,cg15208284,cg16252905,cg16362140,cg16631539,cg16658460,cg17032689,cg17084044,cg17197981,cg17217654,cg17329534,cg17439093,cg17467525,cg17849569,cg17960141,cg18394552,cg19220272,cg19554257,cg19572574,cg19693031,cg20560182,cg20660989,cg20802826,cg20988565,cg21322436,cg21382392,cg22017309,cg22510074,cg22940798,cg23542902,cg23645210,cg24576940,cg24663255,cg24760467,cg25114611,cg25138854,cg25281677,cg25817701,cg26267259,cg26953232,cg27494897,cg27610250	E034	1.00e+00
-4.030	1.00e+00	E046 Primary Natural Killer cells from peripheral 	Blood	H3K9me3	E046-H3K9me3.broadPeak.gz	cg00134210,cg00310412,cg00646185,cg00701951,cg00980649,cg01020987,cg01169021,cg01270753,cg01414882,cg01464985,cg01651915,cg01936839,cg01940273,cg02056997,cg02249930,cg02345285,cg02504211,cg02505871,cg02743070,cg02893429,cg03198203,cg03329539,cg03340303,cg03450842,cg03536289,cg03560879,cg03689146,cg04009456,cg04203238,cg04608933,cg04621728,cg05242244,cg05284742,cg05575921,cg05657427,cg06032919,cg06372654,cg06481517,cg06677416,cg06690548,cg06778853,cg06936155,cg07452306,cg07606115,cg07866705,cg07943780,cg07960624,cg08110950,cg08176258,cg08280341,cg08864105,cg08970020,cg09031473,cg09249494,cg10096893,cg10255761,cg10287970,cg10453777,cg10732016,cg11366934,cg11370064,cg11468085,cg11649376,cg11661281,cg11787522,cg12674975,cg12876356,cg13372658,cg14097568,cg14145338,cg14447710,cg14634473,cg14771889,cg14970975,cg15672022,cg16235995,cg16252905,cg16463460,cg16531578,cg16658460,cg16726532,cg16967583,cg17032689,cg17104596,cg17439093,cg17443080,cg17602444,cg17849569,cg17877220,cg17901584,cg17916418,cg17960141,cg18120259,cg18984211,cg19320261,cg19693031,cg20014974,cg20456243,cg20560182,cg20866121,cg20945853,cg20988565,cg21322436,cg21913886,cg22017309,cg22141389,cg22370057,cg22459204,cg23090046,cg23384027,cg23510415,cg23547429,cg23645210,cg24263283,cg24332710,cg24461171,cg24712501,cg25138854,cg25281677,cg25491122,cg25648203,cg25983901,cg26140475,cg26267259,cg26361533,cg26581729,cg26723847,cg27494897	E046	1.00e+00
-5.262	1.00e+00	E050 Primary hematopoietic stem cells G-CSF-mobili	Blood	H3K9me3	E050-H3K9me3.broadPeak.gz	cg00543073,cg00646185,cg00907204,cg01169021,cg02088996,cg02249930,cg02345285,cg02743070,cg02794990,cg03149958,cg03241816,cg03247245,cg03689146,cg04258833,cg06032919,cg06936155,cg07698196,cg07943780,cg08110950,cg08320122,cg08673945,cg08958931,cg08970020,cg09031473,cg09310636,cg09360041,cg09643139,cg10092518,cg11370064,cg11649376,cg11661281,cg12674975,cg12876356,cg13372658,cg13428066,cg13770461,cg14145338,cg14447710,cg14914442,cg16001689,cg16235995,cg16463460,cg17032689,cg17330097,cg17439093,cg17849569,cg17877220,cg17960141,cg18522582,cg19572574,cg20014974,cg20146909,cg20283107,cg20660989,cg20724168,cg21335761,cg21932231,cg22282161,cg23079012,cg24496021,cg24576940,cg25305703,cg25763898,cg25983901,cg26264896,cg26267259,cg27446442	E050	1.00e+00
-5.944	1.00e+00	E051 Primary hematopoietic stem cells G-CSF-mobili	Blood	H3K9me3	E051-H3K9me3.broadPeak.gz	cg01169021,cg01940273,cg02088996,cg02345285,cg03241816,cg03689146,cg06032919,cg06677416,cg06936155,cg08110950,cg08160072,cg08320122,cg08970020,cg09031473,cg10453777,cg11649376,cg11661281,cg12497543,cg12674975,cg13372658,cg13428066,cg14447710,cg16969872,cg17032689,cg17849569,cg17877220,cg19572574,cg20724168,cg21131989,cg21335761,cg23703633,cg27494897	E051	1.00e+00
-5.253	1.00e+00	E028 Breast variant Human Mammary Epithelial Cells	Breast	H3K9me3	E028-H3K9me3.broadPeak.gz	cg00285394,cg00646185,cg00980649,cg01169021,cg01198738,cg02088996,cg02917536,cg03689146,cg04203238,cg05094429,cg06936155,cg08262220,cg08958931,cg08970020,cg09760098,cg10096893,cg10453777,cg12465805,cg12884780,cg13428066,cg14044057,cg14447710,cg14617280,cg17104596,cg17849569,cg19240637,cg20560182,cg20724168,cg21322436,cg21335761,cg22510074,cg23090529,cg23309527,cg25308086,cg26267259,cg27184903	E028	1.00e+00
-2.361	9.97e-01	E003 H1 Cells	ES Cell	H3K9me3	E003-H3K9me3.broadPeak.gz	cg00045592,cg00058291,cg00061031,cg00094620,cg00156232,cg00310412,cg00611192,cg00646185,cg00812761,cg00980649,cg01169021,cg01180628,cg01414882,cg01443285,cg01496720,cg01820962,cg01936839,cg01940273,cg02056997,cg02088996,cg02249930,cg02268851,cg02345285,cg02416536,cg02504211,cg02583484,cg02699834,cg02839202,cg02913194,cg03156547,cg03183540,cg03241816,cg03345232,cg03395898,cg03689146,cg03698343,cg03774935,cg03940776,cg03963219,cg04086394,cg04100595,cg04158018,cg04184836,cg04444771,cg04456029,cg04486886,cg04509542,cg04621728,cg04746917,cg04913803,cg05068428,cg05155595,cg05200313,cg05246110,cg05603985,cg05673882,cg06012428,cg06211255,cg06294803,cg06372475,cg06422693,cg06647928,cg06705435,cg07092212,cg07134632,cg07156249,cg07209977,cg07217499,cg07631309,cg07866705,cg07960624,cg07995927,cg08110950,cg08355863,cg08580308,cg08673945,cg08958931,cg08970020,cg09031473,cg09130674,cg09351636,cg09449988,cg10096893,cg10161434,cg10439456,cg10453777,cg10636246,cg10919522,cg11650298,cg11661281,cg11796313,cg11870042,cg12364074,cg12587954,cg12590902,cg12627844,cg12773030,cg12848614,cg12884780,cg13167816,cg13372658,cg13428066,cg13553147,cg13787850,cg13802316,cg14179389,cg14277403,cg14428590,cg14447710,cg14459032,cg14580211,cg14617280,cg14780276,cg14795047,cg14914442,cg15208284,cg15357821,cg15717558,cg15798873,cg16290996,cg16315329,cg16726532,cg17032689,cg17104596,cg17327067,cg17439093,cg17724175,cg17849569,cg17960141,cg18394552,cg19543782,cg19572574,cg19589396,cg19693031,cg19750657,cg19859270,cg20146909,cg20155035,cg20554312,cg20698421,cg20732076,cg20802826,cg20813374,cg20908993,cg21376004,cg22017309,cg22459204,cg22510074,cg22706883,cg23079012,cg23090046,cg23236366,cg23761815,cg24332710,cg24461171,cg24576940,cg25215049,cg25230327,cg25375916,cg25747190,cg27216853,cg27494897,cg27530807,cg27545615	E003	1.00e+00
-2.003	9.85e-01	E004 H1 BMP4 Derived Mesendoderm Cultured Cells	ES Cell	H3K9me3	E004-H3K9me3.broadPeak.gz	cg00134210,cg00543073,cg00574958,cg00683922,cg00980649,cg01178099,cg01820962,cg01940273,cg03281335,cg03619256,cg03640051,cg03655330,cg04486886,cg04621728,cg06096336,cg07266431,cg07631309,cg08099136,cg08110950,cg09310636,cg09623442,cg11649376,cg12773030,cg13428066,cg13518625,cg13525276,cg14616353,cg14634473,cg14771889,cg15318853,cg15334909,cg16001689,cg17849569,cg18394552,cg18522582,cg19120513,cg19693031,cg20146909,cg20842915,cg21322436,cg22459204,cg23227726,cg25296103,cg25983901	E004	1.00e+00
