Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
-0.466	7.42e-01	E063 Adipose Nuclei	Adipose	TssA	erc2-chromatin15state-all-files/E063_1_TssA.bed	cg10293293,cg16611234	E063	1.00e+00
1.907	9.04e-02	E063 Adipose Nuclei	Adipose	TssAFlnk	erc2-chromatin15state-all-files/E063_2_TssAFlnk.bed	cg03364381,cg03636183,cg06635952,cg11660018,cg14580211,cg15474579,cg19572487,cg20059012,cg24838345,cg25189904	E063	1.00e+00
-4.059	1.00e+00	E063 Adipose Nuclei	Adipose	TxFlnk	erc2-chromatin15state-all-files/E063_3_TxFlnk.bed		E063	1.00e+00
-2.382	1.00e+00	E063 Adipose Nuclei	Adipose	Tx	erc2-chromatin15state-all-files/E063_4_Tx.bed		E063	1.00e+00
-1.646	9.88e-01	E063 Adipose Nuclei	Adipose	TxWk	erc2-chromatin15state-all-files/E063_5_TxWk.bed	cg04885881,cg07251887	E063	1.00e+00
-2.014	1.00e+00	E063 Adipose Nuclei	Adipose	EnhG	erc2-chromatin15state-all-files/E063_6_EnhG.bed		E063	1.00e+00
3.175	7.88e-03	E063 Adipose Nuclei	Adipose	Enh	erc2-chromatin15state-all-files/E063_7_Enh.bed	cg01127300,cg03450842,cg05284742,cg10691866,cg12075928,cg20303561,cg21322436,cg24090911,cg26271591,cg26361535	E063	1.00e+00
-3.564	1.00e+00	E063 Adipose Nuclei	Adipose	ZNF-Rpts	erc2-chromatin15state-all-files/E063_8_ZNF-Rpts.bed		E063	1.00e+00
-0.467	3.68e-01	E063 Adipose Nuclei	Adipose	Het	erc2-chromatin15state-all-files/E063_9_Het.bed	cg25602603	E063	1.00e+00
-3.577	1.00e+00	E063 Adipose Nuclei	Adipose	TssBiv	erc2-chromatin15state-all-files/E063_10_TssBiv.bed		E063	1.00e+00
-0.775	7.19e-01	E063 Adipose Nuclei	Adipose	BivFlnk	erc2-chromatin15state-all-files/E063_11_BivFlnk.bed	cg23161492	E063	1.00e+00
3.404	1.66e-02	E063 Adipose Nuclei	Adipose	EnhBiv	erc2-chromatin15state-all-files/E063_12_EnhBiv.bed	cg01899089,cg01940273,cg03329539,cg09935388	E063	1.00e+00
-0.523	7.53e-01	E063 Adipose Nuclei	Adipose	ReprPC	erc2-chromatin15state-all-files/E063_13_ReprPC.bed	cg04492193,cg05575921	E063	1.00e+00
-0.415	7.76e-01	E063 Adipose Nuclei	Adipose	ReprPCWk	erc2-chromatin15state-all-files/E063_14_ReprPCWk.bed	cg14462402,cg21161138,cg25648203,cg26703534	E063	1.00e+00
0.208	5.61e-01	E063 Adipose Nuclei	Adipose	Quies	erc2-chromatin15state-all-files/E063_15_Quies.bed	cg03873392,cg04172771,cg07986378,cg11207515,cg18804920,cg19254163,cg27252467	E063	1.00e+00
-1.367	9.64e-01	E080 Fetal Adrenal Gland	Adrenal	TssA	erc2-chromatin15state-all-files/E080_1_TssA.bed	cg10293293	E080	1.00e+00
0.623	3.83e-01	E080 Fetal Adrenal Gland	Adrenal	TssAFlnk	erc2-chromatin15state-all-files/E080_2_TssAFlnk.bed	cg06635952,cg11660018,cg21322436,cg25189904	E080	1.00e+00
-4.310	1.00e+00	E080 Fetal Adrenal Gland	Adrenal	TxFlnk	erc2-chromatin15state-all-files/E080_3_TxFlnk.bed		E080	1.00e+00
-1.969	9.96e-01	E080 Fetal Adrenal Gland	Adrenal	Tx	erc2-chromatin15state-all-files/E080_4_Tx.bed	cg04885881	E080	1.00e+00
-1.067	9.26e-01	E080 Fetal Adrenal Gland	Adrenal	TxWk	erc2-chromatin15state-all-files/E080_5_TxWk.bed	cg07251887,cg07986378	E080	1.00e+00
-0.925	8.26e-01	E080 Fetal Adrenal Gland	Adrenal	EnhG	erc2-chromatin15state-all-files/E080_6_EnhG.bed	cg26361535	E080	1.00e+00
4.468	3.70e-04	E080 Fetal Adrenal Gland	Adrenal	Enh	erc2-chromatin15state-all-files/E080_7_Enh.bed	cg01127300,cg03450842,cg04492193,cg05284742,cg10691866,cg12075928,cg14580211,cg15474579,cg19572487,cg20303561,cg24838345,cg26271591	E080	2.24e-01
-2.819	1.00e+00	E080 Fetal Adrenal Gland	Adrenal	ZNF-Rpts	erc2-chromatin15state-all-files/E080_8_ZNF-Rpts.bed		E080	1.00e+00
1.050	1.38e-01	E080 Fetal Adrenal Gland	Adrenal	Het	erc2-chromatin15state-all-files/E080_9_Het.bed	cg25602603,cg27252467	E080	1.00e+00
-0.506	4.16e-01	E080 Fetal Adrenal Gland	Adrenal	TssBiv	erc2-chromatin15state-all-files/E080_10_TssBiv.bed	cg20059012	E080	1.00e+00
-1.103	8.84e-01	E080 Fetal Adrenal Gland	Adrenal	BivFlnk	erc2-chromatin15state-all-files/E080_11_BivFlnk.bed	cg23161492	E080	1.00e+00
3.761	4.79e-03	E080 Fetal Adrenal Gland	Adrenal	EnhBiv	erc2-chromatin15state-all-files/E080_12_EnhBiv.bed	cg01940273,cg03329539,cg03364381,cg03636183,cg05575921,cg09935388,cg16611234,cg24090911	E080	1.00e+00
-1.420	9.68e-01	E080 Fetal Adrenal Gland	Adrenal	ReprPC	erc2-chromatin15state-all-files/E080_13_ReprPC.bed	cg14462402,cg25648203,cg26703534	E080	1.00e+00
-1.138	9.42e-01	E080 Fetal Adrenal Gland	Adrenal	ReprPCWk	erc2-chromatin15state-all-files/E080_14_ReprPCWk.bed	cg01899089,cg21161138	E080	1.00e+00
0.521	4.38e-01	E080 Fetal Adrenal Gland	Adrenal	Quies	erc2-chromatin15state-all-files/E080_15_Quies.bed	cg03873392,cg04172771,cg11207515,cg18804920,cg19254163	E080	1.00e+00
-0.276	6.65e-01	E029 Primary monocytes from peripheral blood	Blood	TssA	erc2-chromatin15state-all-files/E029_1_TssA.bed	cg10293293,cg19572487	E029	1.00e+00
-0.950	8.95e-01	E029 Primary monocytes from peripheral blood	Blood	TssAFlnk	erc2-chromatin15state-all-files/E029_2_TssAFlnk.bed	cg20059012,cg23161492	E029	1.00e+00
-9.055	1.00e+00	E029 Primary monocytes from peripheral blood	Blood	TxFlnk	erc2-chromatin15state-all-files/E029_3_TxFlnk.bed		E029	1.00e+00
-2.491	1.00e+00	E029 Primary monocytes from peripheral blood	Blood	Tx	erc2-chromatin15state-all-files/E029_4_Tx.bed		E029	1.00e+00
0.004	6.13e-01	E029 Primary monocytes from peripheral blood	Blood	TxWk	erc2-chromatin15state-all-files/E029_5_TxWk.bed	cg04885881,cg06635952,cg09935388,cg26361535	E029	1.00e+00
-0.519	4.58e-01	E029 Primary monocytes from peripheral blood	Blood	EnhG	erc2-chromatin15state-all-files/E029_6_EnhG.bed	cg20303561	E029	1.00e+00
2.888	1.48e-02	E029 Primary monocytes from peripheral blood	Blood	Enh	erc2-chromatin15state-all-files/E029_7_Enh.bed	cg03364381,cg03450842,cg05284742,cg07251887,cg07986378,cg14580211,cg16611234,cg21161138,cg26271591	E029	1.00e+00
-2.793	1.00e+00	E029 Primary monocytes from peripheral blood	Blood	ZNF-Rpts	erc2-chromatin15state-all-files/E029_8_ZNF-Rpts.bed		E029	1.00e+00
0.752	2.84e-01	E029 Primary monocytes from peripheral blood	Blood	Het	erc2-chromatin15state-all-files/E029_9_Het.bed	cg04172771,cg25602603,cg27252467	E029	1.00e+00
