Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
-1.053	9.75e-01	E063 Adipose Nuclei	Adipose	TssA	erc2-chromatin15state-all-files/E063_1_TssA.bed	cg00147009,cg00188055,cg00201234,cg00369351,cg00375448,cg00422347,cg00446925,cg00706282,cg00906976,cg00932128,cg01016637,cg01375285,cg01447112,cg01935060,cg01955745,cg02111705,cg02173484,cg02339682,cg02523018,cg02628202,cg02666302,cg02941781,cg03055737,cg03142697,cg03177084,cg03243023,cg03337393,cg03591223,cg03623835,cg03925157,cg04194821,cg04237898,cg04548378,cg04617786,cg04687486,cg04779999,cg05081033,cg05128808,cg05362467,cg05639679,cg05743278,cg05857203,cg05899860,cg05978187,cg06015036,cg06333435,cg06931446,cg07106490,cg07183060,cg07210784,cg07227926,cg07498421,cg07711556,cg07826058,cg07979106,cg08052428,cg08175271,cg08378567,cg09303312,cg09614276,cg10127573,cg10185274,cg10637425,cg10783774,cg10894072,cg10894697,cg11047973,cg11178170,cg11299168,cg11343534,cg11369071,cg12586594,cg12640937,cg13149662,cg13675469,cg13775054,cg14026602,cg14077270,cg14456103,cg14528441,cg15221203,cg15269294,cg15503006,cg15586439,cg15910486,cg15950665,cg16321116,cg16449051,cg16743005,cg17421072,cg17505193,cg17558973,cg17945195,cg18555206,cg18569335,cg19611817,cg19969124,cg19979646,cg20270775,cg21064641,cg21207217,cg21305471,cg21344215,cg21660727,cg21684654,cg21913974,cg21923442,cg22041190,cg22113807,cg22846611,cg23010344,cg23153730,cg23617327,cg25526475,cg25551661,cg25791279,cg26045043,cg26250558,cg26277456,cg26483229,cg26565578,cg26831042,cg27097962,cg27336178	E063	1.00e+00
2.536	7.03e-02	E063 Adipose Nuclei	Adipose	TssAFlnk	erc2-chromatin15state-all-files/E063_2_TssAFlnk.bed	cg00085434,cg00143527,cg00291351,cg00424800,cg00426310,cg00919013,cg01178451,cg01185080,cg01383997,cg01439670,cg01511647,cg01521154,cg01959541,cg02038168,cg02267488,cg02270332,cg02467073,cg02516288,cg02590886,cg02914501,cg03070989,cg03085312,cg03141069,cg03242666,cg03306972,cg03399199,cg03560660,cg03733229,cg03800939,cg03855656,cg03921529,cg03954991,cg04102325,cg04286455,cg04305870,cg04376312,cg04630292,cg04770088,cg04818943,cg04981410,cg05168062,cg05233324,cg05557834,cg05611617,cg05928290,cg05933803,cg05984522,cg06158227,cg06166306,cg06204711,cg06343355,cg06372962,cg06378976,cg06554535,cg06561366,cg06645952,cg06788278,cg06855983,cg07068187,cg07169834,cg07237996,cg07610192,cg07747553,cg07895437,cg07929768,cg08188886,cg08200952,cg08312412,cg08320659,cg08360631,cg08736918,cg08878967,cg08893833,cg09266113,cg09333471,cg09396217,cg09450367,cg09563216,cg09657538,cg09663530,cg10623389,cg10627262,cg10777851,cg10825234,cg10926574,cg11104510,cg11322877,cg11747349,cg11785425,cg12029639,cg12108730,cg12247968,cg12264626,cg12351433,cg12422930,cg12802819,cg12873350,cg12993791,cg13067221,cg13240017,cg13319139,cg13928411,cg13982454,cg14253951,cg14470895,cg14475875,cg14530834,cg14614844,cg14681207,cg14719055,cg14892886,cg15189104,cg15484899,cg15555727,cg15740492,cg15914589,cg15918766,cg15933823,cg16616918,cg16663674,cg16729690,cg16730908,cg17051623,cg17080893,cg17222452,cg17544952,cg18200150,cg18892212,cg18919684,cg19067730,cg19225688,cg19294311,cg19314352,cg19402483,cg19403909,cg19463518,cg19841859,cg19889780,cg20172258,cg20181254,cg20236513,cg20639396,cg21505923,cg21547982,cg22084642,cg22409223,cg22507960,cg22516137,cg22547540,cg22673001,cg22685245,cg22841667,cg23284609,cg23307680,cg23373640,cg23520422,cg23654821,cg23657179,cg23818888,cg24158160,cg24257038,cg24324441,cg24348707,cg24362923,cg24437535,cg24491749,cg24740026,cg24824917,cg24966363,cg25221239,cg25356086,cg25358289,cg25771195,cg26693467,cg26890354,cg27012920,cg27106909,cg27172893,cg27468145,cg27478863,cg27597790	E063	1.00e+00
-0.510	7.49e-01	E063 Adipose Nuclei	Adipose	TxFlnk	erc2-chromatin15state-all-files/E063_3_TxFlnk.bed	cg01814191,cg08390209	E063	1.00e+00
-4.596	1.00e+00	E063 Adipose Nuclei	Adipose	Tx	erc2-chromatin15state-all-files/E063_4_Tx.bed	cg00248861,cg00756695,cg03444838,cg04163632,cg04408858,cg04476070,cg04835383,cg08823577,cg10153082,cg10378927,cg11356547,cg13618372,cg13668471,cg13997504,cg18800681,cg19041676,cg20880499,cg22777249,cg24906527,cg25422895,cg25560471,ch.17.29716121R	E063	1.00e+00
-3.711	1.00e+00	E063 Adipose Nuclei	Adipose	TxWk	erc2-chromatin15state-all-files/E063_5_TxWk.bed	cg00347863,cg01192051,cg01911386,cg04075184,cg04090027,cg04240553,cg05580441,cg05898333,cg06517984,cg06539391,cg06811300,cg07566286,cg08106124,cg08800777,cg09511477,cg10125599,cg10662047,cg10817441,cg11373252,cg12793123,cg12799666,cg13710816,cg13742400,cg15550953,cg16276224,cg16654458,cg17006282,cg17583504,cg17620505,cg17800124,cg17930096,cg19132477,cg19243721,cg19509393,cg19939130,cg20761395,cg22535849,cg23254302,cg23322172,cg23586835,cg24889998,cg25727520,ch.1.93382935F	E063	1.00e+00
0.065	6.06e-01	E063 Adipose Nuclei	Adipose	EnhG	erc2-chromatin15state-all-files/E063_6_EnhG.bed	cg01794103,cg03199926,cg05343689,cg05614346,cg06742180,cg14158558,cg16075139,cg17310215,cg21517158,cg23721088	E063	1.00e+00
1.338	2.44e-01	E063 Adipose Nuclei	Adipose	Enh	erc2-chromatin15state-all-files/E063_7_Enh.bed	cg00177431,cg00232832,cg00644554,cg01008919,cg01469847,cg01797450,cg01835725,cg02256576,cg02357336,cg02697373,cg03167883,cg03217744,cg03521737,cg03629499,cg03701759,cg04791080,cg04892447,cg04935434,cg05068951,cg06038342,cg06795078,cg07483420,cg08134301,cg08811227,cg08858662,cg09039685,cg09804496,cg10118968,cg10173932,cg10567744,cg11441148,cg11880646,cg12093241,cg12350116,cg13042575,cg13224914,cg13971866,cg14181956,cg15388210,cg16151651,cg16734549,cg16744996,cg16875864,cg17014757,cg17178218,cg17940858,cg19274341,cg19286437,cg19480385,cg19575837,cg20870000,cg21120951,cg21267551,cg21435394,cg21534413,cg21685138,cg22378853,cg22953267,cg23365563,cg23521507,cg24156331,cg24284460,cg25106635,cg25317157,cg25331880,cg25948445,cg26504440,cg26920327,cg27057022,cg27118062,cg27159583,cg27422507	E063	1.00e+00
1.522	1.39e-01	E063 Adipose Nuclei	Adipose	ZNF-Rpts	erc2-chromatin15state-all-files/E063_8_ZNF-Rpts.bed	cg02260587,cg02411009,cg02672003,cg04645914,cg08662052,cg15463135,ch.7.3114411F	E063	1.00e+00
-1.282	9.53e-01	E063 Adipose Nuclei	Adipose	Het	erc2-chromatin15state-all-files/E063_9_Het.bed	cg02489377,cg05692422,cg09852127,cg13637269,cg20280492	E063	1.00e+00
3.845	1.59e-03	E063 Adipose Nuclei	Adipose	TssBiv	erc2-chromatin15state-all-files/E063_10_TssBiv.bed	cg02433278,cg03340715,cg03626024,cg07726953,cg08437570,cg08692733,cg09169779,cg09229893,cg10052922,cg12122464,cg13779567,cg14733720,cg15012468,cg15773704,cg20950932,cg23782952,cg25534294,cg26958615	E063	6.70e-02
