Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
4.794	1.88e-04	Acute_myeloid_leukemia	Bone Marrow	DHS	S005FH41.DNase.hotspot_v3.20130819.bed.gz	cg00052684,cg02405193,cg02869300,cg03915055,cg13060970,cg13077031,cg13121392,cg17478979,cg18128887,cg21195450,cg22104744	NA	1.51e-03
2.214	5.29e-02	DG-75_Sporadic_Burkitt_lymphoma	Cell Line	DHS	BP_DG-75_d01.DNase.hotspot_v3.20130819.bed.gz	cg12230203,cg13060970,cg13121392,cg13513622,cg18128887	NA	2.35e-01
6.352	1.10e-05	KARPAS-422_Germinal_Center_B-Cell-Like_Diffuse_Large_B-Cell_Lymphoma	Cell Line	DHS	bp_KARPAS-422_d01.DNase.hotspot_v3.20131126.bed.gz	cg00052684,cg01994208,cg02405193,cg03915055,cg06769150,cg13060970,cg13077031,cg20100745,cg21195450,cg22104744	NA	2.86e-04
1.816	9.54e-02	SU-DHL-5_Germinal_Center_B-Cell-Like_Diffuse_Large_B-Cell_Lymphoma	Cell Line	DHS	bp_SU-DHL-5_d01.DNase.hotspot_v3.20131126.bed.gz	cg03915055,cg06769150,cg13060970,cg13077031	NA	3.94e-01
2.543	2.98e-02	U-266_Multiple_myeloma	Cell Line	DHS	BP_U-266_d01.DNase.hotspot_v3.20130819.bed.gz	cg03915055,cg13060970,cg13121392,cg13513622,cg16729631,cg18128887	NA	1.43e-01
1.901	6.89e-02	Z-138_Mantle_cell_lymphoma	Cell Line	DHS	BP_Z-138_d01.DNase.hotspot_v3.20130819.bed.gz	cg03915055,cg13060970,cg13077031,cg13121392,cg13513622,cg18128887,cg20932630	NA	2.95e-01
4.381	1.30e-04	CD14_positive_CD16_negative_classical_monocyte	Cord Blood	DHS	C005PS4E.DNase.hotspot_v3.20130819.bed.gz	cg00052684,cg01994208,cg02405193,cg02869300,cg03915055,cg06769150,cg12230203,cg13060970,cg13077031,cg13121392,cg17478979,cg20100745,cg21195450,cg22104744	NA	1.11e-03
4.621	1.05e-04	CD34-negative_CD41-positive_CD42-positive_megakaryocyte_cell	Cord Blood	DHS	C006NS47.DNase.hotspot_v3.20130819.bed.gz	cg00052684,cg01994208,cg02405193,cg02869300,cg03915055,cg06769150,cg13060970,cg13077031,cg13121392,cg17478979,cg20100745,cg21195450,cg22104744	NA	9.67e-04
4.223	1.62e-03	CD14-positive_CD16-negative_classical_monocyte	Venous Blood	DHS	C001UY46.DNase.hotspot_v3.20130415.bed.gz	cg02405193,cg03915055,cg13060970,cg13077031,cg21195450,cg22104744	NA	9.28e-03
5.728	1.87e-05	CD14-positive_CD16-negative_classical_monocyte	Venous Blood	DHS	C0010K46.DNase.hotspot_v3.20130415.bed.gz	cg00052684,cg02405193,cg02869300,cg03915055,cg06769150,cg12230203,cg13060970,cg13077031,cg13121392,cg17478979,cg22104744,cg22520791	NA	3.63e-04
5.655	3.85e-05	CD14-positive_CD16-negative_classical_monocyte	Venous Blood	DHS	C0011I43.DNase.hotspot_v3.20130415.bed.gz	cg00052684,cg02405193,cg02869300,cg03915055,cg13060970,cg13077031,cg13121392,cg20100745,cg21195450,cg22104744	NA	5.69e-04
4.952	4.34e-05	CD14-positive_CD16-negative_classical_monocyte	Venous Blood	DHS	C004084E.DNase.hotspot_v3.20130415.bed.gz	cg00052684,cg01994208,cg02405193,cg02869300,cg03915055,cg06769150,cg12230203,cg13060970,cg13077031,cg13121392,cg17478979,cg20100745,cg21195450,cg22104744	NA	5.69e-04
4.935	3.97e-04	inflammatory_macrophage	Venous Blood	DHS	S001MJ4A.DNase.hotspot_v3.20130819.bed.gz	cg02405193,cg03915055,cg06769150,cg13060970,cg13077031,cg13121392,cg20100745,cg21195450	NA	2.65e-03
5.258	3.85e-04	inflammatory_macrophage	Venous Blood	DHS	S001MJ48.DNase.hotspot_v3.20130819.bed.gz	cg02405193,cg03915055,cg13060970,cg13077031,cg13121392,cg21195450,cg22104744	NA	2.65e-03
5.663	7.46e-06	macrophage_-_T_6days_B-glucan	Venous Blood	DHS	S00CTZ41.DNase.hotspot_v3.20141014.bed.gz	cg00052684,cg02405193,cg02869300,cg03915055,cg13060970,cg13077031,cg13121392,cg13513622,cg17478979,cg18128887,cg20100745,cg21195450,cg22104744	NA	2.86e-04
0.892	2.52e-01	macrophage_-_T_6days_B-glucan	Venous Blood	DHS	S00C0J41.DNase.hotspot_v3.20141014.bed.gz	cg03915055,cg13060970,cg18128887	NA	1.00e+00
3.131	8.71e-03	macrophage_-_T_6days_B-glucan	Venous Blood	DHS	S00HTF41.DNase.hotspot_v3.20141014.bed.gz	cg00052684,cg02405193,cg02869300,cg03915055,cg13060970,cg13077031,cg13121392,cg17478979,cg18128887	NA	4.75e-02
3.387	9.17e-03	macrophage_-_T_6days_B-glucan	Venous Blood	DHS	S00JS941.DNase.hotspot_v3.20141014.bed.gz	cg00052684,cg02869300,cg03915055,cg06769150,cg13060970	NA	4.78e-02
5.471	9.44e-05	macrophage_-_T_6days_LPS	Venous Blood	DHS	S00BYT41.DNase.hotspot_v3.20141014.bed.gz	cg00052684,cg01994208,cg02405193,cg02869300,cg03915055,cg06769150,cg13060970,cg13077031,cg13121392,cg21195450	NA	9.43e-04
5.293	7.57e-05	macrophage_-_T_6days_LPS	Venous Blood	DHS	S00CS041.DNase.hotspot_v3.20141014.bed.gz	cg00052684,cg02405193,cg03915055,cg12230203,cg13060970,cg13077031,cg13121392,cg17478979,cg20100745,cg21195450,cg22104744	NA	8.24e-04
4.829	4.75e-05	macrophage_-_T_6days_LPS	Venous Blood	DHS	S00HSH41.DNase.hotspot_v3.20141014.bed.gz	cg00052684,cg01994208,cg02405193,cg02869300,cg03915055,cg06769150,cg13060970,cg13077031,cg13121392,cg17478979,cg18128887,cg20932630,cg21195450,cg22104744	NA	5.69e-04
5.379	2.12e-05	macrophage_-_T_6days_LPS	Venous Blood	DHS	S00JRB41.DNase.hotspot_v3.20141014.bed.gz	cg00052684,cg01994208,cg02405193,cg02869300,cg03915055,cg06769150,cg13060970,cg13077031,cg13121392,cg17478979,cg18128887,cg21195450,cg22104744	NA	3.63e-04
5.222	2.34e-04	macrophage_-_T_6days_untreated	Venous Blood	DHS	S00BXV41.DNase.hotspot_v3.20141014.bed.gz	cg00052684,cg02405193,cg02869300,cg03915055,cg06769150,cg13060970,cg13077031,cg25345365	NA	1.76e-03
2.707	2.24e-02	macrophage_-_T_6days_untreated	Venous Blood	DHS	S00CR241.DNase.hotspot_v3.20141014.bed.gz	cg00052684,cg03915055,cg12230203,cg13121392,cg13513622,cg18128887,cg22104744,cg23189692	NA	1.12e-01
2.253	4.88e-02	macrophage_-_T_6days_untreated	Venous Blood	DHS	S00HRJ41.DNase.hotspot_v3.20141014.bed.gz	cg00052684,cg13060970,cg13077031,cg22104744,cg25345365	NA	2.25e-01
3.845	1.63e-03	macrophage_-_T_6days_untreated	Venous Blood	DHS	S00JQD41.DNase.hotspot_v3.20141014.bed.gz	cg00052684,cg01994208,cg02405193,cg02869300,cg03915055,cg06769150,cg13060970,cg13077031,cg13121392,cg22104744	NA	9.28e-03
5.947	1.04e-05	macrophage	Venous Blood	DHS	C005VG45.DNase.hotspot_v3.20130819.bed.gz	cg01994208,cg02405193,cg02869300,cg03915055,cg06769150,cg13060970,cg13077031,cg13121392,cg17478979,cg18128887,cg21195450,cg22104744	NA	2.86e-04
6.793	5.42e-07	macrophage	Venous Blood	DHS	C006UE47.DNase.hotspot_v3.20130819.bed.gz	cg00052684,cg02405193,cg02869300,cg03915055,cg06769150,cg13060970,cg13077031,cg13121392,cg17478979,cg18128887,cg21195450,cg22104744,cg23189692,cg25345365	NA	6.50e-05
4.471	7.58e-04	monocyte_-_T_0days	Venous Blood	DHS	S00EPZ41.DNase.hotspot_v3.20141014.bed.gz	cg00052684,cg02405193,cg06769150,cg13060970,cg13077031,cg13121392,cg21195450,cg22104744	NA	4.78e-03
6.120	1.19e-05	monocyte_-_T_0days	Venous Blood	DHS	S00JPF41.DNase.hotspot_v3.20141014.bed.gz	cg00052684,cg01994208,cg02405193,cg02869300,cg03915055,cg06769150,cg13060970,cg13077031,cg13121392,cg21195450,cg22104744	NA	2.86e-04
